,tweet,processed_tweet,polarity,subjectivity,Sentiment,Objectivity
0,"@MorningBrew For those of you who are very busy and want a quick financial update i suggest joining me by starting your day with Morning Brew, the email covering the latest news from Wall St. to Silicon Valley.  https://www.morningbrew.com/?kid=de6654  via @morningbrew","MorningBrew For those of you who are very busy and want a quick financial update i suggest joining me by starting your day with Morning Brew, the email covering the latest news from Wall St. to Silicon Valley.   via morningbrew",0.19266666666666668,0.37799999999999995,Positive,Objective
1,@Medtronic Seems like a great experience! Hopefully I have a chance to do this at some point this year! @medtronic #painmedicine #anest #MedEd #interventionalpain #scs #drgstimulation https://twitter.com/jonhagedornmd/status/1019040357709905922 …,Medtronic Seems like a great experience! Hopefully I have a chance to do this at some point this year! medtronic painmedicine anest MedEd interventionalpain scs drgstimulation ,1.0,0.75,Positive,Subjective
2,How old were you when you found out that the game TAG stands for touch and go? Because I was today years old,How old were you when you found out that the game TAG stands for touch and go? Because I was today years old,-0.06666666666666668,0.26666666666666666,Negative,Objective
3,I have used very little Sufentanil in my training (Remifentanil is the predominant short acting opioid used here). What is everyones experience and what are your thoughts on sublingual dosing?#anest #painmedicine https://www.anesthesiologynews.com/Pain-Medicine/Article/07-18/Rapid-Acting-Sublingual-Sufentanil-Effective-for-Short-Duration-Acute-Pain/50073 …,I have used very little Sufentanil in my training (Remifentanil is the predominant short acting opioid used here). What is everyones experience and what are your thoughts on sublingual dosing?anest painmedicine ,-0.08125,0.31666666666666665,Negative,Objective
4, http://www.hartfordbusiness.com/article/20180716/PRINTEDITION/307129945/ct-scientists-want-pain-research-to-finally-get-its-due-and-funding …, ,0.0,0.0,Neutral,Objective
5,"In 2017, ASA created several resources to guide members through the quality reporting process. Download the 2017 Annual Report to learn more:  http://ht.ly/NhZP30kYcX5  pic.twitter.com/aDgleUTvwt","In 2017, ASA created several resources to guide members through the quality reporting process. Download the 2017 Annual Report to learn more:   ",0.25,0.25,Positive,Objective
6,Always great to see more support for the use of multimodal analgesia. #MedEd #PainMedicine #Opioidcrisis #responsibleopioidusePain and Complications After Arthroplasty Controlled Best With Multimodal Analgesia https://www.anesthesiologynews.com/Pain-Medicine/Article/07-18/Pain-and-Complications-After-Arthroplasty-Controlled-Best-With-Multimodal-Analgesia/50067 …,Always great to see more support for the use of multimodal analgesia. MedEd PainMedicine Opioidcrisis responsibleopioidusePain and Complications After Arthroplasty Controlled Best With Multimodal Analgesia ,0.7666666666666666,0.5166666666666667,Positive,Subjective
7,Some of our residents enjoying the sun! #workhardplayhard #anesthesia #upmc #outoftheOR #VitD @_DoctorDoug pic.twitter.com/CZvkDO533u,Some of our residents enjoying the sun! workhardplayhard anesthesia upmc outoftheOR VitD _DoctorDoug ,0.625,0.6,Positive,Subjective
8,"Med shortages are hitting closer and closer to home... EpiPen/and ALL generic formulations cannot be ordered, on and off backorder... Tell this to anyone/ parents of kids with anaphylaxis... Drug shortages prompt FDA to form task force @CNN https://cnn.it/2zzvesQ ","Med shortages are hitting closer and closer to home... EpiPen/and ALL generic formulations cannot be ordered, on and off backorder... Tell this to anyone/ parents of kids with anaphylaxis... Drug shortages prompt FDA to form task force CNN ",0.0,0.0,Neutral,Objective
9,"Happy #FeatureFriday! Have you heard about our Neuromodulation for Cancer Pain Medicine pre-conference course happening at the NANS Summer Series this August? Well, now you have! #NYCNANS18  https://neuromodulation.org/Meetings/2018SummerSeries.aspx … pic.twitter.com/pMLeQ9HbiV","Happy FeatureFriday! Have you heard about our Neuromodulation for Cancer Pain Medicine pre-conference course happening at the NANS Summer Series this August? Well, now you have! NYCNANS18   ",1.0,1.0,Positive,Subjective
10,We are very excited to have him coming! @UPMCAnesRes @upmc https://twitter.com/emarianomd/status/1017616707743911936 …,We are very excited to have him coming! UPMCAnesRes upmc ,0.609375,0.975,Positive,Subjective
11,I am glad this is being addressed/ hope to see a change! #upmcpainmedicine has 8 fellows this year with 3 being female! Not quite half yet but getting closer! Why Aren't There More Female Pain Medicine Physicians? https://journals.lww.com/rapm/Fulltext/2018/07000/Why_Aren_t_There_More_Female_Pain_Medicine.10.aspx …#HeForShe #MedEd #genderequity,I am glad this is being addressed/ hope to see a change! upmcpainmedicine has 8 fellows this year with 3 being female! Not quite half yet but getting closer! Why Aren't There More Female Pain Medicine Physicians? HeForShe MedEd genderequity,0.18333333333333332,0.4,Positive,Objective
12,"We need studies on DRG stim for upper extremity CRPS. Found this case report ( https://www.ncbi.nlm.nih.gov/m/pubmed/25982721/ …), but we can do better. Let’s expand indications and help those patients who are suffering. #neuromodulation #drg","We need studies on DRG stim for upper extremity CRPS. Found this case report ( ), but we can do better. Let’s expand indications and help those patients who are suffering. neuromodulation drg",0.25,0.25,Positive,Objective
13,PACC Guidelines as a mobile app! https://twitter.com/wileyneuro/status/1017535482853560328 …,PACC Guidelines as a mobile app! ,0.0,0.0,Neutral,Objective
14,"My week on Twitter 🎉: 37 Mentions, 179 Mention Reach, 40 Likes, 2 Retweets, 19.9K Retweet Reach. See yours with  https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=5aa86c19cb0c815c891e2a0a … pic.twitter.com/SgN2rXuYBj","My week on Twitter 🎉: 37 Mentions, 179 Mention Reach, 40 Likes, 2 Retweets, 19.9K Retweet Reach. See yours with   ",0.0,0.0,Neutral,Objective
