,tweet,processed_tweet,polarity,subjectivity,Sentiment,Objectivity
0,SHH! @mshshospitalist Michael Herscher presenting his Sleep Hygiene in the Hospital study at @SHMLive #HospMed18 pic.twitter.com/9Bzf06blb1,SHH! mshshospitalist Michael Herscher presenting his Sleep Hygiene in the Hospital study at SHMLive HospMed18 ,0.0,0.0,Neutral,Objective
1,"New year, new comic! Back to Work | Ann Intern Med | ACP |  http://bit.ly/2CE94n4  #PMG pic.twitter.com/SeNsz7ZWxt","New year, new comic! Back to Work | Ann Intern Med | ACP |   PMG ",0.14630681818181818,0.3522727272727273,Positive,Objective
2,"Impressive group leading this high value alliance, including @mshshospitalist @HyungChoMD https://twitter.com/hvpaa/status/945789742225985536 …","Impressive group leading this high value alliance, including mshshospitalist HyungChoMD ",0.58,0.77,Positive,Subjective
3,Great fun as a @mshshospitalist pitch day judge for the Sinai student HVC projects. Hard to choose a winner. All terrific! pic.twitter.com/oqXrLE6ZKw,Great fun as a mshshospitalist pitch day judge for the Sinai student HVC projects. Hard to choose a winner. All terrific! ,0.20208333333333334,0.6229166666666667,Positive,Subjective
4,Reducing harm: #ChoosingWisely shifts focus to implementation  http://www.the-hospitalist.org/hospitalist/article/152629/reducing-harm-when-doing-less-enough … @SHMLive #hospitalists,Reducing harm: ChoosingWisely shifts focus to implementation   SHMLive hospitalists,0.0,0.0,Neutral,Objective
5,#Antibiotics after #incision and drainage for simple #abscesses improves outcomes: http://ow.ly/p3Jf30gEekZ ,Antibiotics after incision and drainage for simple abscesses improves outcomes: ,0.0,0.35714285714285715,Neutral,Objective
6,#Mortality risks associated with emergency admission during weekends and public holidays: http://ow.ly/1AIA30go5TA ,Mortality risks associated with emergency admission during weekends and public holidays: ,0.0,0.06666666666666668,Neutral,Objective
7,#Antiplatelet therapy can be continued through #surgery without increased risk of reintervention for #bleeding: http://ow.ly/JDIX30gv8ZZ ,Antiplatelet therapy can be continued through surgery without increased risk of reintervention for bleeding: ,0.0,0.0,Neutral,Objective
8,Elderly #patients’ view and the discussion of discontinuing #cancer screening: http://ow.ly/37sz30gCRtG ,Elderly patients’ view and the discussion of discontinuing cancer screening: ,0.0,0.0,Neutral,Objective
9,@MountSinai @andrewdunn111 @mountsinai @MSWSL_Library grand rounds on Direct Oral Anticoagulants #graphicmedicine pic.twitter.com/8b7eYVS5Jk,MountSinai andrewdunn111 mountsinai MSWSL_Library grand rounds on Direct Oral Anticoagulants graphicmedicine ,0.3,0.7,Positive,Subjective
