username,date,time,tweet,likes,replies,retweets,retweet,hashtags
uropro,2018-04-06,08:09:09,Honored that Tim Boone visiting as 45th Cordonnier VP with mentee Dr Henry Lai. pic.twitter.com/GmegDNKmO7,5,0,3,True,
PNLogic,2018-03-28,17:21:06,We just finished grand rounds and training at the wonderful @WUSTLmed  with Dr. Gerald Andriole! #betterbiopsy @AmerUrological @UrologyMatch @UrologyUS @UrologyCareFdn @EUplatinum @BXTAccelyon @PCFnews @MensHlthNetwork @DrGapin #urology #prostatecancer #WellnessWednesday pic.twitter.com/saAnoWzhqO,11,0,1,True,"#betterbiopsy,#urology,#prostatecancer,#WellnessWednesday"
BobDjavan,2018-03-18,04:12:41,The man is right!!!!#EAU18 @prokarurol @LoebStacy @Uroweb @derflorenzianer @urotoday @JuddMoul @AmerUrological @SIU_urology @NYUUrology @EUplatinum pic.twitter.com/CCNNNZPALy,15,1,8,True,#EAU18
EricKleinMD,2018-03-17,13:05:16,PCPT Redux: further convincing evidence that long term use of finasteride substantially lowers prostate cancer risk without increasing risk of high grade disease  https://doi.org/10.1093/jnci/djy036 …   The FDA BLACK BOX warning should be removed... pic.twitter.com/knImh3pBp6,59,3,37,True,
Uroweb,2018-03-16,10:02:28,.@prokarurol: Robotic surgery is an unnecessary luxury in the developing world. #EAU18  http://eau18.uroweb.org/robotic-surgery-is-unnecessary-in-the-developing-world/ … pic.twitter.com/MOVjcIYH7F,87,4,60,True,#EAU18
robymiano,2018-03-16,10:47:52,Really convincing talk #EAU18 by Prof Heidenreich on salvage LND in #ProstateCancer. Look and keep in mind the fundamental rules!!@EAUYAUrology @bmr6d4 @ESRUrology @fabriziodalmoro @lucacindolo @uropro @d_veneziano pic.twitter.com/rZ0PRwmLoV,16,0,7,True,"#EAU18,#ProstateCancer"
JuddMoul,2018-03-08,09:33:49,@smkaff @PatrickSelph @qdtrinh @michaelabern You guys are bringing back many fond memories- I was part of the inaugural tour in 1994 with Gerry Andriole and Eric Klein and we formed life-long bonds as a result!  And it kind of worked out for all of us!  @EricKleinMD @uropro,9,0,4,True,
WashU_Uro,2018-02-21,10:55:52,"Congratulations to #medicalstudent, Neel Raval, recipient of the 2018 @EndourolSoc Summer Student scholarship! His research project will be carried out at WashU under the direction of Dr. Ramakrishna Venkatesh. #urology #endourology",6,0,1,True,"#medicalstudent,#urology,#endourology"
DrLindseyFitz,2018-02-18,18:41:07,"Murals cover the walls of the operating room at Barnes-Jewish Hospital in St. Louis, Missouri at the turn of the 20th century. The walls were painted by a surgeon who wanted to give patients something to look at while they waited for their anesthesia. pic.twitter.com/HT75Zf71qa",615,14,261,True,
ricautor,2018-02-11,06:59:17,Well deserved. Winner of the #JHS2018 @RodriguezMDUrol @USC_Urology @robymiano @uropro @SaveYourSexLife pic.twitter.com/M0f0J44khP – at Jackson Hole Mountain Resort,7,0,4,True,#JHS2018
robymiano,2018-02-09,23:11:30,"Critique panel vs Speakers: highly professional, respectful, sometimes fighting discussion. Attendants are active part of the discussion. The original and unique format of Jackson Hole Seminars @uropro @RodriguezMDUrol @ricautor @MulhallJohn @LoebStacy pic.twitter.com/09RbJb47ru",5,0,2,True,
robymiano,2018-02-10,09:09:38,Dr Kohler: dramatic numbers on the abuse of steroids. Still a great problem. #adolescentes : please don't do it!!! @MulhallJohn @TheAdolescents @uropro @HighSchoolSuckz @ICAH @iTrusturology @lucacindolo @ricautor pic.twitter.com/nHxnFJKWyf,13,0,4,True,#adolescentes
aurusdm,2018-02-09,16:55:15,@d_veneziano @bmr6d4 @EFinazziAgro @lucacindolo @ricautor @iTrusturology @Tdave @LoebStacy @uropro @robymiano Great meeting with amazing urologists and  friends.  Miss you guys.,3,0,1,True,
ricautor,2018-02-09,11:20:11,@uropro on #prostatecancer bio markers. Debate to follow. #JHS2018 @robymiano @lucacindolo @SaveYourSexLife pic.twitter.com/1OHvKXdgDE,1,0,1,True,"#prostatecancer,#JHS2018"
robymiano,2018-02-08,23:14:04,"Traditional italian dinner #JHS2018. Great atmosphere, amazing menu, a big family.Tiramisù was the final dish!! @uropro @LoebStacy @Tdave @iTrusturology @ricautor @lucacindolo @EFinazziAgro @bmr6d4 @d_veneziano pic.twitter.com/Inw8o7l3Fz",19,2,1,True,#JHS2018
ricautor,2018-02-08,11:33:37,All you need to know about anejaculation by @SaveYourSexLife #JHS2018 #JHUroSeminars18 @uropro @robymiano @lucacindolo pic.twitter.com/hXuh0wgNOy – at Jackson Hole Mountain Resort,3,0,1,True,"#JHS2018,#JHUroSeminars18"
ricautor,2018-02-08,10:48:07,Dr Lepor: how to select #prostatecancer candidates for focal ablation @NYUUrology #JHUroSeminars18 @uropro @robymiano pic.twitter.com/HXgtcdlp23,12,0,8,True,"#prostatecancer,#JHUroSeminars18"
uropro,2018-02-08,09:03:18,Day 2 off to s great start! #JHS2018 @RodriguezMDUrol addressing sling removal. pic.twitter.com/75lRjdc6DS,1,0,1,True,#JHS2018
JuddMoul,2018-02-07,08:10:35,This is a big deal!  We currently have no FDA-approved agents specifically for M0 CRPC - this 3rd generation nonsteroidal antiandrogen will likely be the first https://twitter.com/onclive/status/960637949888036864 …,15,2,6,True,
LoebStacy,2017-12-19,09:16:43,Prostate cancer journal club starting NOW x48h discussing the Philadelphia #ProstateCancer Consensus conference on inherited risk- please join in using the hashtag #PROSTATEJC via @PCF_Science #pcsm #brca #Genetics  http://ascopubs.org/doi/pdf/10.1200/JCO.2017.74.1173 … pic.twitter.com/D5tD0oZaT8,22,0,14,True,"#ProstateCancer,#PROSTATEJC,#pcsm,#brca,#Genetics"
