username,date,time,tweet,likes,replies,retweets,retweet,hashtags
BarnesJewishWst,2018-07-20,09:00:14,A recent aerial photo shows the progress of the @BarnesJewishWst replacement hospital. See more:  https://bddy.me/2Lp0zDi @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp pic.twitter.com/tQDoryKdMI,5,0,4,True,
BarnesJewishWst,2018-07-19,09:00:13,Dionta Cheers is a Sheet Metal Workers Local 36 apprentice. He is six months into a five-year apprenticeship and now working on the @BarnesJewishWst replacement hospital. See more:  https://bddy.me/2LpoWkm @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp pic.twitter.com/RPNHCBXAHt,1,0,1,True,
BarnesJewishWst,2018-07-18,15:48:09,Workers from multiple trades work in a main level corridor of the @BarnesJewishWst replacement hospital #construction project. See more:  https://bddy.me/2uL86Ca @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp pic.twitter.com/whOes6fToT,0,0,1,True,#construction
BarnesJewishWst,2018-07-17,10:17:56,The Creve Coeur area of St. Louis County experienced a power outage around 9:05 a.m.that impacted @BarnesJewishWst campus. Generators at the hospital worked as expected and there was no impact to patient care. Power has been restored and we are fully operational. Thank you!,1,0,0,True,
BarnesJewishWst,2018-07-10,08:00:10,Looking out the window of @BarnesJewishWst into the replacement hospital under #construction - opening 2019. @BJC_HealthCare @ParicCorp @christnerinc @KAIDesignBuild @IMEGcorp https://bddy.me/2KVT6v9  pic.twitter.com/IE0Ahdj4pO,8,0,4,True,#construction
BarnesJewishWst,2018-07-04,09:00:19,Happy Independence Day. Have a safe and fun-filled holiday! From @BarnesJewishWst and @BJC_HealthCare pic.twitter.com/LRiBrqsje7,0,0,0,True,
BarnesJewishWst,2018-07-03,11:58:29,"#Heat Exhaustion:risk factors, signs, symptoms. #ER Dr. Rick Tao @WUSTLmed @BarnesJewishWst  https://bddy.me/2KC22G7 ? pic.twitter.com/a25Zbet0Cf",0,0,0,True,"#Heat,#ER"
BarnesJewishWst,2018-06-28,10:24:36,@BarnesJewishWst is proud to be part of @BJC_HealthCare - ranked as one of the top workplaces by @stltoday for 2018. https://twitter.com/BJC_HealthCare/status/1012070318633095172 …,1,0,2,True,
BarnesJewishWst,2018-06-27,17:19:59,"Congratulations Jeff Huber, security officer, employee of distinction award winner @BarnesJewishWst. @BarnesJewish @BJC_HealthCare.  https://bddy.me/2KnBmZz  pic.twitter.com/EVxpmPQefI",3,0,0,True,
BarnesJewishWst,2018-06-26,17:00:07,"Madison Wolf, 10-year-old #GirlScout was recognized on @FOX2now for donating and distributing Girl Scout cookies to patients at @SitemanCenter at @BarnesJewishWst. @girlscouts  https://bddy.me/2KkOaj9  pic.twitter.com/AgalyHqyPM",0,0,1,True,#GirlScout
BarnesJewishWst,2018-06-26,11:46:53,"Madison Wolf, 10-year-old #GirlScout was recognized on @FOX2now for donating and distributing Girl Scout cookies to patients at @SitemanCenter at @BarnesJewishWst.  https://bddy.me/2K9iNc1  pic.twitter.com/IZEeQDVgUG",10,0,4,True,#GirlScout
BarnesJewishWst,2018-06-26,09:00:09,"If you suffer from chronic #NeckPain, you know it can make the simplest daily tasks unbearable. Find out how #neurosurgery at @BarnesJewishWst helped this mother and #nursing student find lasting relief from constant neck pain. #WashUmed #BarnesJewish https://bddy.me/2Kmztwe  pic.twitter.com/Tk4NEmvmNx",1,0,0,True,"#NeckPain,#neurosurgery,#nursing,#WashUmed,#BarnesJewish"
BarnesJewishWst,2018-06-20,14:18:24,"If you suffer from chronic #NeckPain, you know it can make the simplest daily tasks unbearable. Find out how #neurosurgery at @BarnesJewishWst helped this mother and #nursing student find lasting relief from constant neck pain. #WashUmed #BarnesJewish https://bddy.me/2K4lt6T  pic.twitter.com/wZlWEAOvJH",3,0,1,True,"#NeckPain,#neurosurgery,#nursing,#WashUmed,#BarnesJewish"
BarnesJewishWst,2018-06-14,13:06:26,"Sneak Preview: Look inside @BarnesJewishWst replacement #hospital, currently under #construction and opening in 2019. Images, floor plans, interior finishes, flooring, paint colors and more. @ParicCorp @christnerinc @IMEGcorp @KAIDesignBuild  https://bddy.me/2LSnCCT  pic.twitter.com/x1L3RHsbt1",4,0,5,True,"#hospital,#construction"
BarnesJewishWst,2018-06-13,11:09:43,@BarnesJewishWst is proud to be part of @pridestl again this year! Join us in downtown St. Louis June 22-24. Watch our video— highlighting the @BJC_HealthCare LGBTQ+ employee networking group (BJC SPECTRA) and its mission and benefits to our employees  https://bddy.me/2LMsPMz  pic.twitter.com/RiBy9yAmZV,3,0,1,True,
BarnesJewishWst,2018-06-12,15:13:58,"Sneak Preview: Look inside @BarnesJewishWst replacement #hospital, currently under #construction and opening in 2019. Images, floor plans, interior finishes, flooring, paint colors and more. @ParicCorp @christnerinc @IMEGcorp  https://bddy.me/2HMeA86  pic.twitter.com/NcjbE9l4iV",2,0,3,True,"#hospital,#construction"
BarnesJewishWst,2018-06-12,11:32:29,"Sneak Preview: Look inside @BarnesJewishWst replacement #hospital, currently under #construction and opening in 2019. Images, floor plans, interior finishes, flooring, paint colors and more.  https://bddy.me/2LJazUh  pic.twitter.com/ZSR3t6qURx",6,0,2,True,"#hospital,#construction"
