username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Hunt_EdLeader,2018-06-03,14:54:27,Congratulations 2018! You are an amazing group of students. #watchoutworld #cfevs pic.twitter.com/2SCXoQMBXJ,108,0,6,True,"#watchoutworld,#cfevs"
doc_h_wood,2018-01-12,16:09:42,MLK told us that remaining silent equated to complicity. I am so proud to be part of @ClevelandClinic this week as CEO Dr Mihaljevic and COS @BrianDonleyMD pledged a culture of equality and safety for all.,37,0,8,True,
BrianDonleyMD,2017-11-11,06:01:03,Congrats to our pediatric Heart team for a successful second annual @ClevelandClinic summit with attendees from 18 countries pic.twitter.com/L65cpL96lN,28,0,4,True,
bikeVeloSano,2017-11-10,08:22:46,"Last night was not a dream, you helped us surpass our fundraising goal by raising over $4.1M for cancer research at @ClevelandClinic. Thanks to EVERYONE who contributed! pic.twitter.com/LfpPlZMcSF",63,0,23,True,
HBSAlumni,2017-11-06,09:41:02,".@BrianDonleyMD @DrMarleneKrauss @sacjai @MayaBabuMD @RobertWahMD: FYI, this post may be of interest :) https://twitter.com/HarvardHBS/status/927557562282672128 …",6,0,1,True,
TobyCosgroveMD,2017-11-03,13:41:42,Healthcare providers can play a key role in ending the opioid crisis. Here's what we're doing at @ClevelandClinic http://cle.clinic/2yr4UAd ,81,0,52,True,
kkellyhancock,2017-10-28,06:54:19,"Great articles from our #nurses can be read here; best practices & ideas for improvement. Search ""alarm fatigue"": https://consultqd.clevelandclinic.org/topics/nursing/  https://twitter.com/boissyad/status/923549824347197441 …",14,0,9,True,#nurses
JennLonzer,2017-10-23,11:37:06,Getting charged up about genomics with @BrianDonleyMD. #MIS2017 pic.twitter.com/2SGTrKWXfU,8,1,3,True,#MIS2017
CCLRI,2017-10-16,11:01:11,"Exciting news! Lerner Chair Serpil Erzurum, MD, Elected to Prestigious National Academy of Medicine @theNAMedicine https://newsroom.clevelandclinic.org/2017/10/16/cleveland-clinics-serpil-erzurum-m-d-elected-to-prestigious-national-academy-of-medicine/ …",58,1,26,True,
NimaSharifiMD,2017-10-14,18:18:11,Congratulations Stan Hazen!!! Proud to be your colleague @CleClinicMD @CCLRI @theNAMedicine https://twitter.com/thenamedicine/status/919339911794298881 …,28,0,10,True,
