username,date,time,tweet,likes,replies,retweets,retweet,hashtags
ErinMurphyMD,2018-07-14,15:19:42,Amazing Prayers for Maria soirée last night! Raising money for research to fight childhood glioma. #childhoodcancer #CleClinicCancer pic.twitter.com/0uNNAUd7fY,13,0,6,True,"#childhoodcancer,#CleClinicCancer"
ErinMurphyMD,2018-07-14,15:15:19,"Kids raise over $20,000 for #VeloSano kids today! #CleClinicCancer #ChildhoodCancer pic.twitter.com/dhkmSHOKb7",20,0,7,True,"#VeloSano,#CleClinicCancer,#ChildhoodCancer"
Applied_RadOnc,2018-07-05,10:13:30,Please enjoy this informative article in our June issue featuring a complimentary SA-CME offering: Comprehensive care for the child or adolescent diagnosed with a childhood malignancy requiring palliative radiation therapy: A review  https://hubs.ly/H0cTZXM0  pic.twitter.com/BBpFEyBNHo,3,0,5,True,
Applied_RadOnc,2018-07-04,13:08:01,Case report: Massive spinal ependymoma: An intriguing case and review of the literature  https://hubs.ly/H0cV42s0  Did you know that all published case reports are entered into the 2018 Case of the Year contest? $500 grand prize! pic.twitter.com/ZvBjL6E3HH,6,0,2,True,
bikeVeloSano,2018-07-02,08:01:00,Help us reach our goal of $5M for VeloSano 5! Donate to a team or individual rider today:  http://bit.ly/2KcSnSR  pic.twitter.com/5QH3ozTClq,15,0,13,True,
NimaSharifiMD,2018-07-02,19:55:27,Please consider supporting #velosano and our @ClevelandClinic scientists and physicians including @JustinLathia @BrainTumorDoc and @DrJohnSuh who are dedicated to better treatments for #glioblastomamultiforme https://twitter.com/meghanmccain/status/1013634808172273665 …,19,0,7,True,"#velosano,#glioblastomamultiforme"
ErinMurphyMD,2018-07-02,15:46:52,Dr. Panditharatna gave excellent presentation on the utility of ctDNA to find H3K27M mutation at diagnosis for Pediatric DIPG patients and correlation with treatment response ⁦@ISPNO2018⁩ #ChildhoodCancer #CleClinicCancer pic.twitter.com/YjrSnJyRIi,7,0,2,True,"#ChildhoodCancer,#CleClinicCancer"
ErinMurphyMD,2018-07-02,15:27:23,Christopher Mount gave eloquent talk on research from Monje lab ⁦@ISPNO2018⁩ demonstrating the use of CAR T cells in H3K27M glioma cell lines #ChildhoodCancer #CleClinicCancer pic.twitter.com/kuAo2fpNWf,6,0,3,True,"#ChildhoodCancer,#CleClinicCancer"
ErinMurphyMD,2018-07-02,11:16:33,Dr. Hwang’s presentation ⁦@ISPNO2018⁩ re.  Pediatric patient with pineal glioblastoma. My heart goes out to all our Pediatric patients and my awesome Pediatric neuro-oncology colleagues. #clecliniccancer #ChildhoodCancer pic.twitter.com/l6pBGAuXSv,11,0,4,True,"#clecliniccancer,#ChildhoodCancer"
CleClinicMD,2018-07-01,05:30:00,A new study introduces a novel strategy of radiation therapy planning called temporally feathered radiation therapy: https://cle.clinic/2MnhNOi ,26,0,23,True,
ErinMurphyMD,2018-07-01,15:43:56,Dr. Coy presents findings that PD-L1 expression is elevated in particular in adamantinomatous craniopharyngioma: potential therapy @ISPNO2018 #childhoodcancer pic.twitter.com/iQFIuLCbjT,1,0,2,True,#childhoodcancer
ErinMurphyMD,2018-07-01,14:40:31,Dr. Fangusaro presenting the initial results for NGGCT patients treated on COG ACNS1123 @ISPNO2018 #childhoodcancer pic.twitter.com/3Losw90RS4,1,0,4,True,#childhoodcancer
ErinMurphyMD,2018-07-01,12:54:08,Dr. Erdemir presents on a case of malignant transformation of an optic pathway glioma @ISPNO2018 #Pediatrics #clecliniccancer pic.twitter.com/hy4tuyWZVK,2,0,2,True,"#Pediatrics,#clecliniccancer"
ErinMurphyMD,2018-07-01,11:46:04, pic.twitter.com/iZYjW3s5HB,3,0,0,True,
