username,date,time,tweet,likes,replies,retweets,retweet,hashtags
NadeenFaza,2018-07-09,17:09:03,🦋 Some people call it a double orifice mitral valve... I call it the butterfly effect! #MitraClip #iecho #Echofirst @ASE360 @echotainment @EchoCases #ACCImaging #ACCFIT #ACCFIT #WIC 🦋 pic.twitter.com/SnenVLwIxI,41,5,9,True,"#MitraClip,#iecho,#Echofirst,#ACCImaging,#ACCFIT,#ACCFIT,#WIC"
lpbadano,2018-07-15,03:25:50,@HeartToProve @RezaEmaminia @MasriAhmadMD @bcostelloMD @echocardiac @ACCCardioEd @ASE360 @JACCJournals @NadeenFaza Why do you need to try to guess when you can see it? Transthoracic 3D echo is feasible in more than 85% of pts #3DEcho #EchoFirst pic.twitter.com/xElr7mORlx,33,1,12,True,"#3DEcho,#EchoFirst"
NadeenFaza,2018-07-14,11:34:00,@echotainment @echocardiac @purviparwani @DrMarthaGulati @DrToniyaSingh @SamRRazaMD @onco_cardiology @beg_faheemullah @aman_wahaj,2,0,0,True,
NadeenFaza,2018-07-14,11:30:29,The forgotten valve is forgotten no more! Thou shalt know its leaflets. Rodés-Cabau et al @JACCJournals 2016. #Tricuspid valve #EchoFirst #ACCimaging #FITSurvivalGuide @ASE360 @ACCCardioEd @echocardiac @bcostelloMD @MasriAhmadMD #Echoboards @RezaEmaminia @HeartToProve pic.twitter.com/UO9Mo1piyy,71,9,41,True,"#Tricuspid,#EchoFirst,#ACCimaging,#FITSurvivalGuide,#Echoboards"
MasriAhmadMD,2018-07-12,20:29:06,You are taking the boards. How do u answer? @MusaSharkawi @willsuh76 @onco_cardiology @KrishKancharla @norman_c_wang @jelevenson @mhammadah @ChamsiPash @msenussiMD @mbelshazly @bcostelloMD @NadeenFaza @SVRaoMD @ash71us @RezaEmaminia @AmrFBarakat @ATYounesMD @chadialraies #ACCFIT pic.twitter.com/srI3D9U5V1,11,9,7,True,#ACCFIT
mhammadah,2018-07-12,19:39:17,Nice Initiative. Please help Dr.@mbelshazly reform the cardiac arrest response system! @MasriAhmadMD @msenussiMD @NadeenFaza @shadihalabi4 @RamiKafa @rstsutsui https://twitter.com/OsirisBio/status/1017519582188204032 …,4,0,3,True,
NadeenFaza,2018-07-12,18:55:12,Forget not the SVC and IVC when doing a TEE! #EchoFirst #Echoboards #FITSurvivalGuide @ASE360 @echotainment @echocardiac @EchoCases pic.twitter.com/4oFfNkDZuw,45,5,16,True,"#EchoFirst,#Echoboards,#FITSurvivalGuide"
NadeenFaza,2018-07-11,06:59:33,Unicuspid aortic valve! @ASE360 @echotainment @EchoCases @echocardiac #ACCFIT #ACCImaging #EchoFirst https://twitter.com/cfreepwrlft/status/1016919965142802433 …,7,0,2,True,"#ACCFIT,#ACCImaging,#EchoFirst"
NadeenFaza,2018-07-10,21:30:29,@Ivan_Echocardio @DrSuzyFeigofsky @RBP0612 @onco_cardiology @EmilyGuhl @LauraYo76135815 @krishnapatel888 @Regadenoson @AnastasiaSMihai,1,1,0,True,
NadeenFaza,2018-07-10,21:27:45,@RezaEmaminia @DrMarthaGulati @WicBot @purviparwani @bcostelloMD @DrToniyaSingh @SamRRazaMD @AChoiHeart @MasriAhmadMD @iamritu @mswami001 @dr_chirumamill @rooshaparikh @patelapurva @almasthela @mhammadah,3,4,1,True,
NadeenFaza,2018-07-10,21:25:18,"For LVEF assessment on TTEs in your day to day practice, do you use: @ASE360 @ACCCardioEd #ACCImaging #Getwiththeguidelines #EchoFirst @ACCinTouch",11,8,7,True,"#ACCImaging,#Getwiththeguidelines,#EchoFirst"
CircAHA,2018-07-09,14:42:53,"An argument for prophylactic, catheter-based repair of #MR @PSorajja Learn More:  http://ow.ly/vWjC30kS7G1  pic.twitter.com/9cH7l4HazP",30,0,17,True,#MR
onco_cardiology,2018-07-10,20:09:40,"You see this at 5 pm in echo lab, what you do next??? @HeartOTXHeartMD @mswami001 @HeartToProve @ChamsiPash @venkmurthy @RogueRad @iamritu @RezaEmaminia @SamRRazaMD @AChoiHeart @DrMarthaGulati @mariovar55 @purviparwani @almasthela @bcostelloMD @strain_rate @JoaoLCavalcante pic.twitter.com/8mP6TgKSUC",15,13,8,True,
NadeenFaza,2018-07-10,07:29:04,#FITSurvivalGuide #ACCFIT https://twitter.com/ezmanshariff/status/1016640311097901056 …,20,0,10,True,"#FITSurvivalGuide,#ACCFIT"
NadeenFaza,2018-07-09,17:15:03,@HeartToProve @DaduRazvan @ChamsiPash @RezaEmaminia @purviparwani @DrMarthaGulati @DrToniyaSingh @SamRRazaMD @MasriAhmadMD @aman_wahaj @szkhalaf @rooshaparikh @LilyLeiZhang1 pic.twitter.com/kKYuPoCebc,6,2,0,True,
echocardiac,2018-07-07,09:13:33,Quantification and localization of #mitral valve #tenting in #ischemic #mitral regurgitation #echofirst #structural pic.twitter.com/kRahMsuByD,146,2,79,True,"#mitral,#tenting,#ischemic,#mitral,#echofirst,#structural"
NadeenFaza,2018-07-08,19:25:55,@SLittleMD @DrMarthaGulati @DrToniyaSingh @RezaEmaminia @purviparwani @bcostelloMD @iamritu @ChamsiPash @SamRRazaMD @MasriAhmadMD Any advice for new #FITs performing TEEs?,9,11,4,True,#FITs
NadeenFaza,2018-07-08,19:21:30,5/5 This is a very basic representation of the TEE views. Stay tuned for more detailed description of the views. Evaluate the patient well before you proceed and advance the probe gently :) #Echofirst pic.twitter.com/iQ1uqcnVk8,18,1,7,True,#Echofirst
NadeenFaza,2018-07-08,19:19:06,"4/5 Below are the absolute and relative contraindications to consider before performing a TEE. Ask the patient about dysphagia, presence of loose teeth, history of GIB or surgeries, adverse reactions to sedation/anesthesia. Look at the labs (platelets and PT/PTT) pic.twitter.com/jY2fz8CfKy",8,1,2,True,
NadeenFaza,2018-07-08,19:16:16,3/5 A TEE is an invasive procedure and has complications. It is very important to explain to the patient the steps of the procedure and the potential complications. Patient cooperation is very important :) pic.twitter.com/1WvGlLsUHD,9,1,2,True,
NadeenFaza,2018-07-08,19:13:00,"2/5 Below are the appropriate use criteria to consider before performing a TEE. Evaluate the patient and the clinical scenario, and make sure the TEE will provide addition clinically useful information. pic.twitter.com/5y6HsB6q4w",9,1,2,True,
NadeenFaza,2018-07-08,19:10:49,"1/5 #FITSurvivalGuide Let’s talk about #TEEs ! As exciting as advancing the probe is and as breathtaking as the images are, always remember the clinical indications for doing a TEE. #ASEGuidelines @ASE360 @ACCCardioEd #ACCFIT @ACCinTouch pic.twitter.com/1d8tmIJxD8",30,2,16,True,"#FITSurvivalGuide,#TEEs,#ASEGuidelines,#ACCFIT"
hahn_rt,2018-07-08,13:36:44,"Despite the complex imaging for #transcatheter #edge_to_edge #mitral #repair, #3DEcho and other #imaging advancements have resulted in greater feasibility with adverse #mitral_valve anatomy. http://circres.ahajournals.org/content/circre …. #EchoFirst @echocardiac @CircRes pic.twitter.com/qH8WkPCYSQ",31,0,5,True,"#transcatheter,#edge_to_edge,#mitral,#repair,#3DEcho,#imaging,#mitral_valve,#EchoFirst"
SLittleMD,2018-07-08,11:26:00,Shout out to @DipanJShah (CV Imaging program Director) and @WilliamZoghbi for selecting such an outstanding group of Advanced Imaging fellows this year - 5 of the 7 are women!  Can’t wait to work with such a talented group of young physicians. 👍#WIC #ACCFIT @NadeenFaza @ASE360,39,5,6,True,"#WIC,#ACCFIT"
RezaEmaminia,2018-07-07,12:54:12,Sometimes ASD occluders decide to migrate! What would you do next? @DavidWienerMD @ash71us @onco_cardiology @rahatheart1 @iamritu @almasthela @DrMarthaGulati @mmamas1973 @purviparwani @mariovar55 @bcostelloMD @MusaSharkawi @venkmurthy @rani_cardio @mswami001 @Regadenoson pic.twitter.com/HwFpwKDoxc,92,17,55,True,
SLittleMD,2018-07-07,16:52:02,New fellows meet & great. Just a few more of the smiling faces and physician leaders that make our CV fellowship so special.  Looking forward to another great academic year! pic.twitter.com/prQgzTvxg0 – at Hungry's Cafe & Bistro,32,2,3,True,
CardiacConsult,2018-07-06,11:59:37,Do you require dental clearance before #TAVR?  @philgenereux @drdevireddy @JReinerMD @willsuh76 @chadialraies @RajTayal2 @drdevireddy,9,8,9,True,#TAVR
HeartToProve,2018-07-06,11:16:57,A 3-dimensional view of a left atrial appendage clot pic.twitter.com/k1iVIsjF9y,160,10,73,True,
hahn_rt,2018-07-02,03:48:21,2 year update presented at #SHDS2018 #TVT2018 by @philgenereux of the novel Staging classification of #aorticstenosis based on the extent of cardiac damage | European Heart Journal | Oxford Academic  https://academic.oup.com/eurheartj/article/38/45/3351/4002776#.Wznk7aMYQSg.twitter … #structuralheartdisease #TAVR pic.twitter.com/XMHJOna9Hv,57,0,37,True,"#SHDS2018,#TVT2018,#aorticstenosis,#structuralheartdisease,#TAVR"
onco_cardiology,2018-06-29,00:58:50,"Artifacts in a nutshell 👽👾A Tweetorial...Dedicated to @bcostelloMD, @RezaEmaminia & all the great #FITs stressed out by #EchoBoards @ASE360 #carrotsquadImages and some of the content from Bertrand, et al. JASE 2016;29:381-91.  https://www.onlinejase.com/article/S0894-7317(16)00042-0/pdf … pic.twitter.com/AYGPjuy04d",52,13,27,True,"#FITs,#EchoBoards,#carrotsquadImages"
hahn_rt,2018-06-28,07:55:42,Learn more about #Tricuspid Valve Therapy & #Innovative Clinical Trials: A Comprehensive Discussion https://www.tctmd.com/tricuspid-valve-therapy-and-innovative-clinical-trials …,19,0,8,True,"#Tricuspid,#Innovative"
HeartToProve,2018-06-27,21:26:13,#GlFcardioed: @ASE360 Native Valve Regurgitation Guidelines: MR — AR — TR — PR(tap-to-pause/play)Full text:  http://bit.ly/2t5boi7  pic.twitter.com/yYGyctGCLC,124,3,88,True,#GlFcardioed
HeartToProve,2018-06-15,07:02:08,It seems like the LV is trying to say something... pic.twitter.com/yyb1joZc1t,595,31,300,True,
