username,date,time,tweet,likes,replies,retweets,retweet,hashtags
SWexner,2018-02-18,14:32:29,"@NeilFlochMD @DianeRadfordMD #colorectalsurgery 21,619 Million impressions @TomVargheseJr, @jdimick1 @AmaliaCochranMD @DrAttai @NirajGusani @jonessurgery@drchrysopoulo@dianeradfordmd@pferrada1@drmlb@neilflochmd@juliomayol @AntoniodeLacy @LoggheMD @OlivierBranford @pturnermd @JosephSakran pic.twitter.com/ZPCmj3oClb",86,6,46,True,#colorectalsurgery
SWexner,2018-07-17,06:55:32,"Report: Florida's Economy Tops $1 Trillion, Bigger Than Several Large Nations | NBC 6 South Florida  https://www.nbcmiami.com/news/local/Report-Floridas-Economy-Tops-1-Trillion-Bigger-Than-Hundreds-of-Nations-488257911.html … via @nbc6 @CleveClinicFL @CleClinicMD @SoFloACS @FloridaACS",1,0,1,True,
VBlush,2018-07-17,06:43:45,@DCRjournal @colo_research @SWexner @littlemissileo That’s one analogy! Other could also be simply lack of ve+ promotions around Stoma and Stoma care! 🤷‍♀️,1,0,2,True,
SWexner,2018-07-17,06:05:47,Hopefully @DCRjournal can help https://twitter.com/dmbaker13/status/1019175662349881344 …,0,0,0,True,
littlemissileo,2018-07-17,05:36:08,@DCRjournal @colo_research @SWexner @VBlush It’s a US based study though. Results would be different if it was done here. If you are looking at having to pay $$$ a month for Stoma supplies then you’d probably would see a Stoma as worst case. Not right but it’s the world we live in,4,1,1,True,
Nimeri_MD,2018-07-15,18:43:08,Don’t miss @IFSO_2018 in September ! We have the latest research @ few firsts at an @IfsoSecretariat congress. @asmbs @WorldObesity @obsmuk @obsmMENA @IFSOMENAC @SAGES_Updates @PSchauerMD @JacquesHimpens @HayssamFawal @rvcohen @KelvinHiga @dralqahtani1 @AntonioTorres63 @FRubinoMD pic.twitter.com/WyKzmqBjW3,39,0,19,True,
ManishChandSurg,2018-07-15,14:29:29,"Novel biomarkers for patient stratification in colorectal cancer: A review of definitions, emerging concepts, and data https://www.wjgnet.com/1948-5204/full/v10/i7/145.htm#.W0ugi0weDcE.twitter …",19,0,13,True,
Pathology_Event,2018-07-17,03:02:37,A simple four-protein biomarker blood test demonstrates the potential biomarker-based risk assessment to improve eligibility criteria for lung cancer screening with low-dose computed tomography  https://goo.gl/yPJcmx  #pathology #TuesdayThoughts @ACP_Pathologist @RCPath @SWexner pic.twitter.com/Jz5sRoAAVu,3,0,3,True,"#pathology,#TuesdayThoughts"
CRS_trials,2018-07-16,22:16:41,"Reminder- the next @CRS_trials #crstrialschat will be on Tuesday, July 24 at 3pm PST/ 6pm EST/ 10pm GMT/ 11pm BST (GMT+1)Join @heatheryeomd @WCMSurgery and @debby_keller @ColumbiaCRS for mHealth and Telehealth- The Future of Healthcare is Here Now pic.twitter.com/moI7OYzW61",9,0,12,True,#crstrialschat
VBlush,2018-07-16,23:31:15,"@DCRjournal @colo_research @SWexner “being cured of colorectal cancer (76%), not having a permanent stoma (78%)”! Posted my view on this before. Worst case scenario is death! Not a Stoma 😳",3,1,3,True,
AISChannel,2018-07-17,01:13:41,Hybrid laparoscopy and TAMIS approach for management of colorectal anastomosis leakage - David Tao-Wei Ke  https://aischannel.com/society/hybrid-laparoscopy-and-tamis-approach-for-management-of-colorectal-anastomosis-leakage/ … #surgery #colorectalsurgery pic.twitter.com/6ozTVoWjuh,11,0,12,True,"#surgery,#colorectalsurgery"
