username,date,time,tweet,likes,replies,retweets,retweet,hashtags
smlungpathguy,2018-07-15,22:46:06,"1/This is a #Tweetorial about ""desquamative interstitial pneumonia"" or DIP, a misnomer first coined in 1965 by Dr. Averill Liebow, the father of #pulmpath in the 🇱🇷Please follow this thread and feel free to add your thoughts#pathology #pulmpath @leticiakawano https://twitter.com/smlungpathguy/status/870852384133611520 …",31,2,21,True,"#Tweetorial,#pulmpath,#pathology,#pulmpath"
leticiakawano,2018-07-17,09:07:55,@smlungpathguy Multidisciplinarity rocks 😎! And in my particular case I love ❤ #pulmpath even though I am a clinician (it's beautiful 🔬💜💖),1,0,1,True,#pulmpath
loveleenmangla,2018-07-17,10:12:16,@DrAhmedKalebi @kriyer68 @_SaranyaS_ @raghupillappa @MelanieBoisMD @mreyesm @VijayPatho @JL_Sauter @lara_pijuan @mvmd0908 @smlungpathguy How about making it a variant of RB-ILD ?,1,1,1,True,
mreyesm,2018-07-17,08:09:06,"Check this nice #Pathology paper: Hematoxylin: Mesoamerica’s Gift to Histopathology. Palo de Campeche (Logwood Tree), Pirates’ Most Desired Treasure, and Irreplaceable Tissue Stain - Carlos Ortiz-Hidalgo, Sergio Pina-Oviedo, 2018  http://journals.sagepub.com/doi/full/10.1177/1066896918787652#articleShareContainer …",9,1,7,True,"#Pathology,#articleShareContainer"
ahsanuitis,2018-07-17,05:59:47,Happy #WorldEmojiDay to all Pathology Tweelples!#PathArt pic.twitter.com/zxaPlUJ23l,21,0,13,True,"#WorldEmojiDay,#PathArt"
TeamCaptainJohn,2018-07-16,19:48:08,Cell block comes out a little bit later. Anyone feeling bold? Pushing your threshold? pic.twitter.com/Iw9NlN4OyS,3,2,2,True,
leticiakawano,2018-07-16,19:49:13,"While in the update in 2013 (Travis et al), they already recognise DIP as smoking-related pattern. It's clear that the understanding about ILD patterns is evolving. Nice to witness that happen and thanks @smlungpathguy for your contribution !",3,1,1,True,
leticiakawano,2018-07-16,20:09:01,@smlungpathguy Thanks Sanjay for this tweetorial! I really enjoyed it. 🤓,2,1,1,True,
lara_pijuan,2018-07-16,15:28:34,"@ElviraGlezO @RoseannIWu @edusqo @marenwhymd @sam_albadri @aakasharmand @Sara_Jiang @smlungpathguy @cytopathology @marcoslepe Nice image 😍, always when I find it one I stop a little bit of time to take a proper look 🤫 #SecretsOfPathologists",4,0,1,True,#SecretsOfPathologists
ebtapper,2018-07-15,20:23:43,"I hope you enjoyed this. Wanted to thank @tony_breu for his inspiration.If you are interested in more stuff about ammonia, here's a plug for our paper ""Refining the Ammonia Hypothesis"" in @MayoProceedings  https://www.sciencedirect.com/science/article/pii/S0025619615002177 … with @Vilas_Pat and @ZGordonJiang",105,15,13,True,
ebtapper,2018-07-15,20:20:57,That's why patients with HE should have >1 g protein / kilogram body weight.NH3 may rise after a protein-rich meal ... but it is safeRCT:  https://www.ncbi.nlm.nih.gov/pubmed/15246205 RCT:  https://www.ncbi.nlm.nih.gov/pubmed/18627001 Guideline:  https://www.ncbi.nlm.nih.gov/pubmed/16707194 ,35,1,3,True,
ebtapper,2018-07-15,20:20:57,Restricting dietary protein is a great way to exacerbate catabolism and #sarcopenia in patients with cirrhosis,27,1,6,True,#sarcopenia
ebtapper,2018-07-15,20:20:52,"Somewhere, someone is doing sudoku with an ammonia of 210 just to prove a point",51,2,10,True,
ebtapper,2018-07-15,20:20:52,Still true in 2003!  https://www.ncbi.nlm.nih.gov/pubmed/12637132 Low levels usually good but even 1 in 13 people with Grade 4 HE (coma) have stone-cold normal NH3.And an ammonia level of 150 could mean anything from no HE to coma. pic.twitter.com/AhBzvPkmPl,19,2,6,True,
ebtapper,2018-07-15,20:20:51,"Time for Jules Stahl and this 25 page single-author paper in @AnnalsofIM 1963Turns out, Ammonia levels have nothing to do with grade of HEWe knew this in 1963! http://annals.org/aim/article-abstract/678478/studies-blood-ammonia-liver-disease-its-diagnostic-prognostic-therapeutic-significance … pic.twitter.com/K01SXEUWsq",37,2,8,True,
TeamCaptainJohn,2018-07-16,18:27:01,#Pathology thought experiment: Pt in their 60s. Former smoker. Bronchial brushing. No other history. How far can you go? #CytoPath #Cytology #PulmPath pic.twitter.com/BM97SxWslN,11,10,10,True,"#Pathology,#CytoPath,#Cytology,#PulmPath"
PrashantBavi,2018-07-08,10:21:05,Dr Dickson @histiocytosisX  presenting on #bstpath #ihcpath mdm2  pitfalls in Liposarcoma MDM2 risk of false+ve in histiocytes; false -ve in well differentiated areasMDM2 not unique to LPS:intimal sarcoma and paraosteal osteosarcoma and subset of rhabdomyosarcoma#CAPACP2018,5,0,2,True,"#bstpath,#ihcpath,#CAPACP2018"
Path_Matt,2018-07-08,09:46:11,Great talk by @rovingatuscap who framed his “twitter friendly” talk with tweets from @BenMazer and @BBhindi at the advanced diagnostic symposium at #CAPACP2018 pic.twitter.com/fTEAYg0Ifm,33,4,17,True,#CAPACP2018
PrashantBavi,2018-07-08,17:30:16,A tour de force on SFTs by Dr Demicco #CAPACP2018#BSTPath@UofTPGME @uoftmedicine @MountSinai @CAPACP @CAPACPResidents This meeting has been phenomenal so far! pic.twitter.com/WSpNSKoeXG,8,0,2,True,"#CAPACP2018,#BSTPath"
smlungpathguy,2018-07-16,19:04:48,"Very good summary, especially of risk prediction in solitary fibrous tumors https://twitter.com/prashantbavi/status/1016087095348269058 …",0,0,0,True,
PrashantBavi,2018-07-09,06:44:15,"A note to #interntionalmedicalgraduates #IMGs and #CanadianMedicalGraduates. #pathology meetings are a great place to learn, network, meet people especially program directors.#CAPACP2018 is one such awesome meeting. https://twitter.com/Path_Matt/status/1016269652064980992 …",5,0,3,True,"#interntionalmedicalgraduates,#IMGs,#CanadianMedicalGraduates,#pathology,#CAPACP2018"
Aiims1742,2018-07-03,12:54:32,“ANY kind of article on ANY of your interested topic”How about a commentary on why deleting dozens upon dozens of predatory journal “invites” every week are the bane of my existence?Who’s with me? 🙋🏽‍♂️ pic.twitter.com/vdMetB4lJ7,69,8,7,True,
smlungpathguy,2018-07-09,02:20:08,I second this 😏🙁😩😤 https://twitter.com/aiims1742/status/1014205768550305792 …,0,0,0,True,
Aiims1742,2018-07-04,11:48:57,"@DrFNA I really enjoyed the educational thread on Pap smears v HPV testing between a Pathologist (@DRFNA), an OB/GYN (@DrJenGunter) and a biomedical engineer (@DrKlapperich) this morning.Dare I say ""appropriately confident"" voicing of expertise ;) https://twitter.com/DrJenGunter/status/1014550911639695360 …",45,5,10,True,
ariella8,2018-07-09,00:18:28,@tlabiano @SUNYUpstatePath @DrFNA @DrAldehyde @Levelsx5 @andy19801210 @VijayPatho @BinXu16 @SansanoValero @lara_pijuan @smlungpathguy 🙏🙏Thank you for the great video . Waiting for more🙂,2,0,1,True,
smlungpathguy,2018-06-30,00:47:40,"9/ Take the example of a high grade malignant neoplasm that is obviously cytologically malignant. If you can show it's mesothelial by IHC and the clinical and imaging are perfect, why would you not call it mesothelioma on cytology? I think you can and should#Pulmpath",31,2,9,True,#Pulmpath
Path_Matt,2018-07-08,09:39:59,@rovingatuscap outlining features to differentiate intraductal carcinoma from HGPIN at #CAPACP2018 pic.twitter.com/K9qnpXq3ab,23,0,22,True,#CAPACP2018
RRChamberland,2018-07-07,22:51:54,@DrAldehyde @luishcruzc @VijayPatho @BinXu16 @smlungpathguy @richdavisphd @HermelinDaniela  pic.twitter.com/SvnoUSOh5I,1,2,1,True,
RRChamberland,2018-07-07,22:52:10,@DrAldehyde @luishcruzc @VijayPatho @BinXu16 @smlungpathguy @richdavisphd @HermelinDaniela  pic.twitter.com/VcklApDUTH,1,0,1,True,
smlungpathguy,2018-07-09,00:10:40,#Pathboards Klebsiella #Pathbugs #crittersontwitter https://twitter.com/hermelindaniela/status/1015807418180231168 …,3,0,1,True,"#Pathboards,#Pathbugs,#crittersontwitter"
smlungpathguy,2018-06-30,00:47:40,8/Notice the leg that cannot afford to fall: pathologic evidence of malignancy. The table cannot stand without this leg Most of the time this evidence comes from a pleural biopsy. But can cytology be trusted to provide the same level of certainty? Depends.... pic.twitter.com/Mypdkg03xK,25,1,10,True,
smlungpathguy,2018-06-30,00:47:38,"7/ final example of leg loss:✅ mesothelial markers might be absent, e.g, in sarcomatoid mesothelioma This 4 legged table can stand if the clinical and imaging features are perfect, the tumor is invasive, morphology is right, cytokeratin is pos, no other history of malignancy",25,1,10,True,
RandFanshier,2018-07-08,21:47:20,75% successful in knocking out cancer in adults that has the specific genetic code. #larotrectinib https://twitter.com/smlungpathguy/status/976689646221570054 …,1,0,1,True,#larotrectinib
smlungpathguy,2018-06-04,00:29:20,First in a series of short videos about immunohistochemical markers. I'll start with lung but will probably expand into other organs. Most useful for first year residents looking for a quick and easy guide to IHC#Pulmpath #ihcpath #pathology https://youtu.be/MK8fKkYZ0rQ  pic.twitter.com/kFbCMGi1oz,172,14,110,True,"#Pulmpath,#ihcpath,#pathology"
smlungpathguy,2017-11-17,11:08:54,You learn so much on Twitter. From @lara_pijuan I learned that EBUS-TBNA can push cartilage into lymph nodes. Does anyone know if this has been reported before? Anyone interested in doing a study of EBUS-TBNA changes in mediastinal lymph nodes? @Missle @pembeoltulu #Cytopath pic.twitter.com/mIBLmRB90W,191,22,102,True,#Cytopath
Path_Matt,2018-07-07,06:06:55,Join us at the resident symposium and dinner tonight at #CAPACP2018 I will be giving a short talk on one of my favourite topics Social Media and Pathology. Hope to see everyone there! pic.twitter.com/kziQtGqQCJ,44,4,14,True,#CAPACP2018
JMGardnerMD,2018-07-07,15:47:10,@Path_Matt Hey guess what I just noticed... welcome to the 1K #pathology Twitter club! Congrats on 1000+ followers 👏😀,7,1,1,True,#pathology
JMGardnerMD,2018-07-08,23:27:42,"@smlungpathguy @Path_Matt Well now that you are so successful I’ll claim responsibility for your success. And I’ll use a screenshot of your tweet to prove it! 😜 seriously, well done. It makes me so happy to see you and the rest of the #pathology #SoMe community flourish & expand & benefit so many.",4,0,1,True,"#pathology,#SoMe"
Path_Matt,2018-07-08,05:46:41,@JMGardnerMD Thank you Dr. Gardner I first got interested in twitter after reading your blog and seeing some of the great #Pulmpath posts by @smlungpathguy Thank you and to all the #Pathologists out there inspiring and teaching trainees across the world through the power of social media!,9,1,2,True,"#Pulmpath,#Pathologists"
smlungpathguy,2018-07-09,00:03:22,Congrats @Path_Matt !!!🙏🏾👍🏾👏🏾👏🏾👏🏾👏🏾👏🏾 Thank YOU for all your wonderful posts ! https://twitter.com/path_matt/status/1015910035111673862 …,2,0,0,True,
baym,2018-07-05,23:14:00,"Lets flip that meme around: what’s something that should be obvious, but your profession seems to misunderstand?",1705,858,230,True,
leticiakawano,2018-07-05,21:25:18,#Klimt 's green and yellow 🎨 🔬💚💛 https://twitter.com/smlungpathguy/status/1014946650819874821 …,5,1,1,True,#Klimt
vranadi84,2018-07-05,21:01:48,Im confused needing help! A mandible expansile growth from a 33yr old female. Any suggestions??? @smlungpathguy @AngelPathology @histopathology @Human_Pathology can chondromyxoid fibromas have bony components? There are no multinucleated giant cells. pic.twitter.com/Q8W6RdKc6r,49,11,30,True,
