username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CCAD,2018-07-18,09:53:14,Hyperhidrosis and chest wall deformaties are just some of the general thoracic diseases that are diagnosed and treated at our Heart and Vascular Institute. Find out more here:  https://goo.gl/irgGG4 #ClevelandClinicAbuDhabi pic.twitter.com/09FJ2OLcLY,2,0,1,True,#ClevelandClinicAbuDhabi
CCAD,2018-07-18,09:52:45,في معهد القلب والأوعية الدمويّة، نوفّر خدمات العلاج والتشخيص للعديد من أمراض الصدر العامّة، مثل فرط إفراز الغدد العرقيّة وتشوّهات جدار الصدر. لمعرفة المزيد:  https://goo.gl/uMCeNU #كليفلاند_كلينك_أبوظبي pic.twitter.com/k9oQAskU9Y,2,0,2,True,#كليفلاند_كلينك_أبوظبي
ALWATAN_UAE,2018-07-16,04:02:04,اتفاق بين الطرفين لتنسيق الخدمات المتعلقة بأمراض العين السكرية“كليفلاند كلينك أبوظبي” و”إمبريال كوليدج لندن” يعززان التعاون بينهما في مجال أمراض العيون pic.twitter.com/eSLFvanWRA,2,1,1,True,
CCAD,2018-07-17,06:46:34,"A simple outpatient surgery can help correct cataracts, which can gradually degrade visual quality over time if left untreated. Find out more:  https://goo.gl/sQtquZ  #ClevelandClinicAbuDhabi pic.twitter.com/MN4LvHlaFu",7,1,1,True,#ClevelandClinicAbuDhabi
CCAD,2018-07-17,06:46:04,يتطلّب تصحيح إعتام العين إجراءً جراحيّاً بسيطاً في العيادات الخارجية، لتفادي إضعاف الرؤية التدريجي في حال إهمال هذه الحالة. لمعرفة المزيد:  https://goo.gl/nXEkQn #كليفلاند_كلينك_أبوظبي pic.twitter.com/8ESTTKp5Yk,18,1,7,True,#كليفلاند_كلينك_أبوظبي
CCAD,2018-07-16,08:46:08,Struggling to visit us during the day? We're making healthcare more convenient with our extended opening hours. Visit us from 8am to 8pm throughout the week. Request an appointment today:  https://goo.gl/HkdNx3 #ClevelandClinicAbuDhabi pic.twitter.com/bg3DiKU0PL,35,0,4,True,#ClevelandClinicAbuDhabi
CCAD,2018-07-16,08:45:48,هل تواجهون صعوبة في زيارة مستشفانا في ساعات النهار؟ من باب حرصنا على تزويدكم بالرعاية الصحيّة، فإن عدداً من عياداتنا تعمل الآن لساعات متأخرة. زورونا من الساعة 8 صباحاً وحتى 8 مساءً طيلة أيام الأسبوع. احجزوا موعدكم معنا اليوم:  https://goo.gl/99ts5c #كليفلاند_كلينك_أبوظبي pic.twitter.com/JLW7zBfe99,31,7,12,True,#كليفلاند_كلينك_أبوظبي
CCAD,2018-07-15,09:02:59,We thank everyone who came to learn important emergency skills from our experts at our Emergency Department Roadshow this weekend. We'll be at Abu Dhabi Mall educating visitors tomorrow too! Visit our page for more:  http://goo.gl/YqCE8c #ClevelandClinicAbuDhabi pic.twitter.com/XhRu05vYWs,4,1,1,True,#ClevelandClinicAbuDhabi
CCAD,2018-07-15,09:01:54,نتوجّه بجزيل الشكر إلى كلّ من شارك في جولتنا التوعويّة بقسم الطوارئ خلال عطلة نهاية الأسبوع لإتقان المهارات الأساسية اللازمة في حالات الطوارئ. سنكون حاضرين اليوم وغداً أيضاً في أبوظبي مول لتثقيف الجمهور وتوعيتهم. تفضّلوا بزيارة صفحة الحدث:  http://goo.gl/YqCE8c  pic.twitter.com/KAayUXeQsj,5,1,1,True,
gulf_news,2018-07-14,23:45:00,Organ transplant in UAE: The way forward http://bit.ly/2NO4ckq ,7,0,2,True,
gulf_news,2018-07-14,23:59:00,Where you can get CPR training http://bit.ly/2LfDkrY ,5,0,2,True,
CCAD,2018-07-14,05:10:27,"Caffeine, nicotine and your diet can all affect your sleep. Find out 5 ways to improve your sleep to benefit both your mind and body #ClevelandClinicAbuDhabi  https://goo.gl/7ANHn2  pic.twitter.com/YDMdTElKbo",10,0,3,True,#ClevelandClinicAbuDhabi
CCAD,2018-07-14,05:09:50,يُمكن للكافيين والنيكوتين والحمية الغذائية أن تؤثّر على النوم. اطّلعوا على النصائح الخمس التي ستساعدكم في الحصول على نوم أفضل بما يعود بالفائدة عليكم من الناحية الجسدية والعقلية. #كليفلاند_كلينك_أبوظبي https://goo.gl/B7tPFE  pic.twitter.com/FZYI9yyuJk,15,1,7,True,#كليفلاند_كلينك_أبوظبي
CCAD,2018-07-13,03:25:27,"For those visiting us from abroad, our list of FAQs for International Patients will give you more information about what you can expect.  https://goo.gl/QiLMTM  #ClevelandClinicAbuDhabi pic.twitter.com/BB3N7TMdDt",19,0,1,True,#ClevelandClinicAbuDhabi
