username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CCF_IMCHIEFS,2018-07-18,11:39:00,"We have a full house today for our #brainstimulating stroke related case conference today by Nicole Frerichs featuring the CCF neuro chief, Justin Abbatemarco!!! Nothing is better than learning about CVAs with @ChickfilA #standingroomonly @abbyCCim pic.twitter.com/85JV96fOOE – at Cleveland Clinic Lerner Research Institute",3,0,1,True,"#brainstimulating,#standingroomonly"
abbyCCim,2018-07-16,16:36:16,#MeaningfulMonday. When your resident shares “I was bullied a lot as a kid &didn’t come from money. I looked different than the other kids. These experiences made me truly stand up for others & for diversity”. Wow! #empathy #compassion @CCF_IMCHIEFS pic.twitter.com/vBokUuonFz,4,0,1,True,"#MeaningfulMonday,#empathy,#compassion"
CCalabreseDO,2018-07-16,17:34:39,TMP-SMX prophylaxis for all ANCA-associated vasculitis getting rituximab. So crucial!   http://bit.ly/2KQ0glA  @RheumNow @HealioRheum @LCalabreseDO,24,0,14,True,
abbyCCim,2018-07-16,16:43:08,"#MeaningfulMonday When residents, patients or families share something meaningful, deep, sacred, or embarrassing w/us, how we respond determines whether they will be brave enough to share again. Responding with #empathy builds trust &builds connection. Don’t tease! @CCF_IMCHIEFS",0,0,1,True,"#MeaningfulMonday,#empathy"
CCF_IMCHIEFS,2018-07-16,13:40:10,Loved getting the opportunity to learn more about our fantastic residents. #whatsinaname #whatdrivesyou and #whatareyourgoals ??? Understanding our colleagues is the first step in forming strong teams👍🏻 https://twitter.com/abbyccim/status/1018921013063581697 …,8,0,1,True,"#whatsinaname,#whatdrivesyou,#whatareyourgoals"
abbyCCim,2018-07-16,13:16:21,@CCF_IMCHIEFS no job too big or too small! Getting ready for a sim session with the residents. Excited to debut our #backtobedside #B2B physical exam series where award-winning teaching faculty and fellows will teach advanced small group physical exam skills! @AAIMOnline @acgme pic.twitter.com/oDEtsYRSav,6,0,2,True,"#backtobedside,#B2B"
abbyCCim,2018-07-16,13:29:12,"@CCF_IMCHIEFS celebrating the excellence that is Leon!! A rising second year IM resident who gets the job done with a smile, compassion, heart, clinical excellence, and humor. @CCF_IMCHIEFS pic.twitter.com/acNOUYF8e0",4,0,2,True,
CCF_IMCHIEFS,2018-07-15,08:10:33,Good luck to all of our PGY3s applying for fellowship today! #yougotthis @abbyCCim pic.twitter.com/DZEKpBHMdf,6,1,2,True,#yougotthis
abbyCCim,2018-07-15,06:36:28,"What an amazing crew of @ClevelandClinic future critical care docs!!! Love to see so many @CCF_IMCHIEFS  and resident alums  ready to keep on teaching and learning in the micu!!! Best of luck to you all and enjoy the journey!! Good luck Sam, Div, Sami, Gahleb, & all!! https://twitter.com/sabuqayyas/status/1018358858622873600 …",6,0,1,True,
CCF_IMCHIEFS,2018-07-12,20:46:52,"Finding #worklifebalance in residency is hard. Take care of yourself and you can better care for others! Enjoy the game, @DocDavidSavage 😃 https://twitter.com/abbyccim/status/1017584242954506240 …",3,0,1,True,#worklifebalance
abbyCCim,2018-07-11,20:41:52,#WellnessWednesday with @CCF_IMCHIEFS walking the floors to sign the IM residents up for #fitnessFriday! Keeping our residents healthy &cared for helps them keep their patients healthy &cared for. Physical health begets mental health! Great job @CoryChevalier leading the charge!! pic.twitter.com/1MOsaOKqHA,15,0,1,True,"#WellnessWednesday,#fitnessFriday"
CoryChevalier,2018-07-12,11:13:47,"It was truly an honor to start the Clinical Educator Track @ClevelandClinic off with a dinner bringing together the residents, the track leadership, and education leaders Elias Traboulsi and Alan Hull. Greatly appreciate the investment in our residents! @abbyCCim @CCF_IMCHIEFS pic.twitter.com/BX7JfWSkhA",9,0,4,True,
CCF_IMCHIEFS,2018-07-11,14:03:31,"Cleveland clinic housestaff #fitness resources are abundant, but most residents aren’t sure where to start! @CoryChevalier @CCF_IMCHIEFS and @abbyCCim spent this afternoon’s  #wellnesswednesday #walkerwalks spreading the word on how to join all of the CCF gyms! #pumpFE pic.twitter.com/q20bH4RGFE",12,0,3,True,"#fitness,#wellnesswednesday,#walkerwalks,#pumpFE"
AliMehdiMD,2018-07-01,07:17:44,First tweet as a trainee once again😊😊! Tip for myself and all those starting to write their new chapters today: always take a moment to remember why you are doing what you are doing! Keep the meaning alive! #TipsForNewDocs,25,3,2,True,#TipsForNewDocs
CCF_IMCHIEFS,2018-07-05,14:04:39,"Did you say cookies?!?!@CCF_IMCHIEFS & @abbyCCim making #walkrounds today, on the search for hungry IM residents. Loved seeing the intern-senior bonds already forming on the wards! #clevelandclinic #interns #residents #teamworkmakesthedreamwork pic.twitter.com/K0PVLvW1xx",16,0,2,True,"#walkrounds,#clevelandclinic,#interns,#residents,#teamworkmakesthedreamwork"
abbyCCim,2018-07-03,06:41:38,Sent by @MeganKruseMD to @CCF_IMCHIEFS “the spirt is well captured by photo I caught on a postcall day when they were signing out. There were few chairs on the unit so they shared one! They’re a true team&made my life easy. Kudos to the program for having such terrific residents“ pic.twitter.com/I9k2dR2SXj,9,0,2,True,
abbyCCim,2018-07-02,16:59:32,Smiles of new awesome pgy-2’s feeling the glee of successfully completing intern year. What’s behind the smiles I asked: “The training wheels are off” & “I’ve been training for a year to get to this point. I’m ready to be a senior”. Smile on! So proud of them both. @CCF_IMCHIEFS pic.twitter.com/eiWU8Bi4SH,9,0,2,True,
CCF_IMCHIEFS,2018-07-02,11:22:39,#highfive to a new academic year!! Kicking off the first FRAME session of the year with an awesome crew of Firm D residents on their continuity clinic this week. So grateful to learn from these amazing and diverse residents. @abbyCCim pic.twitter.com/X7ONrcuwm3,7,0,3,True,#highfive
abbyCCim,2018-07-02,11:10:30,"Congratulations @Neil_Mehta!! We are so lucky to have you at @ClevelandClinic as an amazing educator, primary care physician, mentor, and #MedEd extraordinaire!! Thanks for all you do and congratulations on this amazing recognition of your talents!! @CCF_IMCHIEFS https://twitter.com/harvardmacy/status/1013814673903423495 …",2,1,2,True,#MedEd
CCF_IMCHIEFS,2018-07-01,14:22:41,"Thanks to our PD @abbyCCim, our APDs @CoryChevalier @richcartabuke, @AliMehdiMD subspecialty fellows @AliMehdiMD @CCalabreseDO and awesome IM senior residents, July 1 has been a smashing success! The 70+ IM interns knew exactly where to go and cannot wait to learn more! #intern https://twitter.com/corychevalier/status/1013481360156168197 …",7,0,5,True,#intern
CCF_IMCHIEFS,2018-07-01,11:39:32,"We will miss you, @ChrisWeeMD (and likely continue to call you multiple times daily with questions!) https://twitter.com/chrisweemd/status/1013456641587666945 …",4,0,1,True,
CCF_IMCHIEFS,2018-06-29,12:16:43,Beating burnout before it even starts! Over 60 senior resident mentors volunteered to take the incoming intern class under their wings. #preventingburnout #TipsForNewDocs @abbyCCim pic.twitter.com/n50xZ0aitk,18,0,6,True,"#preventingburnout,#TipsForNewDocs"
CCF_IMCHIEFS,2018-06-28,18:34:53,Welcome new interns! This fantastic class is thrilled to start bright and early on July 2!!! Can’t wait to see them shine. But first... let me take a selfie 💁🏻‍♀️#ladychiefresidents #internhappyhour @abbyCCim pic.twitter.com/CHpKfElBbE – at ABC the Tavern,11,0,1,True,"#ladychiefresidents,#internhappyhour"
CCF_IMCHIEFS,2018-06-28,11:22:28,"ICYMI: Charles L. Daley, MD discusses the challenges in devising treatment plans for non-TB mycobacterial infections in IM Grand Rounds this morning. For those residents interested in ID, see the slide below for additional training opportunities! @abbyCCim @CleClinicMD pic.twitter.com/umV3yLbEZF",5,0,1,True,
abbyCCim,2018-06-28,07:48:53,Yay Meghann!! @CCF_IMCHIEFS https://twitter.com/heatherlgornik/status/1011975070858842112 …,0,0,1,True,
CCF_IMCHIEFS,2018-06-27,15:51:05,Chief and PD bonding on #WellnessWednesday!!! ⁦@abbyCCim⁩ pic.twitter.com/EbmjeNaXeR,15,0,1,True,#WellnessWednesday
CCF_IMCHIEFS,2018-06-27,15:21:27,Residents working hard on #WellnessWednesdays! Taking a quick mental resilience break for chocolate chip muffins and candy. Next up... dental appointments!!! #ccfimwellness ⁦@abbyCCim⁩ ⁦@CoryChevalier⁩ pic.twitter.com/npVJP2XrH4,12,0,0,True,"#WellnessWednesdays,#ccfimwellness"
CCF_IMCHIEFS,2018-06-20,15:05:48,"I've had fun acting as the twitter chief this academic year, and this is my last tweet.  Proudly handing off duties to next year's group.  Until we meet again, take care! - Chris (@ChrisWeeMD)",13,0,1,True,
CCF_IMCHIEFS,2018-06-20,07:21:50,Dr @abbyCCim preparing to welcome our new PGY 1 class to their first day of program orientation! pic.twitter.com/uSiZVG6eBk,14,0,2,True,
abbyCCim,2018-06-11,17:37:12,Bursting with pride that TWO of our IM residency’s 2017/2018 chief residents just received the “Fellow of the year teaching award” from their new programs! Vik is now a pccm fellow at Hopkins and Beth is cardiology fellow at Scripps!Congratulations 🎉 to them both! @CCF_IMCHIEFS,15,0,3,True,
CCF_IMCHIEFS,2018-06-05,20:17:06,"Congrats to our PGY-2, Matt!!! https://twitter.com/cleclinicmd/status/1003345502082125831 …",5,0,1,True,
CCF_IMCHIEFS,2018-05-29,20:37:02,Class photo day with our graduating PGY-3s! pic.twitter.com/eWRbV3oUDs,8,0,0,True,
abbyCCim,2018-05-29,09:58:58,Bursting with pride for this incredible group of physicians preparing to graduate from Cleveland Clinic IM residency program to follow their dreams and to continue to put patients first. This is the first class I recruited and graduated as PD! @CCF_IMCHIEFS @AAIMOnline @acgme pic.twitter.com/C1oxRDx99j,29,1,4,True,
abbyCCim,2018-05-25,18:36:49,"Exhilarating&educational teaching retreat w/OSTE’s including standardized med student learners, faculty, &residents in the hot seat or as observers! Such amazing skills of our residents delivering feedback, teaching w/OMP, managing the unprofessional learner, etc! @CCF_IMCHIEFS pic.twitter.com/kSGZntbyRs",5,0,1,True,
abbyCCim,2018-05-25,18:40:48,"Calling out Josie’s impressive acting skills as a standardized learner at Cleveland Clinic IM residency teaching retreat! A cclcm medical student going into neurosurgery, this is one impressive young future doc!! @CCF_IMCHIEFS pic.twitter.com/HCJ42y8XFF",8,0,1,True,
abbyCCim,2018-05-24,16:46:47,"Love improving my clinical reasoning skills from the wisdom of Cleveland Clinic IM residency program’s own director of clinical reasoning, Dr. Ali Mehdi! It’s all about the summary statement. And then thinking “what else could it be?”  @AliMehdiMD @CCF_IMCHIEFS #clinicalreasoning pic.twitter.com/QiRj115dQa",7,1,4,True,#clinicalreasoning
CCF_IMCHIEFS,2018-05-23,09:49:41,"Congrats to our former chief, @ZIMAgo! https://twitter.com/iupccm/status/999077067697336320 …",3,0,0,True,
CCF_IMCHIEFS,2018-05-21,21:51:24,"Congrats to last year's chief resident, and current @HopkinsMedicine pulm crit fellow, Vickram Tejwani, on winning this year's Hopkins Osler Medical training program's Fellow Teaching Award.  This is only awarded to one fellow in the entire institution.  Congrats, Dr Tejwani! pic.twitter.com/gKpzbkVgYX",11,0,2,True,
CCF_IMCHIEFS,2018-05-14,12:30:47,"""They say you can't be too rich or too thin, but it should be 'you can't be too rich, too thin, or have an LDL too low.""  - Dr Steve Nissen.  PACKED crowd for our conference today with our Chair of @CleClinicMD Cardiovascular Medicine! pic.twitter.com/Wnt3LlxI92",10,0,4,True,
CCF_IMCHIEFS,2018-05-11,15:12:14,IMRP Journal Watch:  PGY-3 Carol Rouphael (staying on as a GI fellow at Cleveland Clinic next year) examines the role of a wireless motility capsule! @abbyCCim https://onlinelibrary.wiley.com/doi/abs/10.1111/nmo.13087 … pic.twitter.com/RRxglCYGKt,7,0,2,True,
abbyCCim,2018-05-11,05:54:22,Outstanding and provocative grand rounds presentation by Cleveland Clinic IM chief residents on the history and future of duty hour regulations. Congratulations!! #icompare @CCF_IMCHIEFS @AAIMOnline @acgme @GRosencranceMD pic.twitter.com/KRHmUY9Dio,6,0,1,True,#icompare
ChrisWeeMD,2018-05-09,11:15:46,"Excited to give @CleClinicMD with other @CCF_IMCHIEFS tomorrow!  We will be discussing the history of duty hours, a recent prospective study, and provoke discussion regarding the future of GME regulations",1,0,1,True,
