username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Saunthararajah,2018-07-17,11:57:14,"1) Our JCI in-press on how leukemogenic mutant-NPM1 blocks myeloid differentiation and how to unblock, enabling differentiation-releasing treatment that extended survival, without cytotoxicity, >160 days in a PDX model of dual NPM1/FLT3 AML https://www.jci.org/articles/view/97117 … pic.twitter.com/QPEcSC0mUs",61,4,34,True,
CCLRI,2018-07-16,07:59:22,#Telemedicine could soften geneticist shortage  http://www.crainscleveland.com/article/20180715/news/168306/telemedicine-could-soften-geneticist-shortage … @CrainsCleveland @CharisEngMDPhD,4,0,3,True,#Telemedicine
CCLRI,2018-07-15,15:34:19,"Dr. Michael Kattan describes a new tool to measure accuracy of medical tests, the Index of Prediction Accuracy (IPA). @mike54761703 https://twitter.com/cleclinicmd/status/1018547240795803648 …",2,0,0,True,
CCLRI,2018-07-14,18:52:14,Nice @urotoday blog post highlighting recent discoveries by @NimaSharifiMD lab. #abiraterone #prostatecancer @CleClinicUro #CleClinicCancer https://twitter.com/urotoday/status/1018212502499397643 …,6,0,3,True,"#abiraterone,#prostatecancer,#CleClinicCancer"
oncologytube,2018-07-14,13:00:03,3D Modeling of #PTEN Tumor Suppressor @CharisEngMDPhD @CleClinicMD @CCLRI #BreastCancer  http://bit.ly/2LjLAXO  pic.twitter.com/11lQlueAOr,12,0,2,True,"#PTEN,#BreastCancer"
CCLRI,2018-07-13,15:48:16,Looking forward to strengthening our #BME partnership with @cwru @DGeoffreyVince @CrainsCleveland https://twitter.com/lydiacoutre/status/1017871539813928960 …,10,1,3,True,#BME
Aliciarc2002,2018-07-13,11:15:44,@cwru .@Cleveland Clinic and @CWRU launch new alliance in Biomedical Engineering https://newsroom.clevelandclinic.org/2018/07/13/case-western-reserve-university-and-cleveland-clinic-launch-new-alliance-in-biomedical-engineering/ …,7,1,8,True,
CCLRI,2018-07-11,14:40:31,@DavalosLab New 'Co-Laboratories' program gives a boost to early-stage collaborative research #teamscience @davaloslab  https://www.lerner.ccf.org/news/details/?5adf49028d007b9a8e01622860aea69e9072ee89 … via @CCLRI,4,1,3,True,#teamscience
CCLRI,2018-07-12,15:41:55,"Dr. Margot Damaser @MDamaser designed a wireless, less invasive monitor for detecting urinary #incontinence #BME @CleClinicUro https://twitter.com/CleClinicMD/status/1017493546989957121 …",6,0,4,True,"#incontinence,#BME"
mohamed_abazeed,2018-07-11,22:01:02,We desperately need the ability to predict the response of cancers to our therapies. Here is one path forward for the use of human tumors implanted directly into mice (or PDXs) to prospectively and longitudinally guide treatments. 1/n @Nature_NPJ  https://rdcu.be/2Pmw  pic.twitter.com/KIw8C9yIZm,50,3,24,True,
CCLRI,2018-07-11,14:40:31,@DavalosLab New 'Co-Laboratories' program gives a boost to early-stage collaborative research #teamscience @davaloslab  https://www.lerner.ccf.org/news/details/?5adf49028d007b9a8e01622860aea69e9072ee89 … via @CCLRI,4,1,3,True,#teamscience
NeurologyToday,2018-07-10,10:00:28,Via @ScienceTM: #Ibrutinib slowed growth of #gliomas in #glioblastoma animal model. Neurologists weigh in on the future of this potential new targeted approach for GBM in our current issue.  http://bit.ly/2L89Fkm  pic.twitter.com/sYtjofXJjL,4,0,3,True,"#Ibrutinib,#gliomas,#glioblastoma"
caseccc,2018-07-10,13:25:30,"#CSC2018 will feature talks from top #CancerStemCell researchers including Norman 'Ned' E. Sharpless (@NCIDirector @theNCI), John S. Condeelis (@EinsteinMed), Irving Weissman (@Stanford), Zena Werb (@UCSFCancer) - Register today:  http://bit.ly/2yHuOQA  pic.twitter.com/CALLVgxk7e",15,0,8,True,"#CSC2018,#CancerStemCell"
CCLRI,2018-07-10,07:28:30,Cleveland Clinic researcher receives $2.8 million to improve heart transplant outcomes  http://www.crainscleveland.com/article/20180709/news/167666/cleveland-clinic-researcher-receives-28-million-improve-heart … @CrainsCleveland,2,0,1,True,
CleClinicMD,2018-07-09,08:41:00,"New research sheds light on how alcohol damages the liver, providing hope for new therapies: http://cle.clinic/2zSiuJr ",27,0,20,True,
CleClinicMD,2018-07-10,04:19:00,Researchers studied vasorin in cell culture to determine how it affects glioblastoma progression: https://cle.clinic/2EwRSiS ,23,0,11,True,
CleClinicMD,2018-07-09,13:25:00,A new study offers an innovative solution to hospital-acquired infections: https://cle.clinic/2Ik6Ivu ,16,1,5,True,
CCLRI,2018-07-09,07:21:30,New Bionic Arm Blurs Line Between Self and Machine for Wearers  https://singularityhub.com/2018/04/04/new-bionic-arm-blurs-line-between-self-and-machine-for-wearers/#.W0NTRl1trDI.twitter … via @singularityhub,1,0,0,True,
ScottRSteeleMD,2018-07-08,06:07:20,".@ClevelandClinic @bhealdleach, cancer genetic counselor, comments on direct-to-consumer genetic testing for breast cancer risk. http://cle.clinic/2KGJCVz ",4,0,3,True,
CleClinicMD,2018-07-08,09:31:00,This new technology may transform how asthma severity is evaluated: https://cle.clinic/2Krhtl4 ,68,1,39,True,
NIH,2018-07-04,09:00:04,#Ohio received $754 million in #NIH funded research support in FY2017:  http://bit.ly/2Gk8RYf  #NIHinYourState pic.twitter.com/Si0hgAOkIm,27,1,16,True,"#Ohio,#NIH,#NIHinYourState"
CancerConnector,2018-07-05,13:47:38,"@inom_mirzaev @andrewdhawan @NaraYoon12 @ele_sven @kevinwood18 @bpingalls @LuisZaman @baym @erinmc595 @JuliaPelesko @nkrishnan94 @DFKW_MD So, if you are interested in the #evolution of drug resistance in #cancer or #AntibioticResistance and want to work with a super fun multi-disciplinary team on this project. drop us a line. evolution is happening right now - come help us out! pic.twitter.com/l06MwgXOkA",5,2,11,True,"#evolution,#cancer,#AntibioticResistance"
CleClinicMD,2018-07-05,13:20:00,"Study reveals a mechanism that rapidly destroys HDL in people with type 2 diabetes, negating cardiovascular protections: http://cle.clinic/2AtALxQ ",21,0,16,True,
CCLRI,2018-07-05,10:04:30,Cleveland Clinic researchers uncover a new pathway to target for the treatment of #asthma:  https://tinyurl.com/y9ldz7ye  @jclinicalinvest,2,0,0,True,#asthma
CCLRI,2018-07-04,07:00:00,Happy 4th of July and a very happy birthday to our own Dr. George Stark who is still making discoveries and an impact in cancer biology at age 85 pic.twitter.com/dNg2VD5d4c,66,2,13,True,
CleClinicMD,2018-07-03,14:31:00,This new technology may transform how asthma severity is evaluated: https://cle.clinic/2Krhtl4 ,39,0,21,True,
CleClinicMD,2018-07-02,16:40:00,Men with the HSD3B1(1245C) variant metabolize abiraterone differently than men without the variant: https://cle.clinic/2KDbN6B ,26,2,11,True,
jclinicalinvest,2018-06-20,13:20:05,Allergen-responsive hematopoietic progenitors and endothelial cells evoke atopic asthma  https://buff.ly/2yoqQfQ  @ClevelandClinic #allergy #pulmonology #angiogenesis pic.twitter.com/pCPUwSwHzH,9,0,9,True,"#allergy,#pulmonology,#angiogenesis"
JustinLathia,2018-07-01,10:55:11,"Following the trend set by @oreizes , recovery fro-yo @MitchellsCleve after a @bikeVeloSano training ride! Just 3 weeks away! Help us make a difference against the cancer fight @CCLRI @caseccc pic.twitter.com/aSzXxC8HY5",21,0,2,True,
CCLRI,2018-06-30,12:53:25,Thanks to all who stopped by our TGIF event to support #velosano. We raised more than $400 to support Team Lerner 🚲 💵 🔬 pic.twitter.com/vC23OE5ae4,12,0,5,True,#velosano
urotoday,2018-06-29,09:30:51,Just released @NimaSharifiMD : Cleveland Clinic ( @ClevelandClinic ) Researchers Find #ProstateCancer Drug Byproduct Can Fuel Cancer Cells  http://bit.ly/2tvNVbx ,2,0,2,True,#ProstateCancer
CCLRI,2018-06-29,12:04:34,Dr. Kiyo Fukamachi Celebrates 20 Years of Progress in Heart Devices #artificialheart  https://www.lerner.ccf.org/news/details/?e1f724eb9f2e14825a6d314918892aad5bbae038 … via @CCLRI,1,0,0,True,#artificialheart
CCLRI,2018-06-20,13:15:39,Congratulations to LRI researcher Dr. Dennis Stuehr for winning the 2018 @AmerChemSociety Edward W. Morley Medal for outstanding contributions to chemistry through research. 25 years and counting studying #NitricOxide:  https://tinyurl.com/ybyhd5t7 ,5,0,2,True,#NitricOxide
CleClinicMD,2018-06-28,10:56:00,New research may one day help restore some cognitive abilities in patients with autism spectrum disorders: http://cle.clinic/2nsOn7h ,26,2,20,True,
CCLRI,2018-06-27,09:53:32,"Cleveland Clinic becomes only the 2nd institution in the world to own a 4Dx preclinical scanner, and the 1st to use it in the study of #asthma. It will enable researchers to visualize and understand for the 1st time how asthma affects individuals airways:  https://tinyurl.com/y8ts6r3e  pic.twitter.com/l2RvC9iZ6x",8,0,6,True,#asthma
CCLRI,2018-06-26,15:16:28,Citywide collaboration awarded $46 million grant to improve regional health  http://www.crainscleveland.com/article/20180626/news/166401/citywide-collaboration-awarded-46-million-grant-improve-regional-health … @CrainsCleveland @CTSC_Cleveland,4,0,2,True,
NimaSharifiMD,2018-06-26,05:57:28,Here is the brief @jclinicalinvest author’s take video explainer that also puts our work in context.  Better yet - you could attend @MM_Alyamani’s talk at #MetSoc2018 tomorrow!  #HSD3B1 #pcsm @PCFnews @CleClinicMD @CCLRI  https://youtu.be/_L5opzTnGFo  https://twitter.com/nimasharifimd/status/1011344168654983170 …,11,0,7,True,"#MetSoc2018,#HSD3B1,#pcsm"
CCLRI,2018-06-25,19:39:27,Abiraterone is metabolized differently in men with specific genetic variant @NimaSharifiMD @MM_Alyamani https://twitter.com/cleclinicnews/status/1011344278080008192 …,4,0,1,True,
tae_hwang,2018-06-25,16:29:19,@MikkaelSekeres We are currently working on Opioid problem @CCLRI using machine learning and data mining approaches. Hope we can deliver some analytical results that can help communities vulnerable to Opioid crisis.,2,0,1,True,
NimaSharifiMD,2018-06-25,15:23:34,Our story out in JCI - HSD3B1/(1245A>C) regulates dueling abiraterone metabolite in prostate cancer. Grateful to @MM_Alyamani @HamidEmamekhoo @NimaAlmassi @mikepberk @tae_hwang @WilliamFigg1 @PGrivasMDPhD @cancerdocinevo @koshkin85 @CleClinicMD @CCLRI  https://www.jci.org/articles/view/98319#.WzFM99m8c0g.twitter …,55,1,24,True,
GChristCLE,2018-06-25,08:51:00,Cincinnati and Cleveland trailed only Chicago and Minneapolis for total bioscience investments in 2017. https://www.cleveland.com/healthfit/index.ssf/2018/06/biomedical_investment_growing.html …,11,1,7,True,
CCLRI,2018-06-24,17:20:46,Our newest Research Centers of Excellence use a collaborative approach to study gynecological and lymphoid cancers #teamscience  https://www.lerner.ccf.org/news/details/?d05e4b1d4ad3d784a21f9e7757890e7c932c765a … via @CCLRI,8,0,5,True,#teamscience
CancerConnector,2018-06-22,10:38:32,Nice piece on our new #RADONC planning method - Temporal Feathering https://consultqd.clevelandclinic.org/reducing-normal-tissue-toxicity-in-cancer-treatment-using-temporally-feathered-intensity-modulated-radiation-therapy/ …,15,1,17,True,#RADONC
cwru,2018-06-22,12:11:43,For 30 years we’ve partnered with @ClevelandClinic and @UHhospitals to advance cancer treatments and help change patients’ lives through the @caseccc. #CWRU #cancer https://www.youtube.com/watch?v=Xos9udf7AJM&feature=youtu.be …,35,0,12,True,"#CWRU,#cancer"
nytimes,2018-06-21,23:56:37,"There is compelling evidence for the idea that viruses might be involved in Alzheimer’s, particularly 2 types of herpes that infect most people as infants and then lie dormant for years https://nyti.ms/2JYMFrI ",659,26,475,True,
NIHDirector,2018-06-21,08:42:19,You probably don’t think of the #brain as a moving organ. But the brain pulsates with every beat of the heart. See for yourself! #NIH  https://bit.ly/2M6YatF  pic.twitter.com/55Dr7v1cf7,4356,73,2784,True,"#brain,#NIH"
caseccc,2018-06-21,20:59:21,We are so excited to finally release the official announcement that we received an exceptional rating and 5-year renewal of our grant! https://twitter.com/cwru/status/1009943424315940864 …,53,1,22,True,
claesengroup,2018-06-21,13:57:10,New ad for postdoc opportunity in our group:Would love to hear from microbiome enthousiasts with mouse model or bacterial genetics expertise! https://www.lerner.ccf.org/jobs/postdoctoral/ …please RT,11,0,29,True,
CCLRI,2018-06-20,14:14:26,AHA Awards Cleveland Clinic $3.7 Million for Atrial Fibrillation Research  https://www.lerner.ccf.org/news/details/?53de4d908326641470095149774608950df61eed … via @CCLRI,3,0,1,True,
CCLRI,2018-06-20,13:15:39,Congratulations to LRI researcher Dr. Dennis Stuehr for winning the 2018 @AmerChemSociety Edward W. Morley Medal for outstanding contributions to chemistry through research. 25 years and counting studying #NitricOxide:  https://tinyurl.com/ybyhd5t7 ,5,0,2,True,#NitricOxide
CleClinicMD,2018-06-19,17:31:00,An old chemotherapy drug no longer in use helps improve the clearance of resistant bacteria in human skin: https://cle.clinic/2M48Nxn ,34,0,19,True,
CleveHealthTech,2018-06-15,13:58:22,New $3.7 million grant from @American_Heart to support atrial fibrillation research @ClevelandClinic http://www.crainscleveland.com/article/20180614/news/165166/cleveland-clinic-receives-37-million-grant-atrial-fibrillation-research …,6,1,3,True,
CCLRI,2018-06-15,07:38:39,Today at 3! Lerner Chair Dr. Serpil Erzurum highlights our achievements in her annual State of the Institute presentation,6,0,3,True,
JustinLathia,2018-06-14,06:50:54,"Good morning Twitter friends, we're riding in @bikeVeloSano to raise funds for cancer research @CleClinicMD @CCLRI @caseccc . 100% of the funds raised go towards cancer research. Please consider donating, we would really appreciate it! http://ccf.convio.net/site/TR/VeloSano/General?px=2349725&pg=personal&fr_id=1722 …",20,1,6,True,
JustinLathia,2018-06-14,12:46:22,"Photos with @DavalosLab , who is a 2018 @bikeVeloSano funded investigator. Thrilled to collaborate with his group on imaging sex differences #glioblastoma . Another great collaboration here at @CCLRI @CleClinicMD @caseccc pic.twitter.com/KbKfKnlyxH",7,0,1,True,#glioblastoma
ClevelandPlus,2018-06-14,07:38:34,"Industry experts from @uakron, @arconic, @CCLRI, @Jabil and many more will be in #CLE on July 11 to share more on the latest advances in advanced materials.  Learn more and register today!  http://ow.ly/hE3m30kuFzQ  #3D printing pic.twitter.com/fcIOnYrueG",5,0,3,True,"#CLE,#3D"
CCInnovations,2018-06-07,15:27:20,Check out the new @washingtonpost campaign with the @ClevelandClinic Neurological Institute: Keeping Your Mind https://www.washingtonpost.com/brand-studio/cleveland-clinic/keeping-your-mind/?noredirect=on …,1,0,4,True,
UrologySBUR,2018-06-12,13:10:14,"Presenting at #SBUR18:  Hannelore Heemers, PhD (Cleveland Clinic Lerner Research Institute)  Check out her work:   http://ow.ly/Jc7k50hzSOF  Check out her website:    http://ow.ly/JhGR50hzSOL  pic.twitter.com/Cdj9fa9KNQ",10,0,3,True,#SBUR18
CleClinicMD,2018-06-12,14:39:00,"New research shows there may be a better, more effective approach to prevent C. diff infections: https://cle.clinic/2Hr3RAM ",33,0,11,True,
CleClinicMD,2018-06-12,10:55:00,New research shows that stem cell therapy may prevent and even reverse opioid tolerance: http://cle.clinic/2mG5wdj ,23,0,10,True,
CCLRI,2018-06-11,16:28:53,Congratulations to medical student Elizabeth Shay of the @CharisEngMDPhD lab! https://twitter.com/DorisDukeFdn/status/1004714858330361861 …,17,0,9,True,
theNCI,2018-06-09,06:15:09,An investigational drug called selumetinib continues to show promise in children with a genetic syndrome called NF1:  https://www.cancer.gov/news-events/cancer-currents-blog/2018/selumetinib-nf1-neurofibromas … #ASCO18 @NCIResearchCtr pic.twitter.com/2SDulmANgo,81,2,48,True,#ASCO18
soumyaturaga,2018-06-08,18:15:39,Thanks to @CLE_State and @CCLRI  for this opportunity! https://twitter.com/justinlathia/status/1005199095827398658 …,7,0,2,True,
CCLRI,2018-06-07,11:01:33,New research from the lab of @CMcD_Cleveland shows how a medicated topical lotion improves natural immune response and clears antibiotic resistant bacteria in human skin samples:  https://tinyurl.com/y9uo5sjx  Important implications for fighting #superbugs @SciReports pic.twitter.com/2XriEPKmrT,4,0,3,True,#superbugs
CMcD_Cleveland,2018-06-07,08:02:12,Check out our paper! A new approach to control antibiotic resistant bacteria published today @SciReports. @CCLRI https://www.nature.com/articles/s41598-018-27012-0 …,8,0,6,True,
cavs,2018-06-06,17:15:56,It’s time to go to work. @KingJames clocks in for #NBAFinals Game 3. 👑#WhateverItTakes pic.twitter.com/e2jbVoTLdg,7551,185,1842,True,"#NBAFinals,#WhateverItTakes"
CCLRI,2018-06-06,15:19:04,"Lerner researchers Rob Colbrunn, @NimaSharifiMD receive 2018 #Innovator Awards  https://tinyurl.com/ycvuvffd  @CCInnovations",14,1,4,True,#Innovator
CleClinicNews,2018-06-06,10:36:01,It sounds like science fiction. A bionic prosthetic arm allows a Marine Corps veteran to feel sensation as if it's coming from her missing hand.  https://cle.clinic/2uMze6W  pic.twitter.com/gOw0JpsRzT,12,0,7,True,
CleClinicMD,2018-06-04,10:48:23,.@EricKleinMD shares initial data from the study of a blood-based screening test that can detect multiple cancers at various stages with high specificity. #ASCO18 pic.twitter.com/ThTLuPw4r4,32,0,13,True,#ASCO18
CleClinicMD,2018-06-06,08:45:00,An FDA-approved therapy for lymphoma and leukemia may also help treat glioblastoma: https://cle.clinic/2skwvhu ,44,1,29,True,
CleClinicMD,2018-06-05,08:56:00,"Study reveals a mechanism that rapidly destroys HDL in people with type 2 diabetes, negating cardiovascular protections: http://cle.clinic/2AtALxQ ",22,0,19,True,
CleClinicMD,2018-06-04,19:10:00,New study of creeping fat may lead to therapeutic interventions to treat strictures in patients with Crohn's disease: #DDW18 https://cle.clinic/2J6Id9I ,37,0,19,True,#DDW18
ReenaMehra0203,2018-06-04,17:28:10,"Dr. Hut, Cleveland Clinic sleep medicine research fellow, discussing vascular function in sleep apnea and paroxysmal atrial fibrillation. @ClevelandClinic @CleClinicNews #SLEEP2018 pic.twitter.com/ISqLDoJnLD",10,0,4,True,#SLEEP2018
ScienceTM,2018-06-04,17:20:02,"Repurposing the FDA-approved lymphoma drug ibrutinib could curtail tumor growth, enhance radiation therapy, and improve clinical outcomes in #glioblastoma @CCLRI http://bit.ly/2JjBpVx ",2,0,3,True,#glioblastoma
