username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CleClinicMD,2018-07-18,20:36:00,A new analysis suggests that complications are significantly reduced with leadless cardiac pacemakers: https://cle.clinic/2KpysjG ,11,1,7,True,
CleClinicMD,2018-07-18,19:29:00,New research is examining whether hyaluronic acid protects the gut and prevents alcohol-related neuroinflammation: https://cle.clinic/2mt2Qzo ,17,0,5,True,
CleClinicMD,2018-07-18,18:40:00,A young man in his early 20s presented with progressively worsening left hip pain: http://cle.clinic/2C74E6I ,7,0,7,True,
CleClinicMD,2018-07-18,16:34:00,Atypical antipsychotics may help fill a niche for adjunctive treatment of chronic pain syndromes: https://cle.clinic/2qnY20j ,19,2,10,True,
CleClinicMD,2018-07-18,15:45:00,An overview to help sort out conflicting evidence regarding the treatment of anemia of chronic kidney disease: https://cle.clinic/2HFKW9A ,11,0,4,True,
CleClinicMD,2018-07-18,14:36:00,A 54-year-old man on immunosuppressants after a renal transplant presented with a recurrent ocular surface tumor: http://cle.clinic/2nQnppG ,8,0,7,True,
CleClinicMD,2018-07-18,13:29:00,Endocrinologists review the role of diet in managing patients with type 2 diabetes and obesity: http://cle.clinic/2GlDivP ,17,0,9,True,
CleClinicMD,2018-07-18,12:10:00,Perioperative weight loss minimizes surgical complications associated with obesity and sets patients up for success postsurgery: https://cle.clinic/2L4IOK8 ,15,0,10,True,
CleClinicMD,2018-07-18,11:31:00,This late-September CME event will provide one of the deepest educational dives ever into atrial isomerism/heterotaxy syndrome: https://cle.clinic/2mqbPBl ,9,0,5,True,
CleClinicMD,2018-07-18,10:44:00,Many patients and doctors do not fully understand the risks and benefits of percutaneous coronary intervention for stable angina: https://cle.clinic/2KyQTTE ,5,0,10,True,
CleClinicMD,2018-07-18,09:35:00,A variety of new targeted treatments for breast cancer are having positive outcomes in clinical trials: http://cle.clinic/2ArcZ4h ,20,1,11,True,
CleClinicMD,2018-07-18,08:26:00,A neurosurgeon argues that states should use trauma care as the model for emergency medical transport of patients with stroke: https://cle.clinic/2JHtTk7 ,30,1,11,True,
CleClinicMD,2018-07-18,07:19:00,New grant will fund three research projects aimed at improving patient outcomes through prevention of atrial fibrillation development and progression: https://cle.clinic/2yLZbFQ ,62,2,27,True,
CleClinicMD,2018-07-18,06:20:00,Fecal microbiota transplantation can eliminate C difficile-associated diarrhea virtually overnight: http://cle.clinic/2amfnxN ,42,3,34,True,
CleClinicMD,2018-07-18,05:11:00,Surgical procedures for benign prostate enlargement can help male patients avoid a lifetime of daily medications: https://cle.clinic/2HHVyE1 ,14,2,11,True,
CleClinicMD,2018-07-18,04:24:00,"New research shows there may be a better, more effective approach to prevent C. diff infections: https://cle.clinic/2Hr3RAM ",14,0,7,True,
CleClinicMD,2018-07-17,23:35:00,"A female patient presented with a fever, cough, odynophagia, and anterior neck pain: http://cle.clinic/2oJgcXq ",17,0,18,True,
CleClinicMD,2018-07-17,21:46:00,A high prevalence of insomnia and sleep apnea was found among patients with a variety of neurological diseases: https://cle.clinic/2vBT2Kx ,12,1,6,True,
CleClinicMD,2018-07-17,20:29:00,A cardiothoracic surgeon brings clarity to three common questions surrounding surgical treatment of atrial fibrillation: https://cle.clinic/2HoeQuA ,37,0,13,True,
CleClinicMD,2018-07-17,19:30:00,A newer procedure performed at bedside in the ICU is overtaking traditional open surgical tracheotomy: https://cle.clinic/2vYvtvL ,28,0,18,True,
