username,date,time,tweet,likes,replies,retweets,retweet,hashtags
EricRoselliMD,2018-07-18,06:56:53,Cleveland Clinic HVI Tall Rounds®️ today delivered an excellent multi-disciplinary review of anomalous pulmonary venous return (including scimitar syndrome) from the various perspectives of experts - look for the launch of free access to TallRounds®️coming soon! #TallRounds®️ pic.twitter.com/u8NBX3EyVp,3,0,2,True,#TallRounds
ClevClinicHeart,2018-07-18,09:02:20,"Ask your questions about pectus, chest wall tumors and other Chest Wall Diseases & Conditions with Daniel Raymond, MD.  TODAY -  July 18, 2018 - 12 Noon EST.  http://chat.clevelandclinic.org/ ",0,0,0,True,
ClevClinicHeart,2018-07-17,08:05:20,"Ask your questions about pectus, chest wall tumors and other Chest Wall Diseases & Conditions with Daniel Raymond, MD.  TOMORROW - Wednesday, July 18, 2018 - 12 Noon EST.    http://chat.clevelandclinic.org/ ",1,0,0,True,
ClevClinicHeart,2018-07-16,07:04:46,Transcatheter Valved Stent Tames Tricuspid Regurgitation in High-Risk Patients  https://consultqd.clevelandclinic.org/transcatheter-valved-stent-tames-tricuspid-regurgitation-in-high-risk-patients/ … via @CleClinicMD,0,0,0,True,
ClevClinicHeart,2018-07-16,06:15:13,ConsultQD: Leadless Pacemaker Delivers Reduced Rates of Traditional Pacemaker Complications http://ow.ly/aUmL30kQB67 ,0,0,0,True,
ClevClinicHeart,2018-07-12,11:01:53,"Web Chat:  Chest Wall Diseases & Conditions with Daniel Raymond, MD.  Wednesday, July 18, 2018 - 12 Noon EST.   http://chat.clevelandclinic.org/  #pectus #chestwall  http://chat.clevelandclinic.org/ ",1,0,0,True,"#pectus,#chestwall"
ClevClinicHeart,2018-07-12,09:20:16,Have questions about #heart and #vascular disease? Ask a #nurse. Click on Talk to a Nurse tab.  http://ow.ly/qiDo30k9u0U  #heartnurse,1,0,1,True,"#heart,#vascular,#nurse,#heartnurse"
ClevClinicHeart,2018-07-12,06:10:10,ConsultQD:  Vessels of Truth: Quest Continues for Definitive Data on Merits of Multiarterial CABG   http://ow.ly/OR2730kQB55  #RADIAL,0,0,0,True,#RADIAL
ClevClinicHeart,2018-07-11,16:10:16,Can Crossing Your Legs Raise Your Blood Pressure? http://ow.ly/7LCN30kQB1B ,1,0,0,True,
ClevClinicHeart,2018-07-10,16:10:11,ConsultQD:  Fibromuscular Dysplasia: Diagnosis at Later Age Suggests Milder Course http://ow.ly/9hEy30kQB3Q ,0,0,0,True,
