username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CleveClinicCan,2018-07-18,15:05:05,Heading to a #concert this summer? Wear earplugs. They can reduce noise exposure by 30 decibels or more! pic.twitter.com/4nw3t1VA3a,0,0,0,True,#concert
CleveClinicCan,2018-07-18,11:34:21,Is avocado toast always on your menu? Can’t get enough guac? Here’s how to know if you’re eating TOO much #avocado  https://on.today.com/2NKnw27  pic.twitter.com/WFli5YXPQl,1,0,0,True,#avocado
CleveClinicCan,2018-07-18,09:59:11,Did you know? One pear packs in 20 percent of your daily fiber needs. pic.twitter.com/rnK4mTssPG,1,0,1,True,
CleveClinicCan,2018-07-17,14:40:05,More than half of competitive swimmers will injure their shoulders at some point. Here's how to know if it's an injury or just soreness:  https://cle.clinic/2IYMmZF  pic.twitter.com/v0Zzew1yuR,1,0,2,True,
CleveClinicCan,2018-07-17,11:25:05,Are these all-star veggies and fruits on your shopping list? https://cle.clinic/2KNwHNd  pic.twitter.com/AxYF9rJ3Jp,1,0,0,True,
KesselMike,2018-07-17,09:36:41,"A heartfelt thank you to everyone who helped to make Cardiac Smash 2018 a great success. We raised a whopping $100,000 for Heart & Stroke. Congrats to winners Paradise Developments (competitive) and Home Trust (recreational)! Check out the action: https://youtu.be/kLvLfiaoLkA ",3,0,1,True,
CleveClinicCan,2018-07-16,14:35:07,"Are you a gardener? To avoid injury, keep your movements smooth, especially when you twist or reach. pic.twitter.com/wguZQK7GkG",1,0,1,True,
CleveClinicCan,2018-07-16,10:45:15,"Take work-related stress seriously, and find ways to ease or manage it. According to a new study, people with high levels of work stress had a 37 percent increased risk of atrial fibrillation, a serious heart-rhythm disorder that can lead to stroke and premature death. pic.twitter.com/BdCGCJIbpj",1,0,1,True,
CleveClinicCan,2018-07-16,08:10:11,"When you have your morning #coffee, you might be doing more than just giving yourself a boost to start your day — you could also be keeping your liver healthy.   https://bit.ly/2Ksmhm0  pic.twitter.com/O8o4mqXCRz",1,0,1,True,#coffee
CleveClinicCan,2018-07-15,13:05:06,"It may be time for a pillow upgrade. But how to choose? Each type has pros and cons. To prevent neck pain, you need a pillow that keeps your neck parallel to your mattress — not bent down or up. pic.twitter.com/pOJL4NuJdd",1,0,0,True,
CleveClinicCan,2018-07-14,10:05:06,Five common myths about thyroid disease:  https://cle.clinic/2tAA6IW  pic.twitter.com/FLFEq3X7rm,1,0,0,True,
CleveClinicCan,2018-07-13,15:05:07,Is biking part of your plan this weekend? Wearing a helmet can reduce the risk of head injury to bicyclists by as much as 85%. pic.twitter.com/VEyhjxEuxB,2,0,1,True,
CleveClinicCan,2018-07-13,11:10:16,Why tomatoes are terrific (and which colours are best)  https://cle.clinic/2kjavpb  pic.twitter.com/8s8J1l1FO3,1,0,0,True,
CleveClinicCan,2018-07-13,07:50:07,You may have heard that crossing your legs can affect your blood pressure. Is this true?  https://cle.clinic/2KgvCRQ  pic.twitter.com/RNTcAjya6Q,1,0,0,True,
