username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CleveClinicFL,2018-07-18,16:00:02,Mini-lobster season begins next week: Be sure to assess your health with your physician prior to #diving. Our experts also recommend you stay safe with these tips:  http://cle.clinic/2NZsGaH  pic.twitter.com/1uoCt8IxGu,1,0,0,True,#diving
CleveClinicFL,2018-07-18,14:30:00,Medication or surgery for treating #epilepsy? @CleveClinicFL's approach consists of high-level medical and surgical evaluation. Explore treatment options and talk to our specialists about what may be right for you:  http://cle.clinic/2uLeIjH ,2,0,2,True,#epilepsy
CleveClinicFL,2018-07-18,13:00:01,"Integrative medicine at @CleveClincFL can help #cancer patients by engaging in their healing with #acupuncture, #yoga, stress management and relaxation techniques. Learn more with this information from @NIH_NCCIH: http://bit.ly/2NZqyzF ",1,0,0,True,"#cancer,#acupuncture,#yoga"
CleveClinicFL,2018-07-17,14:00:01,The #Maroone @Cancer_CCFla at @CleveClinicFL uses @scalpcooling to preserve hair in patients receiving chemotherapy for #cancer. #bcsm #lcsm  https://cle.clinic/2MnW09R ,3,0,3,True,"#Maroone,#cancer,#bcsm,#lcsm"
ElSentinelsfl,2018-07-17,09:00:02,Feria para celebrar el nuevo Coral Springs Family Health Center del Cleveland Clinic el sábado 21  http://fw.to/WBDzkWZ @ClevelandClinic#coralsprings #clevelandclinic #salud #centrosmedicos #florida @OzzieDelgado @JNoguerasMD pic.twitter.com/BkGlGq1lMG,6,0,4,True,"#coralsprings,#clevelandclinic,#salud,#centrosmedicos,#florida"
CleveClinicFL,2018-07-16,18:47:57,"Regular screenings can prevent and sometimes treat #colorectal #cancer. In this video, @CleveClinicFL colorectal surgeon @SWexner explains the new @AmericanCancer guidelines regarding when to start getting screened.   http://bit.ly/2zrpVvG  #GetScreened #colonoscopy",10,1,7,True,"#colorectal,#cancer,#GetScreened,#colonoscopy"
CleveClinicFL,2018-07-16,17:30:00,"The @CleveClinicFL #ConciergeMedicine program offers patients even more direct access to their doctor 24/7, whether over the phone, via email, text or face-to-face.  https://cle.clinic/2zryMgT ",1,0,0,True,#ConciergeMedicine
CleveClinicFL,2018-07-16,17:09:16,Gracias Dra. @drcata. Y pueden seguir al Dr. en su cuenta propia @carhigueramd también. https://twitter.com/drcata/status/1018916398570131456 …,2,0,0,True,
CleveClinicFL,2018-07-16,16:10:00,"Regular screenings can help prevent colorectal #cancer. If you're 45+ years old, the @AmericanCancer suggests that you start getting screened. Schedule an appointment with a @CleveClinicFL gastroenterologist today. #GetScreened  https://cle.clinic/2Nl0HRt ",2,0,3,True,"#cancer,#GetScreened"
CleveClinicFL,2018-07-16,15:20:00,Florida high school music teacher Ronald Corbin recently received the ultimate gift from his daughter - her kidney. Learn more about his second chance at life via @ABC: https://abcn.ws/2mmXZzH ,0,0,0,True,
