username,date,time,tweet,likes,replies,retweets,retweet,hashtags
ClevelandClinic,2018-07-18,20:51:00,5 items that our dietitians believe no fridge should be without! https://cle.clinic/2NYfORW ,12,0,8,True,
ClevelandClinic,2018-07-18,19:59:00,"Does the ""sleep"" in your eyes serve a purpose? What is that stuff? http://cle.clinic/2Bfjh7q ",17,0,7,True,
ClevelandClinic,2018-07-18,19:11:00,These 3 things may increase your chances of developing carpal tunnel: https://cle.clinic/2JDq0fk ,41,0,20,True,
ClevelandClinic,2018-07-18,18:14:00,Laser treatments can help remove or minimize skin irregularities! https://cle.clinic/2L45Lxd ,54,1,12,True,
CleClinicNews,2018-07-18,17:39:33,"Cleveland Clinic and @cwru name the centerpiece of the Health Education Campus the Sheila and Eric Samson Pavilion, in recognition of their generous gift. https://cle.clinic/2JwxCjS ",26,1,9,True,
ClevelandClinic,2018-07-18,17:16:00,Here’s what to do if you’ve been exposed to E. coli: https://cle.clinic/2JDpfD0 ,42,1,43,True,
ClevelandClinic,2018-07-18,16:12:00,Which bothersome skin problem can duct tape fix? https://cle.clinic/2Lj7bDf ,40,7,19,True,
ClevelandClinic,2018-07-18,15:19:01,Quit your sugar addiction for good with the help of these 5 snacks. https://cle.clinic/2mnMEPI ,193,4,114,True,
ClevelandClinic,2018-07-18,14:42:00,How to help your skin heal after suffering an accidental sunburn: https://cle.clinic/2LgVXyV ,66,2,65,True,
ClevelandClinic,2018-07-18,13:46:00,Do you catch yourself slouching? These #yoga poses will help strengthen your abdominal and upper back muscles! https://cle.clinic/2zRZGPa ,77,1,36,True,#yoga
ClevelandClinic,2018-07-18,12:49:00,"This delicious side dish pairs well with grilled meats, poultry or fish! https://cle.clinic/2JwHTN2 ",51,2,23,True,
ClevelandClinic,2018-07-18,11:51:00,Did your favorite snacks make the 'worst snacks' list? http://cle.clinic/2zakXhM ,70,8,35,True,
ClevelandClinic,2018-07-18,10:43:00,Our experts weigh-in on 5 popular diet fads: http://cle.clinic/2CuxKkc ,64,6,21,True,
ClevelandClinic,2018-07-18,09:59:00,"These flesh-eating fish ""pedicures"" are a growing trend. Here are 5 potential risks: https://cle.clinic/2Ln0zDN ",51,4,45,True,
ClevelandClinic,2018-07-18,08:41:00,Chest pain should never be ignored. Here's why: https://cle.clinic/2LgFWsZ ,182,2,126,True,
ClevelandClinic,2018-07-18,07:52:00,Your diet is due for an upgrade! Here are 7 simple swaps to consider: http://cle.clinic/2H3lAO3 ,153,2,76,True,
ClevelandClinic,2018-07-18,06:32:01,6 things to try if you're always tired: http://cle.clinic/2zAx8Vl ,109,1,65,True,
ClevelandClinic,2018-07-18,05:24:00,"Artificial sweeteners have no calories, but are they better than sugar? http://cle.clinic/2r7aB2Z ",102,4,57,True,
ClevelandClinic,2018-07-18,04:01:00,Knee and hip replacement procedures have come a long way! See how far: https://cle.clinic/2vt8Qzm ,106,0,56,True,
ClevelandClinic,2018-07-17,23:42:00,Young minds need human social interaction. https://cle.clinic/2qSoRu5 ,160,1,89,True,
ClevelandClinic,2018-07-17,22:36:00,Consider this new vaccine for 90% protection against shingles: http://cle.clinic/2tcYS3Q ,141,9,54,True,
ClevelandClinic,2018-07-17,21:39:00,5 symptoms (other than a lump) to help catch testicular cancer: https://cle.clinic/2Is4tpM ,64,2,42,True,
ClevelandClinic,2018-07-17,20:53:00,Here are 3 great reasons to laugh more! http://cle.clinic/2ApTc5z ,128,0,77,True,
ClevelandClinic,2018-07-17,19:59:00,See the recent advances made in the fight against skin cancer: https://cle.clinic/2HSP1Gv ,75,0,28,True,
ClevelandClinic,2018-07-17,19:11:00,What you should know about these 2 different forms of cancer: https://cle.clinic/2uwamOd ,75,1,42,True,
ClevelandClinic,2018-07-17,18:14:00,"Have a 5k, half, or full marathon coming up? Here are 7 ways to prepare your body: http://cle.clinic/2D0uKIK ",60,1,21,True,
ClevelandClinic,2018-07-17,17:16:00,Your body starts recovering 20 minutes after you quit smoking. http://cle.clinic/2nMEWPi ,243,4,155,True,
ClevelandClinic,2018-07-17,16:12:00,"See what happens when you diet all week, then give yourself a “cheat day.” https://cle.clinic/2JX9XKd ",76,1,20,True,
ClevelandClinic,2018-07-17,15:03:58,Can you guess these common health conditions for #WorldEmojiDay? 1. 🎾💪🏽2. ❄️😬3. 🏃🏽‍♀️👃🏽4. ❤️🔥5. 📄✂️6. 🔨👣7. 💍🐛8. ☀️🔥9. 🏊🏽‍♂️👂🏽10 . 😡🐮Check back tomorrow for the answers! #NationalEmojiDay,1011,135,371,True,"#WorldEmojiDay,#NationalEmojiDay"
ClevelandClinic,2018-07-17,14:42:00,Swimming is a great way to stay fit at any age! https://cle.clinic/2GytOC9 ,175,4,83,True,
CleClinicNews,2018-07-17,13:03:00,An innovative microcoil procedure is helping early-stage lung #cancer patients. Surgeons remove the tumors without taking large amounts of lung tissue. Read more about how the minimally-invasive surgery works:  https://cle.clinic/2JuI5MN  pic.twitter.com/fL8Ka4CtmP,90,1,48,True,#cancer
ClevelandClinic,2018-07-17,13:46:00,"Friction + moisture + pressure = painful, gross saddle sores! 5 ways to avoid them: https://cle.clinic/2zKmUXt ",44,1,9,True,
ClevelandClinic,2018-07-17,12:49:00,It's true ... Diet soda is associated with weight gain. http://cle.clinic/2FpGHhf ,179,7,145,True,
ClevelandClinic,2018-07-17,11:51:00,8 surprising sources of calcium & why it's so important: https://cle.clinic/2uxbz7S ,98,1,37,True,
ClevelandClinic,2018-07-17,11:08:30,Researchers uncovered a number of metabolic links between asthma and obesity: http://cle.clinic/2sUmqqo ,70,2,38,True,
