username,date,time,tweet,likes,replies,retweets,retweet,hashtags
OmidHamidMD,2018-06-03,15:08:55,Proud to be part of this team @angelesclinic @CedarsSinai @BJRimelMD @MarkFariesMD https://twitter.com/cedarssinai/status/1003357978500780032 …,5,0,2,True,
MigsRunner,2018-07-14,20:23:57,"OMG @BJRimelMD @CedarsOBGYNres, @DrJenGunter just referred to your article as cool!  We're big fans. https://twitter.com/DrJenGunter/status/1018017681885278208 …",3,0,1,True,
RTylerHillmanMD,2018-07-13,13:52:39,Thank you @NRGonc and @jubileebrown for letting me present my work on KMT2D mutation in granulosa cell tumors at the NRG rare tumor subcommittee meeting today! @MDAndersonNews #endcancer #nrg18,11,0,4,True,"#endcancer,#nrg18"
Stigetta,2018-07-14,08:33:05,Congratulations @MDAndersonNews Dr. Robert Coleman @ocrfa Rosalind Franklin Excellence in Ocarian Cancer Research Award! #ovarianconf TY for putting patient’s first! pic.twitter.com/SLPdTmpmSO,21,0,6,True,#ovarianconf
CedarsSinaiOBG,2018-07-11,11:21:02,"Our own Dr. Eynav Accortt's testimony, along with her colleagues', convinced the CA Senate Cmte on Health to vote ""AYE"" on AB 2193 & AB 3032: two #MaternalMentalHealth bills which support screening, education, referral and case management for pregnant and postpartum moms in need! pic.twitter.com/kahx1IlTDP",15,0,4,True,#MaternalMentalHealth
katiekurnit,2018-07-14,15:03:46,"Feeling inspired by my 1st @NRGonc meeting! Excited for the many to come. Big thx to @GOG Fdn and Dr. @rcoledude, and special thx to my #clinicaltrials and philly food #mentor Dr @ShannonWestin !",16,0,3,True,"#clinicaltrials,#mentor"
TheBFORStudy,2018-06-07,18:09:06,And the study is in fact open now!  http://www.BFORStudy.com  https://twitter.com/LguzzardiM/status/1004698743915020288 …,10,1,6,True,
BJRimelMD,2018-07-06,12:49:54,#Mentorship = good days with friends!! https://twitter.com/leahmarshmd1/status/1011803320715862016 …,12,0,3,True,#Mentorship
BJRimelMD,2018-06-04,11:34:16,Stephen Shiao presenting poster discussion for Immunotherapy #ASCO2018 @CedarsSinai pic.twitter.com/Kfqy1ha9i2,3,0,1,True,#ASCO2018
BJRimelMD,2018-06-04,08:27:43,Excellent talk on genetic testing for gyn cancers by Dr Christine Walsh #brca @CedarsSinaiOBG #ASCO2018,4,0,0,True,"#brca,#ASCO2018"
