username,date,time,tweet,likes,replies,retweets,retweet,hashtags
CedarsUroOncol,2018-06-03,14:48:27,#urologist declares no surgery in metastatic #RCC #ASCO18 congratulations to our French colleague! pic.twitter.com/5ybKRp2VCN,22,1,11,True,"#urologist,#RCC,#ASCO18"
CedarsUroOncol,2018-06-03,13:48:33,#genomics #personializedtherapy in #breastcancer. #prostatecancer is next! #ASCO18 pic.twitter.com/E0YOcIxKL2,11,0,6,True,"#genomics,#personializedtherapy,#breastcancer,#prostatecancer,#ASCO18"
CedarsUroOncol,2018-06-03,11:42:11,Not all micrometastic PCa is an emergency #asco18 pic.twitter.com/F0j08ikH9B,9,0,1,True,#asco18
neerajaiims,2018-04-16,11:26:41,Finally FDA approves ipilimumab+ nivolumab for IMDC intermediate and poor risk mRCC pic.twitter.com/xxQGYXxP5I,44,2,29,True,
CedarsUroOncol,2018-04-15,10:14:35,#liquidbiopsy time! #AACR2018 pic.twitter.com/BBTvDC0oNq,7,0,2,True,"#liquidbiopsy,#AACR2018"
CedarsUroOncol,2018-02-08,18:37:09,did @ChrisSweens1 just quote @Eminem at #GU18 ????,14,1,1,True,#GU18
CedarsUroOncol,2018-02-08,11:00:55,William Shipley gave a convincing case AGAINST adjuvant RT! #GU18 https://twitter.com/onco_uroloog/status/961645832826007552 …,3,0,1,True,#GU18
CedarsUroOncol,2018-02-08,10:53:37,A great debate! @DrPaulNguyen !  Rad Onc  against adjuvant RT and Surgery for ART?!?!,1,0,0,True,
CedarsUroOncol,2018-01-26,17:14:49,We salute @Howie2241 for 21 years of leadership at RTOG in the GU committee! pic.twitter.com/FDAS6uJodJ,5,0,0,True,
CedarsUroOncol,2018-01-23,12:33:43,Come and learn about the current state of science in urologic oncology in LA: https://www.dropbox.com/s/oedrijhssf5rt99/v2_cedarsinai.pdf?dl=0 …,2,1,0,True,
CedarsUroOncol,2017-11-12,00:01:07,Watch “The Donald Coffey Story” on #Vimeo  https://vimeo.com/138298248?ref=tw-share …. On 11/10 we lost our Chief.  #RIP #DonaldCoffey,13,0,5,True,"#Vimeo,#RIP,#DonaldCoffey"
CedarsUroOncol,2017-10-06,21:36:37,#pcfretreat17  real collaboration @nhbander @cnsternberg,1,0,0,True,#pcfretreat17
soulehoward1,2017-10-06,06:57:07,@EpicSciences @rdittamore @RDittamore presents new data on @epicSciences CTC technology. Ryan has done so much to advance this science #PCFRetreat17 @PCF_Science pic.twitter.com/AcQQwSCHG0,13,0,6,True,#PCFRetreat17
jleePSOC,2017-10-04,09:09:35,Dr. Don Coffey #firstgenCancerWarrior #mentorofmentors #innovation #cancerresearch @PCFnews #pcfretreat17 #younginvestigatorday pic.twitter.com/HvuF0w8KWz,3,0,3,True,"#firstgenCancerWarrior,#mentorofmentors,#innovation,#cancerresearch,#pcfretreat17,#younginvestigatorday"
PCFnews,2017-10-04,09:34:55,"""Arrogance is the most dangerous thing we find in smart people"". Don Coffey. #pcfretreat17 #quotes",27,0,18,True,"#pcfretreat17,#quotes"
PCFnews,2017-10-04,10:26:32,"""Do not let the bastards get you down"" Don Coffey, rejected by 23 grad schools.   #PCFRetreat17 #persistence pic.twitter.com/45uw5BJ32Y",30,1,16,True,"#PCFRetreat17,#persistence"
soulehoward1,2017-10-04,09:11:04,"Dr. Don Coffey, father of PCa research addresses PCF YIs @PCF_Science #PCFretreat17 #ProstateCancer pic.twitter.com/42OVipQB21",43,1,13,True,"#PCFretreat17,#ProstateCancer"
jleePSOC,2017-10-04,08:48:00,Good morning @PCFnews glad to share @NCI_CSSI insights at #PCFRetreat17 #younginvestigatorday #innovation #teamscience #cancerresearch pic.twitter.com/FSpkF8V3IS – at Omni Shoreham Hotel,8,0,4,True,"#PCFRetreat17,#younginvestigatorday,#innovation,#teamscience,#cancerresearch"
