username,date,time,tweet,likes,replies,retweets,retweet,hashtags
NickiDurlester,2018-06-16,09:14:43,@emkhowley What Is HER-2-Positive #BreastCancer? by @emkHowley featuring @DrNimmiKapoor #HER2+ #bcsm | Patient Advice | US News https://health.usnews.com/health-care/patient-advice/articles/2018-06-15/what-is-her-2-positive-breast-cancer?src=usn_tw …,16,0,9,True,"#BreastCancer,#HER2,#bcsm"
pwcarey,2018-04-25,23:19:50,Staying healthy and reducing your risk of disease takes daily work and making some adjustments: Nutrition for Life  http://www.drnimmikapoor.com/nutrition-for-life/ … by @DrNimmiKapoor,2,0,1,True,
pwcarey,2018-04-23,18:27:42,"Avoiding disease and being healthy is helped by taking some common sense steps, like eating less and eating healthy. Wise words from the amazing @DrNimmiKapoor http://www.drnimmikapoor.com/nutrition-for-life/ …No magic bullets, sorry.",1,0,1,True,
DrNimmiKapoor,2018-04-23,22:53:53,"Nutrition for Life - Dr. Nimmi KapoorHere’s my two cents on diet.  It’s based on research, experience, and more http://www.drnimmikapoor.com/nutrition-for-life/ …",2,0,1,True,
DrNimmiKapoor,2018-04-23,22:52:35,. @alexskunz @petertellone @pwcarey Try whole wheat pasta! There’s also other gluten free varieties that are quite tasty.,1,0,0,True,
DrNimmiKapoor,2018-01-21,18:04:48,"YOGA&#8230;a quick note of thanks, day 8 http://www.drnimmikapoor.com/yoga-quick-note-thanks-day-8/ …",0,0,0,True,#8230
DrNimmiKapoor,2018-01-16,21:21:49,"a quick note of thanks, day 7 http://www.drnimmikapoor.com/quick-note-thanks-day-7/ …",0,0,0,True,
DrNimmiKapoor,2018-01-14,14:20:12,Thankful...for being able to go ice skating when today’s high was 80 degrees. #loveLA pic.twitter.com/FrvUkMtbpj,0,0,0,True,#loveLA
DrNimmiKapoor,2018-01-13,00:23:36,"a quick note of thanks, day six http://www.drnimmikapoor.com/quick-note-thanks-day-six/ …",0,0,0,True,
DrNimmiKapoor,2018-01-12,11:06:10,@Medscape First Drug for BRCA Breast Cancer: Olaparib  https://www.medscape.com/viewarticle/891245?nlid=120059_3901&src=wnl_newsalrt_180112_MSCPEDIT&uac=240445SV&impID=1532847&faf=1?src=soc_tw_share … via @medscape,0,0,1,True,
DrNimmiKapoor,2018-01-12,02:01:40,"a quick note of thanks, day five http://www.drnimmikapoor.com/quick-note-thanks-day-five/ …",0,0,0,True,
DrNimmiKapoor,2018-01-10,21:37:54,"A quick note of thanks, day four http://www.drnimmikapoor.com/quick-note-thanks-day-four/ …",1,0,0,True,
DrNimmiKapoor,2018-01-09,22:21:57,"A quick note of thanks, day three http://www.drnimmikapoor.com/quick-note-thanks-day-three/ …",0,0,0,True,
DrNimmiKapoor,2018-01-08,21:21:07,Primum non nocere #ASBrS #bcsm pic.twitter.com/V2pLp4cJ5k,0,0,1,True,"#ASBrS,#bcsm"
DrNimmiKapoor,2018-01-08,20:59:10,"A quick note of thanks, day one http://www.drnimmikapoor.com/9330-2/ ",1,0,1,True,
DrNimmiKapoor,2018-01-08,20:57:18,So I’m trying to share 365 days of being thankful via social media. Hoping that will hold me accountable. Maybe keep me kind-er too? #bcsm,6,3,0,True,#bcsm
DrNimmiKapoor,2018-01-08,20:54:12,Love Oprah...RT @MSCMommyLife: @DrNimmiKapoor We need more Oprah Winfrey speeches to motivate the world! #bcsm,0,2,0,True,#bcsm
DrNimmiKapoor,2018-01-08,20:52:06,Kindness seems to be a needed theme for 2018 #bcsm,9,4,0,True,#bcsm
DrNimmiKapoor,2018-01-08,20:49:47,Bring more engaged #bcsm. Late joining in Happy New Year!🎉,6,0,0,True,#bcsm
DrNimmiKapoor,2017-12-22,09:40:12,Postmenopausal women who shed pounds see lower breast cancer risk https://buff.ly/2pbhv6l ,2,0,1,True,
CedarsSinai,2017-10-28,11:52:01,We asked @DrNimmiKapoor: What is the biggest misconception about #breastcancer? #BCAM #BreastCancerAwarenessMonth pic.twitter.com/oTTjApFpwD,2,0,4,True,"#breastcancer,#BCAM,#BreastCancerAwarenessMonth"
CedarsSinai,2017-10-24,22:15:01,We asked @DrNimmiKapoor: How can you reduce your risk of getting #breastcancer? #BCAM #BreastCancerAwarenessMonth pic.twitter.com/Sk2IFD1XB7,1,0,3,True,"#breastcancer,#BCAM,#BreastCancerAwarenessMonth"
CedarsSinai,2017-10-18,09:52:01,We asked @DrNimmiKapoor: What’s your advice for someone facing a #breastcancer diagnosis? #BCAM #BreastCancerAwarenessMonth pic.twitter.com/S8XQMh5IUK,3,0,3,True,"#breastcancer,#BCAM,#BreastCancerAwarenessMonth"
DrNimmiKapoor,2017-10-12,00:17:18,Love this. About time. http://time.com/4975232/women-surgeon-surgery/ …,1,0,0,True,
DrNimmiKapoor,2017-10-09,12:08:06,. @patriciaclarkmd wow. Thx for sharing. I see too many of these patients.,2,0,0,True,
CedarsSinai,2017-10-03,22:59:01,What is the most important thing you want people to know about #breastcancer? #BCAM #BreastCancerAwarenessMonth pic.twitter.com/iNoR7QvMVj,9,0,10,True,"#breastcancer,#BCAM,#BreastCancerAwarenessMonth"
DrNimmiKapoor,2017-07-23,14:28:39,Sunday comics for surgeons! pic.twitter.com/37vkyhW5Je,3,0,1,True,
