username,date,time,tweet,likes,replies,retweets,retweet,hashtags
JenAngerMD,2018-07-16,16:31:21,Best urology meme ever! pic.twitter.com/RpjlqiY37U,23,2,4,True,
JenAngerMD,2018-05-30,18:54:26,"In the UCLA Department of Urology is the hallway of Great American Urologists of the 20th Century. Our beloved Dr. Vaughan is on the wall. He will be forever in our hearts. To quote Dr. Aaron Spitz, “Dr, Vaughan is the nicest man and the smartest man I have ever met.” pic.twitter.com/unrKY97lNa",27,1,2,True,
JenAngerMD,2018-05-23,01:31:46,"Even though I don’t know what SymplurRank is, I feel young being in the top 10! Thanks to the other 9 for teaching me how to tweet and for always promoting each other’s work! https://twitter.com/sufuorg/status/999074951910084609 …",15,1,2,True,
JenAngerMD,2018-05-20,12:00:59,@AmerUrological @ben_breyer @SWIUorg Promotion to Professor more equal but only an N of 6! pic.twitter.com/EHwltFVWrg,14,0,3,True,
SWIUorg,2018-05-20,11:59:19,Takes 1.2 years longer for women to be promoted to associate professor when compared to male colleagues #AUA18 @ben_breyer @JenAngerMD @AmerUrological pic.twitter.com/iW7cKXEmS5,42,1,24,True,#AUA18
JenAngerMD,2018-05-20,10:49:59,"Awww, thank you @LeslieRickeyMD ! https://twitter.com/leslierickeymd/status/998221720849797121 …",10,1,2,True,
RenaMalikMD,2018-05-18,10:52:49,🚺Speakers at @AmerUrological annual mtg ⬆️ from 13➡️15.5% from 2014-2017🔹🚺 Moderators has ⬆️🔹🚺Course directors & faculty are disproportionately lowGetting better but room for improvement #WomeninMedicine @WomenSurgeons #AUA18 @SWIUorg #ILookLikeASurgeon @JenAngerMD,66,4,27,True,"#WomeninMedicine,#AUA18,#ILookLikeASurgeon"
JenAngerMD,2018-05-17,13:18:06,The Cedars-Sinai Fellowship in FPMRS is accredited and we are participating in the match! Please send your interested residents my way at the SUFU meeting at the AUA tomorrow! #sufu18 #AUA2018 @AmerUrological @sufuorg @LeslieRickeyMD @Dr_UnaLee @YSL_MD @KKseattle @SethDCohenMD,17,0,6,True,"#sufu18,#AUA2018"
JenAngerMD,2018-04-16,22:40:03,Our fellowship at Cedars-Sinai in FPMRS was ACGME accredited today!! @sufuorg @YSL_MD @LeslieRickeyMD @MichelleZinnert @CedarsSinaiOBG @CedarsSinai @CedarsOBGYNres @FPMRSJournal @Dr_UnaLee @KKseattle @KimKenton1,58,7,7,True,
JenAngerMD,2018-03-03,21:09:00,and not to forget our Distinguished Service Award winner @AnnGormley1 who also made it up at the crack of dawn!,5,0,1,True,
JenAngerMD,2018-03-03,21:04:01,Video from our Zumba class! SUFU members-including our new President KK- rock! @sufuorg #SUFU18 @KKseattle @Dr_UnaLee  @devinpatel29 @arianasmith23 pic.twitter.com/IyWIXd0Fip,17,1,1,True,#SUFU18
JenAngerMD,2018-03-03,20:47:06,"My favorite song of the week Echame la Culpa.  So much fun in Austin, TX at the SUFU annual…  https://www.instagram.com/p/Bf4omXBHn31/ ",3,1,1,True,
JenAngerMD,2018-03-03,14:14:36,"Thanks to SUFU for a great meeting, we love AUSTIN! #SUFU18 @sufuorg pic.twitter.com/GIxXbyizyD",9,0,1,True,#SUFU18
JenAngerMD,2018-03-02,23:53:11,Salsa dancing in Austin at Esquina Tango! @sufuorg #sufu18 pic.twitter.com/b7X9kI16IC,5,0,0,True,#sufu18
JenAngerMD,2018-03-02,17:18:32,"Crazy SUFU members at 6:30am, AFTER our workout! #sufu18 pic.twitter.com/J7nGdNBBPw",16,0,3,True,#sufu18
JenAngerMD,2018-03-02,16:43:21,Thanks to all my crazy friends and colleagues who woke up for a 5:45 am zumba class!! Thank you…  https://www.instagram.com/p/Bf1og0qn1g0/ ,7,1,0,True,
CedarsSinai,2018-01-12,14:58:13,"#CedarsSinai urologist @JenAngerMD is blazing a trail to improve women’s health. ""Only 8% of urologists are women, while women make up about 30% of urologic patients. That’s a serious representation gap."" #FacesofCedarsSinai  http://ceda.rs/6019rLGMH  pic.twitter.com/rQbzExvFhC",14,0,4,True,"#CedarsSinai,#FacesofCedarsSinai"
FPMRSJournal,2017-10-06,14:22:07,@JenAngerMD presenting an analysis of online patient reviews of FPMRS & Urology MDs - what patients really want! pic.twitter.com/GcCtZdeLB9,0,0,1,True,
FPMRSJournal,2017-10-04,15:27:40,@FPMRSJournal editorial board is here at #PFDWeek and ready to tweet! #AUGS2017 pic.twitter.com/U5QJb0w2yK,14,1,14,True,"#PFDWeek,#AUGS2017"
