username,date,time,tweet,likes,replies,retweets,retweet,hashtags
NVanGroningenMD,2018-05-30,15:21:47,"See my latest in @HuffPost: ""The entire right-to-try approach is based on a myth."" https://www.huffingtonpost.com/entry/opinion-vangroningen-righttotry-bill_us_5b0ebcc4e4b0fdb2aa58c732?ncid=engmodushpmg00000004 …",3,1,0,True,
NVanGroningenMD,2018-05-09,13:01:12,"Me breaking down the immensely annoying phenomenon that is hiccups, for @SELFmagazine on behalf of @CedarsSinai - https://www.self.com/story/how-to-get-rid-of-hiccups …",7,1,2,True,
CedarsSinai,2018-03-27,19:18:00,"New research shows worldwide use of #antibiotics skyrocketed between 2000 and 2015, despite growing concerns about #antibioticresistance. http://ceda.rs/6012r02J4 ",4,1,7,True,"#antibiotics,#antibioticresistance"
NVanGroningenMD,2018-02-15,23:39:11,Transgender Woman Breast-Feeds Baby After Hospital Induces Lactation https://nyti.ms/2C2QJCV ,1,0,0,True,
CedarsSinai,2018-01-30,22:08:41,Researchers found long-term exposure to the #stress hormone #cortisol is tied to increased levels of #obesity. http://ceda.rs/6013rLmxW ,8,0,4,True,"#stress,#cortisol,#obesity"
AnnalsofIM,2018-01-29,14:32:31,"Alcohol impairment remains the leading cause of traffic deaths, with about 10K occurring each year. How do we get to zero  http://bit.ly/2DBKLJC ? pic.twitter.com/0Be7n3Mnis",8,1,8,True,
NVanGroningenMD,2017-10-10,23:41:35,Why Stanford Researchers Tried to Create a ‘Gaydar’ Machine https://nyti.ms/2yUEEtL ,1,0,0,True,
NVanGroningenMD,2017-09-23,17:15:16,"Yes, Aaron Hernandez Suffered Brain Injury. But That May Not Explain His Violence. https://nyti.ms/2jRQBhg ",1,0,0,True,
NVanGroningenMD,2017-09-21,19:43:50,My latest for @POPSUGAR: The Most Effective Ways to Avoid Getting a Cold This Season  https://www.popsugar.com/fitness/Ways-Prevent-Colds-Flus-44025820?utm_campaign=desktop_share&utm_medium=twitter&utm_source=popsugar … via @POPSUGARFitness,3,0,0,True,
NVanGroningenMD,2017-09-05,22:56:48,5 Books That Will Inspire All Your Wellness Goals  https://www.popsugar.com/fitness/Best-Wellness-Books-43938260?utm_campaign=desktop_share&utm_medium=twitter&utm_source=popsugar … via @POPSUGARFitness,6,0,0,True,
NVanGroningenMD,2017-09-04,16:05:12,Why a Routine Colonoscopy Is More Essential Than Ever on @goop: http://goop.com/routine-colonoscopy-essential-ever/ …,1,0,0,True,
NVanGroningenMD,2017-09-04,12:38:50,Opioids Aren’t the Only Pain Drugs to Fear https://nyti.ms/2xIElTd ,0,0,0,True,
NVanGroningenMD,2017-08-31,18:32:45,One of many under-discussed health consequences of Hurricane #Harvey: mold.  Great piece @jameshamblin https://www.theatlantic.com/health/archive/2017/08/mold-city/538224/?utm_source=twb …,0,0,0,True,#Harvey
NPR,2017-08-31,11:51:22,"If you're donating money for #Harvey relief, be careful of scams and suspicious links http://n.pr/2iKRJ5w ",231,19,297,True,#Harvey
RWJF,2017-08-31,07:48:02,"It's time to get curious, aware, and motivated about the #StateofObesity in the U.S.  http://stateofobesity.org  pic.twitter.com/qfGK1mFfpE",34,1,40,True,#StateofObesity
QuoraSessions,2017-08-16,17:00:41,Does the Atkins diet work? By @NVanGroningenMD  https://www.quora.com/Does-the-Atkins-diet-work/answer/Nicole-Van-Groningen?ref=sessionsT … pic.twitter.com/vR6diY6MCh,0,0,1,True,
NVanGroningenMD,2017-08-04,20:53:47,"My insights on treating #Asthma naturally, via @mydomaine http://bit.ly/2usXi9H ",2,0,0,True,#Asthma
UCSFHospitals,2017-08-04,20:45:04,"UCSF prof. explores whether oxytocin, ""the love hormone"" could treat #PTSD & alcohol abuse.  http://ucsfh.org/2fgK4L3  pic.twitter.com/BzBwA5Jz38",13,0,5,True,#PTSD
QuoraSessions,2017-08-03,12:46:06,How do doctors approach problem solving? By @NVanGroningenMD  https://www.quora.com/How-do-doctors-approach-problem-solving/answer/Nicole-Van-Groningen?ref=sessionsT … pic.twitter.com/mdtlNdgz8c,2,0,2,True,
NVanGroningenMD,2017-08-01,14:52:47,I'm taking your burning health-related questions on @Quora starting NOW! https://www.quora.com/session/Nicole-Van-Groningen/1?share=4362e92b …,0,0,0,True,
NVanGroningenMD,2017-07-28,14:29:20,I Am a Transgender Female Captain in the U.S. Army https://nyti.ms/2tNLR0u ,0,0,0,True,
kevinmd,2017-07-28,12:08:13,A homeless man says what it’s really like to be marginalized  http://dlvr.it/PZBx7y  via @kevinmd pic.twitter.com/ut5jO3RuiI,7,0,6,True,
DrRichBesser,2017-07-28,05:49:54,Time for a bipartisan effort to reduce costs and improve health and healthcare for all. https://twitter.com/charlesornstein/status/890808965138751488 …,60,3,30,True,
SenBooker,2017-07-25,11:54:05,This is a make or break moment. A moral moment. Any senator who votes YES on health care repeal does so knowing 22M+ Americans will be hurt. pic.twitter.com/TPQiQyDV4w,3128,191,1627,True,
POPSUGARFitness,2017-07-25,13:41:07,Here are the facts. https://www.popsugar.com/fitness/Coffee-Bad-You-43787749 …,3,0,3,True,
NVanGroningenMD,2017-07-26,10:25:27,I have a new hero and it's @chrissyteigen https://twitter.com/chrissyteigen/status/889832887041871873 …,1,0,0,True,
NVanGroningenMD,2017-07-26,10:18:34,My latest for @POPSUGAR - Is Coffee Bad For You?  https://www.popsugar.com/fitness/Coffee-Bad-You-43787749?utm_campaign=desktop_share&utm_medium=twitter&utm_source=popsugar … via @POPSUGARFitness,3,1,1,True,
NVanGroningenMD,2017-07-25,13:59:24,All but one of 111 former pro football players had brain injury CTE in study - ABC News -  http://abcn.ws/2vXKKZ5  via @ABC,0,0,0,True,
JAMA_current,2017-07-09,09:00:02,@ehlJAMA Mythbusters: Allergy to Penicillin Isn't Usually Lifelong. The great @ehljama discusses  management of PCN Allergy  http://ja.ma/2uF27xI  pic.twitter.com/RqckYROvUD,74,1,83,True,
