username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PhilFleshnerMD,2018-05-15,22:48:16,So nice. Remember all the fun times we had https://twitter.com/bardakcioglumd/status/996592504643317761 …,3,0,1,True,
KarenZaghiyanMD,2018-04-30,18:17:30, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC351831/ … #noninferioritytrials #colorectalresearch #colorectalsurgery p pic.twitter.com/XGzrQce3Xo,5,0,5,True,"#noninferioritytrials,#colorectalresearch,#colorectalsurgery"
KarenZaghiyanMD,2018-04-16,20:58:29,Happy 60th GOMER birthday to @PhilFleshnerMD - wishing you many more years of awesomeness! pic.twitter.com/ftJ5UcNZwu,29,3,7,True,
FezaRemziMD,2018-03-29,12:04:42,"@colorectal_jay @AmyLightnerMD @AntoninoSpin @debby_keller @ScottRSteeleMD @dubaicolorectal @SWexner @PhilFleshnerMD @KarenZaghiyanMD 😊 🙏.I would go with initial TAC & ileostomy in this setting& stage IPAA,since most of these patients would also be on biologics. Regarding steroids 100 mgr IV hydrocortisone qd then 15 mgr prednisone po & taper 6 wks, despite there is no level 1 evidence how to do it .",17,0,7,True,
KarenZaghiyanMD,2018-03-29,11:46:40,Our all woman OR team with my ex-co-resident @A_GangiMD! Combined colon & liver resection! #OnlyManIsThePatient @CedarsSinai #ColorectalCancerAwareness #ilooklikeasurgeon pic.twitter.com/oDdMxxtQ2F,25,0,4,True,"#OnlyManIsThePatient,#ColorectalCancerAwareness,#ilooklikeasurgeon"
KarenZaghiyanMD,2018-03-29,11:35:52,How do you manage periop steroids in IBD? 29 F with UC on 20 mg prednisone for 5 months having IPAA:#colorectalsurgery #ibd @SWexner @dubaicolorectal @ScottRSteeleMD @debby_keller @AntoninoSpin @AmyLightnerMD @colorectal_jay @PhilFleshnerMD @FezaRemziMD,16,8,14,True,"#colorectalsurgery,#ibd"
PhilFleshnerMD,2018-02-28,18:38:25,@SamAtallahMD @dubaicolorectal @Suzanne_Devkota @debby_keller @SWexner @KarenZaghiyanMD Sharing my screen to help @AmericanCancer fight #coloncancer- share a screenshot of your lock screen w/ #ShareYourScreen & remind folks to get screened for #coloncancer if you're 50+? pic.twitter.com/jYcCdWpgtI,19,1,7,True,"#coloncancer,#ShareYourScreen,#coloncancer"
PhilFleshnerMD,2018-02-28,16:16:02,@dubaicolorectal @fascrs_updates @JoeCarmichael8 @debby_keller time to update recently publsihed #eras guidelines!  https://www.fascrs.org/sites/default/files/downloads/publication/clinical_practice_guidelines_for_enhanced_recovery.3.pdf …,5,1,1,True,#eras
dubaicolorectal,2018-02-28,10:46:38,The only advantage is to kill time and keep patient busy with various gum flavor as the ileus resolves! In full agreement Phil.  It was a fad that came and went...@dubaicolorectal https://twitter.com/philfleshnermd/status/968588470577897473 …,3,1,2,True,
PhilFleshnerMD,2018-02-27,14:47:41,Why is this news? Level 1 evidence about 5 years ago. No benefit to chewing gum   https://journals.lww.com/dcrjournal/Abstract/2013/03000/A_Prospective_Randomized_Controlled_Trial_of.10.aspx … @KarenZaghiyanMD @DCRjournal @fascrs_updates https://twitter.com/sj_chapman/status/966703877600022528 …,14,1,6,True,
PhilFleshnerMD,2018-01-17,18:35:49,"@Neil_J_Smart @ManishChandSurg @rogier_crolla @KarenZaghiyanMD Hard to envision tattoo dye going all the way to mesorectal plane. Have not seen that happen, maybe it was placed too deep in those cases. U guys have any data to show adverse effect on tme?",2,2,1,True,
PhilFleshnerMD,2018-01-04,10:54:46,Simpler is almost always better #colorectalsurgery #colorectalresearch https://twitter.com/karenzaghiyanmd/status/948781794794528768 …,5,0,3,True,"#colorectalsurgery,#colorectalresearch"
ImedexCME,2017-11-06,10:08:42,We can't wait to see you in Orlando in 3 days for this year's premier #IBD event!  http://bit.ly/2Ap3h3x  #AIBD2017 pic.twitter.com/1GEHQdwxwu,6,1,4,True,"#IBD,#AIBD2017"
PhilFleshnerMD,2017-09-29,17:06:48,AIBD conference coming up in Orlando Nov 9-11. Use my personal code FACULTY75 to get $75 off - Seats going fast!  http://bit.ly/2k31Xio ,10,2,6,True,
AntoninoSpin,2017-09-02,12:19:40,Right now: a complete #rainbow 🌈 in #Milano. Wonderful surprise after a ☔️ work day pic.twitter.com/DAFvjPpnaG,42,3,10,True,"#rainbow,#Milano"
IBDMD,2017-07-18,18:48:52,@NaturoDiaries Shame on you @drmarkstengler. This is the most irresponsible tweet I have seen in the medical space.,16,0,3,True,
