username,date,time,tweet,likes,replies,retweets,retweet,hashtags
mmlodown,2018-07-12,17:19:41,"There are so many other things wrong with the world, but Magritte’s signature is the stain that keeps all his paintings from being top-notch.",6,0,0,True,
mmlodown,2018-06-30,17:00:20,Loved the drummers from @krcla; and the lone tuba-player at today’s LA’s #FamiliesBelongTogetherMarch. Thanks for keeping our rhythm going! https://twitter.com/krcla/status/1013169069510414336 …,12,0,0,True,#FamiliesBelongTogetherMarch
priskaneely,2018-06-28,14:49:05,"Black babies in the US are twice as likely to die before their first birthday as white babies. Since I learned this ugly statistic, and realized it touched my own family, I’ve been wondering: How has this been true for so long? How do we fix it?Here's what I found 👇",4016,52,2733,True,
AAIHS,2018-06-27,19:00:11,"#Job Opening: Museum #Curator in African #American #Science, #Technology and #Medicine - @amhistorymuseum  https://buff.ly/2Ke6L1n  #STEM #Business #Agriculture #Chemistry #History pic.twitter.com/actdi38wHa",6,0,7,True,"#Job,#Curator,#American,#Science,#Technology,#Medicine,#STEM,#Business,#Agriculture,#Chemistry,#History"
arjunsethi81,2018-06-26,09:30:46,Today is a dark chapter in US history. The Supreme Court just upheld the #MuslimBan. The dissent got this right. This was never about national security; only anti-Muslim hate. pic.twitter.com/njgBh1wIyJ,4926,210,3080,True,#MuslimBan
mmlodown,2018-06-24,10:19:34,"It’s on my calendar! And, @ABWHTruth, if you need an extra hand in LA, I’d love to help with local arrangements! https://twitter.com/abwhtruth/status/1010592172612177922 …",1,0,0,True,
Laurie_Garrett,2018-06-22,12:00:18,"Stop whatever you're doing and read the @WhiteHouse plan for complete reorganization of the entire federal government. I have tweeted some highlights, but honestly can't begin to capture the horror.Overall, it privatizes a lot, cuts, & consolidates power. https://www.whitehouse.gov/wp-content/uploads/2018/06/Government-Reform-and-Reorg-Plan.pdf …",25228,2691,30656,True,
hayesdavenport,2018-06-22,18:22:33,"Mayor Garcetti is getting ready to re-criminalize sleeping on the sidewalk in LA. I've tried to be optimistic about his positions on homelessness, but this would be about the cruelest and most morally bankrupt thing he could do. (thread) http://www.latimes.com/local/lanow/la-me-ln-sidewalk-sleeping-20180622-story.html …",612,12,250,True,
mmlodown,2018-06-22,18:37:39,"Okay, update: _The Objectivity of My Affection_ is incredible, should be required reading for all history of science and medicine classes, no matter your specialty. I can’t recommend this comic enough! It’s the intro to crtitical #histmed #histsci I’ve been waiting for! https://twitter.com/mmlodown/status/1010178390488330240 …",1,0,1,True,"#histmed,#histsci"
mmlodown,2018-06-22,13:05:18,I am so excited to participate in this @antiracistedu convening next month! Join me 🤗 https://twitter.com/antiracistedu/status/1010221379097014273 …,2,0,0,True,
mmlodown,2018-06-22,10:11:11,"Can’t wait to read @wangshuf’s amazing comic. Thanks, @FreeRadsBlog, for making it available at your workshop last night! pic.twitter.com/Ep0sTcLX7X",11,2,6,True,
mmlodown,2018-06-22,00:06:59,"@ColorCoded I loved this, and and can’t wait to keep talking and thinking about all that we learned together. Thanks, @FreeRadsBlog and @colorcoded, for a great night! https://twitter.com/colorcodedla/status/1007358258447724544 …",8,0,3,True,
BeschlossDC,2018-06-18,11:07:03,"Japanese American internment camp near Jerome, Arkansas, today 1944:           #NARA pic.twitter.com/M5m7sfCGP3",2666,140,2034,True,#NARA
mmlodown,2018-06-16,17:27:36,I humbly request that @NikolaiHwood add this music video to his art history course on masterpieces!  APES**T - THE CARTERS  https://youtu.be/kbMqWXnpXcA   via @YouTube,3,2,0,True,
mmlodown,2018-06-15,19:27:20,SKAM : now :: Dutch realist paintings : 17th century! https://twitter.com/newyorker/status/1006877017005084674 …,2,1,0,True,
andraydomise,2018-06-08,07:07:42,"I'm not gonna make this a long one. But I will say that Anthony Bourdain embodied what decolonial allyship looks like in popular culture. During his visit to South Africa, he stood in slack-jawed amazement in Pretoria, marveling that Paul Kruger's statue hadn't been torn down.",2380,6,835,True,
andreagonram,2018-06-06,10:46:20,"If you are constantly wondering which organizations are committed to helping Puerto Rico, I have THE list for you. Support them, share this information with others, donate:  http://www.latinorebels.com/2018/06/06/the-abcs-of-boricua-resilience/ … via @latinorebels",250,3,222,True,
mmlodown,2018-06-05,08:40:50,"I love you, Los Angeles! Can't wait to wear my ""I Voted"" sticker with you today!  https://twitter.com/helytimes/status/1003901722320760832 …",7,0,0,True,
mmlodown,2018-05-28,12:49:51,Bonus #4 resource: The latest episode of LA Podcast!  https://twitter.com/hayesdavenport/status/1001158048071716865 ….,1,0,0,True,#4
mmlodown,2018-05-28,12:39:07,"3. And this great guide -  http://www.ppactionca.org/local-info/mar-monte/voter-guide-2018.html … - from Planned Parenthood's Action Fund, @PPact!  Hope this helps.  I'm excited to be voting with all of you this summer!",2,1,0,True,
mmlodown,2018-05-28,12:39:07,"2. @KPCC has done some great coverage of all the candidates and measures on our ballot.   https://www.scpr.org/topics/2018%20Elections …. Especially helpful are their ""Your guide to..."" packages.",2,1,0,True,
mmlodown,2018-05-28,12:39:06,"If you're voting in Los Angeles on June 5th, or mailing in your ballot this week, here are 3 resources that will help you sort it out!  1. Not sure what to do about all those judicial candidates? check out the @LACBA's qualification ratings for each candidate. h/t @dulcebhbc! https://twitter.com/LACBA/status/998704880830242816 …",13,2,3,True,
IjeomaOluo,2018-05-27,23:12:57,"This thread offers important perspective and should inspire us to all do deeper reading on this topic before our justified, yet maybe uninformed, concern over these kids actually makes things more difficult for them. https://twitter.com/jduffyrice/status/1000927903759110144 …",6145,44,3305,True,
conversationx,2018-05-26,10:44:54,Black graduate students at @Yale have collectively launched a critique of structural racism in higher education and a blueprint for abolishing it in an open letter addressed to their administration:  https://bit.ly/2ILuPaR #BlackLivesMatter #AntiBlackRacism #Yale,257,2,195,True,"#BlackLivesMatter,#AntiBlackRacism,#Yale"
mmlodown,2018-05-27,11:57:41,"Have other fellow Angelenos noticed how taggers have been spray painting huge letters on 15ft buildings - where each letter is like 13ft tall? Driving down the 101, I keep marveling at the scale, and wonder what gave rise to this. Any thoughts?",5,0,0,True,
rtraister,2018-05-24,09:41:20,"This is so powerful. If you want a genuinely good cry, I recommend clicking through. https://twitter.com/jacremes/status/999636867753668608 …",1837,20,539,True,
mmlodown,2018-05-23,19:09:31,Joe Brown is why I love @MIT and @sciarc! https://twitter.com/MIT/status/996421336733020160 …,3,0,1,True,
tsengputterman,2018-05-16,16:22:38,"When you say ""Asian Americans"" are filing affirmative action lawsuits against Yale and Harvard, you are perpetuating the falsehood on which the vocal minority of conservative Chinese Americans rely: that they speak for an entire, pan-ethnic community of Asian Americans.",587,4,177,True,
mmlodown,2018-05-15,17:43:53,"Yes, @JennaTonn!  https://rdcu.be/Omqk  https://twitter.com/jennatonn/status/996478551833677824 …",1,0,0,True,
mmlodown,2018-05-15,13:10:05,"Thanks for the RT, @lisaformancody! 💖",0,0,0,True,
mmlodown,2018-05-15,13:07:57,"The Cedars-Sinai Program in the History of Medicine is delighted to welcome Dr. Michael Sappol *today* at 12pm! He’ll give his talk - “Anatomy’s Photography: Objectivity, Showmanship & the Reinvention of the Anatomical Image” - at Harvey More Conference Center Rooms 1&2! #histmed pic.twitter.com/2lCjZdhH4s",12,2,3,True,#histmed
mmlodown,2018-05-13,13:50:49,Thanks esp to @EliOAnders and @EmilyContois for modeling how to live-tweet a stimulating academic conference!,8,1,1,True,
mmlodown,2018-05-13,13:47:30,Thank you so much for a wonderful #AAHM2018 (my first!). I learned so much from so many of you. And I can’t wait to keep thinking with you about how we can put intersectionality at the center of our field.,15,1,2,True,#AAHM2018
mmlodown,2018-05-13,13:32:30,"In postwar years, perception that “In a lesbian relationship, no one wears the pants.” (Fascinating idea of clothing/surface as a means of reading systemic power dynamics; and that hark back to the pernicious idea of one’s sexuality as a choice.) pic.twitter.com/9olpGZemrs",0,0,0,True,
mmlodown,2018-05-13,13:25:49,"Up next: Kosovsky on Lesbian Battering: Gender, Domestic Violnce, and Psychology in the US, 1950s-2000. Pushing for a more intersectional approach to domestic and interpersonal violence.",0,1,0,True,
mmlodown,2018-05-13,13:23:00,"Learned so much in both McKay’s talk and the Q&A! For instance, there were disparities in treating VD in female prostitutes vs gay men. pic.twitter.com/uCsdS0XuC2",0,1,0,True,
mmlodown,2018-05-13,13:09:27,"McKay: CA as crucible of homophile movement - LA in particular; then it moved up to SF. Health as a big part of the conversation. (I’m glad to learn more about the Mattachine Society, and it’s Revview.) pic.twitter.com/eu69auOHX3",0,1,0,True,
mmlodown,2018-05-13,13:04:27,"McKay on growing communities of homosexual men after WWII, via urbanization and more solidarity among homophilic men. pic.twitter.com/YxCNmYWrKs",0,1,0,True,
mmlodown,2018-05-13,12:49:15,"Sappol: “A lock on an anatomical atlas is unusual.” This lock can be found on a copy of Maclise’s Surgical Anatomical, held at Columbia. pic.twitter.com/4ca2rXmXnH",0,1,0,True,
mmlodown,2018-05-13,12:47:22,Maclise arranging flirtatious contact. pic.twitter.com/HdcHtNXHpK,0,1,0,True,
mmlodown,2018-05-13,12:44:24, pic.twitter.com/syCWYUxa81,0,1,0,True,
mmlodown,2018-05-13,12:42:23,“Between men” is a crucial term here for describing an anatomical culture of concealment. pic.twitter.com/iI0vn0Z1eL,1,1,0,True,
mmlodown,2018-05-13,12:35:03,Sappol: The epistemology of the anatomical closet. “Let’s wander into epistemologically uncertain territory.” (Sappol’s eloquent work is what we need right now.) pic.twitter.com/MI2jYWv09g,1,1,0,True,
mmlodown,2018-05-13,12:30:18,"Ending my #AAHM2018 with “Sexuality, Identity, And Health,” including presentations by Michael Sappol, Richard McKay, and Rodion Kosovsky. pic.twitter.com/MYrFtR1apr",3,1,1,True,#AAHM2018
mmlodown,2018-05-13,11:57:45,@motherwitCPM: Data gathering itself as a contest for the well-being of the French nation. Yes!,1,0,0,True,
mmlodown,2018-05-13,11:53:13,"The Soissons public preferred “uneducated”/routinized midwives. (“Such are the women of the country,” read some responses.)",2,1,0,True,
mmlodown,2018-05-13,11:50:12,"Uneducated midwives described in survey responses as “uneducated, only hasroutine; “without instruction, only practices by routine.” Raises fascinating questions about what kinds of knowledge count in the face of anxieties about population decline, degeneration.",1,1,0,True,
mmlodown,2018-05-13,11:42:41,Printed tables become models for such negotiation. pic.twitter.com/GdB5HnXJpK,1,1,0,True,
mmlodown,2018-05-13,11:40:46,Incredible quote from @motherwitCPM’s talk. The anxiety of degeneration and population decline >> educating midwives. pic.twitter.com/9MW4CSL7N7,1,1,0,True,
mmlodown,2018-05-13,11:39:04,"@motherwitCPM is doing awesome work on 18th-c French big data, population and health that centers on the tension between universal v local conceptions of midwives.",2,1,0,True,
mmlodown,2018-05-13,11:22:14,"Manning: and though Descartes was interested in actio, he was describing sub-visible phenomena. That is, he was describing the mechanisms of things he had never seen. (This, I think, is the central paradox of Descartes’s pictures.)",3,1,0,True,
mmlodown,2018-05-13,11:15:24,Manning: early Modern anatomy is a four-part study: historia (how things are) > actio (how things work) > used (what thing are for); relays historian to usus (final cause). Descartes not interested in usus but actio!,4,1,0,True,
mmlodown,2018-05-13,11:10:48,"Just got to this exciting #AAHM2018 panel, Early Modern Medicine and its Paper Trails with Cynthia Klestinec, Gideon Manning, and @motherwitCPM! pic.twitter.com/34ShULsPQu",10,1,2,True,#AAHM2018
EliOAnders,2018-05-12,14:56:46,.@AyahNerd: There is an urgency of engaging with race in our work at this particular moment. We can’t let the one “race person” in our departments shoulder the intellectual and administrative labor of this work #aahm2018 pic.twitter.com/DtIaorAJAh,16,1,3,True,#aahm2018
mmlodown,2018-05-12,13:53:03,"Some machines also had fluids! These machines helped male surgeons familiarize themselves with childbirth. Childbirth interpreted by male practitioners as a mechanical, pathological. Most models based on illustrations (Hunter, Smellie) rather than actual bodies.",1,0,1,True,
mmlodown,2018-05-12,13:41:09,"Sometimes when such machines were manipulated, their eyes would move. 👀",1,2,2,True,
mmlodown,2018-05-12,13:39:58,Aforementioned obstetrical machines! pic.twitter.com/uqof3CSpt4,2,1,1,True,
mmlodown,2018-05-12,13:39:16,Kosmin historicizes late 18th-c Italian obstetrical “machines” and waxes as both pedagogical and marvelous. These objects were commissioned by the Pavia midwifery school- to train female midwives and male surgeons. pic.twitter.com/QqYlU9jx3s,1,1,2,True,
mmlodown,2018-05-12,13:13:41,"Two indigenous codices that record the disease, mainly characterized by nosebleeds pic.twitter.com/qUlkk53GZ3",1,1,1,True,
