username,date,time,tweet,likes,replies,retweets,retweet,hashtags
AnnReedMD,2018-07-15,13:17:46,Congratulations to the JVKK fighting childhood cancer. #ChildhoodCancer #DCI @Duke_Childrens @AnnReedMD pic.twitter.com/Heg5lcNhCa,1,0,4,True,"#ChildhoodCancer,#DCI"
AnnReedMD,2018-07-13,07:02:10,Congratulations and welcome. @Duke_Childrens https://twitter.com/dcrinews/status/1016734283560574977 …,1,0,1,True,
AnnReedMD,2018-07-13,07:00:49,Interesting work to help children with asthma @Duke_Childrens @AnnReedMD #stopasthma https://twitter.com/dukechdi/status/1017443533953929217 …,1,0,0,True,#stopasthma
AnnReedMD,2018-07-08,11:39:27,Proud to wear and share the message of CureJM #CureJM @Duke_Childrens @curejm pic.twitter.com/AkIfiySig7,20,1,4,True,#CureJM
AnnReedMD,2018-07-07,15:57:08,Can’t wait to participate in this great cause.  @Duke_Childrens @AnnReedMD #overtheedge https://twitter.com/duke_childrens/status/1015321409961197569 …,0,0,0,True,#overtheedge
AnnReedMD,2018-07-06,06:42:51,Congratulations to the Duke Children’s Heart Center for opening new Cath and EP labs @AnnReedMD @Duke_Childrens pic.twitter.com/KAzwzbVEVQ,19,0,5,True,
AnnReedMD,2018-07-04,17:01:53,Thank you Representative Price for helping children. @RepDavidEPrice @Duke_Childrens @AnnReedMD https://twitter.com/dukegovrel/status/1011699762972774400 …,2,0,0,True,
AnnReedMD,2018-07-04,17:00:40,Thank you Senator Burr for helping children @SenatorBurr @Duke_Childrens https://twitter.com/dukegovrel/status/1011698633421582338 …,0,0,0,True,
AnnReedMD,2018-07-04,16:57:05,Happy Birthday USA. #IndependanceDay #dukechildrens @Duke_Childrens @AnnReedMD,0,0,0,True,"#IndependanceDay,#dukechildrens"
AnnReedMD,2018-07-04,16:55:39,Just think how many people their discovery has helped. @Duke_Childrens #WomenInSTEM https://twitter.com/salliepermar/status/1014523536331943937 …,0,0,0,True,#WomenInSTEM
AnnReedMD,2018-06-30,10:04:57,Families Belong Together March in DC today.   @AnnReedMD @Duke_Childrens,2,0,0,True,
AnnReedMD,2018-06-30,09:50:38,Work to find new drugs for Myositis treatment by Travis Kinder and  NCATS @curejm @AnnReedMD @Duke_Childrens pic.twitter.com/xTLTMFI8dO,5,0,1,True,
