username,date,time,tweet,likes,replies,retweets,retweet,hashtags
JonPicciniSr,2018-07-17,09:05:44,Great paper by Dr. Patel @PassmanRod @NMHheartdoc @JavedButler1 that highlights all of the challenges and great opportunities for #afib clinical trials moving forward @DCRINews @DukeHeartCenter @NorthwesternMed #mustread https://twitter.com/drjohnm/status/1019167355044356097 …,9,0,1,True,"#afib,#mustread"
JonPicciniSr,2018-07-12,21:31:12,It’s great. Good protection and very easy to use. https://twitter.com/peterhu02/status/1017558865259450369 …,11,0,1,True,
Gayle52,2018-07-10,11:24:08,"Behind the scenes at AHA: 👏 for Braunwald awardee Rob Califf, Research Achievement Gary Gibbons & Chairman’s Mary Ann Bauman. I know! Some ‘unknowns’ in the field 😀. Gee, I hope their careers eventually take off! @DCRINews @nih_nhlbi @AHAScience @American_Heart @AHAMeetings",21,0,5,True,
JonPicciniSr,2018-07-10,10:19:20,Another big step forward for #afib screening. https://twitter.com/erictopol/status/1016698819747049473 …,24,1,9,True,#afib
ErinMichos,2018-07-06,16:50:40,Such a great program!  Made all the difference in my own career and my decision to stay in academic medicine despite overwhelming educational debt. #LRP https://twitter.com/NHLBI_Translate/status/1015280984789569536 …,13,1,2,True,#LRP
TJaredBunch,2018-06-29,18:37:51,Mechanistic insight>Reversal of adverse substrate after Catheter Abl for AF in CHF. Regression of Diffuse Ventricular Fibrosis Following Restoration of SR w Catheter Abl in Pts W Atrial Fibrillation & Systolic Dysfunction (Substudy of the CAMERA MRI Trial)  http://electrophysiology.onlinejacc.org/content/early/2018/06/21/j.jacep.2018.04.013 … pic.twitter.com/QdOlBpi2nE,25,0,13,True,
MariaHeartGBA,2018-06-29,14:25:12,.@HeartBobH Congratulations from all of us at @AHABayArea on being elected as national American Heart Association volunteer board president-elect. We look forward to working with you and supporting you locally. @KathyatHeart,15,0,4,True,
DCRINews,2018-06-26,08:05:04,"The DCRI’s @SVRaoMD will become the new editor-in-chief of Circulation: Cardiovascular Interventions, one of 12 @American_Heart scientific journals, on July 1.  https://dcri.org/rao-named-editor/ … @HeartNews @AHAScience pic.twitter.com/pKHJZLDcJF",126,5,26,True,
AmericanHeartJ,2018-06-27,16:19:00,Open Access: Catheter Ablation versus Antiarrhythmic Drug Therapy for Atrial Fibrillation (CABANA) Trial: Study Rationale and Design.  https://www.ncbi.nlm.nih.gov/pubmed/29754661  pic.twitter.com/qjhRPC3UWh,12,0,7,True,
hrs_journal,2018-06-27,11:00:02,Mechanical function of the left atrium is improved with epicardial ligation of the left atrial appendage: Insights from the LAFIT-LARIAT Registry https://www.heartrhythmjournal.com/article/S1547-5271(18)30133-4/fulltext …,11,0,6,True,
califf001,2018-06-23,11:25:08,"@DukeForge A hospital that touts a ""mortality rate of zero"" is not a real hospital.  @dukeforge https://twitter.com/coconnormd/status/1010523475864358912 …",65,4,20,True,
SBRT_CR,2018-06-23,07:44:54,@subatomicdoc @DoctorPhillEP @Rad_Nation Quite a lot in common between #radonc and #EPeeps I’ll let a goofy slide I made for #HRS2018 do the talking. 🤓 pic.twitter.com/zO4NlOs17Z,17,4,7,True,"#radonc,#EPeeps,#HRS2018"
JonPicciniSr,2018-06-22,14:43:28,Agree. Congrats @jspertus - so well deserved ! https://twitter.com/dr_bowtie65/status/1010187553465483264 …,1,0,0,True,
JICE_EP,2018-06-20,09:22:27,#OpenAccess highlights from the June 2018 issue: Atrial fibrillation ablation using very short duration 50 W ablations and contact force sensing catheters.  https://link.springer.com/article/10.1007/s10840-018-0322-6 …#AFib #Afablation pic.twitter.com/qNRyLOy1Ym,31,0,21,True,"#OpenAccess,#AFib,#Afablation"
ImperialBioeng,2018-06-18,11:38:35,"""Our society relies on Computer simulations everyday, but in Medicine this is not the case."" Professor Trayanova pic.twitter.com/QzysMjTont",8,0,3,True,
NDscience,2018-06-18,11:16:57,Hear @NotreDame Prof. Baker's inspirational TedX talk about using immunotherapy to treat cancer:  https://youtu.be/NfzxiJ__rOk  and don't forget to join us at 4. June 20 in Harper Hall for the 4th Annual Harper Cancer Research Institute Open House. Public is welcome! #cancerresearch pic.twitter.com/12NaWo36uH,19,0,10,True,#cancerresearch
DrPascalMeier,2018-06-17,08:03:41,Pocket defibrillator - interesting innovation! #SuddenCardiacArrest #AED https://twitter.com/aheightman/status/1007111709830467585 …,207,4,109,True,"#SuddenCardiacArrest,#AED"
