username,date,time,tweet,likes,replies,retweets,retweet,hashtags
JonRouthPediUro,2018-07-15,06:43:58,"Wow.  This ... this is why I (& a lot of doctors like me) spend so much time thinking about how to help kids with cancer.  And with that, off to the airport for the @COGorg #sarcoma meeting ... https://www.nytimes.com/2018/07/14/us/5-year-old-obit-cancer.html?action=click&module=In%20Other%20News&pgtype=Homepage&action=click&module=Latest&pgtype=Homepage …",27,0,8,True,#sarcoma
Atul_Gawande,2018-07-13,08:01:28,The elimination of Agency for Healthcare Research & Quality's  National Guidelines Clearinghouse health care is another astonishing and unconscionable blow for access to scientific information. https://thebea.st/2LdQhTj ,1517,87,1628,True,
DukeUrology,2018-07-13,19:38:40,And we’re incredibly #proud to have you #represent us! https://twitter.com/m_ferrandinomd/status/1017874029942902784 …,2,0,1,True,"#proud,#represent"
JonRouthPediUro,2018-07-13,19:39:49,Strong work my friend! https://twitter.com/m_ferrandinomd/status/1017872330633220099 …,2,0,0,True,
DukeMedSchool,2018-07-12,15:39:02,Congratulations to the three Duke Medical Students named to the 2018-19 class of NC Albert Schweitzer Fellows  https://bit.ly/2maZYXD  @SchweitzerASF #Duke_PCLT pic.twitter.com/LYEggJWzPr,8,0,3,True,#Duke_PCLT
JuddMoul,2018-07-10,16:29:45,"@DukeUrology Duke Tuesday in Urology L-R: Drs Glenn Preminger, Ila Skinner (Morris Visiting Professor), Dan George, Drew Peterson, Mike Ferrandino. Great talks and discussion and Thanks to Duke Eye Center for hosting us in their new auditorium @DukeSurgery @DukeCancer pic.twitter.com/Xj1ucPhR1M",9,1,7,True,
ChandrapalJason,2018-07-03,16:47:15,Last day with the ped uro OR staff. Great 3 months working with these folks. pic.twitter.com/md3P8aukk7,17,0,1,True,
JonRouthPediUro,2018-07-01,21:26:56,Well said my friend! https://twitter.com/uretericbud/status/1013594370321403904 …,4,0,0,True,
GomerBlog,2018-07-01,20:47:05,RT The Difference Between Da Vinci & an F-22 Raptor -  https://gomerblog.com/2018/06/difference-da-vinci-f-22-raptor/?utm_source=TW&utm_campaign=DIRECT … #meded #FOAMed #hcsm,4,0,1,True,"#meded,#FOAMed,#hcsm"
PedsUroOnc,2018-06-27,15:18:38,What is the risk of local recurrence after laparoscopic transperitoneal radical nephrectomy in children with Wilms tumours? Analysis of a local series and review of the literature … https://www-sciencedirect-com.proxy.hsl.ucdenver.edu/science/article/pii/S147751311830158X …,2,0,1,True,
ESPUorg,2018-06-28,09:36:38,JPUrol -  Clinical outcomes of children with Wilms tumor treated on a SIOP WT 2001 protocol… https://goo.gl/fb/5VRcRZ ,4,0,7,True,
