username,date,time,tweet,likes,replies,retweets,retweet,hashtags
pcan_journal,2018-07-16,15:51:19,Prostate Cancer ADT Ups Thromboembolic Event Risk http://www.renalandurologynews.com/prostate-cancer/androgen-deprivation-therapy-for-prostate-cancer-increases-thromboembolism-risk/article/780521/ …,2,0,2,True,
NatRevUrol,2018-07-16,11:07:47,The FDA has approved enzalutamide for patients with castration-resistant #ProstateCancer on the basis of the phase III PROSPER trial findings ( recently published in @NEJM )  http://ow.ly/vIpT30kYwfW ,9,0,8,True,#ProstateCancer
DukeU,2018-07-16,10:21:02,Medical interpreters at @DukeHealth play a vital role.  http://fal.cn/yRRp  pic.twitter.com/2GIiu1vwBx,16,0,6,True,
JuddMoul,2018-07-14,12:00:58,"With all the current stressors in medicine these days, this is something to consider: pic.twitter.com/WxL4p7FlcH",9,0,2,True,
PCF_Science,2018-07-13,08:44:07,"#Smoking significantly increases risk of #ProstateCancer PSA recurrence, metastasis, and cancer-specific mortality after treatment for localized disease: meta-analysis @JAMAOnc.All physicians should be hyper-vigilant about urging patients to quit smoking. https://jamanetwork.com/journals/jamaoncology/fullarticle/2682189?utm_source=silverchair&utm_medium=email&utm_campaign=article_alert-jamaoncology&utm_content=etoc&utm_term=071218 … pic.twitter.com/7mmgEGjC8y",15,0,13,True,"#Smoking,#ProstateCancer"
JuddMoul,2018-07-13,16:10:52,"Kudos, Michael- you are most deserving ( and I better be nice as you may be my future boss! )😇🙏 https://twitter.com/m_ferrandinomd/status/1017874029942902784 …",7,0,2,True,
ThePCCTC,2018-07-13,14:29:14,BREAKING NEWS: FDA Approves Enzalutamide (Xtandi) for Non-Metastatic Castration-Resistant Prostate Cancer https://www.pcf.org/news/breaking-news-fda-approves-enzalutamide-xtandi-for-non-metastatic-castration-resistant-prostate-cancer/?utm_source=pcflist&utm_medium=email&utm_campaign=20180713fda …,12,0,5,True,
JuddMoul,2018-07-13,15:33:45,Wow!  Rags-To-Riches!  From zero to two options for M0 CRPC in a matter of months- just like the old days of “Zoladex vs Lupron” https://twitter.com/loebstacy/status/1017852737151819777 …,6,1,1,True,
JuddMoul,2018-07-12,20:11:04,"Visiting the Boston area and had  great dinner with @DukeUrology alumni and outstanding Urologic andrologist, Dr William (Bill) Connors - wonderful to reconnect with a fellow “DYSURIC” pic.twitter.com/ITK4ujfJqv",4,0,0,True,
AmerUrological,2018-07-12,05:15:06,56% of NCI-recommended cancer websites lack adequate info about PSA screening http://bit.ly/2ubTM6f ,8,0,5,True,
DukeSurgery,2018-07-11,11:00:57,"Congratulations to 7 Duke Surgery residents, Drs. Anand, Atia, Commander, Glener, Shaw, Tejwani, and Yang, for receiving the 2018 Appleseed Resident Training Award in recognition of their positive impact on trainee education  http://ow.ly/wAVV30kTnO6  pic.twitter.com/wXY9lSXqab",12,0,5,True,
DukeGUCancer,2018-07-11,14:19:25,"Members of our GU oncology research team meet weekly to develop industry journal publications. Today, the group is focused on collaboration across multi-sites in #clinicaltrials. pic.twitter.com/Ik5bPrRkvs",15,0,4,True,#clinicaltrials
DukeGUCancer,2018-07-12,08:06:00,"Local therapy for oligometastatic #prostatecancer? @DukeUrology prostate cancer specialist, @JuddMoul, explains:  https://www.nature.com/articles/s41585-018-0028-7.epdf?shared_access_token=EfOW8qPEO2fZODrmI-_cUdRgN0jAjWel9jnR3ZoTv0MdQuy9_IZLDHKoRwREtCFAqR_EHXrA0sp9jBeRSoPHGFiyvpcbgPRmgJmghbkjBjgbCDQjcX8AlbHGhPVNm9RHM72d8kSduE2HD5Ba3hPZLy7-2a0wRK2S62d9VYRcZ-w%3D …",8,0,4,True,#prostatecancer
JuddMoul,2018-07-12,11:03:18,"Congrats, Dan!  It has been a sincere pleasure being one of your practice partners at the Duke Prostate & GU Oncology Center @DukeCancer @DukeUrology.  Most proud of the robust true multi-D clinic we have built together with a fantastic team! https://twitter.com/daniel_j_george/status/1017422631165784065 …",9,0,2,True,
Howie2241,2018-07-11,07:02:08,Getting ready to start FDA Workshop on #prostatecancer #FDAFocalTherapyPCa pic.twitter.com/GKQidUvX8L,13,0,3,True,"#prostatecancer,#FDAFocalTherapyPCa"
