username,date,time,tweet,likes,replies,retweets,retweet,hashtags
dukeobgyn,2018-07-15,06:54:29,What a way to start the new academic year! Food. Fun. Family. Friends. Baseball. Click to see how great it was  http://bit.ly/DukeObGynBulls  pic.twitter.com/pjBUTGqHke,17,0,5,True,
dukeobgyn,2018-07-12,15:26:33,"Eric Jelovsek MD MMEd & colleagues developed an online calculator that provides accurate & discriminating estimates of prolapse recurrence, complications & health status 12 mos after pelvic organ prolapse surgery. Online calculator is available-try it out!  http://bit.ly/2KQIeQ2  pic.twitter.com/AX38XUF2a7",6,0,3,True,
RHatDGHI,2018-07-11,08:03:56,Interested in supporting #SaferSex and contraceptive access on your campus and in your community? Apply to receive 500 FREE @TrojanCondoms from @AdvocatesTweets! Apps due August 15th —>  https://advocatesforyouth.wufoo.com/forms/q1463s3d1nukv2a/ …,2,0,2,True,#SaferSex
dukeobgyn,2018-07-11,13:34:41,Meet the #ReproductiveSciences team...always looking up and bringing  innovation to the jobs they love! #wedeliver pic.twitter.com/MlOzAI6831,12,0,9,True,"#ReproductiveSciences,#wedeliver"
dukeobgyn,2018-07-10,16:13:53,"CME: Genetic Risk Assessment & Testing for Hereditary Ovarian Cancer with Andrew Berchuck MD. According to 2017 @acognews / @SGO_org, guidelines, risk of ovarian ca increases to between 10% & 21% by age 50, and to 40% by age 70, in women w/BRCA1 mutations.  http://bit.ly/2talaAM  pic.twitter.com/P2U2YZtIPq",1,0,1,True,
dukeobgyn,2018-07-09,12:14:07,"The new academic year has begun, and @dukeobgyn is proud to welcome our new #fellows.  http://bit.ly/2m6Q9do  pic.twitter.com/k4BzBLKkWi",13,0,3,True,#fellows
dukeobgyn,2018-07-09,09:35:35,New interns join @dukeobgyn! Read all about them. @DukeHealth  http://bit.ly/2L114TI  pic.twitter.com/aRRKgRi1Ty,11,0,3,True,
AdamMGrant,2018-07-08,08:34:56,"When you find evidence that doesn't fit your narrative, include it anyway. Acknowledging complexity doesn't make you less convincing— it makes you more credible. And it makes the other side more curious and open.@amandaripley: https://thewholestory.solutionsjournalism.org/complicating-the-narratives-b91ea06ddf63 …",1221,23,446,True,
NIH_ORWH,2018-07-05,12:14:02,@owh It’s never too early to teach kids about #bodyimage positivity. @OWH can help start the conversation:   https://bit.ly/2sWiF4l  pic.twitter.com/gxEVnYXF3z,20,2,12,True,#bodyimage
FPMRS,2018-07-05,04:15:11,American Urogynecologic Society Prolapse Consensus Conference Summary Report #FPMRSJournal #newsfromaugs http://ow.ly/eRZO30kLA5F ,6,0,6,True,"#FPMRSJournal,#newsfromaugs"
