username,date,time,tweet,likes,replies,retweets,retweet,hashtags
BWFUND,2018-07-16,10:12:54,If you are attempting to apply to the PATH program - please see the following attachment for details on how to submit. https://twitter.com/BWFPATH/status/1018873975924056067 …,1,0,3,True,
GraveleyLab,2018-07-16,18:02:06,The Power Hour at the Post-Transcriptional Gene Expression meeting. Empowering women in science. Thanks to @TheTracyLab and Yue Wei for organizing this. pic.twitter.com/UE9r1XEoj3,26,2,7,True,
virome_girl,2018-07-16,18:37:00,Kristine Wylie describing ViroCap for identifying eukaryone viruses in vaginas from term versus preterm pregnancies  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4665012/ … #ASV2018,1,0,1,True,#ASV2018
virome_girl,2018-07-16,18:43:30,"The Wylie lab @kwylie5 is hiring postdocs to follow up on virome associated with preterm birth! Job posted on the ASV job board... hmmm, maybe time for me to do a postdoc, such cool and impactful research! #ASV2018",9,1,2,True,#ASV2018
AnberithaT,2018-07-13,17:30:17,@ABRCMS  travel applications due August 22. Apply early. #AHAEarlyCareerBlogger @APSEducation @Ritu_Ganguly1 @lo_fortenberry @FASEBMARC @NHLBI_Translate @apstrainees #BCVS18 https://twitter.com/nihdpc/status/1017785604598267904 …,3,0,2,True,"#AHAEarlyCareerBlogger,#BCVS18"
alexbortvinlab,2018-07-15,12:51:45,Me seeing a PCR product of expected size on a gel on the weekend pic.twitter.com/xA4qawFawD,469,5,72,True,
smslmoon,2018-07-15,12:49:59,"Really enjoyed the talk by @nandangokhale from @TheHornerLab at the GRS, interesting connections between RNA regulation and (flavi)virology!  http://hornerlab.org ",6,1,1,True,
nandangokhale,2018-07-15,00:07:55,"Such a fantastic job by @ari_eily, @LindbergCasey and Hannah Devens to organize and curate this science-art show! #scicomm https://twitter.com/smithsonianmag/status/1017615872842719238 …",6,0,1,True,#scicomm
AndrewRouth,2018-07-15,09:12:59,My dept is searching for new faculty at assistant professor level. Come be my colleague! There's a number of us from @bmb_utmb here at #asv2018 Please feel free to grab us and ask any questions. https://twitter.com/bmb_utmb/status/1018496512551202817 …,5,0,10,True,#asv2018
AmerSocVirol,2018-07-15,10:29:26,Congratulations Jonathan Miner #ASV2018 Ann Palmenberg Junior  Investigator  http://medicine.wustl.edu/news/like-zika … award sponsored by @PLOSPathogens pic.twitter.com/oWxuNTXilu,28,0,13,True,#ASV2018
TheHornerLab,2018-07-15,10:50:11,Congrats Ricardo @rrajsbaum on winning the #ASV2018 Ann Palmenberg award! Way to go!! https://twitter.com/amersocvirol/status/1018521420240957440 …,22,1,3,True,#ASV2018
FresnoBiology,2018-07-15,08:44:41,Are you a postdoc at #ASV2018? Do you study how viruses impact immune function in non-model systems? Do you like to teach? Consider applying to work @Fresno_State! #tenuretrack #stemjobs https://twitter.com/fresnobiology/status/1007685115185528832 …,1,0,4,True,"#ASV2018,#tenuretrack,#stemjobs"
markowenmartin,2018-07-12,11:14:18,This made me laugh...so very much. pic.twitter.com/oX7tdQzNu4,223,8,90,True,
amays_bwfund,2018-07-13,11:25:45,"Congrats to the 2018 @BWFUND #bwfpdep Grant Awardees. For more information about the Postdoctoral Enrichment Program,  visit  https://www.bwfund.org/grant-programs/diversity-science/postdoctoral-enrichment-program …The 2019 application period opens in mid October 2018. pic.twitter.com/cr5kfuBShF",38,1,21,True,#bwfpdep
