username,date,time,tweet,likes,replies,retweets,retweet,hashtags
ahsheadache,2018-07-05,12:09:01,"Research published in @HeadacheJournal breaks down 10 common myths and misperceptions of spontaneous intracranial hypotension. @PeterGKranz, Linda Gray, @TimAmrheinMD @DukeRadiology Learn more: https://buff.ly/2KuLCjy ",22,0,15,True,
TimAmrheinMD,2018-06-16,20:50:02,So wonderful to see!  Glad he is doing better!! https://twitter.com/moni_az/status/1007398298708135936 …,3,0,1,True,
TimAmrheinMD,2018-06-02,18:46:57,Another excellent talk on #SIH by @PeterGKranz #ASNR18 #CSFLeak pic.twitter.com/aYJ1Q34K6Z,16,0,4,True,"#SIH,#ASNR18,#CSFLeak"
TimAmrheinMD,2018-03-27,20:55:01,Agreed!  This is fantastic!  Highly recommend.  Future TEDtalk? https://twitter.com/judywawira/status/978459568270467073 …,4,0,0,True,
mattlungrenMD,2018-03-25,08:23:50,Great step by step overview of deep learning for the non-CS audience!  http://thehealthcareblog.com/blog/2018/03/23/artificial-intelligence-and-deep-learning-for-the-extremely-confused/ …,19,1,10,True,
brainbanker,2018-03-16,14:24:11,Match 2018 shows radiology is roaring back  @AuntMinnie https://www.auntminnie.com/index.aspx?sec=sup&sub=imc&pag=dis&itemid=120257&wf=8174&wf=6524 …,64,3,29,True,
TimAmrheinMD,2018-03-12,08:12:14,Thanks!  It was a lot of fun!! https://twitter.com/spinalCSFleak/status/972479691784298496 …,13,2,2,True,
TimAmrheinMD,2018-03-10,06:20:22,"Yup!  Check out pics from other cities, as well. https://twitter.com/dshatzkes/status/972316414160797697 …",1,0,0,True,
spinalCSFleak,2018-03-09,21:41:30,Thank you Denver for lighting the Tower of the City and County of Denver Building purple in support of #leakweek - so beautiful!!! #becauseyourduramaters pic.twitter.com/DdrC6TVSgk,10,0,5,True,"#leakweek,#becauseyourduramaters"
spinalCSFleak,2018-03-09,20:50:51,Check out the Science World at Telus World of Science in Vancouver - stunning in Purple!  Thank you @scienceworldca for supporting #leakweek pic.twitter.com/LSGRRSvDAZ,8,0,5,True,#leakweek
spinalCSFleak,2018-03-09,19:54:51,"From Atlanta tonight, the beautiful Concourse buildings shining purple, supporting #leakweek #becauseyourduramaters pic.twitter.com/rYHlxqAkrd",13,3,7,True,"#leakweek,#becauseyourduramaters"
TimAmrheinMD,2018-03-09,19:01:49,Can’t wait to listen to it! https://twitter.com/amishdoshimd/status/972143026683416576 …,2,0,0,True,
PeterGKranz,2018-02-24,17:24:24,@TimAmrheinMD @Rarity_Courage Slope of 3rd vent floor. Draw line from chiasm to mam bodies. Should slope upward as you go back.  Mam bodies should never be at or below dorsum sella.,2,2,2,True,
spinalCSFleak,2018-02-21,07:00:02,"During #leakweek, we will host 3 LIVE Ask the Expert sessions on our Facebook page.  @TimAmrheinMD @DukeRadiology WouterSchievinkMD @CedarsSinai @DrIanCarroll @StanfordPain #leakweek #becauseyourduramaters #spinalCSFleak  http://bit.ly/2Cv7bHM  pic.twitter.com/I7dnPJrM7p",25,0,16,True,"#leakweek,#leakweek,#becauseyourduramaters,#spinalCSFleak"
EricTopol,2018-02-19,10:32:22,@GoogleResearch Deep learning #AI to determine cardiovascular risk via retinal exam  https://www.nature.com/articles/s41551-018-0195-0 … @natBME by @googleresearch @lhpeng @VerilyLife @StanfordMed Exemplar of machine vision beyond humans to help medicine pic.twitter.com/pqSiauv7I2,311,7,231,True,#AI
JayBakerMD,2018-02-16,11:53:20,"About to dip my toe in the world of social media w/ case-of-the-day.  Will try to make these worthwhile for residents, fellows and hopefully breast imaging colleagues.  Here goes:  CASE #1 - Woman in her 70s.  New palp mass.  Hx of non-small cell lung cancer. DDx? Answer up next. pic.twitter.com/RR6zRo6k62",23,1,8,True,#1
