username,date,time,tweet,likes,replies,retweets,retweet,hashtags
DukeU,2018-07-24,14:46:04,What separates dogs and wolves? Duke researchers journey to Anoka County to find out.  https://buff.ly/2JylfDU  pic.twitter.com/AgBBL6uIEa,9,0,2,True,
DukeU,2018-07-24,14:41:12,Colton’s facial muscles were so weak when he was born that he was unable to show expression. Facial reanimation surgery at Duke brought a smile to Colton’s face -- and to the faces of his thankful family.  https://buff.ly/2J0LMt8  pic.twitter.com/37i45MAif6,6,0,1,True,
DukeU,2018-07-24,13:07:02,Revving up to fight the patriarchy: Pakistan's women learn to ride motorbikes.  https://buff.ly/2ushM52  pic.twitter.com/S4Wm2vVtlm,11,0,0,True,
DukeU,2018-07-24,12:21:03,"Howard Conyers MS’06 is a barbecue-pitmaster and a NASA rocket scientist living in New Orleans. Now, he’s adding food show host to his unique resume as he produces “Nourish” for PBS Digital Studios.  https://buff.ly/2m0HRni  pic.twitter.com/ybvrcX7ODw",8,0,0,True,
DukeU,2018-07-24,10:43:03,"Kim Carpenter on #Autism, #anxiety and the importance of collaboration.  http://fal.cn/yc8m  pic.twitter.com/M8j5Wm5Vo2",1,0,2,True,"#Autism,#anxiety"
DukeU,2018-07-24,09:50:04,.@DukeIM's Dr. Philip Barr on the benefits of #ForestBathing to reduce stress.  https://buff.ly/2KV6Fv3  pic.twitter.com/CCrdDuSAqn,2,0,0,True,#ForestBathing
DukeU,2018-07-24,09:20:03,Engineering at the @DukeMarineLab in Beaufort. @DukeEngineering  https://buff.ly/2MTo6ct  pic.twitter.com/zDuYvzJ9ST,6,0,3,True,
DukeU,2018-07-24,05:57:02,The surprising reason tiny lemurs 'grow' their own gardens.  https://buff.ly/2LvIRdY  pic.twitter.com/61iIGI1OYJ,7,0,3,True,
DukeU,2018-07-24,05:27:03,"Civil War letters grapple with gender, #InterracialMarriage, and working-class life.  https://buff.ly/2uv3MHQ  pic.twitter.com/iR5LjfgpdD",11,1,4,True,#InterracialMarriage
DukeU,2018-07-23,14:23:00,"Butterfly wings are made up of single-cell scales. And each scale can be a different color, says @DukeU professor Frederik Nijhout. (Photo Johan J.Ingles-Le Nobel via Flickr)",20,0,2,True,
DukeU,2018-07-23,13:59:02,Mystery Solved: How Lymphoblastic Leukemia enters central nervous system.  https://buff.ly/2LxSQji  pic.twitter.com/UTXV3py7Ic,5,0,1,True,
