username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Duke_ASET,2018-07-24,08:33:51,It just takes a couple of minutes to clarify allergies while the benefits could last a lifetime! https://twitter.com/ICHEJournal/status/1021749898209882113 …,9,0,0,True,
Duke_ASET,2018-07-24,08:09:56,"The need for antimicrobial stewardship is not limited to the inpatient setting . . . Antibiotic Prescribing in US Retail Clinics, Urgent Care Centers, EDs, and Traditional Medical Offices https://ja.ma/2JMIGJO ",3,0,1,True,
NEJM,2018-07-18,16:25:00,Trial concludes that procalcitonin as a point-of-care test does not result in less use of antibiotics than usual care among patients with suspected lower respiratory tract infection.,191,0,162,True,
SHEA_Epi,2018-07-17,07:37:17,Antibiotic Use in Urgent Care Centers Shows Need for Improvement  https://pew.org/2NbR6wk  via @pewtrusts,23,0,30,True,
Duke_ASET,2018-07-16,15:03:32,Duke ID Grand Rounds welcomes Pranita Tamma from @HopkinsMedicine. Defining the Role of New Antibiotics for CRE,7,0,0,True,
Duke_ASET,2018-07-11,07:48:25,We are excited to be expanding our stewardship pharmacy team!  Apply to be the next member of our ASET Dream Team at:  https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25017&siteid=5172#jobDetails=1268291_5172 … pic.twitter.com/7eP4Qn3Dbf,7,0,10,True,#jobDetails
Duke_ASET,2018-06-20,11:27:52,Effectiveness of 13-valent pneumococcal conjugate vaccination for protection against acute otitis media caused by Streptococcus pneumoniae in healthy young children: a prospective observational study https://www.thelancet.com/journals/lanchi/article/PIIS2352-4642(18)30168-8/abstract#.WyqAdsWwP5A.twitter …,7,0,1,True,
Duke_ASET,2018-06-14,07:57:47,It only takes a couple of minutes to ask - the benefits are HUGE! https://twitter.com/tmjones6/status/1006248262158962694 …,10,0,2,True,
Deverick_A,2018-06-06,11:04:27,So pleased to publish this work. Congrats and thanks to the @DCASIP_duke research team!  https://twitter.com/thelancetinfdis/status/1003973754635149314 …,40,1,25,True,
Duke_ASET,2018-06-14,07:54:29,Outpatient antibiotic use is high and often inappropriate. Antibiotic Stewardship efforts in this setting are important. http://pediatrics.aappublications.org/content/early/2018/05/21/peds.2017-4124 …,2,0,0,True,
SIDPharm,2018-05-07,18:10:55,"Dr. Ravina Kullar, @SIDPharm member, shares a gripping tale of antibiotic resistance and what YOU can do to help fight this in her amazing @TEDx talk here:  https://www.youtube.com/watch?v=tGtYvQCSfFA … @IDroadrunner #AntibioticResistance",41,0,21,True,#AntibioticResistance
Duke_ASET,2018-04-09,10:30:27,Let's stop superbugs together! Take antibiotics only when necessary & wash your hands to prevent the spread of germs http://thndr.me/p6TVrs ,1,0,1,True,
Duke_ASET,2018-03-30,09:36:54,It is so important to get a thorough allergy assessment on all patients! https://academic.oup.com/ofid/article/5/3/ofy042/4870002#.Wr5KhG-PLcM.twitter …,20,0,10,True,
Duke_ASET,2018-03-20,07:42:59,Congrats to all the P4s today on #RxMatchDay! pic.twitter.com/C0iRQao0fu,2,0,2,True,#RxMatchDay
DCASIP_duke,2018-03-19,11:44:05,"Christina Sarubbi, PharmD, Co-Chair of @Duke_ASET , gave us some great advice on running a successful #AntimicrobialStewardship program and biking in @CityofAsheville #MeetOurTeam  https://dcasip.medicine.duke.edu/node/1096  pic.twitter.com/irwq1GZsyZ",10,0,6,True,"#AntimicrobialStewardship,#MeetOurTeam"
DCASIP_duke,2018-02-26,10:36:01,New from @Duke_ASET and Fellow Nick Turner: Impact of Reported Penicillin Allergy in Treatment of Methicillin-Susceptible Staphylococcus aureus Bacteremia  https://doi.org/10.1093/ofid/ofw172.1400 … pic.twitter.com/Q3bX240zjM,15,0,13,True,
rebsmoe,2018-02-21,08:48:42,Appreciated the invite to speak at @DukeHealth Geriatrics Grand Rounds this morning! Lots of opportunities to expand efforts in #antibioticstewardship for older adults. #saveabx @Duke_ASET pic.twitter.com/DmFtaS7BAm,13,0,5,True,"#antibioticstewardship,#saveabx"
DCASIP_duke,2018-02-15,07:59:46,New from @SIDPharm and @Duke_ASET team members: The Role of an #AntimicrobialStewardship Team in the Use of Rapid Diagnostic Testing in Acute Care: An Official Position Statement of the Society of Infectious Diseases Pharmacists  http://bit.ly/2o95evw  pic.twitter.com/U3rZFQQlIS,12,0,10,True,#AntimicrobialStewardship
SIDPharm,2018-02-15,00:06:09,New! Clinical Practice Guidelines for Clostridium difficile Infection in Adults and Children: 2017 Update by @IDSAInfo and @SHEA_Epi #cdiff https://academic.oup.com/cid/advance-article/doi/10.1093/cid/cix1085/4855916 … pic.twitter.com/knW0xISRdP,82,3,70,True,#cdiff
Duke_ASET,2018-02-12,11:01:28,Great new article on the SAAR: The Standardized Antimicrobial Administration Ratio: A New Metric for Measuring and Comparing Antibiotic Use.  https://www.ncbi.nlm.nih.gov/pubmed/29409000 ,24,0,16,True,
Duke_ASET,2018-01-12,12:36:03,We are so excited about this huge honor!  We @Duke_ASET are so lucky to work with such a talented and dedicated group @DASON_duke @DICON_duke @DCASIP_duke!! https://twitter.com/DCASIP_duke/status/951850958945955840 …,28,2,7,True,
DCASIP_duke,2018-01-10,08:56:13,New from the Center's @Duke_ASET team: Effectiveness of Vancomycin or Beta-Lactam Therapy in Ampicillin-Susceptible Enterococcus spp. Bloodstream Infections #AntibioticResistance #AMR  http://journals.sagepub.com/doi/full/10.1177/0897190017751208 … pic.twitter.com/K8lbRoH4UZ,7,0,8,True,"#AntibioticResistance,#AMR"
Duke_ASET,2018-01-08,11:05:49,Duke Pharmacy Grand Rounds with @carsonsarah18. Carbapenem Resistant Enteribacteriacea: a global crisis,5,0,2,True,
Duke_ASET,2017-12-05,11:41:40,"Although the antimicrobial stewardship (AS) section didn't make the final podcast, Battling the Superbugs  http://on.wsj.com/2iSFlBn , does a good job highlighting the reason we need AS!",14,0,6,True,
