username,date,time,tweet,likes,replies,retweets,retweet,hashtags
BJUBruinsWVball,2018-07-21,14:28:05,Final day at @BJUBruins VB Elite camp. Great group of young ladies to work with and some future recruits for our program. #workinghard #gettingbetter pic.twitter.com/iHbNorBvFt – at Bob Jones University's Davis Field House,18,0,5,True,"#workinghard,#gettingbetter"
medstay,2018-07-11,20:40:15,I added a video to a @YouTube playlist  http://youtu.be/SmXgmvRLEes?a  The Power of Rest Part 11,0,0,0,,
medstay,2018-07-11,20:40:08,I added a video to a @YouTube playlist  http://youtu.be/FCoFzraeCyQ?a  The Power of Rest Part 10,0,0,0,,
medstay,2018-07-11,20:40:01,I added a video to a @YouTube playlist  http://youtu.be/k9uxYYI84eo?a  The Power of Rest Part 9,0,0,0,,
medstay,2018-07-11,20:39:55,I added a video to a @YouTube playlist  http://youtu.be/IT9FSUxQq48?a  The Power of Rest Part 8,0,0,0,,
medstay,2018-07-11,20:39:43,I added a video to a @YouTube playlist  http://youtu.be/-YtENlDAL18?a  The Power of Rest Part 7,0,0,0,,
medstay,2018-07-11,20:39:36,I added a video to a @YouTube playlist  http://youtu.be/7DQqgjUiQnA?a  The Power of Rest Part 6,0,0,0,,
medstay,2018-07-11,20:39:27,I added a video to a @YouTube playlist  http://youtu.be/zRJBHlrrwCk?a  The Power of Rest Part 5,0,0,0,,
medstay,2018-07-11,20:39:17,I added a video to a @YouTube playlist  http://youtu.be/EcyaXgS0y4Q?a  The Power of Rest Part 4,0,0,0,,
medstay,2018-07-11,20:38:59,I added a video to a @YouTube playlist  http://youtu.be/jJHZsid6KLc?a  the power of rest part2,0,0,0,,
medstay,2018-07-11,20:38:49,I added a video to a @YouTube playlist  http://youtu.be/TkqGD1cie1M?a  The Power of Rest Part 1,0,0,0,,
medstay,2018-06-21,18:46:43, https://www.facebook.com/story.php?story_fbid=10157413339664186&id=156746439185 …,0,0,0,,
medstay,2018-06-21,18:46:42, https://www.facebook.com/story.php?story_fbid=10157413339659186&id=156746439185 …,0,0,0,,
lauripaolicelli,2017-07-06,14:30:10,"Great to see friend and colleague Sam Henry @medstay today, looking good and representing @OCNCGOV hotels. pic.twitter.com/BZDfWfylZB",1,0,1,True,
medstay,2018-04-06,22:48:21,Save $5 off your next purchase! http://tinyurl.com/y72r3ktb ,0,0,0,,
medstay,2018-04-06,18:51:08,For best Medical rate traveling to Duke or UNC Medcial Center contact MedStay.  http://medstay.com  https://www.facebook.com/medstayreservations/videos/10157202200124186/ …,0,0,0,,
medstay,2018-03-30,21:16:13,Eating at the Holiday inn in Charlotte airport. Thanks to Atma Hotel group for a great meal for me and my family. @ Holiday Inn Charlotte Airport,0,0,0,,
medstay,2018-03-30,21:16:06,Great rooms at the Holiday Inn Charlotte airport. MedStay will be opening in Charlotte soon this will be one of our hotels so check them out at  http://MedStay.com  real soon. @ Holiday Inn Charlotte Airport,0,0,0,,
medstay,2018-03-26,10:39:27,MedStay INC:  http://youtu.be/DfcFutFOyR4?a  via @YouTube,0,0,0,,
medstay,2018-02-14,18:50:11, https://www.youtube.com/watch?v=D8oN3BY80-Q … https://fb.me/FBgphQgr ,1,0,0,,
MayoClinic,2018-01-19,17:18:00,"Is it too late to get the #flu shot? This year's flu season is particularly bad, even deadly. It is not too late to get your flu shot and for it to start working against #influenza.  http://bit.ly/2DqEGAq  via @goodhealth @DrPritishTosh",38,6,35,True,"#flu,#influenza"
NowYouBeYou,2018-01-16,22:08:15,"Habits have formed the winners, just as they have formed you, Habits make you.  http://dld.bz/fgnuq  pic.twitter.com/LuqUO8GzDC",0,0,1,True,
medstay,2017-08-29,20:55:40,New look MedStay coming to you soon,0,0,0,,
