username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Alistair_MD,2018-07-14,16:24:52,Well said https://twitter.com/IraLeeds_MD/status/1017927492353609730 …,0,0,0,True,
bleedingcontrol,2018-07-14,09:00:38,"""If you want to have the maximum chance of survival, the person who’s going to take care of you is the person right beside you."" ~ Lenworth M. Jacobs, Jr., MD, MPH, FACS  http://ow.ly/cFRA30kVmox  #StoptheBleed @LenworthJacobs",40,0,23,True,#StoptheBleed
justinmrosen,2018-07-12,19:39:17,Update: #PCHETA and #CHGME have been approved by the full Energy and Commerce Committee and now await further action by the #USHouse https://twitter.com/justinmrosen/status/1011961841709469696 …,4,0,2,True,"#PCHETA,#CHGME,#USHouse"
JAmCollSurg,2018-07-11,18:00:56,August JACS: Attending surgeon preference for #bouffantcap vs #skullcap does not significantly impact SSI rates after accounting for surgical procedure type.  http://ow.ly/cR5i30kI6ZA  #VisualAbstract @shanu_kothari @gundersenhealth pic.twitter.com/IHa73QwPAl,107,9,82,True,"#bouffantcap,#skullcap,#VisualAbstract"
RAdamsDudleyMD,2018-07-10,20:49:00,"New interns: This is the time when you are setting your habits. A thing to avoid: copying big portions of your note text from prior notes. In the most recent data, 46% of notes are copied and pasted, often helping ""chart myths"" persist #Tips4NewDocs pic.twitter.com/XMkkMdVd2R",9,2,2,True,#Tips4NewDocs
mikejohansen2,2018-07-11,08:01:41,Our recent paper in @Health_Affairs about visit costs for ED visits by insurance type between 1996-2015.  https://www.healthaffairs.org/doi/full/10.1377/hlthaff.2018.0083 …@k_sauser @MDaware 1/,9,2,8,True,
Alistair_MD,2018-07-10,13:55:25,"Previously referenced in a consult call for a ""routine"" surgical problem as ""oh, by the way..."" https://twitter.com/NEJM/status/1016703657398669313 …",1,0,0,True,
congressoftom,2018-07-10,11:00:03,"Civility in government needs to be restored. In honor of #NationalDayofCvility this Thursday, call on your member of Congress to pledge commitment to civility:  https://mikejohnson.house.gov/sites/mikejohnson.house.gov/files/sharp.la04%40mail.house_.gov_20170623_171435.pdf …",0,0,1,True,#NationalDayofCvility
Alistair_MD,2018-07-10,13:52:16,Nice work! https://twitter.com/COTS_HIL/status/1016713193798987777 …,1,0,0,True,
joevselby,2018-07-09,15:49:31,"Peer navigators - a wholistic, low-cost addition for treating members of some minority populations with serious mental illness.  Needs more study, but what if.....And the biggest surprise maybe - the peer navigators benefitted too.  @PCORI @NAMICommunicate https://twitter.com/PCORI/status/1013843749171027969 …",10,1,10,True,
Alistair_MD,2018-06-29,19:45:26,"The other dr kent, building up his community bringing state of the art non-opioid spinal regional techniques to arkansas. #carolinaspain #opioidcrisis #backpain https://youtu.be/iWCBeoGeaMk ",1,0,0,True,"#carolinaspain,#opioidcrisis,#backpain"
bleedingcontrol,2018-06-28,10:05:08,Congressional staffers get livesaving skills in 'Stop the Bleed' class  http://ow.ly/jIm830kz1lL  #StopTheBleed,13,0,4,True,#StopTheBleed
elliotthaut,2018-06-29,06:21:41,@LVSelbs @AndreaLMerrill @drewshirleymd Maybe we should do same for Trauma/ACS division at @hopkinssurgery too. I think @JosephSakran is in the lead. Doubt @jonessurgery @DrReemaKar @Alistair_MD and I will ever catch up. #GoalSecondPlace #SurgTweeting.,6,2,1,True,"#GoalSecondPlace,#SurgTweeting"
justinmrosen,2018-06-27,08:17:59,"Active day on Capitol Hill. The Energy and Commerce #HealthSub Committee is acting on legislation pertaining to disaster preparedness and response #PAHPA, funding for palliative care education #PCHETA, and Children’s Hospital GME #CHGMEFollow the hearing: https://energycommerce.house.gov/markups/subcommittee-vote-on-h-r-__-pandemic-and-all-hazards-preparedness-reauthorization-act-of-2018-h-r-959-h-r-1676-h-r-3728-and-h-r-5385/ … – at House Energy and Commerce Committee",9,0,3,True,"#HealthSub,#PAHPA,#PCHETA,#CHGMEFollow"
SurgeonsVoice,2018-06-27,10:38:23,.@AmCollSurgeons is pleased to see @HouseCommerce @EnergyCommerce marking up several ACS legislative priorities aimed at improving and providing #quality #surgical #patient care. #PCHETA #PAHPA #CHGME,8,0,7,True,"#quality,#surgical,#patient,#PCHETA,#PAHPA,#CHGME"
SenWarren,2018-06-26,20:16:06,"I went down to the border protection processing center in McAllen, Texas so I could see what’s happening there with my own eyes. They wouldn’t let cameras inside, but I can tell you what I saw: pic.twitter.com/JDqgTw4Z2J",25213,2281,15232,True,
Alistair_MD,2018-06-26,16:18:07,Congrats! https://twitter.com/WashUSurgery/status/1011255357568581632 …,0,0,0,True,
SenatorCardin,2018-06-26,15:39:58,Supreme Court Justice Sotomayor's dissenting opinion in today's #TravelBan decision is an eloquent defense of American values and the U.S. Constitution. A ray of light in this dark episode. Worth a read. #IDissent pic.twitter.com/v4JTNmROmD,281,31,125,True,"#TravelBan,#IDissent"
DrSinhaEsq,2018-06-25,23:20:49,And a bit more context to Dr. Baicker's previous remark. #ARM18 #ARM2018 (2/2) https://twitter.com/YasminZerhouni/status/1011034121735245824?s=19 …,2,1,2,True,"#ARM18,#ARM2018"
SeemaCMS,2018-06-25,15:34:50,"From the @nytimes: Medicare Allows More Benefits for Chronically Ill, Aiming to Improve Care for Millions https://www.nytimes.com/2018/06/24/us/politics/medicare-chronic-illness-benefits.html …",79,11,35,True,
Alistair_MD,2018-06-25,13:10:34,"Point well taken, but would caution the interpretation.  Considering surgery as a single health service is akin to treating Cancer as a single diagnosis.  Lots of work to be done determining what sectors of it can improve through protocol utilization https://mobile.reuters.com/article/amp/idUSKBN1JH36O?__twitter_impression=true …",0,0,0,True,
Alistair_MD,2018-06-24,16:15:40,Worth the break from #ARM2018 to be there for #SeattlePrideParade #PrideMonth pic.twitter.com/uvmTOtGFdZ,0,0,0,True,"#ARM2018,#SeattlePrideParade,#PrideMonth"
RANDCorporation,2018-06-24,10:51:00,We're promoting a simple and once-universal idea: that facts matter.  http://r.rand.org/7w2o  #TruthDecay pic.twitter.com/TEbcWAywRq,41,2,29,True,#TruthDecay
AmirGhaferi,2018-06-23,11:22:41,Congratulations @MegSmith471 on an outstanding presentation in the Top Abstract Session of #AHPeriopIG & an even more amazing and thoughtful Q&A that followed. #soproudofyou ☺️#ARM18 @AcademyHealth pic.twitter.com/Ld30nJAfmy,38,1,16,True,"#AHPeriopIG,#soproudofyou,#ARM18"
Alistair_MD,2018-06-23,18:48:42,Great preconference sessions this year! https://twitter.com/AmirGhaferi/status/1010567311340654592 …,2,0,0,True,
hari_keshava,2018-06-23,10:04:43,"Finally, some bipartisan action to help combat this epidemic!   #opioidcrisis @AmCollSurgeons @RASACS @justinmrosen @pturnermd @jhsutton1 @TomVargheseJr @JosephSakran @JohnMaaMD @AmerMedicalAssn https://twitter.com/sahilkapur/status/1010203970667794433 …",11,1,4,True,#opioidcrisis
WHO,2018-06-22,06:45:39,"Vaccine-preventable diseases include:Cervical cancerCholeraDiphtheriaHep BInfluenzaJapanese encephalitisMeaslesMumpsPertussisPneumoniaPolioRabiesRotavirusRubellaTetanusTyphoidVaricellaYellow FeverProtected together, #VaccinesWork! pic.twitter.com/NPvxlLbQ2f",9227,258,8300,True,#VaccinesWork
uams_trauma,2018-06-22,17:00:06,"When it’s the last 2 weeks of June & you’re short on residents, everyone pitches in....multiple UAMS attendings responding to several Trauma activations yesterday. #teamwork #traumaisateamsport @uamshealth @UAMSIPE @BU65Dad @kwsexton @kimbrough_katie @AnnaPrivratsky pic.twitter.com/6o77msLCyL",46,8,7,True,"#teamwork,#traumaisateamsport"
AnnalsofSurgery,2018-06-19,08:59:04,Increased Healthcare Utilization for Medical Comorbidities Prior to Surgery Improves Postoperative Outcomes  https://bit.ly/2I14KzB  #VisualAbstract pic.twitter.com/mGnHJ7ZqxP,106,3,86,True,#VisualAbstract
SurgeonsVoice,2018-06-19,08:45:51,"@thehill published @AmCollSurgeons recent #stopthebleed training! Thanks to the event sponsor, @RepThompson, for stressing the importance of utilizing @bleedingcontrol techniques in traumatic situations. Read the full article here:  http://thehill.com/policy/healthcare/392914-congressional-staffers-get-livesaving-skills-in-stop-the-bleed-class … @smhenry59 @Alistair_MD",4,0,1,True,#stopthebleed
bleedingcontrol,2018-06-18,12:01:10,Stop the Bleed may become as common as CPR  http://ow.ly/VXp130ksE8H  #StopTheBleed,25,2,9,True,#StopTheBleed
Alistair_MD,2018-06-19,08:24:43,Thanks for posting! https://twitter.com/sangerkatz/status/1009063740552155136 …,0,0,0,True,
Alistair_MD,2018-06-19,08:19:34,Thanks to Dr. Bailey and @smhenry59 for making this congressional #StopTheBleed training a huge success!   http://thehill.com/policy/healthcare/392914-congressional-staffers-get-livesaving-skills-in-stop-the-bleed-class … pic.twitter.com/oJkrHC1OwH,18,1,3,True,#StopTheBleed
Alistair_MD,2018-06-18,22:56:43,Huge issue.  Appreciate the everyday work from vp @BeccaCFarley and @NationalCouncil https://twitter.com/RANDCorporation/status/1008839727074590720 …,1,0,0,True,
Alistair_MD,2018-06-18,15:21:29,Great tp see such a strong turnout! https://twitter.com/smhenry59/status/1008800139379642368 …,1,0,0,True,
SurgeonsVoice,2018-06-18,09:48:45,In the Rayburn House Office Building this morning teaching #StoptheBleed techniques to Capitol Hill staff! Learn more at  http://www.bleedingcontrol.org . pic.twitter.com/lbEpULaIOv,24,1,11,True,#StoptheBleed
EllenJMacKenzie,2018-06-18,09:47:47,"Our mission at @JohnsHopkinsSPH is to improve the health of populations, and in that effort nothing is more essential than conducting high-quality, unbiased research. But knowing what to do is only step one. We must also advocate to effect real change! https://magazine.jhsph.edu/2018/case-advocacy …",91,2,45,True,
RANDCorporation,2018-06-17,23:14:01,"The line between fact and fiction in American public life is becoming blurred.RAND has begun studying the causes and consequences of this phenomenon that we call #TruthDecay, what causes it, and how it affects democracy and political and civil discourse. http://r.rand.org/7uk7 ",174,10,145,True,#TruthDecay
BJSurgery,2018-06-16,05:10:35,"🖼️ *NEW* July BJS #VisualAbstract""Meta-analysis of in-hospital delay before #surgery as a risk factor for complications in patients with acute #appendicitis""#surgicalresearch #metaanalysis #surgtweeting #patientsafety pic.twitter.com/goHqEWupWk",128,5,119,True,"#VisualAbstract,#surgery,#appendicitis,#surgicalresearch,#metaanalysis,#surgtweeting,#patientsafety"
