username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Andres_Matoso,2017-12-19,11:56:39,I wish you all a great beginning of 2018!!. Please enjoy this beautiful schistosoma eggs in bladder. Note the eosinophilic microabscess surrounding the eggs. No associated tumor or squamous met in this case.  #GUpath #urology #2018 pic.twitter.com/FfoFJeO7tL,212,7,121,True,"#GUpath,#urology,#2018"
Andres_Matoso,2018-07-13,09:36:01,"Colonic glands in prostate biopsy can mimic prostate cancer, specially if they are dysplastic. Key is to recognize the presence of lamina propria and not to misinterpret a PIN4 stain.  #GUpath pic.twitter.com/1i8U3t9LK4",95,3,55,True,#GUpath
rovingatuscap,2018-06-07,12:20:01,"Flat carcinoma in situ of bladder - including: a) involvement of squamous metaplasia , b) a field with overlying umbrella cell layer, c) a contrast with normal von Brunn nest and d) hi power view of nuclear irregularity - this one's for you @evacomperat #gupath #bladdercancer pic.twitter.com/wft4h7Yiy0",67,4,40,True,"#gupath,#bladdercancer"
rovingatuscap,2018-06-07,06:27:07,The many faces of one clear cell renal cell carcinoma - lower grade regressed areas - increasing nuclear grade w/more eosinophilic cytoplasm - transitions from lower to higher nuclear grade #gupath #kidneycancer pic.twitter.com/a38TcT72Ca,24,0,8,True,"#gupath,#kidneycancer"
drmehrarohit,2018-06-07,09:58:28,Nice study by @Andres_Matoso delineating orchiectomy findings in gender dysphoria patients @Human_Pathology  https://www.ncbi.nlm.nih.gov/pubmed/29555572  ; @umichmedicine holds a major gender dysphoria clinic as well-good to see no testis cancer identified (in this study & anecdotally) @UMichPath,10,0,9,True,
rovingatuscap,2018-05-31,11:17:58,Well-circumscribed masses of embryonal carcinoma plugging vascular spaces in the spermatic cord near the tetsis #gupath #testicularcancer pic.twitter.com/r8WyMvyBkX,23,0,16,True,"#gupath,#testicularcancer"
mreyesm,2018-05-19,09:39:43,#PediPath https://twitter.com/cu_pathology/status/997512463284240384 …,22,0,12,True,#PediPath
evacomperat,2018-05-10,23:36:55,"Sex cord week: Pick adenoma always in atrophic cryptorchid testis #gupath #pathology, benign lesion pic.twitter.com/VKQql0nJjt",62,0,42,True,"#gupath,#pathology"
Andres_Matoso,2018-05-11,10:43:52,"Large cells up to 100 microns, lack of prominent lymphocytic infiltration or granulomatous inflammation. Intratubular spread but no GCNI, OCT4(-), CD117 can be (+). Spermatocytic tumor!! ~10% in younger than 30yo but more common >50. Happy Friday! #GUpath pic.twitter.com/eGcnAoK0C8",124,1,72,True,#GUpath
Andres_Matoso,2018-05-01,07:29:04,Tightly packed cords of tumor cells is the most frequent pattern observed in kidney carcinoids. Rare but cute. #gupath pic.twitter.com/F4lZGlUsxo,294,14,156,True,#gupath
marcoslepe,2018-03-29,14:02:13,Abdominal lesion. Diagnosis? IHC stains? Prognosis? #pathboards pic.twitter.com/dtUyAPB4nG,54,11,34,True,#pathboards
Corista_LLC,2018-03-27,10:00:05,Infographic: Crossing the Digital Divide https://hubs.ly/H0bjgn_0 ,2,0,2,True,
Uro_News,2018-03-27,09:59:33,The #PROMIS trial – time for multi-parametric MRI before a first #prostate biopsy  https://www.urologynews.uk.com/features/features/post/the-promis-trial-time-for-multi-parametric-mri-before-a-first-prostate-biopsy …#TRUS #Urology #Uroradiology #uronews pic.twitter.com/4x9gTY3lxZ,3,0,2,True,"#PROMIS,#prostate,#TRUS,#Urology,#Uroradiology,#uronews"
SunnyKaoMD,2018-03-20,13:38:45,Dr. Motoso from Johns Hopkins giving a platform on neuro tumors in context of germ cell tumors #uscap2018 #gupath pic.twitter.com/dSccniIgPh,15,0,4,True,"#uscap2018,#gupath"
Williamson_SR,2018-03-19,16:10:23,Here is @Andres_Matoso presenting in the upgraded #GUPath platform room! Waterfront view! (Ballroom D)Bladder cancer ambiguous for muscularis propria invasion on TUR pic.twitter.com/lQzPvNqAom – at Vancouver Convention Centre West,14,0,5,True,#GUPath
Andres_Matoso,2018-03-19,13:29:31,Popular #gupath platform presentations at #USCAP2018! Room is full an people watching from the hallway! pic.twitter.com/F447ADNc1q,18,2,8,True,"#gupath,#USCAP2018"
Andres_Matoso,2018-03-18,14:59:14,Enjoying the best of #USCAP2018 with friends! @mreyesm @clamsalgado pic.twitter.com/cnDY1XXaYU,18,1,7,True,#USCAP2018
Andres_Matoso,2018-03-16,15:04:35,Neuroglial differentiation in testicular tumors is rare and is more commonly associated with teratomas.  They can show a variety of morphologic features. Below are some examples. Enjoy! 😀 #gupath pic.twitter.com/dfB4xfWxUq,39,2,18,True,#gupath
RalphHruban,2018-03-07,15:18:03,"Our new educational iPAD application, the Johns Hopkins Atlas of prostate Pathology is now available in the iTunes Store ( https://itunes.apple.com/us/app/hopkins-prostate-pathology/id1355871112?mt=8 …)! This app is designed to teach residents, fellows, and practicing pathologists the intricacies of prostate pathology. Enjoy!",81,1,40,True,
mreyesm,2018-03-06,07:05:46,"Botryoid rhabdomyosarcoma from old files. Infant girl, vaginal lesion. #PediPath Compare with the diagram of a vegetable seed to see the cambium layer. #BSTPath pic.twitter.com/WFaqtL4mkH",149,7,85,True,"#PediPath,#BSTPath"
CaDxPath,2018-02-26,21:03:05,New case (but same old story). Young patient. Renal tumour with eosinophilic (but not oxyphilic) cytoplasm. Cytoplasmic vacuoles. This case cytokeratin negative (as is usual). Can only be one thing! http://onlinelibrary.wiley.com/doi/10.1111/his.13277/full … pic.twitter.com/h2ZTLAPs6f,93,3,62,True,
pathologyCast,2018-02-25,13:34:38,Mesenchymal Kidney Tumors by Dr. Andres Matoso (@JHUPath) coming in May! #GUpathMake sure to preview DIGITAL SLIDES of the cases before the #pathCast goes live by visiting our website:  http://pathologycast.com/mesenchymal-kidney-tumors/ … 🔬🖥 pic.twitter.com/oikKeSBpm5,53,0,33,True,"#GUpathMake,#pathCast"
Andres_Matoso,2018-02-16,11:02:29,"At the other end of the spectrum of basal cell hyperplasia of prostate is basal cell carcinoma. Adenoid cystic pattern (pics) is a feature more associated with carcinoma than hyperplasia. Others include Ki67>20%, BCL2+ diffuse, extending out... #gupath #urology pic.twitter.com/vdsVGEhl9g",105,4,61,True,"#gupath,#urology"
Andres_Matoso,2018-01-31,11:09:31,"GCT in blood vessel. At low power the necrosis simulates embryonal, but closer look demonstrates two cells populations, c/w choriocarcinoma. Monomorphic nuclei and amphophilic cytoplasm are a hint for cytotrophoblast (vs. embryonal). #gupath pic.twitter.com/S3MeAZudy8",71,2,50,True,#gupath
Andres_Matoso,2018-01-08,12:22:21,Patient with uncontrolled hypertension and a unilateral peripherally located solitary renal mass. Laboratory features of hyperaldosteronism and hypokalemia. Juxtaglomerular cell tumor. inset CD34. #gupath (Pics by Dr Mangray) pic.twitter.com/P94yoAFvyy,73,1,37,True,#gupath
evacomperat,2017-12-20,05:56:10,@Andres_Matoso and here are the lovely worms which lay these eggs!! #GUpath #pathology #urology (only seen once in my life) pic.twitter.com/O0vJFCdorh,12,0,6,True,"#GUpath,#pathology,#urology"
marcoslepe,2017-12-19,11:39:48,We are looking forward to seeing you all at @ASCP_Chicago 's Annual meeting taking place October 2018!@aakasharmand @AnneMillsMD @Sinchita_Roy @DrFNA @SGottesmanMD @edusqo @EdCibas pic.twitter.com/qu3V6a5qCm – at Brown University,36,6,16,True,
Williamson_SR,2017-12-13,14:36:05,#GUpath quiz - hydrocele specimen: what are these cells? What if I told you they are CD56+? 😱 pic.twitter.com/m5JaqyZH0r,48,17,28,True,#GUpath
Andres_Matoso,2017-12-11,17:07:22,Small round blue cell tumor of kidney. Confirmed PNET/Ewing sarcoma by molecular. CD99 positivity as seen in this case should not be taken as diagnostic.  #gupath #pathology #urology Happy Monday! pic.twitter.com/xm4EE9CUez,103,4,64,True,"#gupath,#pathology,#urology"
lendeschwartz,2017-12-01,10:43:17,Check out our paper on resident Surg path structuring - @ktmontone! Awesome teamwork @PennPathLabMed https://twitter.com/ktmontone/status/936446221782257665 …,11,0,8,True,
