username,date,time,tweet,likes,replies,retweets,retweet,hashtags
DrItaiGans,2018-07-17,06:26:42, https://bit.ly/2uv7YHo  - Take a look at risk factors and epidemiology of recurrent ACL tears in NCAA athletes - recently published in @OJSM_SportsMed  and copublished with @DrMihoTanaka #orthopedics #SportsMedicine @HopkinsOrtho pic.twitter.com/tC8mHQjs99,3,1,1,True,"#orthopedics,#SportsMedicine"
DrMihoTanaka,2018-07-16,19:26:03,Thanks to @envisionexp for hosting us on a panel to talk to the next generation of #leaders in #medicine.  Excited to see the contributions they will each make to our field! #NationalYouthLeadershipForum #PowerSelfie pic.twitter.com/6rP6DcDqX5,4,0,0,True,"#leaders,#medicine,#NationalYouthLeadershipForum,#PowerSelfie"
DrMihoTanaka,2018-07-12,10:36:01,Stay #healthy and avoid #sports #injuries this summer! Thanks ⁦@MiaTaylorWriter⁩ for the mention! https://blog.cheapism.com/summer-sports-injuries/ …,6,1,3,True,"#healthy,#sports,#injuries"
DrMihoTanaka,2018-07-10,20:05:19,Thanks @CharmCityRun for hosting me today to discuss #injuries and #prevention in #runners! Always inspired to be around thoughtful and dedicated athletes. pic.twitter.com/qUlER66fCB,11,0,0,True,"#injuries,#prevention,#runners"
DrMihoTanaka,2018-07-07,15:53:16,"Thank you to @DePuySynthes for their educational #grant for our ICL on #patellofemoral Surgery at #AOSSM2018. And thanks to master PF surgeons @JackFarrMD, @Patelladoc and Dr Andy Cosgarea for another great session- glad to see so much interest in this topic! pic.twitter.com/VyDHTseg0V",13,0,3,True,"#grant,#patellofemoral,#AOSSM2018"
DrMihoTanaka,2018-07-03,16:05:23,"Congratulations and welcome to Alex Otwell from Little Rock, our 2018 #WomensSportsMedicine #SummerIntern @HopkinsMedicine, selected from over 150 applicants! Thanks to our supporters who have made it possible for this to be a funded program this year! pic.twitter.com/28mp223Z5w",45,2,4,True,"#WomensSportsMedicine,#SummerIntern"
OREFtoday,2018-06-30,16:33:03,How do you know when it is time to see a sports medicine doctor? These tips can help.  https://buff.ly/2MtAsYX  #SportsMedicine #SportsMed pic.twitter.com/TIfR5SLo0M,6,0,3,True,"#SportsMedicine,#SportsMed"
DrMihoTanaka,2018-06-27,21:53:42,Final night with the #APKASS ⁦@AOSSM_SportsMed⁩ traveling fellows. Thanks to the ⁦#Orioles org for a great reception! pic.twitter.com/8YfIeEgCKL,10,0,2,True,"#APKASS,#Orioles"
DrMihoTanaka,2018-06-27,11:14:02,Day 3 continued with our #APKASS @AOSSM_SportsMed traveling fellows. Thanks @jondickensmd for organizing the #WhiteHouse tour! pic.twitter.com/rGLlmR1U7l,6,0,2,True,"#APKASS,#WhiteHouse"
DrMihoTanaka,2018-06-26,15:55:17,"Day 3 with our #APKASS ⁦@AOSSM_SportsMed⁩ traveling fellows, a special tour of the White House organized by our military colleagues! pic.twitter.com/oDLWqpmSUt",14,0,3,True,#APKASS
