username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MaxKates,2018-07-11,12:51:28,Very nice review on BCG @ImmunoBladder!  40 years later and we still have so much to learn. @NatRevUrol https://www.nature.com/articles/s41585-018-0055-4 …,20,1,9,True,
MaxKates,2018-07-10,13:20:40,2018 AUA Guideline on management of LUTS/BPH doesn't even mention PSA once?  Seems like it should be at least discussed.... http://www.auanet.org/guidelines/benign-prostatic-hyperplasia/lower-urinary-tract-symptoms-(2018) …,1,0,0,True,
BladderCaJrnl,2018-07-05,10:00:01,High dose-rate Intra-Operative Radiation Therapy During High Risk Genitourinary Surgery: Initial Observations and a Proposal for its Study in #BladderCancer  https://content.iospress.com/articles/bladder-cancer/blc170104 …@tbivala1 @drphil_urology @MaxKates @HopkinsMedicine pic.twitter.com/B2k2xwwbQM,4,0,1,True,#BladderCancer
MaxKates,2018-07-04,13:05:35,"A few favorites: 1) ""You can't operate on what you can't see"" 2) ""What get's us into trouble?  It's not what we don't know it's what we do know that ain't so!"" 3) ""utilize the least number of maneuvers to accomplish a task"" 4)""You can learn from anyone""",1,0,0,True,
MaxKates,2018-07-04,12:58:08,Found this Book by the late and great Frey Marshall when moving offices at work:  Very inspirational and full of #TipsForNewDocs.  Full of surgery related inspirational musings: https://www.amazon.com/Handbook-physicians-insights-medicine-Difference/dp/1467926914 …,1,1,0,True,#TipsForNewDocs
m_e_nielsen,2018-06-26,06:10:59,Congratulations @alan_partin on well-deserved recognition of @BAUSurology St. Paul’s Medal👏👏👏#BAUS18 pic.twitter.com/vRsowc5wbM,11,0,3,True,#BAUS18
brady_urology,2018-06-17,17:55:49,"Wonderful day at #birdlandThank you @Orioles for supporting @HopkinsMedicine, #ProstateCancer awareness/research and us!Thanks to all our patients and #HappyFathersDay Congrats to Dr. Burnett #birdlandhero to many!!! pic.twitter.com/3sfaKtyges",21,2,6,True,"#birdlandThank,#ProstateCancer,#HappyFathersDay,#birdlandhero"
brady_urology,2018-06-17,10:15:05,celebrate #FathersDay and play catch with dad on the Orioles’ field! Join @brady_urology at Camden Yards as the @Orioles host the @Marlins.  All proceeds will go to the #ProstateCancer Discovery Fund. Purchase your tickets here  https://www.mlb.com/orioles/tickets/specials/catch …#birdland pic.twitter.com/HGprtlprtZ,8,0,3,True,"#FathersDay,#ProstateCancer,#birdland"
SUO_YUO,2018-06-13,11:29:47,"Congrats to all applicants matching into 2019 SUO fellowship positions this morning! We look forward to you joining the @SUO_YUO If you'd like, we'd welcome a reply with where you're going for fellowship in 2019 and to make sure we're following you on Twitter@AmerUrological",41,2,12,True,
brady_urology,2018-06-08,19:44:30,Congratulations to @heathernoellemc Teacher of the Year by the #urology residents.... well deserved!!!#meded #SurgMentoring pic.twitter.com/70YUe2imBA,28,0,7,True,"#urology,#meded,#SurgMentoring"
MaxKates,2018-06-04,12:27:45,One thing I simply do not understand in bladder cancer:1) some are advocating observation for T2 who are complete responders to neoadjuvant chemo 2) Many suggest cystectomy for recurrent T1 3) BUT few recommend neoadjuvant chemo for recurrent T1.  This incongruity makes no sense!,12,4,4,True,
michael_gorin,2018-06-03,18:13:29,Mine and PCW's view on the PRECISION trial https://www.europeanurology.com/article/S0302-2838(18)30367-1/fulltext …I'm told a response from UCL group is coming. Eager to read.,19,0,8,True,
gottsled,2018-06-02,13:04:22,Can Renal and Bladder Ultrasound Replace CT Urography in Patients Investigated for Microscopic Hematuria?  http://prac.co/l/ybu5nh2b  via @practiceupdate  data appears to support use of renal u/s w/expert commentary by @MaxKates frm @brady_urology,2,0,1,True,
MaxKates,2018-05-31,15:27:08,Fascinating study on Small Cell carcinoma of the bladder: Distinct pathogenesis form small cell of lung.  APOBEC Mediated. http://clincancerres.aacrjournals.org/content/24/8/1965 …,3,0,1,True,
djmcconkey,2018-05-31,12:38:24,Don't forget to join today's #bladdercancer webinar at 7pm ET with @akfsurgeon and @JCensits -> Sign up here:  https://bit.ly/2rOBMNe . @brady_urology @HopkinsMedicine @HopkinsKimmel @BloombergKimmel https://twitter.com/djmcconkey/status/992401468853497856 …,12,0,9,True,#bladdercancer
DebSundi,2018-05-30,15:20:49,An awesome contribution to our ability to study bladder cancer. Thank you to Billy Kim and colleagues @UNC_Lineberger @OSUCCC_James @B_C_A_N http://cancerres.aacrjournals.org/content/early/2018/05/18/0008-5472.CAN-18-0173 …,15,0,3,True,
MaxKates,2018-05-27,11:29:25,Ambitious and Impressive in scope.  Randomized surgical trials with functional outcome data are so few and far between https://twitter.com/EUplatinum/status/1000774402676547585 …,1,0,0,True,
MaxKates,2018-05-27,11:12:41,This is a pretty good paper on the PUNLMP topic https://diagnosticpathology.biomedcentral.com/articles/10.1186/s13000-015-0234-z …,0,0,0,True,
MaxKates,2018-05-27,11:11:29,"Whats the equivalent of the ""Is Gleason 6 Disease prostate cancer"" with Bladder Cancer.  PUNLMP: 1) 20% recurrence rates almost always PUNLMP or low grade Ta, 2) 1% risk of progression to MIBC and this may really be new cancer not progression, 3) <1% risk of bladder cancer death.",3,2,0,True,
MaxKates,2018-05-25,14:22:23,That moment when you realize the last edition of Campbell-Walsh did not discuss molecular subtypes in #bladdercancer. pic.twitter.com/m5dzJtVot2,11,2,0,True,#bladdercancer
MaxKates,2018-05-23,08:12:10,"Urinary biomarkers for bladder cancer diagnosis are evolving.   For this week's #bladdercancerreview, my favorite meta-analysis on the topic by Chou,@gorejohn and Selph.  Focus here is on what's FDA approved and currently used. Rigorous methodology  http://annals.org/aim/fullarticle/2466370 …",4,0,3,True,#bladdercancerreview
anobelodisho,2018-05-21,15:38:05,Crazy high 90-day readmission rates across US for GU onc presented by @MeeraChappidi @UCSFUrology #AUA18 pic.twitter.com/8kwA0Jcp3y,9,3,5,True,#AUA18
tbivala1,2018-05-21,15:32:08,Congrats Alexa!  Best poster - Restating TURBT after NAC misses >25% of invasive bladder cancer on RC final pathology despite no evidence of cancer on endoscopic TURBT (T0).  Important message for clinical trial design. @brady_urology @MaxKates @drphil_urology pic.twitter.com/AxYIWvOfRH,57,6,13,True,
urodrnik,2018-05-19,16:57:12,Dr. Bivalacqua presents final results of Phase I neourinary conduit trial. Very promising results but still needs optimization. #aua18 @brady_urology @tbivala1 @DrGreg_MD pic.twitter.com/QWAzqbffsU,18,1,12,True,#aua18
MaxKates,2018-05-17,11:53:47,We should not be getting urine cytology for asymptomatic microhematuria.  I wonder what contemporary practice patterns are with this in the urologic community.  Any data out there to see how well we are following this? #ChoosingWisely http://www.choosingwisely.org/societies/american-urological-association/ … pic.twitter.com/MU1qeG3kCB,1,0,0,True,#ChoosingWisely
SenatorMenendez,2018-05-14,15:45:03,"Did you know men are 3X more likely to develop #bladdercancer than women? @SenatorIsakson & I just got word our resolution recognizing May as National Bladder Cancer Awareness Month passed. Get the facts, learn its symptoms and how to reduce your risk     https://www.cancer.org/cancer/bladder-cancer.html …",15,0,9,True,#bladdercancer
