username,date,time,tweet,likes,replies,retweets,retweet,hashtags
brady_urology,2018-01-30,07:10:11,When Can PSA Testing Be Stopped After Prostatectomy?#prostatecancer f. @Wes_Ludwig_MD #PCW https://www.hopkinsmedicine.org/brady-urology-institute/patient-information/books-publications/articles/when-can-psa-testing-be-stopped-after-prostatectomy …#discovery18 #pcsm pic.twitter.com/Xx674GXyJT,11,0,5,True,"#prostatecancer,#PCW,#discovery18,#pcsm"
BEkidneystone,2017-12-07,04:58:24,Use of NSAIDS for treatment of acute renal colic -  http://bit.ly/2iyElhZ ,16,0,9,True,
Wes_Ludwig_MD,2017-10-03,14:13:39," http://urologytimes.modernmedicine.com/urology-times/news/how-do-ureteroscope-types-compare-ergonomically?page=0,0 …",2,0,1,True,
NatRevUrol,2017-09-22,13:35:14,#NEWinNRU Review by @Wes_Ludwig_MD et al. on robot-assisted retroperitoneal oncological surgery #UroOnc  http://go.nature.com/2xY0NuW  pic.twitter.com/qYANFZjTZJ,9,1,12,True,"#NEWinNRU,#UroOnc"
marawaneltayeb,2017-09-13,19:46:15,@EndourolSoc @Wes_Ludwig_MD @brady_urology very nice study!#wce17 #wce2017 pic.twitter.com/olaW1Wb0kg,6,0,5,True,"#wce17,#wce2017"
Wes_Ludwig_MD,2017-09-14,18:42:05,"Another great World Congress of Endourology in the books, in a beautiful locale! #WCE17 @brady_urology pic.twitter.com/Rm3Pac6AXJ",5,0,2,True,#WCE17
bsc_urology,2017-09-12,18:17:37,.@BrianMatlaga on the place for single-use ureteroscopes at a high volume institution. #WCE17 https://twitter.com/kativonhe/status/907699306160734208 …,15,0,7,True,#WCE17
Wes_Ludwig_MD,2017-08-24,07:49:53,Thank you @drphil_urology for a great grand rounds talk on the new AUA guidelines on small renal masses! @AmerUrological @brady_urology pic.twitter.com/fYjE7qlZwQ,15,0,5,True,
Wes_Ludwig_MD,2017-08-22,12:42:36,Ever wonder which ureteroscope has the best ergonomic profile?  http://online.liebertpub.com/doi/10.1089/end.2017.0378 …@JEndourology @Justin_Ziemba @brady_urology,16,0,7,True,
Wes_Ludwig_MD,2017-08-16,07:30:18,When can we stop testing PSA 20 years after radical prostatectomy? @JUrology @brady_urology http://www.jurology.com/article/S0022-5347(17)77319-3/fulltext …,7,1,7,True,
JEndourology,2017-08-01,15:01:15,Ureteral Stent Tracker improves patient safety by preventing the forgotten ureteral stent READ NOW:  http://ow.ly/qJib30e5r4v ,6,0,4,True,
