username,date,time,tweet,likes,replies,retweets,retweet,hashtags
surgeonweiss,2018-06-29,11:51:51,"Important study demonstrating what many of us know quite well.  We also burden trainees with lots of expenses for licenses, qualifying exams, interview travel costs, skills exams required for certification, etc. Give trainees a financial break-they r the future https://twitter.com/amcollsurgeons/status/1012693476641792001 …",7,0,2,True,
surgeonweiss,2018-06-29,06:21:03,Congrats Tony. https://twitter.com/ihpba/status/1012641581546033153 …,3,2,0,True,
CodePurpleNow,2018-06-09,15:03:00,"""Are we asking the research questions that will impact the patient sitting in front of us?"" -Dr. Matt Weiss @HopkinsMedicine https://youtu.be/cNW-ACaLNHE ",19,0,2,True,
surgeonweiss,2018-06-06,05:08:14,Congrats Drew.  Welcome. https://twitter.com/drewshirleymd/status/1004018130186797061 …,1,0,0,True,
surgeonweiss,2018-06-03,09:38:22,"Agreed.  That’s why my wife and I paid out of pocket. Insurance companies base decision on financial variables, worth every penny to me. https://twitter.com/heatheryeomd/status/1003283778855489536 …",5,1,0,True,
elopezgavito,2018-06-03,08:46:18,Surgical and Patient-Centered Outcomes after Pancreatic Resection in High-Risk Individuals for Pancreatic Cancer:A 20-Year Prospective Cancer of the Pancreas Screening (CAPS) Cohort Study:Just presented at #SSAT18 Presidential Plenary Rm 202A #DDW18  @JournalofGISurgery @drjmier pic.twitter.com/bkKI6eezRL,10,0,7,True,"#SSAT18,#DDW18"
surgeonweiss,2018-06-03,09:32:21,"Funny, I have been recommending age 40 for screening colonoscopies for years.  See way too many young people die of this disease. https://twitter.com/heatheryeomd/status/1003277368209891329 …",6,1,2,True,
JAMASurgery,2018-05-28,05:30:01,"What is the prognostic association of #BRAF mutations with survival and recurrence in patients with metastatic #colorectal #liver #cancer, and how does it compare with #KRAS mutations?  https://ja.ma/2IY1sy0  #VisualAbstract pic.twitter.com/tCx0KxFqUS",15,0,16,True,"#BRAF,#colorectal,#liver,#cancer,#KRAS,#VisualAbstract"
polom_karol,2018-05-16,14:58:30,#KRAS and #BRAF Mutations With Survival and Recurrence in Metastatic #Colorectalcancer #Livermetastases  https://ja.ma/2Kubnf7  #molecularsurgery @JAMASurgery pic.twitter.com/WSgmxlhgzA,6,0,7,True,"#KRAS,#BRAF,#Colorectalcancer,#Livermetastases,#molecularsurgery"
CodePurpleNow,2018-05-22,08:55:13,"@MariaBartiromo Looking forward to the premiere of our film #ThePatientsAreWaiting tonight in NYC, with discussion hosted by @mariabartiromo and panelists @bobwrightnbc, Dr. Geoff Ling, Dr. Karen Reeves & Dr. Herb Pardes  @NYP pic.twitter.com/fuJxej8xqL",8,0,4,True,#ThePatientsAreWaiting
surgeonweiss,2018-05-20,08:26:51,"Agreed. Not sure we can say absolute contraindication, but maybe accurately prognosticating should dictate timing sequence of multimodality therapies “to test biology”.  Great work by my fellow Tony Margonis. https://twitter.com/nirajgusani/status/998014060707897344 …",3,1,2,True,
HopkinsMedNews,2018-05-14,07:00:01,@hopkinssurgery From @Hopkinssurgery: A series of papers about a new scoring system that may help improve advanced colorectal cancer prognosis  http://bit.ly/2G6BRko  pic.twitter.com/kB744m9T8X,7,0,5,True,
surgeonweiss,2018-05-01,20:48:12,I’ve been looking forward to this read since Jason told me about it at the ACS in San Diego.  Amazing. https://twitter.com/univsurg/status/991058896881094658 …,3,0,0,True,
mikewright94,2018-04-28,10:14:42,Exciting talk by @DrRABurkhart at @pancreas2018 discussing organoid pharmacotyping.  The future is here! #pancreas2018 pic.twitter.com/Yvs26sMl5l,9,1,6,True,#pancreas2018
chiaro_del,2018-04-28,11:08:51,IPMNs and bacteria...any correlation? @pancreas2018 pic.twitter.com/jEVQjEWcvD,12,0,3,True,
surgeonweiss,2018-04-28,16:46:24,Great seeing friends like Marco at this session.  Hopefully generated some good questions.  Plenty of room for improvement in treating this disease. https://twitter.com/chiaro_del/status/990327915563962368 …,1,1,0,True,
JAmCollSurg,2018-03-27,18:00:51,In April: Platinum-based chemotherapy regimens were associated with markedly improved survival in patients with BRCA1/BRCA2 mutations.  http://ow.ly/kVZt30iVA2l  #SSA #VisualAbstract @HopkinsMedicine pic.twitter.com/QiDtrg58tk,11,0,7,True,"#SSA,#VisualAbstract"
surgeonweiss,2018-03-27,15:10:33,Well deserved https://twitter.com/DukeSurgery/status/978625255580237824 …,5,0,3,True,
HopkinsMedicine,2018-02-12,14:34:21,Learn how our team treated a female patient with a large #neuroendocrine tumor in the body of the #pancreas. https://cards.twitter.com/cards/c2idv/5bz4i …,358,7,138,True,"#neuroendocrine,#pancreas"
AnnalsofSurgery,2018-02-06,10:03:25,Is a Pathological Complete Response Following Neoadjuvant Chemoradiation Associated With Prolonged Survival in Patients With Pancreatic Cancer?  http://bit.ly/2rDJMDY  #VisualAbstract pic.twitter.com/THTucZSRkY,58,0,35,True,#VisualAbstract
hopkinssurgery,2018-01-26,06:56:01,#FF #FacultyFriday @jonessurgery: acute care surgeon and recipient of this year's @EAST_TRAUMA Presidential Distinguished Service Award! #EAST2018 http://j.mp/2E20D5U  pic.twitter.com/WoDpczrI2i,42,5,11,True,"#FF,#FacultyFriday,#EAST2018"
AnnalsofSurgery,2018-01-25,07:42:57,Is a Pathological Complete Response Following Neoadjuvant Chemoradiation Associated With Prolonged Survival in Patients With Pancreatic Cancer?  http://bit.ly/2rDJMDY  pic.twitter.com/5WlBeSYT3O,23,1,24,True,
