username,date,time,tweet,likes,replies,retweets,retweet,hashtags
cgtrujillourol,2018-07-13,09:17:13,Honoured to have Dr. Michael Johnson at our course! @brady_urology @HopkinsMedicine @FSFB_Salud @cgturologo pic.twitter.com/Ft4g4Q1GJi,11,1,5,True,
LauraZuluagaJim,2018-07-12,19:13:09,Webinar with Dr. Johnson  about Immunotherapy in urologic cancer #FSFB_Edu . Inmunoterapia en cáncer urológico! pic.twitter.com/tW7345U6EK,6,0,5,True,#FSFB_Edu
MuhammadLila,2018-07-11,15:59:24,"When he was 6, his grandfather was shot dead.  His family became refugees, in a warzone.  He grew up to the sound of grenades exploding.Coaches said he was too weak and too shy to play football.Today, Luka Modric just led Croatia its first ever #WorldCup final.#CROENG pic.twitter.com/plOsy9nQcq",123176,783,38637,True,"#WorldCup,#CROENG"
KateRobbins,2018-07-10,10:30:02,"My mate has two tickets for the England vs Croatia semifinal game tomorrow. He didn't realise that it's going to be on the same day as his wedding, so he can't go. If you're interested and want to go instead of him, it's at St. Andrew's Church in Cambridge and her name is Sarah.",16856,361,4648,True,
allaf_mo,2018-07-08,07:02:37,"Ongoing search for next DIRECTOR OF PEDIATRIC UROLOGY at @brady_urology @HopkinsMedicine Interested candidates or nominations please DM or email me at mallaf@jhmi.edu.  EXCITING OPPORTUNITY to lead, discover, and teach!Work with international hospitals, build regional programs...",5,1,5,,
allaf_mo,2018-07-05,19:49:06,This seems misleading- improve survival compared to what? Why is AUA choosing this paper and title out of everything out there?! https://twitter.com/amerurological/status/1015022635900657664 …,18,4,0,,
gottsled,2018-06-30,14:58:14,Just in time for the prolonged heat wave here on the East Coast- it's #NoTieJuly Hope you'll shed the tie and help raise awareness for #kidneycancer @kcCURE @RCCadvocate @allaf_mo @drphil_urology @michael_gorin @MichaelStaehler @zklaassen_md @AdamRMetwalli @markballmd @4rnav,13,1,8,True,"#NoTieJuly,#kidneycancer"
prokarurol,2018-06-27,01:58:18,#BAUS18 Congratulations @alan_partin Associate Editor @BJUIjournal for winning the St. Paul’s Medal pic.twitter.com/LjLbpKeozU – at Exhibition Centre Liverpool,12,0,4,True,#BAUS18
LambAlastair,2018-06-26,05:08:07,"Legendary Prof Partin @alan_partin @brady_urology enlightens packed house on merits of #NextGeneration screening & risk stratification in #ProstateCancer•NEVER make a decision on a single PSA•Several other tools available: 4k, PHI, CPI etc• @HopkinsMedicine use #PHI#BAUS18 pic.twitter.com/YhUdORZ7Ch",7,0,5,True,"#NextGeneration,#ProstateCancer,#PHI,#BAUS18"
JHMedArchives,2018-06-25,12:40:12,"Hugh Hampton Young, founding director of @brady_urology, was interested in the burgeoning field of aviation. He's pictured here at an aviation field in Paris, ca 1925, with an unidentified woman (and very cute dog). pic.twitter.com/yJxSpDEqtR",13,0,2,True,
allaf_mo,2018-06-26,21:10:44,All of us @brady_urology are proud! https://twitter.com/columbiaurology/status/1011359203078868992 …,13,0,2,,
ZSchwen,2018-06-26,14:21:47,Congrats @alan_partin !!! https://twitter.com/tbivala1/status/1011581604588937216 …,5,0,2,True,
edchedgy,2018-06-26,04:36:03,Tour de force of biomarkers in prostate cancer @alan_partin #baus2018 pic.twitter.com/Zs1RCqZTKt,10,0,3,True,#baus2018
allaf_mo,2018-06-18,06:24:33,Oncocytoma not cancer and really shouldn’t be listed under kidney cancer. It is a kidney tumor/growth/neoplasm but not cancer. https://twitter.com/gottsled/status/1008510724803629056 …,17,0,2,,
