username,date,time,tweet,likes,replies,retweets,retweet,hashtags
brady_urology,2018-01-23,09:57:23,#Discovery18 read the latest greatest #urology #medicalresearch from the Brady and @HopkinsMedicine https://www.hopkinsmedicine.org/brady-urology-institute/patient-information/books-publications/discovery-issues/winter-2018 …#prostate #prostatecancer #pcsm #bladdercancer #bcsm #GBCI #kidneycancer #kcsm #testicularcancer #tcsm pic.twitter.com/NlNN90jnHc,16,0,5,,"#Discovery18,#urology,#medicalresearch,#prostate,#prostatecancer,#pcsm,#bladdercancer,#bcsm,#GBCI,#kidneycancer,#kcsm,#testicularcancer,#tcsm"
brady_urology,2018-07-16,14:00:54,Multiple growth periods predict unfavourable pathology for SRM f. @drphil_urology @HitenDPatel @allaf_mo @BJUIjournal http://www.bjuinternational.com/article-of-the-week/video-multiple-growth-periods-srms-predict-unfavourable-pathology/ …#kidneycancer #dissrm,3,0,2,,"#kidneycancer,#dissrm"
brady_urology,2018-07-16,10:45:08,RT @cgtrujillourol: Honoured to have Dr. Michael Johnson @michaelhjohnson at our course! @brady_urology @HopkinsMedicine @FSFB_Salud @cgturologo pic.twitter.com/DflTsYBear,1,0,0,,
LoebStacy,2018-07-10,13:36:42,Interesting study how hormonal therapy for #prostatecancer may alter the GI #microbiome with potential implications on clinical response and efficacy of future therapies in @pcan_journal by @sfanoslab @brady_urology #pcsm https://www.nature.com/articles/s41391-018-0061-x …,31,0,19,True,"#prostatecancer,#microbiome,#pcsm"
DevGuildDDI,2018-07-12,11:30:22,"Our President Bill Weber traveled to Baltimore to meet with our client, the @brady_urology Institute at John Hopkins School of Medicine. Here he is with Director of Development Elissa Kohel. Learn more about the Sr Assoc Director of Development opening  https://bit.ly/2KQuAw9  pic.twitter.com/ZN5qluianB",1,0,1,True,
cgtrujillourol,2018-07-13,09:17:13,Honoured to have Dr. Michael Johnson at our course! @brady_urology @HopkinsMedicine @FSFB_Salud @cgturologo pic.twitter.com/Ft4g4Q1GJi,11,1,5,True,
GMBadalato,2018-07-15,08:55:08,All-star #teamburnett!#aualeadership @MKhmcuro @ChesUrology @WCMUrology @brady_urology pic.twitter.com/uOnRvIdPXh,9,0,3,True,"#teamburnett,#aualeadership"
brady_urology,2018-07-09,13:50:04,Read Nico's #testicularcancer story- be an advocate for your own healthcare- strive for cure- focus on survivorship https://www.hopkinsmedicine.org/brady-urology-institute/patient-information/patient-stories-urology/testicular-cancer-nicolas-story?clear …feat. @drphil_urology @HopkinsMedicine,8,0,3,,#testicularcancer
brady_urology,2018-07-09,10:50:05,#prostatecancer #prostatecancerresearch https://twitter.com/brady_urology/status/1013830530566062085 …,0,0,0,,"#prostatecancer,#prostatecancerresearch"
brady_urology,2018-07-09,08:10:05,"Great photos from Resident Farewell Dinner, 2018.  http://ow.ly/gyc330kRzjL #urology #urologyresident #graduation2018",1,0,0,,"#urology,#urologyresident,#graduation2018"
