username,date,time,tweet,likes,replies,retweets,retweet,hashtags
amfmigraine,2018-06-29,21:22:56,"@ELLEmagazine The AMF responds to recent '#Migraine Pose' article, encouraging collaboration between @ElleMagazine and the #migraine community. Find out more about how we can all work together to stop the stigma of migraine. #truemigrainepose #moveagainstmigraine #MHAM https://buff.ly/2IFoJUz ",46,4,31,True,"#Migraine,#migraine,#truemigrainepose,#moveagainstmigraine,#MHAM"
wfneurology,2018-06-20,10:01:18,"Have you read the @ihs_official Vancouver Declaration on Global #Headache Patient Advocacy 2018, now published in @JCephalalgia Read it now:  http://ow.ly/rZZf30kxDyq  pic.twitter.com/W95iCMNGGq",24,0,17,True,#Headache
CephEditorial,2018-06-11,16:28:24,Here is what's happening @JCephalalgia  http://journals.sagepub.com/toc/cepa/0/0  Free to read: Vancouver Declaration on Global Headache Patient Advocacy 2018 @daviddodick pic.twitter.com/P8t2VyWxHt,7,0,6,True,
daviddodick,2018-06-09,14:09:08,"⁦@amfmigraine⁩ ⁦@schwedtt⁩ ⁦⁦⁦driving #migraine, #cluster, and headache research forward with #ARMR. ⁦@MayoClinic⁩ @JeffHeadacheCtr⁩ ⁦@dartmouth⁩ Univ Colorado, UT Houston, and more to join soon! https://www.washingtonpost.com/national/health-science/there-are-some-new-ways-to-fight-disabling-migraines/2018/06/01/f956ab6e-6424-11e8-99d2-0d678ec08c2f_story.html …",18,0,10,,"#migraine,#cluster,#ARMR"
daviddodick,2018-06-09,12:09:24,"⁦@amfmigraine⁩ #moveagainstmigraine campaign is for people with #migraine to learn more, find help, and get connected. Committed to eliminating #stigma and raising awareness of and respect for this disease and those affected. https://www.washingtonpost.com/national/health-science/there-are-some-new-ways-to-fight-disabling-migraines/2018/06/01/f956ab6e-6424-11e8-99d2-0d678ec08c2f_story.html …",25,0,15,,"#moveagainstmigraine,#migraine,#stigma"
MayoClinic,2018-06-02,16:53:00,"@arizonapbs Tune in to ""Migraine Solution"" with leading experts, including Dr. David Dodick of Mayo Clinic, as they explore the struggles of trying to solve a very complex neurological disease. Sunday, June 3 at 5:30pm MST on @ArizonaPBS https://to.pbs.org/2HdAgts ",48,1,28,True,
AmaalStarling,2018-06-03,09:29:07,@KPBS @daviddodick @PBS @KateGrimsrud @clearwaterblue4 Thank you for being a #MigraineWarrior. Let’s see if we can encourage other #SanDiego #PainWarriors to do the same! Have you heard of the FB page #MoveAgainstMigraine? Join it and see how many people are from SD. #IAmAMigraineWarrior,2,1,2,True,"#MigraineWarrior,#SanDiego,#PainWarriors,#MoveAgainstMigraine,#IAmAMigraineWarrior"
daviddodick,2018-06-03,04:39:17,"#pain mechanisms and therapeutics meeting in #Taormina, Sicily! Outstanding meeting with world’s top #pain scientists and clinicians. Entire session dedicated to #migraine. A treat to be here! pic.twitter.com/PqEeU69ulr",19,0,4,,"#pain,#Taormina,#pain,#migraine"
amfmigraine,2018-06-01,09:45:01,"#MHAM is here, and the AMF wants YOU to get involved. From participating in our #MHAMSocialChallenge every Wednesday to tuning in to our weekly Facebook Lives, your options are endless. Learn how to #MoveAgainstMigraine on our website. https://buff.ly/2JmLilp  pic.twitter.com/vGf7HDFqm6",23,1,21,True,"#MHAM,#MHAMSocialChallenge,#MoveAgainstMigraine"
amfmigraine,2018-06-01,12:49:02,"Today marks the beginning of #Migraine and #Headache Awareness Month. Stay connected and join the movement by following our social media for shareable materials, advocacy tips and more. #MHAM #NotAlone pic.twitter.com/34H3nUHQh0",56,5,41,True,"#Migraine,#Headache,#MHAM,#NotAlone"
