username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoClinic,2018-07-24,17:20:01,"Color your way to 5 a day. With fresh, in-season fruits and vegetables flooding into supermarkets and local farmers markets, it's a perfect time to practice and have fun ""painting"" your plate with color.  https://mayocl.in/2KBA4Ku  pic.twitter.com/bSOzppd1RO",29,2,12,True,
MayoClinic,2018-07-24,16:35:00,"Lower cost, higher quality health care is right at our fingertips.  http://bit.ly/2mId1jC  via @Forbes #Telemedicine",9,0,6,True,#Telemedicine
MayoClinicKids,2018-07-24,10:25:02,"Do you have questions about the shape of your baby's head? Join us Thursday, July 26 at 11 a.m. CT for a video Q&A with @DrAngelaMattke pediatrician, and Dr. Edward Ahn, pediatric neurosurgeon. Learn more about: #Craniosynostosis and #Plagiocephaly  https://connect.mayoclinic.org/webinar/video-qa-about-the-shape-of-your-babys-head/?date=1532563200 … pic.twitter.com/eu4WVpzHIp",3,0,2,True,"#Craniosynostosis,#Plagiocephaly"
MayoClinic,2018-07-24,15:36:40,#MayoClinicMinute: The @CDCgov estimates 48 million people in the U.S. get sick every year from #FoodPoisoning. @DrPritishTosh says prevention is especially important in your kitchen when it comes to #FoodSafety.  https://mayocl.in/2Oe7wpm  pic.twitter.com/7rd4L5Ls1U,31,0,22,True,"#MayoClinicMinute,#FoodPoisoning,#FoodSafety"
MayoClinic,2018-07-24,13:30:01,"Many people are enjoying these warm #summer days in the water. But according to the @CDCgov about 10 people die from drowning every day. Dr. Christopher Tookey says, “Anyone can have a water-related accident.""  https://mayocl.in/2A1MlE5  @MayoClinicHS pic.twitter.com/xwyMYFQIJl",15,0,8,True,#summer
MayoClinic,2018-07-24,11:15:01,#Epilepsy surgery frees Kelly Daniels to enjoy her independence.  https://mayocl.in/2A3tjNg  pic.twitter.com/DTAP3maCWh,22,2,5,True,#Epilepsy
MayoClinic,2018-07-24,09:25:01,"Alexander Revzin, Ph.D., is the recipient of a 2018 Regenerative Medicine Minnesota Research Award. He is developing microcapsules that could be used as cell carriers during differentiation of #StemCells into pancreatic islets.  https://mayocl.in/2msFXff  pic.twitter.com/864Doa5BwV",31,0,13,True,#StemCells
MayoClinic,2018-07-24,08:00:02,"A recent study shows that the test that doctors use to diagnose #Alzheimer’s is finding the disease later in women, and over diagnosing some men.  https://wb.md/2mDOj3G  via @WebMD #AAIC18",31,0,22,True,"#Alzheimer,#AAIC18"
WomenHeartOrg,2018-07-23,17:25:03,"Just how far have we come in understanding the mechanisms of sex differences in #heartdisease? Turn knowledge into gender-specific care, at the @MayoClinic ""Heart Disease in Women"" CME course October 4-5, 2018. #physician #healthcare #womenshealth https://cveducation.mayo.edu/store/heart-disease-in-women-a-new-era-of-understanding-recognition-prevention-diagnosis-and-treatment-2018 … pic.twitter.com/hmDc7OQT6h",36,1,16,True,"#heartdisease,#physician,#healthcare,#womenshealth"
MayoClinic,2018-07-24,07:00:26,"This fresh  salsa is a great way to use up tomatoes from your garden or farmers market.For more healthy recipes, download the Mayo Clinic app.  http://mayocl.in/2pjQr4h  pic.twitter.com/F918pYaQmD",24,2,11,True,
MayoClinic,2018-07-23,21:23:01,Did you miss the show? The 7/21/18 #MayoClinicRadio program is now available:  https://mayocl.in/2A3zZLD . pic.twitter.com/zEPDT8SJ1p,13,0,1,True,#MayoClinicRadio
MayoClinic,2018-07-23,20:05:00,"After daughter dies at 26, parents say pay her kindness forward with #ALittleBitofLaura.   http://bit.ly/2v07x7B  via @dailyherald #ColonCancer",66,1,20,True,"#ALittleBitofLaura,#ColonCancer"
MayoClinic,2018-07-23,19:00:02,"If you live in Olmsted County, cast your vote for the 2018 Mayo Clinic Shared Value Award winner. The winner will get a grant of up to $50,000 to address county health priorities.   https://mayocl.in/2uXFBkE  #RochMN pic.twitter.com/gqMrnmnSGl",10,0,3,True,#RochMN
MayoClinic,2018-07-23,18:00:00,"Mayo Clinic's Biomedical Ethics Department and the Rochester Public Library teamed up to offer a free screening of the 2017 film ""Wonder"" at the Civic Theatre Sunday afternoon.  http://bit.ly/2A5iiev  via @KTTCTV #RochMN",12,0,4,True,#RochMN
MayoClinic,2018-07-23,17:42:01,"Questions about teen #acne? @MTollefsonMD, a pediatrician and dermatologist, replies in this #MayoClinicQandA.  https://mayocl.in/2mvmsTh  pic.twitter.com/64IVpMna3U",13,0,5,True,"#acne,#MayoClinicQandA"
MayoClinic,2018-07-23,15:40:38,"#MayoClinicMinute: Did you know that drinking lots of water not only helps prevent #dehydration, but may also reduce the risk of developing #KidneyStones? It seems more people battle painful kidney stones in summer than any other time of year.  https://mayocl.in/2uT6kPa  pic.twitter.com/CP9HhSbYla",82,1,58,True,"#MayoClinicMinute,#dehydration,#KidneyStones"
MayoClinic,2018-07-23,13:20:01,"#Ecigarettes, sunscreen expiration, ankle weights and fitness walking, #Alzheimers and mealtime, and first aid for animal bites - in #ConsumerHealth.  https://mayocl.in/2zT5nwk  pic.twitter.com/6C9GM7AWzD",11,0,11,True,"#Ecigarettes,#Alzheimers,#ConsumerHealth"
MayoClinic,2018-07-23,11:27:02,"Join us next Monday, July 30, for a #FacebookLive Q&A about #myocarditis.  https://mayocl.in/2uA7gYX  pic.twitter.com/Z2UDYVaGEn",10,0,5,True,"#FacebookLive,#myocarditis"
MayoClinic,2018-07-23,10:00:01,"Exposure to surgery with general anesthesia is tied to a subtle decline in memory and thinking skills in older adults, according to a new Mayo clinic study published in the British Journal of Anaesthesia.  http://bit.ly/2A3O7o7  via @PsychCentral",51,1,43,True,
USATODAY,2018-07-21,03:32:47,Alzheimer's researchers are used to disappointment. But a new drug is giving them reason to hope. https://usat.ly/2Ntb1qA ,172,13,77,True,
MayoClinic,2018-07-20,21:12:01,"It's a modern day parenting dilemma - kids and screen time. How much is too much? This weekend on #MayoClinicRadio, we'll discuss how to set limits for your children with Mayo Clinic expert, @DrAngelaMattke:  https://mayocl.in/2zOZ7Wa . pic.twitter.com/len8KxSDRu",36,1,20,True,#MayoClinicRadio
MayoClinic,2018-07-20,19:00:01,"With a research grant form Regenerative Medicine Minnesota, Ping (Vicky) Chen, Ph.D., research associate, is studying a new treatment strategy using gene transfer therapy to safely target brain mechanisms that control hunger and energy output.  https://mayocl.in/2mvSX3W  pic.twitter.com/9yHqbsKxro",28,0,11,True,
MayoClinic,2018-07-20,17:20:46,"#MayoClinicMinute: Have you ever enjoyed a sip of an ice-cold milkshake or taken a bite of an ice cream cone only to get an instant blast of pain or #headache that lasts a few seconds? It's called a ""cold-stimulus headache.""  https://mayocl.in/2zXL5Sk  #BrainFreeze pic.twitter.com/BKMhBYLlbu",73,2,24,True,"#MayoClinicMinute,#headache,#BrainFreeze"
MayoClinic,2018-07-20,15:35:01,"By repurposing a surgical tool, researchers advance treatment for deep #BrainTumors.   https://mayocl.in/2zJzBBS  pic.twitter.com/YDZWX9dS9t",60,3,35,True,#BrainTumors
MayoClinic,2018-07-20,14:00:01,"Experts reveal the best way to prevent #migraines, sinus #headaches, and other head-throbbers this summer.  http://bit.ly/2mu0D6F  via @readersdigest",35,0,23,True,"#migraines,#headaches"
MayoClinic,2018-07-20,13:15:01,"Determined to understand the reason for the strange hitch in his stride, marathon runner Pat Foley pushed forward for years until he reached the office of a Mayo Clinic movement neurologist.  https://mayocl.in/2zR1FTD  pic.twitter.com/z7qpcrVU8w",13,1,3,True,
MayoClinic,2018-07-20,12:57:03,RT @eBHC We're celebrating our fifth anniversary as a member of the @MayoCareNetwork! We're grateful for this collaboration which allows us to provide Mayo Clinic expertise close to home. pic.twitter.com/TNzhMkYkwC,16,0,5,True,
MayoClinic,2018-07-20,12:36:45,"Do you know how to help someone who's choking with the #HeimlichManeuver? Hear from Joshua Moeckly, a cardiac nurse, in this #MayoClinicMinute.  https://mayocl.in/2mozHVH  pic.twitter.com/tGCpkpZyXD",95,2,87,True,"#HeimlichManeuver,#MayoClinicMinute"
MayoClinic,2018-07-20,11:50:03,Vote now for the 2018 Mayo Clinic Shared Value Award winner! Learn more about each finalist and vote for your favorite.  https://mayocl.in/2zMewqt  #MayoClinicCommunity #RochMN pic.twitter.com/lPXqDXQSjE,9,0,3,True,"#MayoClinicCommunity,#RochMN"
MayoInnovation,2018-07-19,11:55:02,Pleased to announce that award-winning journalist @webertom1 (most recently with @MPRnews) will serve as moderator at #TXFM 2018. Register today at  https://mayocl.in/2zSRXQD . pic.twitter.com/pbmQmKUalG,4,0,2,True,#TXFM
MayoClinic,2018-07-20,10:40:01,#Alzheimer's risk linked to pregnancy history.  http://bit.ly/2uOH8cD  via @medpagetoday,27,1,13,True,#Alzheimer
MayoClinic,2018-07-20,10:15:00,Mayo Clinic doctor researches the science behind the golf 'yips'.  http://bit.ly/2uRjEn9  via @FOX9,13,0,7,True,
MayoClinic,2018-07-20,09:42:02,"4 tips to a safer summer. From swimming and cycling safely, to beating the heat and fighting bites.  https://mayocl.in/2NiZHyj  pic.twitter.com/9s5FicQJBI",28,0,21,True,
MayoClinic,2018-07-19,19:40:01,Combining innovative Mayo Clinic labs with medical businesses and creative start-up companies will help #RochMN — and benefit patients.  https://mayocl.in/2mqyDRy  pic.twitter.com/4afrYSKmX4,24,0,8,True,#RochMN
MayoClinic,2018-07-19,18:37:00,"Water is essential to good health, yet needs vary by individual. These guidelines can help ensure you drink enough fluids.  https://mayocl.in/2mnbFe2  pic.twitter.com/n6D2JSps13",84,0,61,True,
MayoClinic,2018-07-19,17:11:01,What treatments have #MayoClinicConnect members with chronic obstructive pulmonary disease (#COPD) found helpful? Join the discussion to learn and share your own experiences.  https://mayocl.in/2mb8F2s . pic.twitter.com/BxG5p1Akb6,10,0,5,True,"#MayoClinicConnect,#COPD"
MayoClinic,2018-07-19,15:43:37,#Moisturizer tips from a dermatologist - hear from Dr. Dawn Davis in this #MayoClinicMinute.  https://mayocl.in/2myWChv  #SkinCare pic.twitter.com/uLWIZ2fAqj,37,0,10,True,"#Moisturizer,#MayoClinicMinute,#SkinCare"
MayoClinic,2018-07-19,14:21:01,#MayoClinicRecipes: #Parmesan roasted #cauliflower  https://mayocl.in/2mu3TPh . pic.twitter.com/pD5ON6s917,37,4,15,True,"#MayoClinicRecipes,#Parmesan,#cauliflower"
MayoClinic,2018-07-19,13:45:02,"If you’ve ever considered #OrganDonation but had concerns, here are answers to common organ donation myths.  https://mayocl.in/2mpvmBJ  pic.twitter.com/qkxg9EpXo4",40,1,28,True,#OrganDonation
MayoClinic,2018-07-19,11:15:01,When was the last time a movie changed how you viewed the world or helped you understand an important topic? Mayo Clinic’s Bioethics at the Cinema series uses films to create community dialogues around important ethics issues.  https://mayocl.in/2mvaJUV  #RochMN #MayoClinicMN pic.twitter.com/5ZbcnkzxPv,19,0,15,True,"#RochMN,#MayoClinicMN"
MayoClinic,2018-07-19,10:24:26,"Anesthesia and surgery are linked to a subtle decline in memory and thinking in adults after age 70, a new Mayo Clinic study finds. @BJAJournals  https://mayocl.in/2uNM0ij  pic.twitter.com/0uHJPX6uKw",56,1,60,True,
MayoClinic,2018-07-19,09:25:36,"A new Mayo Clinic study, published this month in @MSSEonline, researchers combined multiple methods to quantify golfers’ #yips and identify those with a neurological cause.  https://mayocl.in/2uMx4Rv  pic.twitter.com/SflJwmRft5",16,0,9,True,#yips
MayoClinic,2018-07-19,07:20:01,Getting drugs to liver tumors may be helped to particles in milk.  https://mayocl.in/2zHUNYC  pic.twitter.com/X4pevI7HL9,21,0,7,True,
MayoClinic,2018-07-18,20:00:00,Experts weigh in on the summer resolutions everyone 50 and over should make to help them stay healthy - and have fun.  https://usat.ly/2msHSjO  via @USATODAY,25,2,9,True,
MayoClinic,2018-07-18,19:32:00,"The Mayo Clinic’s J. Wayne and Delores Barr Weaver Simulation Center in Jacksonville has earned accreditation in the area of teaching and education from the Society for Simulation in Healthcare in Washington, D.C.  http://bit.ly/2mtJPg8  @jaxdotcom #MayoClinicFL",28,1,13,True,#MayoClinicFL
MayoClinic,2018-07-18,19:02:38,#MayoClinicMinute: More than three quarters of Americans will get #HPV at some point in their lives. And Dr. Eric Moore says a growing number of people are developing HPV-related #ThroatCancer.  https://mayocl.in/2moUzMD  pic.twitter.com/TT0d7cDBQM,42,4,36,True,"#MayoClinicMinute,#HPV,#ThroatCancer"
MayoClinic,2018-07-18,18:30:00,7 things that could actually be stressing you out.  http://bit.ly/2uIAZio  via @bustle,21,3,12,True,
MayoClinic,2018-07-18,18:00:00,8 signs you should see a doctor about that #diarrhea.   http://bit.ly/2zM5UzO  via @SELFmagazine,19,3,13,True,#diarrhea
MayoClinic,2018-07-18,17:00:18,"See which daily habits make the biggest difference in breast cancer risk according to Mayo Clinic experts.For more healthy living guides, download the Mayo Clinic app.  http://mayocl.in/2pjQr4h  pic.twitter.com/NoF9GCFQTG",19,0,15,True,
MayoClinic,2018-07-18,16:35:00,Experts have some very clear steps for how to handle #ticks. Read more.  http://bit.ly/2uJtlnG  via @SELFmagazine,36,0,29,True,#ticks
MayoClinic,2018-07-18,16:00:00,Recent study found that the risk of suffering a #HeartAttack among pregnant American women rose 25 percent from 2002 to 2014.  https://cbsn.ws/2msRhIv  via @CBSNews @MayoProceedings,21,0,7,True,#HeartAttack
MayoClinic,2018-07-18,15:40:01,"According to the @alzassociation 5.7 million Americans are living with #AlzheimersDisease, and this number is projected to rise to nearly 14 million by 2050. Learn to recognize the symptoms. @MayoClinicHS  https://mayocl.in/2mot9qg  pic.twitter.com/1k447OFmNj",19,0,8,True,#AlzheimersDisease
MayoClinic,2018-07-18,15:16:01,".@AmitSoodMD says, ""We live in an epidemic of lying. And the unpleasant truth is infinitely more precious than pleasant farce.""   https://mayocl.in/2mqM83m  #MayoMindfulness pic.twitter.com/y21nbOaQh2",92,3,39,True,#MayoMindfulness
MayoClinic,2018-07-18,14:25:00,#HighBloodPressure: Three ways to lower BP reading you can do at home.  http://bit.ly/2mqOVd6  via @Daily_Express,15,0,12,True,#HighBloodPressure
MayoClinic,2018-07-18,13:00:01,"Bioethics in the Cinema Program celebrates our wonderful differences - Sun., July 22, 4-7 pm at #RochMN Civic Theater. See the inspiring movie Wonder and join community conversation on #bioethics.  https://mayocl.in/2mn8suL  @MayoClinicCIM @MAllyse",11,0,3,True,"#RochMN,#bioethics"
MayoClinic,2018-07-18,12:00:05,Mayo Clinic is proud to welcome the @MayoClinicSOM class of 2022! New students are joining us on campuses in #MayoClinicMN and #MayoClinicAZ to begin their medical education. The future of medicine has arrived! pic.twitter.com/9GPbXAPPxV,52,2,15,True,"#MayoClinicMN,#MayoClinicAZ"
MayoClinic,2018-07-18,11:40:01,Healthy eating for kids: Myth #2 – sugar in moderation. This series aims to take some confusion out of making healthy food choices.  https://mayocl.in/2z1WRub  pic.twitter.com/n48RoKQsYt,17,0,12,True,#2
