username,date,time,tweet,likes,replies,retweets,retweet,hashtags
AmitSoodMD,2018-07-13,18:10:39,It can be either perfect or awesome. I would rather have it awesome.,39,3,9,True,
AmitSoodMD,2018-07-12,21:12:20,"Compassionate, high-quality, cost-effective care thrives in institutions whose members embrace the culture of collegiality, generosity, and excellence. None of this conflicts with fiscal discipline and remaining competitive.",27,0,5,True,
MayoClinic,2018-07-12,08:15:01,"#MayoMindfulness: @AmitSoodMD says, ""Research shows #laughter provides a good physical workout, generates mental relaxation, lowers blood pressure and pain, and even improves immunity.""  https://mayocl.in/2maoeJj  pic.twitter.com/in6lXZY5fU",89,2,71,True,"#MayoMindfulness,#laughter"
AmitSoodMD,2018-07-10,18:13:03,"Hunting for joy in the tiniest of moments while remaining anchored in our values is our hope to thrive - until the world around us wakes up to, and embodies the wisdom of compassion.",47,1,13,True,
AmitSoodMD,2018-07-08,18:11:49,"Feeling loved & making a difference in someone’s life helps us feel worthy. Loneliness and invasion of technology is hurting both. The solution: think of those who care about you, show others you care, and resolve that tomorrow you’ll truly focus on the person behind the numbers.",53,1,12,True,
AmitSoodMD,2018-07-07,09:45:23,"When external expectations change faster than our ability to adapt and deliver, we get overwhelmed. Best to preemptively set your own expectations based on your capacity and preference, and help others reset expectations of you, so no one is disappointed or burnt out in the end.",37,0,11,True,
AmitSoodMD,2018-07-06,10:51:12,"Research shows that in an average medical office, physician feels much less personally accomplished than the support staff. With bulk of the time spent with EMR, a health care provider’s work today lacks meaning & joy. Lack of meaning predisposes to suboptimal high-cost care.",31,0,7,True,
AmitSoodMD,2018-07-05,16:32:34,"Sometimes the adversity of today might save us from a catastrophe of tomorrow. Thinking such would not push the pain away but will help you better endure today’s pain, if you are hurting.",36,1,7,True,
jeremymcc,2018-07-05,05:03:49,An interview with @AmitSoodMD about #digitalwellness.  https://www.youtube.com/watch?v=DORQeh3ydzI&feature=youtu.be … @Global_GWS,6,0,2,True,#digitalwellness
AmitSoodMD,2018-07-04,09:37:07,"Repeatedly blaming the ‘outside forces’ creates ‘external locus of control’ that makes us feel powerless, increases stress, and burnout. Feeling empowered to act, take control, and influence events (i.e. internal locus of control) enhances wellbeing.",47,0,9,True,
AmitSoodMD,2018-07-04,09:36:21,"An ideal approach to burnout is to empower the individuals with resilience and collectively work to improve the system, acknowledging its strengths and weaknesses.",17,0,2,True,
AmitSoodMD,2018-07-03,18:16:57,"May the 4th bring you courage and hope, the freedom to pursue happiness, say No, disagree, honor the truth, value differences, love, help the vulnerable, be vulnerable, and wake up to the infinitely precious gift of being full alive.",58,0,18,True,
AmitSoodMD,2018-06-26,12:30:14,Speech is brain food. Your brain gets rewired by the words it hears. Be very careful in selecting the people who receive your attention and your trust. Hope you like this video. https://m.youtube.com/watch?v=_hsLwXaU3Eg …,32,1,8,True,
AmitSoodMD,2018-06-24,10:08:32,History will judge us by the difference we make in the everyday lives of children. - Nelson Mandela,58,0,18,True,
AmitSoodMD,2018-06-21,19:01:34,Crying can help us emotionally as well as physically. Delighted to share this short video with you. https://m.youtube.com/watch?v=T6dgQTlQrEk …,23,1,6,True,
AmitSoodMD,2018-06-20,17:30:09,Physician burnout happens from a combination of cognitive overload & emotional depletion in a health system dominated by business norm. We need an integrated approach that embraces the two poles of individual & organizational strategies. Arguing this vs. that is a waste of time.,39,1,14,True,
AmitSoodMD,2018-06-18,17:43:01,Children raised in poverty have smaller memory area of the brain (hippocampus). This effect can be minimized by quality of caregiving. We must not let material poverty translate into emotional poverty. That is the hope to break the poverty cycle.  https://www.ncbi.nlm.nih.gov/m/pubmed/24165922/ …,26,0,12,True,
AmitSoodMD,2018-06-17,13:40:01,Happy father’s day! The best thing we dads can do for our children is to love their mom and show it.,51,0,6,True,
AmitSoodMD,2018-06-08,14:39:36,"There is a difference between life satisfaction & moment to moment happiness. Success/fame help us feel accomplished but may not give lasting happiness since we adapt to the gains. This leaves us vulnerable. Nurturing relationships, strong purpose, gratitude & faith can all help.",49,0,18,True,
AmitSoodMD,2018-06-08,07:31:24,Sometimes it helps to look at the yard with more weeds to enjoy yours with fewer. (Scientists call this downward social comparison - which correlates with happiness),20,1,4,True,
MayoClinic,2018-06-01,15:04:47,"Why you should live life more like your #pets do - hear from  @AmitSoodMD, an internal medicine specialist, in this #MayoClinicMinute.  https://mayocl.in/2HaacQe  pic.twitter.com/J6cs4PHqtu",77,1,28,True,"#pets,#MayoClinicMinute"
AmitSoodMD,2018-05-29,22:52:35,We don’t need stellar new technologies to create a happier world. We just need to harness the power of gratitude and compassion.,62,2,14,True,
