username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoCancerCare,2018-07-18,17:30:01,"A risk of #softtissuesarcoma can be inherited. Genetic syndromes that increase risk include hereditary #retinoblastoma, #LiFraumenisyndrome, #familialadenomatouspolyposis, #neurofibromatosis, #tuberoussclerosis and #Wernersyndrome.  https://mayocl.in/2zEJtfQ  #SarcomaAwarenessMonth pic.twitter.com/w9EryhQw9t",1,0,1,True,"#softtissuesarcoma,#retinoblastoma,#LiFraumenisyndrome,#familialadenomatouspolyposis,#neurofibromatosis,#tuberoussclerosis,#Wernersyndrome,#SarcomaAwarenessMonth"
MayoCancerCare,2018-07-18,15:30:01,Desmoplastic small round cell tumors are a type of #softtissuesarcoma that typically begins in the abdomen. These tumors occur most often in young men and boys. #SarcomaAwarenessMonth  https://mayocl.in/2m6tQo3  pic.twitter.com/dGc9sM9q1w,0,0,0,True,"#softtissuesarcoma,#SarcomaAwarenessMonth"
MayoCancerCare,2018-07-17,16:30:01,"A #softtissuesarcoma may not cause any signs and symptoms in its early stages. As the tumor grows, it may cause a noticeable lump or swelling, or pain, if a tumor presses on nerves or muscles.  https://mayocl.in/2mclbQP  #SarcomaAwarenessMonth pic.twitter.com/ggf3joTq64",2,0,2,True,"#softtissuesarcoma,#SarcomaAwarenessMonth"
MayoCancerCare,2018-07-17,14:30:01,"#Osteosarcoma, the most common type of #bonecancer, often starts in the long bones — the legs or the arms — but it can occur in any bone. #SarcomaAwarenessMonth  https://mayocl.in/2m9l88B  pic.twitter.com/QB13nVMj8A",1,0,2,True,"#Osteosarcoma,#bonecancer,#SarcomaAwarenessMonth"
MayoCancerCare,2018-07-16,15:30:01,"#Softtissuesarcoma can occur anywhere in the body, but most occur in arms and legs, and in the abdomen. Surgical removal is the most common treatment. Radiation and chemotherapy  may also be recommended.  https://mayocl.in/2usvFzf  #SarcomaAwarenessMonth pic.twitter.com/tZswhVi0QK",0,0,0,True,"#Softtissuesarcoma,#SarcomaAwarenessMonth"
MayoCancerCare,2018-07-16,13:31:03,"#Chondrosarcoma is a rare type of cancer that usually begins in the bones, but can sometimes occur in the soft tissue near bones. The most common locations for chondrosarcoma tumors are in the pelvis, hip and shoulder. #SarcomaAwarenessMonth  https://mayocl.in/2m7QM6b  pic.twitter.com/zfWCj5M6o7",1,0,0,True,"#Chondrosarcoma,#SarcomaAwarenessMonth"
MayoCancerCare,2018-07-16,12:30:01,#Lymphedema refers to swelling that generally occurs in arms or legs. It is most commonly caused by removal of or damage to lymph nodes as part of #cancertreatment. Learn more:  https://mayocl.in/2zyx5hB  pic.twitter.com/96YmuqkNbf,1,0,1,True,"#Lymphedema,#cancertreatment"
MayoCancerCare,2018-07-15,14:30:01,"In this @MayoClinic video, Dr. Scott Okuno and Dr. Steven Robinson, medical oncologists, and Dr. Peter Rose, an orthopedic surgeon, discuss sarcomas and treatment options for these cancers. #SarcomaAwarenessMonth #Sarcoma  https://mayocl.in/2uoixv2  pic.twitter.com/JIpvOWYCqu",6,0,3,True,"#SarcomaAwarenessMonth,#Sarcoma"
MayoCancerCare,2018-07-15,11:30:00,Learn about late and long-term effects of #cancertreatment #cancersurvivor  https://mayocl.in/2maCqlw  pic.twitter.com/MctNp98bP4,0,0,0,True,"#cancertreatment,#cancersurvivor"
MayoCancerCare,2018-07-14,14:30:00,"Amy Figgs was beyond surprised when doctors diagnosed her with colon cancer. “I was scared to death,” says Amy, fearful her children would grow up without a mother. But after a second opinion and treatment at @MayoClinic, Amy is cancer-free.  https://youtu.be/3ZczAwY2Z4g  #crcsm",2,0,1,True,#crcsm
