username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoClinicHS,2018-07-18,19:32:01,Can children develop Type 2 #diabetes?  https://mayocl.in/2zPVnnv  pic.twitter.com/ncWBMVy9Hg,0,0,0,True,#diabetes
MayoClinicHS,2018-07-18,16:07:01,Understand more about #FoodPoisoning and how to prevent from taking it to your cookout.  https://mayocl.in/2O0HLc7  pic.twitter.com/QH6U3PeSgG,0,0,1,True,#FoodPoisoning
MayoClinicHS,2018-07-18,13:30:00,Big Blue Dragon Boat Race coming Saturday to La Crosse.  http://bit.ly/2Nnv3mq  via @news8news,0,0,0,True,
MayoClinicHS,2018-07-18,10:20:00,Mayo Clinic trying to address shortage in mental health care.  http://bit.ly/2Npyr04  via @WQOW,3,0,2,True,
MayoClinicHS,2018-07-18,08:57:59,Mayo Clinic Minute: The rise of HPV-related throat cancer.  https://mayocl.in/2Nrq8kC  pic.twitter.com/Vmta55pDwC,1,0,1,True,
MayoClinicHS,2018-07-17,19:35:08,Tuesday Tips: 7 reasons to try #IntervalTraining >  https://mayocl.in/2NoWXhY  pic.twitter.com/pWjRjC4tl1,0,0,0,True,#IntervalTraining
MayoClinicHS,2018-07-17,15:00:01,Healthy #recipe: Creamy butternut squash soup.  https://mayocl.in/2NnoAYM  pic.twitter.com/NEzvHu1xYe,1,0,1,True,#recipe
MayoClinicHS,2018-07-17,11:00:02,Cholesterol: Top foods to improve your numbers >  https://mayocl.in/2NY1auj  #nutrition pic.twitter.com/xpRo3c9VM1,0,0,0,True,#nutrition
MayoClinicHS,2018-07-17,08:27:31,3 reasons you need a 3D #mammogram:  https://mayocl.in/2Nnc3Vf  pic.twitter.com/CEVpk40zRD,0,0,0,True,#mammogram
MayoClinicHS,2018-07-16,17:50:02,What you need to know about #cyclospora infection:  https://mayocl.in/2Jubd6J  pic.twitter.com/Rg6NrRomIn,0,0,2,True,#cyclospora
MayoClinicHS,2018-07-16,15:04:01,Busy day? Try this 15-minute full-body workout >  https://mayocl.in/2NlBRkq  pic.twitter.com/rzrcKpOT66,0,0,1,True,
MayoClinicHS,2018-07-16,11:58:01,Mayo Clinic Minute: The dangers of heat-related illnesses.  https://mayocl.in/2Jt96A3  pic.twitter.com/PbDQVB89hN,1,0,1,True,
MayoClinicHS,2018-07-16,09:45:00,"Woman finds ""A New Me"" builds confidence before dropping weight.  http://bit.ly/2NjkWyY  via @LaCrosseTribune",6,0,2,True,
MankatoMarathon,2018-07-16,08:10:10,"Thanks to @MayoClinicHS, your Monday Run Day is filled with tips to keep you hydrated: ttps://goo.gl/byGWfD #MankatoMarathon pic.twitter.com/3sWvXPl0Tb",0,0,1,True,#MankatoMarathon
MayoClinicHS,2018-07-15,10:00:01,Q. What can I do about headaches during pregnancy? I'd rather not take medication.A.  https://mayocl.in/2NPzffF #SundayHealthQandA,0,0,0,True,#SundayHealthQandA
MayoClinicHS,2018-07-14,13:38:01,Discover all of the wonders of watermelon >  https://mayocl.in/2JyqacX  #nutrition pic.twitter.com/FyJTjJRkaF,4,0,2,True,#nutrition
MayoClinicHS,2018-07-13,14:59:01,"If you enjoy too much fun in the sun and end up with a #sunburn, here's what steps you should take:  https://mayocl.in/2LcIapU  pic.twitter.com/eMGTgdEzRQ",3,1,1,True,#sunburn
MayoClinicHS,2018-07-13,11:04:00,A program put on by Mayo Clinic Health System last evening in Mankato aimed to help take the adversity out of diversity.  http://bit.ly/2NOIBs7  via @keyc,0,1,0,True,
MayoClinicHS,2018-07-13,08:14:01,Mayo Clinic Minute: What is kefir?  https://mayocl.in/2NOH7yc  pic.twitter.com/PGS7jCoKie,0,0,0,True,
MayoClinicHS,2018-07-12,20:00:01,Making Mayo's #Recipes: Sesame ginger shrimp.  https://mayocl.in/2NJEX2Z  pic.twitter.com/DRduXpMi5G,0,0,0,True,#Recipes
MayoClinicHS,2018-07-12,15:50:01,What you should know about Rocky Mountain spotted fever:  https://mayocl.in/2NMY0tg  pic.twitter.com/kHopOYHZu8,2,0,0,True,
MayoClinicHS,2018-07-12,10:41:03,Women’s Wellness: Making #cellulite less noticeable.  https://mayocl.in/2NKDaun  pic.twitter.com/v1eDueNqQS,1,0,0,True,#cellulite
MayoClinicHS,2018-07-12,08:17:02,Mayo Clinic Minute: Is intermittent fasting healthful or harmful?  https://mayocl.in/2JdCZEt  pic.twitter.com/LjXim1lvo9,2,0,0,True,
MayoClinicHS,2018-07-11,19:19:01,Why take vitamin and mineral supplements?  https://mayocl.in/2NmDejG  pic.twitter.com/V77aFwdwLA,1,0,1,True,
MayoClinicHS,2018-07-11,16:48:31,Mayo #Mindfulness: The health benefit of laughter.  https://mayocl.in/2L8wxjS  pic.twitter.com/IsHwxHlBaT,4,0,1,True,#Mindfulness
MayoClinicHS,2018-07-11,13:00:01,Can I get the #measles if I've already been vaccinated? https://mayocl.in/2NI8qdt ,0,0,0,True,#measles
MayoClinicHS,2018-07-11,10:13:32,10 ways to keep your brain young:  https://mayocl.in/2Je6aXZ  pic.twitter.com/E0kUC3d0C9,3,0,3,True,
MayoClinic,2018-07-10,14:20:01,"#InfectiousDiseases: ""It's one of the few #bacteria that likes to divide at low temperatures. That’s why we see #listeria being a problem in foods that are refrigerated,"" says infectious diseases specialist Dr. Nipunie Rajapakse.   https://mayocl.in/2zpMd0D  pic.twitter.com/rLFG3lcpZI",46,1,33,True,"#InfectiousDiseases,#bacteria,#listeria"
MayoClinicHS,2018-07-10,14:10:02,#Sepsis diagnosis prompts quick action to save woman’s life. Read Susan's story:  https://mayocl.in/2N3XXrH  pic.twitter.com/WAcdEGMq0D,1,0,0,True,#Sepsis
MayoClinicHS,2018-07-10,11:15:01,Use #mindfulness to cope with chronic pain.  https://mayocl.in/2Nv6yo7  pic.twitter.com/KWjE2EGJpy,1,0,1,True,#mindfulness
MayoClinicHS,2018-07-10,08:21:01,Mayo Clinic Minute: Understanding childhood #eczema.  https://mayocl.in/2JbDyP4  pic.twitter.com/huLmyUoBdd,1,0,0,True,#eczema
MayoClinicHS,2018-07-09,20:42:05,Can a #tick bite cause an #allergy to red meat?  https://mayocl.in/2KZimNX  pic.twitter.com/K7Lfw9vWY1,1,0,0,True,"#tick,#allergy"
MayoClinicHS,2018-07-09,17:11:36,The benefits of #breastfeeding are well-established. Learn more:  https://mayocl.in/2L3L400  pic.twitter.com/6w6lla8eGh,0,0,1,True,#breastfeeding
MayoClinicHS,2018-07-09,11:46:26,Are stretch marks normal for teens?  https://mayocl.in/2KKTs8y ,0,2,0,True,
MayoClinicHS,2018-07-09,07:24:01,"Biking is a wonderful way to exercise together with the family. Another opportunity for family activity is the River City Ramble Aug. 4 in Red Wing, MN. Sign up for the 5K walk/run, the 2-mile walk or the Kids' Fun Run. Visit  https://mayocl.in/2Juawy8  for more info. pic.twitter.com/gzMbtbeQFq",0,0,1,True,
MayoClinicHS,2018-07-08,10:00:01,Q. Are tanning beds safer than natural sunlight?A.  https://mayocl.in/2KVtrTg #SundayHealthQandA,0,0,0,True,#SundayHealthQandA
MayoClinicHS,2018-07-07,14:39:01,Making Mayo’s #Recipes: Citrus remoulade with seafood.  https://mayocl.in/2KPI8re  pic.twitter.com/W2kpHGvDmz,1,0,0,True,#Recipes
MayoClinicHS,2018-07-07,10:35:01,Doctor becomes patient: What he learned.  https://mayocl.in/2zhqIyV  pic.twitter.com/lNLoEJOs4u,2,0,0,True,
MayoClinicHS,2018-07-06,16:00:01,Mayo Clinic Minute: A quick guide to the Heimlich maneuver.  https://mayocl.in/2Ny6sMD  pic.twitter.com/tTFQ1ts98A,2,0,1,True,
MayoClinicHS,2018-07-06,11:00:01,Use #mindfulness to cope with chronic pain.  https://mayocl.in/2Nv6yo7  pic.twitter.com/HxXekbPSiy,1,0,1,True,#mindfulness
MayoClinicHS,2018-07-06,08:56:50,"Darla Lytle, an infusion therapy nurse at Mayo Clinic Health System in Fairmont, recently won the prestigious Mae Berry Service Excellence Award. Read about her selfless care for patients and outstanding support for her coworkers:  http://bit.ly/2J14hh9  pic.twitter.com/OnZtW4ycAT",6,0,4,True,
MayoClinicHS,2018-07-05,16:35:00,Calorie counts: New menu labeling rule in effect.  https://mayocl.in/2JzlEuC  pic.twitter.com/aMa8UROWte,6,0,2,True,
MayoClinicHS,2018-07-05,09:54:01,Mayo Clinic Minute: Grilling burger vs. steak.  https://mayocl.in/2tSm8SJ  pic.twitter.com/xss9DJeXpG,2,0,0,True,
MayoClinicHS,2018-07-04,09:00:02,"Have a happy and safe Fourth of July! Don't forget your sunscreen, and remember to drink plenty of water. pic.twitter.com/K6qLAaRpHD",3,0,0,True,
MayoClinicHS,2018-07-03,18:30:01,9 ways to make the #MediterraneanDiet work for you:  https://mayocl.in/2IRlWrx  pic.twitter.com/sQrIoAqJjZ,5,0,3,True,#MediterraneanDiet
MayoClinicHS,2018-07-03,14:30:00,"Doctors remind people to check on elderly, others during extreme heat.  http://bit.ly/2IQ0GlZ  via @news8news",0,0,0,True,
MayoClinicHS,2018-07-03,11:45:02,How could my #penicillin #allergy go away?  https://mayocl.in/2INOC4L  pic.twitter.com/ANQSMpfXct,1,0,0,True,"#penicillin,#allergy"
MayoClinicHS,2018-07-03,08:15:29,Fireworks safety isn't the only concern this holiday.  http://bit.ly/2KGCunH  via @keyc,0,0,0,True,
MayoClinicHS,2018-07-02,17:15:32,Try this 15-minute resistance band #workout:  https://mayocl.in/2IIL4AM  pic.twitter.com/QYx0jGsqQ9,1,0,1,True,#workout
MayoClinicHS,2018-07-02,14:24:01,What do your fingernails say about your #health?  https://mayocl.in/2NfWoYu  pic.twitter.com/U8Gs26raiQ,1,2,0,True,#health
MayoClinicHS,2018-07-02,11:30:01,"Limiting screen time to 2 hours a day or less is ideal. Skip the screens and join in on some family fun at the River City Ramble Aug. 4 in Red Wing, MN. Sign up for the 5K walk/run, the 2-mile walk or the Kids' Fun Run. Visit  https://mayocl.in/2Juawy8  for more info. pic.twitter.com/FxdP0gAWkT",1,0,1,True,
MayoClinicHS,2018-07-02,09:11:01,Local health professionals have advice on how to keep kids safe when swimming.  http://bit.ly/2tMQSVl  via @news8news,0,0,0,True,
MayoClinicHS,2018-07-01,10:00:01,Q. Is sunscreen from last year still good? When does sunscreen expire?A.  https://mayocl.in/2Kzyu8H #SundayHealthQandA,3,0,1,True,#SundayHealthQandA
MayoClinicHS,2018-06-30,17:04:01,4 #safety tips for summer festivals:  https://mayocl.in/2sWNCGx  pic.twitter.com/LlFQtoIv9N,0,0,1,True,#safety
MayoClinicHS,2018-06-30,13:02:01,How to remove a tick quickly and correctly:  https://mayocl.in/2IDdrjH  pic.twitter.com/exJbRZjSFL,3,0,1,True,
MayoClinicHS,2018-06-29,16:38:00,Healthy #recipe: Quinoa cakes. https://mayocl.in/2Kz5xd3 ,0,0,0,True,#recipe
MayoClinicHS,2018-06-29,12:31:30,Mayo Clinic Minute: #Firework safety tips.  https://mayocl.in/2tFxTvR  pic.twitter.com/srVqc6mT2h,1,2,1,True,#Firework
