username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoClinic,2018-07-16,09:40:01,"The Mayo Clinic staff at the Proton Beam Therapy Center turned Devin's mask into a @Cubs player! Since he recently completed proton therapy, he took the mask home and plans to wear it trick-or-treating.  https://mayocl.in/2mngST6  pic.twitter.com/eF5lyXXlWs",40,1,11,True,
MayoClinic,2018-07-17,11:15:01,"Mayo Clinic producer and director Rick Andresen says the hours he's spent filming wolves, owls, snakes and other wildlife serve an important purpose: distracting young patients and lowering their stress.  https://mayocl.in/2mmPftq  pic.twitter.com/gaj4sn83xY",44,2,19,True,
MayoClinicKids,2018-07-18,14:49:00,"July is National #FragileX Awareness Month. Fragile X impacts 1 in 4,000 males and 1 in 6,000 females of all races and ethnic groups. http://bit.ly/2tMB1oF ",1,0,0,True,#FragileX
MayoClinic,2018-07-17,16:36:01,New capabilities in maternal and #FetalMedicine in the upper Midwest. Read more.  https://mayocl.in/2mku7Uz  pic.twitter.com/z3faIbbjNJ,128,1,70,True,#FetalMedicine
MayoClinicKids,2018-07-18,10:48:00,Trampoline jumping poses a high risk of injury for children - so high that the American Academy of Pediatrics strongly discourages the use of trampolines at home. https://mayocl.in/2lGBPIl ,1,1,1,True,
MayoClinic,2018-07-17,19:09:00,"Questions about #SeasonalAllergies? Dr. Anupama Ravi, a pediatrician and allergist-immunologist, replies in this #MayoClinicQandA.  https://mayocl.in/2uDmz2U  #HayFever pic.twitter.com/f0N7uqcovI",19,0,9,True,"#SeasonalAllergies,#MayoClinicQandA,#HayFever"
MayoClinicKids,2018-07-17,17:39:01,Kindergarten readiness: Help your child prepare  https://mayocl.in/2lI3JDK  pic.twitter.com/x11ywWSmbA,1,0,0,True,
MayoClinicKids,2018-07-17,12:08:01,Follow these year-round tips for kids' #swimming.  http://mayocl.in/2slS3r2  pic.twitter.com/jEhaD0VkXX,2,0,2,True,#swimming
MayoClinicKids,2018-07-17,07:19:00,"Juvenile idiopathic arthritis is an autoimmune disorder where the body attacks joints causing pain, swelling, and permanent injury to joints #JuvenileArthritis",1,0,0,True,#JuvenileArthritis
MayoClinicKids,2018-07-16,15:31:01,"Whether your summer plans involve a lake or beach, make sure you check out these safety tips before heading out on the water!  https://mayocl.in/2tHTdje  pic.twitter.com/yEPlKpq2yt",0,0,0,True,
MayoClinic,2018-07-10,16:25:44,"#MayoClinicMinute: #Eczema, is a common skin affliction that often begins in children as young as 2 months. Dermatologist Dr. Dawn Davis says there are medications to ease the pain and discomfort, as well as more advanced treatments.  https://mayocl.in/2ulHtDl  pic.twitter.com/U0htjSFfq8",40,1,18,True,"#MayoClinicMinute,#Eczema"
MayoClinicKids,2018-07-16,11:05:00,Go to story time at the library this summer with your children #SummerFun,0,0,4,True,#SummerFun
MayoClinicKids,2018-07-16,07:06:00,July is Fragile X awareness month. Learn more about Fragile X: Facts | Fragile X Syndrome (FXS)  http://bit.ly/2lI0cFA  via @CDCgov,1,0,0,True,
MayoClinicKids,2018-07-15,17:14:00,Which treatment is best for JIA?  https://mayocl.in/2lFBO7t ,1,0,1,True,
MayoClinic,2018-07-12,11:10:01,"#Vacationers are often warned not to drink the water, in order to avoid #TravelersDiarrhea. But there are nuances to that suggestion. Foods and drinks that even come in contact with water can put you at risk too.  https://mayocl.in/2ztbFm1  #HomeRemedies pic.twitter.com/54z5CZd30N",20,1,15,True,"#Vacationers,#TravelersDiarrhea,#HomeRemedies"
MayoClinicKids,2018-07-15,15:15:01,Benefits of breastfeeding are well established. Dr. Brian Lynch explains the direct benefits  https://newsnetwork.mayoclinic.org/discussion/benefits-of-breastfeeding-are-well-established/ … #Breastfeeding pic.twitter.com/4boA7l78r0,0,0,0,True,#Breastfeeding
MayoClinicKids,2018-07-15,13:48:05,"Make sure your child wears a helmet on every bike ride, no matter how short or how close to home.  http://ow.ly/2v8K30bYY6Z  #SummerSafety pic.twitter.com/dxLCCgB1R6",4,0,2,True,#SummerSafety
MayoClinicKids,2018-07-15,09:48:02,"While enjoying the outdoors this summer, be aware of vegetation that can cause painful and itchy skin rashes.  https://mayocl.in/2tL7oEh  pic.twitter.com/T6xOvQ8s45",0,0,0,True,
MayoClinicKids,2018-07-14,18:49:01,"Potty training is a major milestone. Get the facts on timing, technique and handling accidents.  https://mayocl.in/2lDqHvH  pic.twitter.com/0SsTjRFuxF",1,0,0,True,
MayoClinic,2018-07-12,12:29:01,"Anyone can develop #epilepsy. It affects people of all races, ethnic backgrounds and ages. Learn about the diagnosis of epilepsy and the treatment options that might be right for you.  https://mayocl.in/2uhmKkm  pic.twitter.com/RRur7kX6oI",138,1,89,True,#epilepsy
MayoClinicKids,2018-07-12,10:58:01,"Starting now on @MayoClinic FacebookLive is a video Q&A about #CleftLip and #CleftPalate with host @DrAngelaMattke, Dr. Shelagh Cofer, pediatric otolaryngology, and Dr. Samir Mardini, plastic surgery. https://connect.mayoclinic.org/webinar/video-qa-about-cleft-lip-and-cleft-palate/?date=1531353600 … pic.twitter.com/fU8k69tArT",0,0,0,True,"#CleftLip,#CleftPalate"
MayoClinicKids,2018-07-12,08:12:01,July is National Cleft and Craniofacial Awareness and Prevention Month. Cleft lip and cleft palate are among the most common birth defects. #CleftAwareness  https://mayocl.in/2lHK46U  pic.twitter.com/3VvRAIPbMf,1,0,2,True,#CleftAwareness
