username,date,time,tweet,likes,replies,retweets,retweet,hashtags
mayoclinicsport,2018-07-18,11:00:29,"Losing weight is one thing, but keeping it off over time is where the rest of the hard work comes in.Consider these 8 secrets from those who have lost weight and kept it off! pic.twitter.com/AKaiAbegIo",4,0,2,True,
MayoClinicME,2018-07-17,11:24:10,نزف الدم من الأنف (الرُّعاف): متى يتحتم عليك مراجعة الطبيب؟  https://mayocl.in/2moDwdx  pic.twitter.com/HjjT5Kq5qZ,1,0,0,True,
MayoClinicME,2018-07-17,11:23:02,Nosebleeds: When should you seek emergency medical care?  https://mayocl.in/2mqlYhs  pic.twitter.com/kEQrWejkJh,0,0,0,True,
MayoClinicME,2018-07-17,02:00:01,Ultraviolet rays from the sun can cause damage in as little as 15 minutes. Learn how to protect yourself this summer.  https://mayocl.in/2zGmZLH  #SummerSun pic.twitter.com/M6JnewbO3y,0,0,0,True,#SummerSun
MayoClinicME,2018-07-16,03:00:01,"Laugh, it's good for you!  https://mayocl.in/2zDXVot  pic.twitter.com/5ZNvtIbmYb",2,0,3,True,
MayoClinic,2018-07-15,09:06:30,"Want to get more out of your #workouts in less time, and have fun doing it? Sound too good to be true? It's possible with intervals. See how it works.For more healthy living guides ,download the Mayo Clinic app.  http://mayocl.in/2pjQr4h  pic.twitter.com/O0C897Lbwe",65,0,41,True,#workouts
MayoClinicME,2018-07-15,10:31:01,هل تتسبب مشاهدة مباريات فريقك المفضل في #كأس_العالم إلى ارتفاع ضغط الدم لديك؟ أحصل على معلومات عن أعراض وأسباب ضغط الدم وكيف يمكن أن تحافظ على صحتك.   https://mayocl.in/2mostRX  #روسيا2018 pic.twitter.com/lnx3L2ddCS,0,0,1,True,"#كأس_العالم,#روسيا2018"
MayoClinicME,2018-07-15,10:30:01,Is watching your favorite #WorldCup team causing a spike in your blood pressure? Learn about the symptoms and causes of #hypertension and how you can stay healthy.  https://mayocl.in/2miomXi  #WorldCupFinal pic.twitter.com/i6t7eYfuW2,0,0,0,True,"#WorldCup,#hypertension,#WorldCupFinal"
MayoClinicME,2018-07-15,07:20:34,#Water: How much should you drink every day?  https://mayocl.in/2uAwHcO  pic.twitter.com/BJqeFz3T8O,0,0,0,True,#Water
MayoClinic,2018-07-13,11:45:00,Why are World Cup players spitting their drinks? @DrMJoyner provides insight.   http://bit.ly/2uwWmmF  via @LiveScience,17,1,18,True,
