username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoClinicNeuro,2018-06-07,11:00:02,"Join course Directors, Dr. Leonardo Rangel-Castilla and Dr. Giuseppe Lanzino, for the Mayo Clinic Cerebral Bypass and Advanced Neuroendovascular Course 2018 to be held November 8-10, 2018, in Rochester, MN.  Register here:   http://www.ce.mayo.edu/cerebralbypass2018 … pic.twitter.com/24nNOtdE2S",8,0,7,True,
MayoClinicNeuro,2018-06-20,11:39:03,"Registration Open! Join course directors, Dr. Devon Rubin and Dr. Jeffrey Britton, for the Mayo Clinic EMG, EEG, and Neurophysiology in Clinical Practice Course to be held February 24 – March 2, 2019, at the Ritz- Carlton, Amelia Island, FL.  Register at   https://ce.mayo.edu/neurology-and-neurologic-surgery/content/mayo-clinic-electromyography-emg-electroencephalography-eeg-and-neurophysiology-clinical#group-tabs-node-course-default1 … pic.twitter.com/UKp6btJPfw",2,0,1,True,#group
MayoClinicNeuro,2018-06-21,12:00:02,"Registration now open!  Join course directors, Dr. William Tatum and Dr. Jeffrey Britton, for the Mayo Clinic 3rd Annual Epilepsy and EEG in Clinical Practice 2018 Course to be held November 15-17, 2018, in Orlando, FL.  Register here:   https://ce.mayo.edu/neurology-and-neurologic-surgery/content/3rd-annual-epilepsy-and-eeg-clinical-practice-2018 … pic.twitter.com/yrM2jEEC4c",1,0,0,True,
MayoClinicNeuro,2018-06-20,13:54:36,"Register for Mayo Clinic Neuroscience & Oncology Innovation Summit 2018 #NOIS2018 Course will provide attendees with an update in areas of neuroscience & oncology research from basic science, translational laboratories & clinical trials research!  https://mayocl.in/2tnS3cE  pic.twitter.com/equDscEIlm",9,0,7,True,#NOIS2018
MayoClinicNeuro,2018-06-20,11:39:03,"Registration Open! Join course directors, Dr. Devon Rubin and Dr. Jeffrey Britton, for the Mayo Clinic EMG, EEG, and Neurophysiology in Clinical Practice Course to be held February 24 – March 2, 2019, at the Ritz- Carlton, Amelia Island, FL.  Register at   https://ce.mayo.edu/neurology-and-neurologic-surgery/content/mayo-clinic-electromyography-emg-electroencephalography-eeg-and-neurophysiology-clinical#group-tabs-node-course-default1 … pic.twitter.com/UKp6btJPfw",2,0,1,True,#group
MayoClinic,2018-06-16,19:00:01,"Told that no treatment was available for her #BrainAneurysm, Judy Henderson sought a second opinion at Mayo Clinic.  https://mayocl.in/2tclmiu  pic.twitter.com/qXtirLU2DY",25,0,6,True,#BrainAneurysm
MayoClinic,2018-06-08,07:57:00,"Researchers at #MayoClinicFL were among the 1st in the U.S. to ID novel genetic mutations in some families with frontotemporal #dementia. In fact, they discovered the 3 most important dominantly inherited gene mutations that cause frontotemporal dementia! https://mayocl.in/2HpXI74 ",28,0,18,True,"#MayoClinicFL,#dementia"
MayoClinicNeuro,2018-06-07,11:00:02,"Join course Directors, Dr. Leonardo Rangel-Castilla and Dr. Giuseppe Lanzino, for the Mayo Clinic Cerebral Bypass and Advanced Neuroendovascular Course 2018 to be held November 8-10, 2018, in Rochester, MN.  Register here:   http://www.ce.mayo.edu/cerebralbypass2018 … pic.twitter.com/24nNOtdE2S",8,0,7,True,
MayoClinicNeuro,2018-05-28,09:00:00,"Happy Memorial Day! The Department of Neurologic Surgery thanks all of our service members, past and present.",4,0,1,True,
MayoClinicNeuro,2018-05-23,11:01:57,"Dr. Kendall Lee, neurosurgeon, @MayoClinic is featured in clip of upcoming Ken Burns' new film, The Mayo Clinic:  Faith, Hope & Science. https://twitter.com/MayoClinic/status/999029129793228801 …",1,0,0,True,
MayoClinic,2018-05-23,08:15:01,"Over the years, many patients have agreed to allow Mayo Clinic to share their success stories in clinical trials in order to help promote Mayo Clinic’s patient care mission. Here’s one of our favorites.  https://mayocl.in/2s1RVyJ  #PeripheralNeuropathy pic.twitter.com/QjIKBX2A7t",18,0,8,True,#PeripheralNeuropathy
MayoClinic,2018-05-18,14:12:00,Mayo Clinic researchers have discovered that a molecular communication pathway -- is a key player in determining the effectiveness of #measles virus oncolytic #cancer treatment in ovarian and aggressive #BrainCancers.  http://bit.ly/2rS1vV5  via @ScienceDaily,23,0,9,True,"#measles,#cancer,#BrainCancers"
MayoClinic,2018-05-20,08:00:02,"During #NationalEMSWeek and all year long we salute the many caring and dedicated first responders, paramedics, and EMTs who are at the ready 24/7. Tag an EMS professional in your life to show your appreciation for the work they do. #EMSStrong pic.twitter.com/xVwNo9BDXj",40,1,19,True,"#NationalEMSWeek,#EMSStrong"
MayoClinicNeuro,2018-05-21,09:10:02,"Register for Mayo Clinic Neuroscience & Oncology Innovation Summit 2018 #NOIS2018 Course will provide attendees with an update in areas of neuroscience & oncology research from basic science, translational laboratories & clinical trials research! Abstract deadline August 20, 2018 pic.twitter.com/fQLmyrpXjL",4,0,4,True,#NOIS2018
MayoCancerCare,2018-05-18,12:30:01,"At 13 Connor Johnson was diagnosed with #medulloblastoma, an aggressive form of childhood #BrainCancer. An intensive treatment regimen at @MayoClinic's Rochester campus involving brain surgery and #ProtonBeamTherapy gave him a brighter future. #BTSM #BTAM  https://mayocl.in/2KwTVYh  pic.twitter.com/gefLqmWzlX",48,2,15,True,"#medulloblastoma,#BrainCancer,#ProtonBeamTherapy,#BTSM,#BTAM"
MayoMedEd,2018-05-17,15:00:01,One of the most famous names in science has a rich history with Mayo Clinic.  https://mayocl.in/2rNh28H  #TBT pic.twitter.com/YSrmdCa0YY,6,0,2,True,#TBT
MayoClinicNeuro,2018-05-17,12:00:07,"Beau, Caring Canine, visits @MayoClinic Neurosurgery staff to help them ""paws"" to celebrate a successful transition to Epic.  #MayoClinic #WeAreMayoClinic #CaringCanines #Epic #PetTherapy #MayoClinicMN pic.twitter.com/gg6TIKQOfx",3,0,2,True,"#MayoClinic,#WeAreMayoClinic,#CaringCanines,#Epic,#PetTherapy,#MayoClinicMN"
MayoClinicNeuro,2018-05-16,14:00:02,"Please join us in celebrating Dr. Thoralf M. Sundt, Jr., with a donation to the fund named in his honor.  To make a donation, visit the Thoralf M. Sundt, Jr. Honor Your Mentor Fund page found here:   https://www.nref.org/Honor-Your-Neurosurgical-Mentor/Thoralf-M-Sundt … pic.twitter.com/7JfgcGypcI",13,2,7,True,
MayoClinic,2018-05-13,18:10:01,"Terry Burns, M.D., Ph.D., neurosurgeon, is developing regenerative strategies to optimize neurological function and quality of life for patients with #BrainTumors, neurological injuries, and neurodegenerative diseases. Read more:  https://mayocl.in/2I8guoF . pic.twitter.com/sZpnvj1yfX",142,6,65,True,#BrainTumors
bbendok,2018-05-13,11:56:53,Our national neurosurgery leadership team led by Dr Fred Meyer. We are building a national neurosurgery  department making it easier for patients to access the innovative care they need and learning from each other daily. pic.twitter.com/TRAFYpkhsD,35,0,10,True,
MayoClinic,2018-05-10,06:24:01,Diagnosed with an #AcousticNeuroma? There's a community of people waiting to welcome and support you on Mayo Clinic Connect.  https://mayocl.in/2KNGun1  pic.twitter.com/BiVFe3eU4m,18,0,22,True,#AcousticNeuroma
MayoClinicNeuro,2018-05-10,11:00:03,"Please join us in celebrating Dr. Thoralf M. Sundt, Jr., with a donation to the fund named in his honor.  To make a donation, visit the Thoralf M. Sundt, Jr. Honor Your Mentor Fund page found here:   https://www.nref.org/Honor-Your-Neurosurgical-Mentor/Thoralf-M-Sundt … pic.twitter.com/UmMSNphMxN",1,0,1,True,
MayoClinicNeuro,2018-05-09,11:00:03,"Dr. Giuseppe Lanzino, a Mayo Clinic neurosurgeon, summarizes the results of a review of the most current studies dealing with medical, surgical, and endovascular treatment of carotid artery stenosis.  Found here:   https://youtu.be/xzEi7ebI0oU?list=PLSWR1ylG_6JYlyIThVDMa7UjoCFqwQCHJ …#stroke #carotidarterydisease #mayoclinic pic.twitter.com/n4dk2Ah9Uz",8,0,8,True,"#stroke,#carotidarterydisease,#mayoclinic"
American_Stroke,2018-05-02,12:09:47,"There are 2 types of strokes—hemorrhagic and ischemic. A hemorrhagic stroke occurs when a blood vessel bleeds or ruptures. An ischemic stroke is caused by a clot - it occurs when a mass blocks a blood vessel, cutting off blood flow to a part of the brain. Dr. B  #BrainforLife pic.twitter.com/nZ0PR08AZW",90,1,93,True,#BrainforLife
MayoClinic,2018-05-09,08:50:37,Dr. David Miller from Mayo Clinic tells us about recognizing the signs of a #stroke and more.  http://bit.ly/2rv8Iu0  via @wjxt4,13,0,14,True,#stroke
MayoClinic,2018-05-04,22:35:02,"May is #AmericanStrokeMonth. This weekend on #MayoClinicRadio, learn how to spot a stroke and tips for stroke prevention. Join us!  https://mayocl.in/2rhXsB6  pic.twitter.com/J36lIimXtF",248,1,237,True,"#AmericanStrokeMonth,#MayoClinicRadio"
MayoClinic,2018-05-05,18:05:01,Are you visiting Mayo Clinic for the first time? Join Mayo Clinic Connect members discussing what to do and what to see during your appointments and your free time.  https://mayocl.in/2mqz40g  pic.twitter.com/w40vpC6JIB,46,1,12,True,
MayoClinic,2018-05-06,08:00:30,"No one is prepared for a #BrainTumor diagnosis. But there are ways to manage some of the most bothersome effects.For more healthy living guides, download the Mayo Clinic app.  http://mayocl.in/2pjQr4h  pic.twitter.com/63Sw4xrnRm",32,0,21,True,#BrainTumor
MayoClinicNeuro,2018-05-08,08:24:30,Read about Dr. Mohamad Bydon's research for patients with traumatic spinal cord injury. https://twitter.com/MayoClinic/status/993241498194980870 …,1,0,2,True,
MayoClinicNeuro,2018-05-07,10:00:02,"Read article, ""Intracranial Dural Arteriovenous Fistulae"" by Drs. Matthew Reynolds, Giuseppe Lanzino, and Gregory Zipfel featured in Stroke 2017; 48:14-24-31.  #stroke #avf #arteriovenous fistula #neurosurgery pic.twitter.com/U216McdoFZ",1,0,0,True,"#stroke,#avf,#arteriovenous,#neurosurgery"
MayoClinic,2018-05-02,10:51:58,Dr. Gordon Deen explains the changes he’s seen in #SpineSurgery in the 30 years he’s been a neurosurgeon from #AANS2018. pic.twitter.com/kFxted3j5z,36,1,16,True,"#SpineSurgery,#AANS2018"
MayoClinic,2018-05-02,19:05:01,"Stereotactic radiosurgery uses many precisely focused radiation beams to treat tumors and other problems in the brain, neck and other parts of the body. Find out if this treatment might be right for you.  https://mayocl.in/2r9fSnE  pic.twitter.com/pJt030P0xw",44,2,29,True,
DoctorQMd,2018-05-02,17:10:31,"Misión altruista Monterrey México con @Mission_BRAIN Juntos logramos hacer 3 neurocirugías complejas. Les agradecemos todo el apoyo a nuestros neurocirujanos, al equipo de @christusmx @udem por ayudar a los que más lo necesitan. Juntos seguiremos salvando vidas y creando puentes! pic.twitter.com/mXU1QKQrmm",248,14,71,True,
MayoClinicNeuro,2018-05-02,13:59:28,Traditionally #brain inflammation has been thought to be mostly caused by infections. Dr. Flanagan reports on a study that found the immune system attacking the brain (#autoimmune encephalitis) is similar in frequency to that caused by infections.  #AANAM  https://newsnetwork.mayoclinic.org/discussion/when-the-body-attacks-the-brain-immune-system-often-to-blame-for-encephalitis-study-finds/ … pic.twitter.com/TfsmDs1oCg,5,0,4,True,"#brain,#autoimmune,#AANAM"
MayoClinicNeuro,2018-05-02,13:30:02,"Drs. Leonardo Rangel-Castilla, Peter Nakaji, Adnan Siddiqui, Robert Spetzler & Elad Levy at #2018AANS with their book, ""Decision Making in Neurovascular Disease.""  This step-by-step book is a must-have for residents and fellows.  #aneurysm #arteriovenousmalformation #mayoclinic pic.twitter.com/pF3ozruAFw",3,0,0,True,"#2018AANS,#aneurysm,#arteriovenousmalformation,#mayoclinic"
MayoClinic,2018-04-30,08:56:59,Drs. Kouloumberis and Spinner on advancements in peripheral nerve Live at #AANS2018 https://www.pscp.tv/w/bbcYKzQ2OTA3ODF8MWxQS3Fub1Zack1HYj-TcQDDV2gBaEbxsAInRuBYRIJXJcd5jryEGlcTD5O5 …,35,1,19,True,#AANS2018
MayoClinic,2018-04-30,16:11:11,Dr. Fredric Meyer joins Mayo Clinic residents to discuss medical education live at #AANS2018 https://www.pscp.tv/w/bbd97zQ2OTA3ODF8MW1uR2VYdmRRcW9LWNLrmlsk9kpckgue8JbKzpdZp7Xm4MXHWh7UmQMwdJcS …,27,1,11,True,#AANS2018
MayoClinic,2018-05-01,17:57:59,Dr. Selby Chen explains how #spine surgery has changed with minimally invasive techniques and robotic technology from #AANS2018 pic.twitter.com/d2yhaL35Y3,42,2,27,True,"#spine,#AANS2018"
graffeo,2018-05-01,13:54:02,"The Once And Future Chief! Couldn't be more proud to have been a junior resident @MayoClinicNeuro under Will Copeland, who was honoured today by our @youngneuros committee with the #AANS2018 Public Service Citation https://twitter.com/youngneuros/status/991386992306020353 …",11,1,5,True,#AANS2018
gkbovis,2018-05-01,09:37:06,"Catching up with friends at #AANS2018. Drs Frederic Meyer, Aaron Cohen Godal, Steve Kalkanis, Jon Sherman, Michael Link and Sami Rosenblatt, Gordon Deen, Alfredo Quinones-Hinojosa, and Humanitarian Award Recipient Dr Will Copeland pic.twitter.com/bMeWziWsK6",14,1,2,True,#AANS2018
MayoClinicNeuro,2018-04-30,15:44:06,Live with Dr. Ben Brown and Dr. Chandan Krishna on aneurysm and stroke at #AANS2018 https://www.pscp.tv/w/bbd3ljFXZ0tnYVd6bWxKRXZ8MWRSS1plbWxubXd4QjXN9sjpfgr7PSK_g-mF8szGQOYGyOPm9zC5ey52bgMb …,10,0,6,True,#AANS2018
MayoClinicNeuro,2018-04-30,10:15:24,Drs. Bendok and Krishna on #AVM Live at #AANS2018 https://www.pscp.tv/w/bbcqjDFXZ0tnYVd6bWxKRXZ8MVlxR29MalF2emFKduaSl2yv0auafmMPA0OKnQ_94mxtykpm4VlPQhhEiJgO …,16,1,10,True,"#AVM,#AANS2018"
MayoClinicNeuro,2018-04-30,09:30:19,Dr. Pelagia Kouloumberis advice to the future women in neurosurgery live at #AANS2018 https://www.pscp.tv/w/bbcf-zFXZ0tnYVd6bWxKRXZ8MXZPeHdBcW9xbW9HQuxa8PLyBOXgOdTLVD6boP-BaEOfO5yt0xKyN-Tflxmo …,12,2,6,True,#AANS2018
MayoClinicNeuro,2018-04-30,08:03:42,Drs. Lyons on advancements in spine surgery live from #AANS2018 https://www.pscp.tv/w/bbcLrjFXZ0tnYVd6bWxKRXZ8MWt2SnBXT1hQRGtHRTkgGZLHwgMx6ocRShLaWgjwXV4FZrSROFQRzLyP5hRm …,5,0,3,True,#AANS2018
JNoseworthyMD,2018-04-26,10:57:47,Excited and honored to talk all things #healthcare at today’s @BCCEOClub with @bostonsci CEO Mike Morrey. #mayoclinic pic.twitter.com/VNLaYnNzQn – at Boston Harbor Hotel,32,2,8,True,"#healthcare,#mayoclinic"
MayoClinic,2018-04-26,07:06:50,Help prevent medication misuse by bringing your unused prescription to #TakeBackDay. Drop off unused medication this Saturday from 10 am — 2 pm. #RochMN pic.twitter.com/FqSkjsWamY,29,0,14,True,"#TakeBackDay,#RochMN"
graffeo,2018-04-25,11:29:24,Fantastic #neuroanatomy study from the Cappabianca group on lateral limits of transplanum #EEA #skullbase approaches https://twitter.com/thejns/status/989174741830430721 …,2,1,2,True,"#neuroanatomy,#EEA,#skullbase"
MayoClinicNeuro,2018-04-25,10:00:02,"Mayo Clinic’s world-renowned team of neurologists and neurosurgeons treat more than 100,000 people each year, including those with complex and rare conditions.  http://mayocl.in/2sjf837  pic.twitter.com/jjsvZC8gYf",4,0,2,True,
MayoClinicNeuro,2018-04-24,11:00:03,"1 in 50 people have an unruptured brain aneurysm and many don’t even know it. Read here about symptoms, diagnosis, and treatment:   https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/brain-aneurysm-care-at-mayo-clinic/mac-20361689?utm_source=facebook&utm_medium=sm&utm_content=post&utm_campaign=mayoclinic&geo=national&placementsite=enterprise&mc_id=us&cauid=100502&linkId=49705879 …#MayoClinic #brainaneurysm #aneurysm #embolization #neurosurgery pic.twitter.com/Yakxdj9rz6",13,0,4,True,"#MayoClinic,#brainaneurysm,#aneurysm,#embolization,#neurosurgery"
MayoClinicNeuro,2018-04-23,10:00:03,"Distressed by the news that she had an inoperable brain tumor, Jessica Kenser sought a second opinion and received life-altering treatment from Mayo Clinic neurosurgeons.  Read her story here:   https://sharing.mayoclinic.org/2017/07/21/second-opinion-at-mayo-clinic-changes-a-nurses-destiny/ … #braintumor #MayoClinic pic.twitter.com/MiKE6SDF52",5,0,1,True,"#braintumor,#MayoClinic"
MayoClinicNeuro,2018-04-21,12:01:33,"Yesterday, we celebrated the legacy of Dr. Walter Grand who has been a great mentor for many neurosurgeons. pic.twitter.com/SJlPP7hhBD",4,0,0,True,
MayoClinicNeuro,2018-04-20,11:00:04,"Congratulations to Dr. Michael Link, this year's Teacher of the Year award recipient! pic.twitter.com/DaRwTYtpWQ",15,0,4,True,
MayoClinicNeuro,2018-04-20,10:00:02,Congratulations to Dr. Meghan Murphy on being awarded the Mayo Brothers Distinguished Fellowship Award!,1,0,0,True,
MayoClinic,2018-04-18,08:00:04,"Welcome, Northwest Health in Arkansas to the @MayoCareNetwork. We look forward to working together.   http://mayocl.in/2Hd1INa  pic.twitter.com/Vn0el3GEw9",15,1,9,True,
MayoClinic,2018-04-19,17:05:02,Discover more about the enhanced feature on Mayo Clinic Connect:  http://mayocl.in/2HcX6qh . pic.twitter.com/E295rek82p,9,0,8,True,
MayoClinic,2018-04-19,19:30:01,"Mayo Clinic team members are known for their caring spirit, and the four-legged members are no exception. That's why Mayo's Caring Canines dog therapy program is often exactly what the doctor orders.  http://mayocl.in/2qCZv26  pic.twitter.com/tsQ0XEOOkA",147,1,50,True,
MayoClinicNeuro,2018-04-19,13:00:02,"At their annual bowl-a-thon, Rochester neurosurgery staff and residents ""strike"" a balance between work & play! @graffeo pic.twitter.com/VHSOCm2QGn",6,0,3,True,
