username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoProceedings,2017-11-30,20:00:01,Does lifelong physical activity promote survival of the fittest?  http://mayocl.in/2j1YRbq  pic.twitter.com/XqRwfc8FGP,5,0,1,True,
MayoClinic,2017-12-06,12:30:01,"#Exercise changes gut microbial composition independent of diet, team reports  http://bit.ly/2itvSg5  via @ScienceDaily",26,0,18,True,#Exercise
MayoMedEd,2017-12-07,20:00:02,"Researchers: Submit your abstract to the Mayo Clinic Young Investigators #Research Symposium! The 2018 YIRS will be held March 23-24 in Rochester, MN. Abstract deadline is January 1:  http://mayocl.in/2j0MAEi  #MayoYIRS pic.twitter.com/rX9hnKC3n9",3,0,3,True,"#Research,#MayoYIRS"
mayoclinicsport,2017-12-03,12:00:02,Optimize your swing mechanics this winter with our golf performance program. Learn more and sign up here:  http://mayocl.in/2BqOrcf  pic.twitter.com/IPoPAq3OV7,4,0,2,True,
MayoClinicPMR,2017-11-25,11:15:00,Expanded team staffing Mayo's ALS Clinic provides patient-centered care. http://mayocl.in/2zKQfx4 ,2,0,0,True,
MayoClinicPMR,2017-11-24,06:41:00,"Culture-expanded, adipose-derived mesenchymal stem cells tested as treatment for knee #osteoarthritis. http://mayocl.in/2zKqSvs ",1,0,0,True,#osteoarthritis
MayoClinicPMR,2017-11-23,08:10:00,Minnesota Office of Higher Education announces Minnesota Spinal Cord and Traumatic Brain Injury Research Grants.  http://mayocl.in/2zL1PZa  #SCI #TBI,1,0,0,True,"#SCI,#TBI"
MayoClinicPMR,2017-11-19,15:32:00,"Gene therapy for knee #osteoarthritis: Q and A with Christopher H. Evans, Ph.D. http://mayocl.in/2zLlcRI ",10,0,3,True,#osteoarthritis
mayoclinicsport,2017-11-08,11:00:02,Continue to hone your skills and become the best player on the ice by training with our experts during the season.  http://mayocl.in/2iA0wE9  pic.twitter.com/92HJYWAxw3,4,0,2,True,
MayoProceedings,2017-11-13,12:23:01,How does exercising at 3 times the recommended level affect the heart? http://mayocl.in/2iPmraB  pic.twitter.com/7r01iKqVj6,1,0,2,True,
MayoMedEd,2017-11-05,11:34:00,1 in 5 physicians want to cut back clinical work hours over #burnout frustrations  http://bit.ly/2inVESt  via @HC_Finance,3,1,2,True,#burnout
mayoclinicsport,2017-11-08,15:27:02,We've expanded! Mayo Clinic Square in downtown Minneapolis now has more services for your health needs! Learn more:  http://mayocl.in/2h8MuZW  pic.twitter.com/8T2MhJB2l7,10,0,4,True,
MayoClinicPMR,2017-10-29,18:00:00,Read the latest #MayoClinicPMR Update:  http://mayocl.in/2yCur91 ,1,0,0,True,#MayoClinicPMR
MayoClinicPMR,2017-10-28,09:00:00,New approach to #carpaltunnel release offers promising results. http://mayocl.in/2gDlJAi ,4,0,0,True,#carpaltunnel
MayoClinicPMR,2017-10-27,06:00:01,Improving access to rehabilitation services for ICU patients. http://mayocl.in/2gCumuH ,3,0,2,True,
MayoClinic,2017-10-19,20:19:00,A man moves his paralyzed legs again using a device that stimulates the spinal cord.  http://mayocl.in/2yoDkAf  @MayoProceedings,143,4,80,True,
MayoProceedings,2017-10-22,10:00:02,Could changes to medical licensure questions reduce barriers to physicians seeking help for mental health?  http://mayocl.in/2yAqv5W  pic.twitter.com/bNpBKignNq,2,0,2,True,
MayoMedEd,2017-10-15,15:46:02,.@MayoGradSchool debuts a doctoral research programs in regenerative medicine  http://mayocl.in/2wR6OoI  #RegMed #MedEd pic.twitter.com/9n34zYtOIt,8,0,3,True,"#RegMed,#MedEd"
mayoclinicsport,2017-10-23,09:00:03,We've expanded! Mayo Clinic Square in downtown Minneapolis now has more services for your health needs! Learn more:  https://sportsmedicine.mayoclinic.org/locations/mayo-clinic-square-expansion.php?mc_id=us&utm_source=twitter&utm_medium=sm&utm_content=tweet&utm_campaign=smc&geo=national&placementsite=enterprise&cauid=100724 … pic.twitter.com/uqJQUtqyJ0,11,0,3,True,
mayoclinicsport,2017-10-07,10:00:02,Exercising consistently leads to many great health benefits. #StayHealthy  http://mayocl.in/2fxOieb  pic.twitter.com/N8pGu3q3jv,13,0,14,True,#StayHealthy
MayoClinic,2017-09-18,16:38:01,A man moves his paralyzed legs again using a device that stimulates the spinal cord.  http://mayocl.in/2y99xu2  @MayoProceedings,195,7,130,True,
MayoClinic,2017-09-18,09:00:01,September is Nat'l Traumatic Brain Injury (#TBI) Awareness Month. Know when a bump on the head is a serious injury! http://mayocl.in/2eZx7lB ,67,3,51,True,#TBI
MayoClinic,2017-09-14,13:45:01,@mayoclinicsport Learn more about the latest research into #concussions @MayoClinicSport’s third hockey concussion summit Sept. 28-29  http://mayocl.in/2x2rgEd  pic.twitter.com/c04uM6mH2e,15,0,16,True,#concussions
mayoclinicsport,2017-09-17,12:48:02,Mayo Clinic Sports Medicine offers many different services. How can we help you improve your health?  http://mayocl.in/2exTP7H  pic.twitter.com/Y1R1NpsB8E,7,0,3,True,
