username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoClinicPath,2018-04-16,17:04:02,"@KarenFritchieMD Congratulations to Dr. Fritchie  and Dr. Chen for being recognized by Mayo Fellows’ Association as the teachers of the year in anatomic pathology and clinical pathology, respectively. Very well deserved! #pathology #meded #MayoPath #Mayo_path #BST #Mayo_Clinic @karenfritchiemd pic.twitter.com/Cz5yWAIJsU",25,0,9,True,"#pathology,#meded,#MayoPath,#Mayo_path,#BST,#Mayo_Clinic"
Renalgal4ever,2018-04-16,15:45:58,Acute renal failure in a young man following a marathon. #renalpath #marathon #PatriotsDay #pathology @mayocliniclabs @MayoClinicPath pic.twitter.com/xvOAKdQdwB,86,4,52,True,"#renalpath,#marathon,#PatriotsDay,#pathology"
MayoClinicPath,2018-04-10,07:49:31,"Dr. Albadri, our third year resident presenting at Minnesota society of cytopathology Spring meeting #Mayo_path #Cytopath #renal_path #MN @sam_albadri pic.twitter.com/FduCis4Djg",15,1,2,True,"#Mayo_path,#Cytopath,#renal_path,#MN"
ldcornell,2018-04-07,13:19:55,Vascular lesions of acute & chronic cellular rejection in the kidney... severe transplant arteriopathy and endothelialitis. Can sometimes see foam cells as in this case. #renalpath #pathology #transplant @mayocliniclabs @MayoClinicPath pic.twitter.com/SnVrG9WIkH,32,0,17,True,"#renalpath,#pathology,#transplant"
ldcornell,2018-04-03,11:35:07,First case reported of recurrent IgG4‐related TIN... apparently it can recur despite maintenance immunosuppression!  https://onlinelibrary.wiley.com/doi/abs/10.1111/ajt.14758#.WsOrpVc1xkQ.twitter … #renalpath #transplant #IgG4 @mayocliniclabs @MayoClinicPath pic.twitter.com/hlqnhDhXUS,50,2,31,True,"#renalpath,#transplant,#IgG4"
smlungpathguy,2018-03-31,12:57:33,"Shout out to my friend Lynn Hanson, who is retiring after many years of service from @MayoClinicPath Minnesota is famed for its nice people, and Lynn is the genuine item.  A humble, good hearted person, who is kind to all regardless of their position. Thank you Lynn! ❤️❤️ pic.twitter.com/ijQ0R8xnXm",31,2,9,True,
NPathRes,2018-03-24,08:19:01,@MayoClinicPath https://twitter.com/sankakar/status/977024559235792896 …,4,1,2,True,
NPathRes,2018-03-24,08:19:59,@MayoClinicPath https://twitter.com/liverpath/status/977049890990694400 …,0,0,2,True,
edusqo,2018-03-22,15:33:46,Some basic concepts about Fine-Needle Aspiration #Cytology with Dr. Michael Roh from @MayoClinicPath at #USCAP2018. So many advantages!!! That's why I love it! 😍 #PatientSafety #FNA 💉➡🔬 pic.twitter.com/abXqhlQ3AG,31,2,25,True,"#Cytology,#USCAP2018,#PatientSafety,#FNA"
MayoClinicPath,2018-03-22,10:29:01,#MayoPath #CVPath #molpath #Pathology  http://mayocl.in/2G3uZ84 ,0,0,1,True,"#MayoPath,#CVPath,#molpath,#Pathology"
MayoClinicPath,2018-03-21,17:42:03,Dr. Jahanseir with her poster at afternoon poster session #BST #USCAP2018 #MayoPath pic.twitter.com/TdruNPN8zt,22,0,8,True,"#BST,#USCAP2018,#MayoPath"
MayoClinicPath,2018-03-21,17:40:00,Dr. Lee with her poster at afternoon poster session #MayoPath #GIPath #USCAP2018 pic.twitter.com/77qL4fKBau,15,0,9,True,"#MayoPath,#GIPath,#USCAP2018"
MayoClinicPath,2018-03-21,16:51:53,Dr. Martinez with his two posters at afternoon poster session #BST #MayoPath #Pathology #USCAP2018 pic.twitter.com/ZwdESNSdjs,19,1,5,True,"#BST,#MayoPath,#Pathology,#USCAP2018"
NPathRes,2018-03-21,08:30:25,@MayoClinicPath https://twitter.com/kabeerkshah/status/976413341626388480 …,1,0,1,True,
NPathRes,2018-03-21,08:11:28,@MayoClinicPath https://twitter.com/sam_albadri/status/976333427115925504 …,1,0,1,True,
MayoClinicPath,2018-03-21,08:08:53,@MayoClinicPath,0,0,0,True,
NPathRes,2018-03-20,21:11:12,@MayoClinicPath https://twitter.com/alboothmd/status/976243806919159808 …,3,0,1,True,
