username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoClinicSMN,2018-07-18,14:05:00,.@sejournal reports: Facebook Updates Ad Manager App With New Creative Tools.  https://mayocl.in/2mp4z8B  #hcsm,0,0,0,True,#hcsm
MayoClinicSMN,2018-07-18,12:30:01,"Unriddled by @HubSpot: Apple's Latest MacBook, Another Facebook Data Loophole, and More Tech News You Need.  https://mayocl.in/2zWrtxE  #hcsm",0,0,0,True,#hcsm
MayoClinicSMN,2018-07-18,10:27:00,The Future of Connection on Facebook: How Stories May Change the Marketing Game. Via @toprank.  https://mayocl.in/2mp3kpX  #hcsm,1,0,1,True,#hcsm
MayoClinicSMN,2018-07-18,08:57:26,"How to Repurpose Your Video Content Across Many Platforms, via @SMExaminer.  https://mayocl.in/2mq1LIr  #hcsm",0,0,0,True,#hcsm
MayoClinicSMN,2018-07-17,15:12:00,"In honor of #WorldEmojiDay, @Apple is previewing some of its upcoming emoji, which include people with curly hair, white hair, no hair, and superpowers! 😍 #hcsm",1,0,0,True,"#WorldEmojiDay,#hcsm"
MayoClinicSMN,2018-07-17,13:27:00,How should we monitor our competitors to increase conversions? @convince has the answer.  https://mayocl.in/2mptxom  #hcsm,1,0,0,True,#hcsm
MayoClinicSMN,2018-07-17,10:58:00,.@SMExaminer shares tips on How to Use Instagram Live Video Chat for Business.  https://mayocl.in/2zMyZeD  #hcsm,0,0,0,True,#hcsm
MayoClinicSMN,2018-07-17,09:53:00,"According to @TechCrunch, @KapwingApp is Adobe for the meme generation.  https://mayocl.in/2mpsoNA  #hcsm",3,0,1,True,#hcsm
MayoClinicSMN,2018-07-17,08:52:00,"Why does the #MCSMN exist? @LeeAase explains in ""Genesis and Evolution of Mayo Clinic Social Media Network."" #MayoClinicDNA #hcsm https://mayocl.in/2zJQjRB ",2,0,0,True,"#MCSMN,#MayoClinicDNA,#hcsm"
MayoClinicSMN,2018-07-17,07:17:01,#MCSMN Annual Conference – Exhibitor and Sponsorship Opportunities Now Available!  https://mayocl.in/2uF6XMp  #hcsm pic.twitter.com/24nZ1Tpy2i,0,0,0,True,"#MCSMN,#hcsm"
MayoClinicSMN,2018-07-16,20:09:01,#MCSMN Annual Conference – Exhibitor and Sponsorship Opportunities Now Available!  https://mayocl.in/2mrBMAB  #hcsm pic.twitter.com/oiikvk4qhn,0,0,0,True,"#MCSMN,#hcsm"
MayoClinicSMN,2018-07-16,14:53:00,"How The Top Social Media Platforms Have Changed And What It Means For Marketers, according to @socialmediaweek.  https://mayocl.in/2mkvfaE  #hcsm",1,0,1,True,#hcsm
MayoClinicSMN,2018-07-16,14:16:00,"12 Ways to Boost Brand Awareness on Social Media, via @SproutSocial.  https://mayocl.in/2zJC3bf  #hcsm",0,0,0,True,#hcsm
MayoClinicSMN,2018-07-16,11:59:00,"How to Advertise in Facebook Marketplace: What Marketers Need to Know, according to @SMExaminer.  https://mayocl.in/2uCcIdK  #hcsm",0,0,0,True,#hcsm
