username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoClinicSOM,2018-07-16,09:24:08,"Dr. Fredric Meyer welcomes the Mayo Clinic School of Medicine, class of 2022. Welcome to our community of scholarship & continuous improvement! #MeetMayoMed #MedEd pic.twitter.com/tuQw2cmltW",18,0,4,True,"#MeetMayoMed,#MedEd"
apw01,2018-05-19,10:26:00,#patientsfirst #everyonematters ##unconditional #kindness #mayomedgrad from Dr Waller,1,0,1,True,"#patientsfirst,#everyonematters,#unconditional,#kindness,#mayomedgrad"
MnMedMSS,2018-05-19,17:38:34,Congrats @MayoClinicSOM Class of 2018!!  We are excited for what's to come in your medical careers!! @mnmed @MnMedMSS @MMAResFel #MayoClinicGrad,6,0,3,True,#MayoClinicGrad
MnMedMSS,2018-05-19,17:38:34,Congrats @MayoClinicSOM Class of 2018!!  We are excited for what's to come in your medical careers!! @mnmed @MnMedMSS @MMAResFel #MayoClinicGrad,6,0,3,True,#MayoClinicGrad
MayoClinicSOM,2018-05-18,16:19:30,Can't make it to tomorrow's @MayoClinic  School of Medicine Graduation to watch your #MayoClinicGrad? Here is the webcast link for the commencement stream:  https://services.choruscall.com/links/mayo180519.html … pic.twitter.com/Q57JtnjprL,0,0,1,True,#MayoClinicGrad
MayoClinicSOM,2018-05-10,16:31:01,".@MayoHumanities is proud to present The Tempest:  https://connect.mayoclinic.org/files/2018/05/FINAL-sized-The-Tempest-Spreads.pdf …This collection of poetry, prose and visual art meant to illustrate the growth of a medical student into a medical professional. #MedicalHumanities #MedEd pic.twitter.com/wufFtXzT25",3,0,2,True,"#MedicalHumanities,#MedEd"
AmerMedicalAssn,2018-03-30,13:57:53,"This #NationalDoctorsDay, we'll be featuring faces of America's physicians. Thank you for all you do inside your exam rooms and outside in your communities. This is @lildocd - read more about her here:  http://spr.ly/6015DXTIR  #MembersMoveMedicine #DoctorsDay #WhatADoctorLooksLike pic.twitter.com/dG8Ist0cl0",51,3,24,True,"#NationalDoctorsDay,#MembersMoveMedicine,#DoctorsDay,#WhatADoctorLooksLike"
MayoClinicSOM,2018-03-24,11:23:28,FYI- checkout & follow #MAYOYIRS today-- Wonderful speakers at this young investigators research symposium! https://twitter.com/ashkayebrown/status/977564595769536512 …,4,0,2,True,#MAYOYIRS
MayoClinicSOM,2018-03-21,09:35:34,"We are so proud of the Mayo Clinic School of Medicine Class of 2018!- 51 students, 100% match rate- 29% matched at Mayo Clinic!- 20% Surgery,14% IM, 12% Peds, 10% Derm, 10% Radiology, 8% Anesthesiology, 6% Neurology, 6% EM, 6% Psychiatry, 4% ObGyn, 4% Family Med, 2% Pathology pic.twitter.com/8UpvSsHKTU",27,1,2,True,
JNoseworthyMD,2018-03-16,12:24:35,"Congratulations to @MayoClinicSOM  students participating in Match Day. You’re now prepared to improve patient care, accelerate discovery and innovation, and advance the practice of medicine! #mayoclinic",63,3,14,True,#mayoclinic
MayoClinicSOM,2018-03-16,07:42:59,"Follow along on our Instagram stories this morning as Elizabeth Fracica, one of fourth year students matching into neurology, gives us an inside look on #MatchDay  http://instagram.com/MayoClinicSOM  pic.twitter.com/FZBR3xqwLl",14,0,2,True,#MatchDay
MayoClinicSOM,2018-03-16,07:33:02,Happy #MatchDay! Match Day events will be broadcast live starting at 11:30 am CST. Join us via LIVE webcast starting at 11:30 am CST to experience the excitement as we find out where our students matched and celebrate their accomplishments!   http://mayocl.in/2ItWedJ  pic.twitter.com/miBkRONXWZ,21,1,7,True,#MatchDay
MayoClinicSOM,2018-03-15,08:00:04,"Tomorrow is Match Day, when our fourth year students find out where they will spend their next years of training. We invite you to join us via LIVE webcast at 11:30 am CST on Friday to experience the excitement as we find out where our students matched!  http://mayocl.in/2peVReh  pic.twitter.com/zClq0MCFt2",17,0,3,True,
StephRStarr,2018-03-05,09:49:36,I hope @MayoClinicSOM students will consider submissions - I have learned a great deal from their perspectives https://twitter.com/goldfdtn/status/970377595584958467 …,6,0,3,True,
MayoClinicSOM,2018-02-27,09:03:00,We are so thankful to have such an incredible Physician Leader to support us through this journey! https://twitter.com/wyattwdecker/status/968168042487320583 …,13,0,2,True,
MayoClinicSOM,2018-02-22,10:56:30,Wonderful to have @cmtomblinson  facilitating this important #MedEd discussion! #meetmayomed https://twitter.com/cmtomblinson/status/966643735286222849 …,2,1,1,True,"#MedEd,#meetmayomed"
cjmoreland,2018-02-22,08:04:39,Great story & strong example of why the language of technical standards matters. #DocsWithDisabilities  https://alumniassociation.mayo.edu/can-done-mayo-clinic-school-medicine-evolves-accommodating-students-disabilities/ … @MayoClinic,11,0,9,True,#DocsWithDisabilities
majorajay,2018-02-21,13:00:00,.@inHouseMag invites all residents & fellows to submit to upcoming 2018 Theme Issues:February 2018: #SocialMedicine March 2018: s/p #TheMatch — One Year LaterApril 2018: Arts in MedicineMay 2018: #MentalHealthRead more and submit at  http://in-housestaff.org/in-house-theme-issues … #meded,3,1,2,True,"#SocialMedicine,#TheMatch,#MentalHealthRead,#meded"
MayoClinicSOM,2018-02-12,13:08:53,"In collaboration with Northeast Ohio Medical University chapter of the Gold Humanism Honor Society, we invite you to give the doctors that you admire a shout out! Please tweet us the story :-) #SolidarityWeek #NEOMEDGHHS #meetmayomed pic.twitter.com/uF830ZGXUA",3,0,1,True,"#SolidarityWeek,#NEOMEDGHHS,#meetmayomed"
MayoClinicSOM,2018-02-09,13:45:28,Congratulations! Dr. Abraham just lectured to our M1's about primary immunodeficiencies 2 weeks ago. Phenomenal #MedEd -ucator! https://twitter.com/KreuterMD/status/962047874933579777 …,1,0,0,True,#MedEd
MayoClinicSOM,2018-01-31,18:24:56,".@DavidFarleyMD, surgical educator & general surgeon, summarizes good #MedEd! #MayoClinicETF pic.twitter.com/Pj235KLpXn",12,1,1,True,"#MedEd,#MayoClinicETF"
MayoClinicSOM,2018-01-28,14:02:35,The Mayo Clinic School of Medicine Music Recital is about to begin! #meetmayomed #medstudentlife,4,0,0,True,"#meetmayomed,#medstudentlife"
JAMAOphth,2018-01-13,17:00:00,Recurrent monocular #visionloss and an ocular mass with a simple solution  http://ja.ma/2miIHeX ,2,0,2,True,#visionloss
jpots,2018-01-12,12:43:41,Virtually join the @MayoClinic Education & Technology Forum via @MayoMedEd FB Live & #tweetchat using #MayoClinicETF - Jan 31 @ 5 CT.   http://bit.ly/etf2018_STD  @bheather95 @ZimMD @DavidFarleyMD @becca_gas @cabowler1 @SuzanneNorby @StephRStarr @CabreraERDR @MayoClinicSOM pic.twitter.com/rmn2VYG3Vy,15,0,13,True,"#tweetchat,#MayoClinicETF"
MayoClinicSOM,2018-01-12,10:34:31,"FYI @MayoClinicSOM Medical Students- thanks to the Diversity Council, you have FREE admission to this event:  http://bit.ly/2ASy4V7  Just bring your student ID. pic.twitter.com/f0LgtUEBIQ",3,0,1,True,
MayoClinicSOM,2018-01-09,16:55:03,"First year medical students in Arizona organized a healthcare debate to conclude their Science of Healthcare & Delivery Block. This proved to be an engaging educational format, highlighting that issues in healthcare are not black and white. pic.twitter.com/UOXKn9Xpmt",18,0,2,True,
MayoClinicSOM,2017-12-16,14:46:02,"#Medicalstudents Kent Richter and Aditya Khurana with Dr. Alfredo Quinones-Hinojosa (“Dr. Q”). Kent and Aditya are M1’s at Mayo Clinic School of Medicine, Arizona campus. They completed a selective in #Neurosurgery with Dr. Q at #MayoClinic in Jacksonville, FL pic.twitter.com/7ukeCsJget",13,1,5,True,"#Medicalstudents,#Neurosurgery,#MayoClinic"
tmalinMLS,2017-12-13,09:37:15,"Delivering Patient Centered Care to Diverse Populations: The Importance of Health Literacy, Cultural and Linguistic Competency @DrJMieres @SharonneHayes #MayoClinicEquity #sketchnotes #123forEquity @NorthwellHealth pic.twitter.com/9gpZCokSc5",16,1,10,True,"#MayoClinicEquity,#sketchnotes,#123forEquity"
MayoClinicSOM,2017-12-10,12:10:56,"Each year we hold a winter formal for our #medicalstudents. This year’s theme was based on The Great Gatsby. As you can see, our students were all looking quite dapper! Last year’s theme was the Yule Ball. What do you think next year’s theme should be? pic.twitter.com/dVqXh0mJy0",7,0,0,True,#medicalstudents
adikhurana,2017-12-09,08:19:19,"Good points to keep in mind, similar to the emphasis on wellness for students at @MayoClinicSOM https://twitter.com/harvardbiz/status/939496854630338562 …",2,0,2,True,
StephRStarr,2017-12-08,12:05:35,Our @MayoClinicSOM M1 presentations on #scienceofhealthcaredelivery extolled the fierce advocacy skills of @MonaHannaA & inspired their colleagues to model her work! #healthsystemscience #changemeded pic.twitter.com/dgzyW60IKM,7,0,3,True,"#scienceofhealthcaredelivery,#healthsystemscience,#changemeded"
NEJMres360,2017-12-06,07:15:07,Videos in Clinical Medicine: How to Perform a Punch Biopsy of the Skin  http://nej.md/2ia1yHr Heading into a #dermatology rotation? Use our Rotation Prep with all the relevant topics you need to know:  http://nej.md/2vTxpVB  pic.twitter.com/0PwaqKlluU,7,0,2,True,#dermatology
erhall1,2017-12-05,12:36:01,"Dr. M. Halyard presenting @ #mayoclinic research gathering about @MayoClinicSOM | one school, one curriculum, one class pic.twitter.com/M0rmXLmKUU",8,0,2,True,#mayoclinic
MayoClinicSOM,2017-12-05,09:41:02,#Wellness runs throughout #MayoClinic! RT @Sdoddmd @laurenlicatino presenting on #wellness and meditation at @MayoAnesthesia grand rounds @womenMDinanesth pic.twitter.com/EF2HJFOsAd,9,0,3,True,"#Wellness,#MayoClinic,#wellness"
MayoClinicSOM,2017-11-29,22:06:32,Our #medstudents attend a networking event in Minneapolis with leaders in the field of Regenerative Medicine; hosted by the Mayo Clinic Center for Regenerative Medicine in collaboration with the University of Minnesota Stem Cell Institute pic.twitter.com/ko9ct9AL7V,8,0,1,True,#medstudents
MayoClinicSOM,2017-11-27,17:04:01,"FYI-- The Mayo Clinic Young Investigators Research Symposium has EXTENDED the deadline for submissions--> January 1, 2018 is the NEW deadline:  http://bit.ly/2Afpd16  pic.twitter.com/2Rnu4AhvGX",1,0,1,True,
El_DoctorUriel,2017-11-24,19:50:49,"""Health-care lifeline: @SVdP clinic aids metro #Phoenix poor, uninsured""  http://azc.cc/2B8Sb20  Will also be site of collaboration with @MayoClinicSOM #MedEd #HealthDisparities #SDoH",9,0,1,True,"#Phoenix,#MedEd,#HealthDisparities,#SDoH"
MayoMedEd,2017-11-26,12:37:00,"Three campuses, one school: @MayoClinicSOM's unique approach to #MedEd  http://mayocl.in/2jgmw7t  #medschool",4,0,4,True,"#MedEd,#medschool"
MayoClinicSOM,2017-11-27,10:20:02,"#meetmayomed: ""In practicing medicine, we should focus on tailoring the recommendations to fit the patient, rather than forcing the patient to fit the recommendation."" --Jeremiah Joyce RT (M3).  http://bit.ly/2jrWcY9  Thanks for sharing @StephRStarr!",1,0,0,True,#meetmayomed
MayoClinicSOM,2017-11-21,12:01:01,"Last week, at the Minnesota Indian Education Association Conference, @MayoClinic #MedStudents & faculty taught Native American high school students about opportunities in healthcare. Thank you-- Michelle Hwang, Susanna Basappa, Olivia Crum, Dr. Saranya Wyles and Dr. Walter Franz! pic.twitter.com/cHhdido4tb",6,0,1,True,#MedStudents
MayoClinicSOM,2017-11-15,11:30:01,FYI #medstudents #premed --> RT @mathsmrgordon Students with exams coming up - visit the learning scientists for some serious study tips 👍🏻 http://www.learningscientists.org/ ,2,0,0,True,"#medstudents,#premed"
MayoClinicSOM,2017-11-14,19:00:03,"Join us NOW for our Instagram Live Q&A, from 7-8 PM CST! We are LIVE and ready to answer any #premed questions about the #medschool application process. We'll also talk about life as a Mayo Clinic SOM #medstudent in general. Follow us on Instagram  http://www.instagram.com/mayoclinicsom  pic.twitter.com/f7sHlXKFi5",0,0,0,True,"#premed,#medschool,#medstudent"
MayoClinicSOM,2017-11-14,18:30:03,*In 30 minutes* join us for an Instagram Live Q&A! We will be LIVE and ready to answer any #premed questions about the #medschool application process. We'll also talk about life as a Mayo Clinic SOM #medstudent in general. Follow us on Instagram  http://www.instagram.com/mayoclinicsom  pic.twitter.com/NG3JVOmlxq,0,0,0,True,"#premed,#medschool,#medstudent"
MayoClinicSOM,2017-11-14,17:00:03,"Join us for an Instagram Live Q&A tonight, from 7-8 PM CST! We will be LIVE and ready to answer any #premed questions about the #medschool application process. We'll also talk about life as a Mayo Clinic SOM #medstudent in general. Follow us on Instagram  http://www.instagram.com/mayoclinicsom  pic.twitter.com/Xb4WDJAmSC",4,0,0,True,"#premed,#medschool,#medstudent"
phdhpe,2017-11-09,18:40:23,"What is #gamification? How does it relate to health professional education? I hope that my latest publication provides some insight. It's finally here: ""When I say...gamification"" http://rdcu.be/yf9H #meded #hpe #cdnpse #GameON pic.twitter.com/llCTuKOj3p",67,4,60,True,"#gamification,#meded,#hpe,#cdnpse,#GameON"
StephRStarr,2017-11-09,17:25:13,"Insightful reflection by MS3 Mark Kaczor @MayoClinicSOM — connecting pop health, quality measures and patient centered care https://twitter.com/kerunit/status/928764015886643206 …",2,0,1,True,
erhall1,2017-11-11,09:25:26,Dr. Wyatt Decker #mayoclinic @MayoClinicSOM invites students 2B architects in partnership w/ us | Engage in continuous quality improvement pic.twitter.com/qNpQw6LnG4,8,0,3,True,#mayoclinic
MayoClinicSOM,2017-11-09,18:11:52,"Congratulations to our professor, Dr. Joseph Grande, M.D., Ph.D, who has been honored by the Association of American Medical Colleges (AAMC) with the 2017 Alpha Omega Alpha Robert J. Glaser Distinguished Teacher Award! http://newsnetwork.mayoclinic.org/discussion/mayo-clinic-professor-receives-national-distinguished-teacher-award … pic.twitter.com/EUmycd5JjR",11,0,3,True,
MayoClinicSOM,2017-11-09,14:01:26,"Join us for an Instagram Live Q&A! On Tuesday Nov 14 from 7-8 PM CST, we will be LIVE and ready to answer any questions about the #medschool application process. We'll also talk about life as a Mayo Clinic SOM #medstudent in general. Follow us on Instagram  http://www.instagram.com/mayoclinicsom ",4,0,2,True,"#medschool,#medstudent"
MayoClinicNeuro,2017-11-02,14:01:01,"Dr. Piepgras, Dr. Kallmes, Mark Markham, and Megan Reps help Dr. Lanzino celebrate the publishing of his 500th paper #Neuro #MayoClinic pic.twitter.com/ghZy9xcl3p",17,0,4,True,"#Neuro,#MayoClinic"
erhall1,2017-11-02,14:51:02,#TGME17 | @StephRStarr representing @MayoClinicSOM #MedEd science health care delivery curriculum & milestones pic.twitter.com/WD2NFTp7Ne,9,0,4,True,"#TGME17,#MedEd"
SMoeschlerMD,2017-10-17,10:16:03,"#Wellbeing speaker to address who seeks help, great @MayoMedEd opportunity- @laurenlicatino @Sdoddmd pic.twitter.com/TS4vWGt4Ab",6,0,1,True,#Wellbeing
MayoClinicSOM,2017-10-09,20:44:02,Congrats to #MayoClinic #medstudent Jeremie Oliver who was invited to present at The American Society of Plastic Surgeons annual conference! pic.twitter.com/tzMhMXCf4B,6,0,0,True,"#MayoClinic,#medstudent"
MayoClinicSOM,2017-10-03,15:47:32,#MayoClinicSOM submit your research to the 2018 Mayo Clinic Young Investigators Research Symposium!  http://www.mayo.edu/pmts/mc6400-mc6499/mc6485-03.pdf … pic.twitter.com/mUb5SPBAt0,4,0,1,True,#MayoClinicSOM
MayoMedEd,2017-09-23,09:48:01,Dean of @MayoClinicSOM shares ideas and innovations that are transforming #MedEd  http://mayocl.in/2xfjqHD  #MayoClinicRadio,2,0,3,True,"#MedEd,#MayoClinicRadio"
MayoClinicSOM,2017-09-18,09:51:08,Our students pay homage to the inaugural MMS class of ’76 by sporting headbands in their group photo! #meetmayomed #mayoclinicaz pic.twitter.com/bhDVDlvqRA,11,0,4,True,"#meetmayomed,#mayoclinicaz"
MayoClinicSOM,2017-09-16,15:52:55,"At Family Weekend @wyattwdecker shares: allow yourself to explore, discover your passions, and follow your inner compass. #meetmayomed pic.twitter.com/jc8Kg05xko",10,0,1,True,#meetmayomed
MayoClinicSOM,2017-09-16,15:39:02,Dr. Wyatt Decker shares leadership lessons that he learned on the ranch- actions are the only way to lead! #meetmayomed #MayoClinicAZ pic.twitter.com/RZwglARrBM,3,0,2,True,"#meetmayomed,#MayoClinicAZ"
MayoClinicSOM,2017-09-16,15:30:01,Watch now:  http://services.choruscall.com/links/mayo170916.html … as our new M1's take the Physician's Pledge & receive their stethoscopes! #MeetMayoMed pic.twitter.com/LJt9UZIwbW,0,0,0,True,#MeetMayoMed
MayoClinicSOM,2017-09-15,11:48:01,MCSOM AZ is proud to share our first Family Weekend! Click here:  http://services.choruscall.com/links/mayo170916.html … at 1:30pm AZ time on Sat to watch! pic.twitter.com/vlqd6IOVD0,5,0,0,True,
MayoClinicSOM,2017-09-07,10:24:00,"Welcome reception for #MayoClinicAZ students Sat 9/9 5:30pm @ASU. Come for networking, stay for football:  http://tinyurl.com/MCSoMNetworking ",3,0,0,True,#MayoClinicAZ
MayoClinicSOM,2017-08-27,09:58:30,Dr. Harden shares the many critical issues in #MedEd today. Proud to be among #AMEE2017 colleagues working toward a better future 👍 pic.twitter.com/Ez3HszlSaS,2,0,0,True,"#MedEd,#AMEE2017"
MayoClinicSOM,2017-08-22,13:52:55,Transplanted #Scientist Develops New #Transplant Tool  http://bit.ly/2wvzOpE  via @Discovery's Edge,0,0,0,True,"#Scientist,#Transplant"
MayoGradSchool,2017-08-17,17:00:01,#CongratsMCGSstudent Megan Settel who won the Blue Ribbon Award at ACTS 2017!,1,0,1,True,#CongratsMCGSstudent
MayoClinicSOM,2017-08-17,12:32:02,"#MNFutura17, @moravec talks knowmadic learning, where the network is the learning. How would you describe your network? #premed #medstudent pic.twitter.com/sIJcThZwBQ",4,0,2,True,"#MNFutura17,#premed,#medstudent"
MayoClinicSOM,2017-08-17,11:07:27,.@RegionsTrauma shares that #medstudent questions are a primary driver of his curiosity and blog content. #MNFutura17 pic.twitter.com/YhaP1Y9WeH,3,0,3,True,"#medstudent,#MNFutura17"
MayoClinicSOM,2017-08-17,09:47:28,#MayoClinicSOM alumnus @JimMiner1 discusses how he critically manages his knowledge. #mnfutura17 pic.twitter.com/ifBa7UOOvs,2,0,0,True,"#MayoClinicSOM,#mnfutura17"
MayoClinicSOM,2017-08-17,07:51:29,"#MedEd, how do you consume #FOAMed? #MNfutura17 pic.twitter.com/HK5A6s4DEq",2,0,1,True,"#MedEd,#FOAMed,#MNfutura17"
MayoClinicSOM,2017-08-17,07:45:30,"At #MNFutura17 w/ colleagues @CabreraERDR @efunkEM @erhall1, discussing consumption of #MedEd 👍 pic.twitter.com/VuWpwcIIlu",18,0,8,True,"#MNFutura17,#MedEd"
MayoClinicSOM,2017-08-14,12:02:28,"Our dean, Dr. Frederic Meyer shares his passion for #MedEd @MayoClinic. Exciting times ahead, full of innovation & empowerment! #premed pic.twitter.com/cihw17tmvl",2,0,2,True,"#MedEd,#premed"
adikhurana,2017-08-08,17:07:28,🙌🙌🙌 https://twitter.com/MayoClinicSOM/status/894895493976928256 …,2,0,2,True,
MayoClinicSOM,2017-08-08,07:18:06,It's fantastic to be a #MayoClinicSOM #medstudent and be able to work so closely with all the great @MayoClinic doctors https://twitter.com/MayoClinic/status/894858456032825345 …,16,1,3,True,"#MayoClinicSOM,#medstudent"
MayoClinicSOM,2017-07-24,10:46:03,#MeetMayoMed RT @StephRStarr New M1 @MayoClinicSOM in MN discussing values & leadership as start to Science of Health Care Delivery course pic.twitter.com/XCoMCIQrC6,8,1,0,True,#MeetMayoMed
MayoClinic,2017-07-21,18:49:03,"Students end @MayoClinicSOM orientation with yoga, volunteering, picnic, ballgame, education & finance seminars, ready for the years ahead! pic.twitter.com/TO1suHXVia",23,0,9,True,
MayoClinicSOM,2017-07-21,14:01:27,"What I Wish I Knew When I Started #MedicalSchool topic during #orientationweek with Drs Heidi Chua, Stephen Merry, Paul Scanlon #MeetMayoMed pic.twitter.com/l2adVVXd45",3,0,0,True,"#MedicalSchool,#orientationweek,#MeetMayoMed"
MayoClinicSOM,2017-07-21,11:04:36,"Our 2nd year #medicalstudents participating in a Career Planning Workshop with Dr. Wolanskyj, Dr. Rohe & Jenny Allen pic.twitter.com/Bzhq6ptjNY",2,0,0,True,#medicalstudents
MayoClinicSOM,2017-07-20,15:46:02,#MedStudent Kate H signing the display t-shirt @StMarysFoodBank during #communityservice day #MeetMayoMed #MayoClinicAZ pic.twitter.com/D8RjsbLg1i,5,0,2,True,"#MedStudent,#communityservice,#MeetMayoMed,#MayoClinicAZ"
MayoClinicSOM,2017-07-20,07:35:29,#TBT @MayoClinic School of Medicine inaugural class of 1976. #MeetMayoMed See link for stories from Alumni http://mayocl.in/2ubXFqo  pic.twitter.com/c0It41lJao,2,0,2,True,"#TBT,#MeetMayoMed"
