username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoEmployees,2018-07-18,14:30:32,"ROCHESTER STAFF: The Fairgrounds Park and Ride in Rochester will be closed Mon., July 23, through Friday, July 27, for the Olmsted Co. Free Fair. Consider using the Target South or RCTC Park and Ride locations. The Fairground Park and Ride will reopen on July 30. #rochmn pic.twitter.com/tBraHWR4bg",0,0,0,True,#rochmn
MayoEmployees,2018-07-18,09:51:01,"Requesting Elvis songs was just one way that helped Lee Duringer make it through a medical scare. When a lump on his neck turned out to be cancer, Lee Dueringer and his care team at Mayo Clinic embarked on a comprehensive treatment plan. https://mayocl.in/2morLUG ",0,0,0,True,
MayoEmployees,2018-07-16,18:30:00,"Determined to understand the reason for the strange hitch in his stride, marathon runner Pat Foley pushed forward for years until he reached the office of a Mayo Clinic movement neurologist. https://mayocl.in/2uBe9ZT ",0,0,0,True,
MayoEmployees,2018-07-16,15:29:31,Mayo Clinic has again received a top score on the Disability Equality Index and designation as a 2018 Disability Equality Index Best Place to Work. This is the third consecutive year that Mayo has been a top scorer on the annual survey. pic.twitter.com/ntU1nfQft3,1,0,0,True,
MayoEmployees,2018-07-15,16:00:01,"ROCHESTER STAFF/PATIENTS: From July 15-22, Peace Garden Drive on the Saint Marys Campus is westbound only from 4:30 p.m. - 7:30 a.m. each day. Expect brief lane closures during the day. Access Ramp 34/Generose parking via the staff access road (red circle, patients permitted) pic.twitter.com/cG8dAml2Hu",0,0,0,True,
MayoEmployees,2018-07-14,07:00:00,"Mayo Clinic producer and director Rick Andresen says the hours he's spent filming wolves, owls, snakes and other wildlife serve an important purpose: distracting young patients and lowering their stress. https://mayocl.in/2zyVzaD ",1,0,0,True,
MayoEmployees,2018-07-13,13:00:01,"Four years ago, middle schooler Austin McCoy took the science world by storm. He was recently awarded for his contributions to science, and named Mayo's Chris Pierret, Ph.D., as an inspiring educator. https://mayocl.in/2mhcCoa ",0,0,0,True,
MayoEmployees,2018-07-13,10:30:00,Elite Airways has postponed the start of twice-weekly service between Rochester and Northeast Florida Regional Airport and Phoenix Sky Harbor International Airport until Oct. 4. Elite Airways is providing a full refund to affected passengers. http://flyrst.com/2018/05/31/elite-airways-launch-service-rochester-international-airport/ …,0,0,0,True,
MayoEmployees,2018-07-13,09:40:01,Congratulations to our staff at the J. Wayne and Delores Barr Weaver Simulation Center at our Florida campus. The Center has earned accreditation in the areas of teaching & education by the Society for Simulation in Healthcare. One of only 100 ctrs. in the world to be recognized. pic.twitter.com/arUzTBikIt,2,0,1,True,
MayoEmployees,2018-07-11,18:00:01,"When Nick Foles isn’t winning Super Bowl MVP trophies, he’s helping his wife, Tori, raise awareness for POTS, a mysterious but increasingly common autonomic nervous system disorder. https://mayocl.in/2ulI9sH ",0,0,0,True,
MayoEmployees,2018-07-11,13:10:30,"ROCHESTER STAFF/PATIENTS: From July 15-22, Peace Garden Drive on the Saint Marys Campus is westbound only from 4:30 p.m. - 7:30 a.m. each day. Expect brief lane closures during the day. Access Ramp 34/Generose parking via the staff access road (red cricle, patients permitted) pic.twitter.com/L9cEgP2Vyb",0,0,0,True,
MayoEmployees,2018-07-11,08:30:01,"Stop by the Proton Beam Therapy Program at Mayo Clinic and you might see a superhero, unicorn or mermaid, thanks to the artistic talents of staff who have begun painting masks for young patients receiving treatment. https://mayocl.in/2zuJxyP ",1,0,0,True,
MayoEmployees,2018-07-10,09:05:00,"As a lifelong smoker, Sue Franken had resigned herself to the unhealthy habit. But that changed when Sue followed through on a promise she made to her sister. https://mayocl.in/2uk0cQ0 ",0,0,0,True,
MayoEmployees,2018-07-08,18:10:01,ROCHESTER STAFF: Rochester Public Transit is temporarily relocating downtown bus stops during construction. View the map to find the new stop for your route.  More info:  http://bit.ly/2m2o9Hv  #rochmn pic.twitter.com/JeMbcT8PpS,0,0,0,True,#rochmn
MayoEmployees,2018-07-08,18:00:01,"ROCHESTER STAFF: Beg. Monday, the south and west entrances to Lot 6 (south of the Guggenheim Bldg.) will temporarily be closed. Access the lot from the north side on 3rd St. SW.//3rd Ave. SW also will change from a 1-way to a 2-way street between 2nd & 4th St. Street Southwest. pic.twitter.com/BqtrXbz01H",0,0,0,True,
MayoEmployees,2018-07-08,07:30:00,"For 50 years, the Bernard H. van der Steen Trust has helped ease the financial burden of cancer patients in need at Mayo Clinic https://mayocl.in/2ucaC3Z ",3,0,2,True,
