username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoGynecology,2018-07-18,12:00:01,"@MayoClinic Certain #ovariancancers have improved survival with Bevacizumab, presents @ASCO  by @mayoclinic researchers http://abstracts.asco.org/214/AbstView_214_218667.html …",1,0,2,True,#ovariancancers
MayoGynecology,2018-07-17,13:36:00,What is a #clinicaltrial?  @MayoClinic and @SGO_org collaborate to teach about #ovariancancer.   https://youtu.be/DT2-s7uXMdY  https://www.mayo.edu/research/clinical-trials?_ga=2.65758702.1125834987.1531753966-1960601989.1481216421 …,3,0,3,True,"#clinicaltrial,#ovariancancer"
MayoGynecology,2018-07-15,11:41:00,"With pregnancy and menopause, vaginal discharge also changes for most women.  Hormonal changes that the body expects during this time are usually the culprit. #VaginalHealth #VaginalAtrophy #VaginalDryness #VaginalHealthInPregnancy pic.twitter.com/AOMlfoGOnA",4,0,5,True,"#VaginalHealth,#VaginalAtrophy,#VaginalDryness,#VaginalHealthInPregnancy"
MayoGynecology,2018-07-14,13:26:00,Types of food you eat and different birth control methods can also impact the vaginal environment and change the odor and consistency of discharge at times. #VaginalHealth #YouAreWhatYouEat https://www.mayoclinic.org/healthy-lifestyle/womens-health/in-depth/vagina/art-20046562 … pic.twitter.com/dBwS8kjUli,0,0,0,True,"#VaginalHealth,#YouAreWhatYouEat"
MayoGynecology,2018-07-13,12:55:00,"If you have been sexually active and are having new vaginal discharge symptoms such as pain, odor, itching, or change in color/consistency of discharge, get checked for sexually transmitted infections.  #VaginalHealth #STITesting #ItsAlwaysBetterToTest https://www.mayoclinic.org/diseases-conditions/sexually-transmitted-diseases-stds/in-depth/std-testing/art-20046019 …",3,0,1,True,"#VaginalHealth,#STITesting,#ItsAlwaysBetterToTest"
MayoGynecology,2018-07-12,11:13:00,"It is normal to have vaginal discharge that can change throughout the month. The discharge is a way of naturally cleaning the area, removing dead cells.  #VaginalDischarge #VaginalHealth https://www.acog.org/Patients/FAQs/Vulvovaginal-Health …",4,0,2,True,"#VaginalDischarge,#VaginalHealth"
MayoGynecology,2018-07-11,12:33:00,Many women try to scrub and over cleanse the area with soaps or vaginal washes.  These can actually increase chance of infection as they also can clean out the good bacteria.  #VaginalHealth #SelfCleaning #DontOverCleanse,6,0,10,True,"#VaginalHealth,#SelfCleaning,#DontOverCleanse"
MayoGynecology,2018-07-10,13:47:01,The vagina is like a self-cleaning oven and generally does not need extra cleansing to keep the area clean.  There are helpful bacteria that are supposed to be there.   #VaginalHealth #GoodBacteriaInVagina pic.twitter.com/F4ibPkcUta,6,0,3,True,"#VaginalHealth,#GoodBacteriaInVagina"
MayoGynecology,2018-07-09,12:07:01,Let’s talk about vaginal health.  Do you know how to keep this area clean and healthy? #HealthyVagina #CleanVagina pic.twitter.com/Ed0Q0nQO1K,2,0,0,True,"#HealthyVagina,#CleanVagina"
MayoGynecology,2018-07-08,11:08:00,@MayoClinic Looking for strong surgical training in #obgynresidency? The @mayoclinic model of mentored preceptorship for teaching #gynsurgery makes a difference per one of our graduating residents https://www.mayo.edu/people/alessandra-j-ainsworth-md/pfc-20294875?vp=PGT-20300325 …,7,0,1,True,"#obgynresidency,#gynsurgery"
MayoGynecology,2018-07-07,11:55:00,Want to foster a peaceful #pregnancy? Our OB Nest program may help https://sharing.mayoclinic.org/2018/06/15/fostering-a-peaceful-pregnancy/ …,4,0,2,True,#pregnancy
MayoGynecology,2018-07-06,12:33:00,"Medical students, thinking about where to apply for #obgyn #residency, take a look at our highly ranked program!  https://www.mayo.edu/mayo-clinic-school-of-graduate-medical-education/residencies-fellowships/obstetrics-and-gynecology/obstetrics-and-gynecology-residency-minnesota …",0,0,0,True,"#obgyn,#residency"
MayoGynecology,2018-07-05,10:58:00,@MayoGynecology What’s the deal with #fibroid stiffness on MRI? See collaborative research by @mayogynecology and colleagues in radiology  https://www.ncbi.nlm.nih.gov/pubmed/28952003 ,0,0,1,True,#fibroid
MayoGynecology,2018-07-04,12:49:01,@MayoGynecology Happy Independence Day from all of us at @mayogynecology pic.twitter.com/4Joe6pOwIj,2,0,0,True,
MayoGynecology,2018-07-03,11:26:00,@MayoClinic What were the unintended consequences of the @US_FDA warning on #morcellation? See new @mayoclinic research  https://jamanetwork.com/journals/jamasurgery/fullarticle/2678107 …,1,0,3,True,#morcellation
MayoGynecology,2018-07-02,10:12:00,Find out about the promising work on #Fibroids from our researchers #COMPARE-UF https://www.ajog.org/article/S0002-9378(18)30396-X/fulltext …,1,0,0,True,"#Fibroids,#COMPARE"
MayoGynecology,2018-07-01,12:21:01,"Hormonal #IntrauterineDevices can be used for more than just #contraception.  Do you have #fibroids, #endometriosis, or #HeavyPeriods?  Could an #IUD help?  Learn more at  https://www.mayoclinic.org/tests-procedures/mirena/about/pac-20391354 … pic.twitter.com/ceOHwWIfDm",13,0,4,True,"#IntrauterineDevices,#contraception,#fibroids,#endometriosis,#HeavyPeriods,#IUD"
MayoGynecology,2018-06-30,11:34:00,"Do you have burning, irritation, or #pain at the opening of your #vagina?  You may have #vulvodynia. https://www.mayoclinic.org/diseases-conditions/vulvodynia/symptoms-causes/syc-20353423 …",0,0,1,True,"#pain,#vagina,#vulvodynia"
MayoGynecology,2018-06-29,12:31:00,Not all #vaginal #itching is because of a #YeastInfection.  Click here to learn about the other causes of #vaginitis. https://www.mayoclinic.org/diseases-conditions/vaginitis/symptoms-causes/syc-20354707 …,4,0,4,True,"#vaginal,#itching,#YeastInfection,#vaginitis"
MayoGynecology,2018-06-28,15:43:29,#LARC contraceptives can be effective at preventing pregnancy for several years.  Do you know about the subdermal implant that can work for up to 3 years?  #BirthControl #Contraception https://www.mayoclinic.org/tests-procedures/contraceptive-implant/about/pac-20393619 …,3,2,1,True,"#LARC,#BirthControl,#Contraception"
MayoGynecology,2018-06-27,10:16:29,"#Hirsutism affects women by causing unwanted #hair growth in areas where they wouldn’t usually have hair (face, chest, back).  What’s considered excessive is dependent on a woman’s ethnicity and culture.  Learn more at  http://MayoClinic.org  https://www.mayoclinic.org/diseases-conditions/hirsutism/symptoms-causes/syc-20354935 …",0,0,2,True,"#Hirsutism,#hair"
MayoGynecology,2018-06-24,13:17:00,#SpinalCordInjuries are more common that thought and can have effects on many functions including #Sexuality and #Fertility.  Learn more from @MayoClinic:  https://www.mayoclinic.org/tests-procedures/sexuality-and-fertility-management-after-spinal-cord-injury/about/pac-20394993 …,0,0,1,True,"#SpinalCordInjuries,#Sexuality,#Fertility"
MayoGynecology,2018-06-23,11:51:00,Recent report from Europe shows that #EggFreezing and #OvarianTissueFreezing and #OvarianTransplant might be equivalent.  Learn more:  https://www.ncbi.nlm.nih.gov/pubmed/29428307 ,0,0,0,True,"#EggFreezing,#OvarianTissueFreezing,#OvarianTransplant"
MayoGynecology,2018-06-22,12:06:02,"Dr. Zaraq Khan an expert of #ReproductiveSurgery and #FertilityPreservation giving a talk on #OvarianTissueFreezing and #OvarianTransplant at the Continental Gynecologic Society #CGS, recently hosted at the @MayoClinic. pic.twitter.com/tnR1x6MqVt",9,0,3,True,"#ReproductiveSurgery,#FertilityPreservation,#OvarianTissueFreezing,#OvarianTransplant,#CGS"
MayoGynecology,2018-06-21,12:43:00,1 in 5 couples seen for #Infertility have #MaleFactor. Learn more about #LowSpermCounts from the @MayoClinic. https://www.mayoclinic.org/diseases-conditions/low-sperm-count/symptoms-causes/syc-20374585 …,3,0,2,True,"#Infertility,#MaleFactor,#LowSpermCounts"
MayoGynecology,2018-06-20,13:21:02,Dr. Tiffanny Jones a graduating #REIFellow from @MayoClinic presents her research on the role of lavender oil in reducing stress and pain levels at the time of intrauterine insemination #IUI at the Mayo Clinic #ResidentFellowDay graduation. pic.twitter.com/6d7mB7sQLX,3,0,1,True,"#REIFellow,#IUI,#ResidentFellowDay"
MayoGynecology,2018-06-19,11:33:00,New data supporting superiority of injectable #Progesterone supplementation after #FrozenEmbryoTransfer.  Learn more:  https://www.ncbi.nlm.nih.gov/pubmed/29338855 ,1,0,2,True,"#Progesterone,#FrozenEmbryoTransfer"
MayoGynecology,2018-06-18,12:11:00,@MayoClinic The new state of the art #Infertility center and #IVF unit at @Mayoclinic is now up and running. See local news coverage:  http://www.kimt.com/content/video/482333932.html …  and http://www.kttc.com/story/38165267/2018/05/Thursday/mayo-clinic-unveils-new-reproductive-endocrinology-and-infertility-unit-open-house-set-for-saturday …,1,0,1,True,"#Infertility,#IVF"
MayoGynecology,2018-06-17,11:11:00,Ambulating after surgery can prevent #BloodClots and #Pneumonia.  Bed rest after #PelvicFloorSurgery should be avoided!,0,0,2,True,"#BloodClots,#Pneumonia,#PelvicFloorSurgery"
MayoGynecology,2018-06-16,13:52:00,#Narcotics should be reserved for severe pain after surgery. Tylenol and Ibuprofen can control mild to moderate pain well. Do you understand your #PainManagement plan after surgery?,2,0,2,True,"#Narcotics,#PainManagement"
MayoGynecology,2018-06-15,13:41:01,Dr. John Occhino gives a great talk on #RectovaginalFistula at #ContinentalGynecologicalSociety meeting in @MayoClinic Rochester. pic.twitter.com/69iCzIzkec,6,0,0,True,"#RectovaginalFistula,#ContinentalGynecologicalSociety"
MayoGynecology,2018-06-15,12:44:00,#Hysterectomy is often considered an outpatient procedure.  Patients can safely recover at home with same day discharge.,15,1,9,True,#Hysterectomy
MayoGynecology,2018-06-14,13:19:00,#ChronicConstipation can worsen #Prolapse.  Fiber can help.,0,0,0,True,"#ChronicConstipation,#Prolapse"
MayoGynecology,2018-06-13,11:33:00,#VaginalHysterectomy should include suspension of the top of the vagina to prevent #Prolapse in the future.,10,0,4,True,"#VaginalHysterectomy,#Prolapse"
MayoGynecology,2018-06-12,14:11:00,Surgery for #PelvicOrganProlapse is durable but may not last forever.  Talk to your surgeon about the right surgery for you.,2,0,0,True,#PelvicOrganProlapse
MayoGynecology,2018-06-10,14:33:00,Is bleeding while using #HormoneReplacementTherapy (#HRT) normal?  When should you be concerned? https://www.mayoclinic.org/diseases-conditions/menopause/expert-answers/hormone-replacement-therapy/faq-20058499 …,5,0,3,True,"#HormoneReplacementTherapy,#HRT"
MayoGynecology,2018-06-09,12:41:00,Irregular vaginal bleeding is a common issue affecting #premenopausal women.  Figuring out the cause of the bleeding can be a challenge.  What are the possible causes? https://www.mayoclinic.org/symptoms/vaginal-bleeding/basics/causes/sym-20050756 …,5,0,0,True,#premenopausal
MayoGynecology,2018-06-08,13:19:00,"#Fibroids affect many women and oftentimes don't require treatment.  However, if they are causing symptoms, such as heavy periods or pelvic pressure, treatment may be needed.  How do you know if #myomectomy is the right next step? https://www.mayoclinic.org/tests-procedures/myomectomy/about/pac-20384710 …",3,0,5,True,"#Fibroids,#myomectomy"
MayoGynecology,2018-06-07,11:49:00,"Some studies show that #HormoneReplacementTherapy (#HRT) increase risk of #HeartDisease, while others show that it decreases the risk.  What's the final verdict and are hormones right for you? https://www.mayoclinic.org/diseases-conditions/menopause/in-depth/hormone-replacement-therapy/art-20047550 …",1,0,1,True,"#HormoneReplacementTherapy,#HRT,#HeartDisease"
MayoGynecology,2018-06-06,13:36:00,"Symptoms of #endometriosis include pain in your low back or pelvis or pain that occurs with periods, sex, bowel movements, or urination.  If you have these symptoms, talk to your #gynecologist. You're not alone. https://www.mayoclinic.org/diseases-conditions/endometriosis/in-depth/7-signs-you-might-have-endometriosis/art-20391205 …",6,0,9,True,"#endometriosis,#gynecologist"
MayoGynecology,2018-06-05,12:29:00,"#Postmenopausal women are at increased risk for #LichenSclerosus-skin condition that causes itching, pain, and change in skin color.  Treatment greatly helps to improve symptoms and is important to prevent complications.  Talk to your #gynecologist! https://www.mayoclinic.org/diseases-conditions/lichen-sclerosus/symptoms-causes/syc-20374448 …",6,0,6,True,"#Postmenopausal,#LichenSclerosus,#gynecologist"
MayoGynecology,2018-06-04,11:15:00,"#VaginalHysterectomy is the most minimally invasive form of #hysterectomy.  Drs. Liu, @joyi1014 and @WassonMegan highlight 7 simple steps that can be followed to successfully complete this procedure. https://www.mdedge.com/obgmanagement/article/164823/surgery/basic-technique-vaginal-hysterectomy …",13,0,2,True,"#VaginalHysterectomy,#hysterectomy"
MayoGynecology,2018-06-03,15:16:00,"Of the women who are properly fit with a #Pessary at 2 weeks, 90% continue to use it at 1 year follow-up.  Failure to retain the pessary most common reason for discontinuation.  https://insights.ovid.com/pubmed?pmid=27275798 …",1,0,0,True,#Pessary
MayoGynecology,2018-06-03,13:11:00,Two thirds of women are successfully fitted for a #Pessary.  Use of pessary improved #VoidingDifficulty in ~2/3 of women having this symptoms.  https://insights.ovid.com/pubmed?pmid=27275798 …,3,0,1,True,"#Pessary,#VoidingDifficulty"
