username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MayoInvents,2018-07-17,15:23:32,Recent @MayoClinic #Patent: Method for shear wave ultrasound vibrometry with interleaved push and detection pulses  http://patft1.uspto.gov/netacgi/nph-Parser?patentnumber=9986973 …,1,0,1,True,#Patent
MayoInvents,2018-07-17,15:22:00,@cardinalhealth COVR privacy garments now available through both @Owens_Minor and @CardinalHealth. https://twitter.com/COVRMedical/status/1015261295040520192 …,3,0,1,True,
MayoInvents,2018-06-19,13:26:00,Recent @MayoClinic #Patent: Detecting neoplasm  http://patft1.uspto.gov/netacgi/nph-Parser?patentnumber=9982310 …,0,0,0,True,#Patent
MayoInvents,2018-06-14,12:25:00,Recent @MayoClinic #Patent: Biosynthetic composite for osteochondral defect repair  http://patft1.uspto.gov/netacgi/nph-Parser?patentnumber=9981063 …,0,0,0,True,#Patent
MayoInvents,2018-06-12,11:24:00,Recent @MayoClinic #Patent: Methods and materials for reducing the severity of viral infections  http://patft1.uspto.gov/netacgi/nph-Parser?patentnumber=9981019 …,3,0,1,True,#Patent
MayoInvents,2018-06-07,10:23:00,Recent @MayoClinic #Patent: Use of sulfonamide inhibitors of Bcl-2 to treat senescence-associated lung conditions such as pulmonary fibrosis and chronic obstructive pulmonary disease  http://patft1.uspto.gov/netacgi/nph-Parser?patentnumber=9980962 …,1,0,1,True,#Patent
MayoInvents,2018-06-05,09:22:00,Recent @MayoClinic #Patent: System and method for quality assessment of optical colonoscopy images  http://patft1.uspto.gov/netacgi/nph-Parser?patentnumber=9978142 …,1,0,1,True,#Patent
MayoClinic,2018-06-04,10:07:01,"Join Dr. Otley, Bob Paulson, and @LarsOddsson at #DeviceTalks today at 4 pm CT discussing strategies for today's funding landscape.  https://mayocl.in/2Hjtlz2  pic.twitter.com/FSYBYBJrGB",13,0,9,True,#DeviceTalks
MayoInvents,2018-05-31,11:02:58,Great session at @MedtechTalk pic.twitter.com/KWk7m5VeBr,0,0,0,True,
MayoInvents,2018-05-29,10:00:00,Recent @MayoClinic #Patent: Methods and materials for assessing immune system profiles  http://patft1.uspto.gov/netacgi/nph-Parser?patentnumber=9970936 …,0,0,0,True,#Patent
