username,date,time,tweet,likes,replies,retweets,retweet,hashtags
mayoclinicjobs,2018-07-18,15:35:01,"Please stop by our booth @MN Veterans Employment Services Event TODAY 2-6pm to learn more about Life-Changing careers. @EarleBrownHC in Brooklyn Center, MN. @mndeed #MNVets18 pic.twitter.com/5Y7nNHqFgO",3,0,1,,#MNVets18
mayoclinicjobs,2018-06-08,15:24:28,We hope everyone enjoys this weekend’s ASM Microbe 2018!  We invite you to explore A Life-Changing career with Mayo Clinic! Learn more about our Development Technologist I – Microbiology opportunity:   https://mayocl.in/2xWrFvT  #ASMicrobe #ASMicrobe2018,0,0,1,,"#ASMicrobe,#ASMicrobe2018"
mayoclinicjobs,2018-04-25,11:13:36,"Join us TONIGHT, 4/25, on the Charter House campus from 5pm – 8pm for a Career Fair featuring Certified Nursing Assistant, LPN & RN careers! RSVP:   http://mayocareers.com/CharterHouse  #mnjobs pic.twitter.com/SkrAMez9Yx",1,0,0,,#mnjobs
mayoclinicjobs,2018-04-24,09:35:01,"Mayo Clinic’s Senior Living Community, invites you to explore a life-changing career!  Join us 4/25 on the Charter House campus from 5pm – 8pm for a Career Fair featuring Certified Nursing Assistant, LPN & RN careers! RSVP:   http://mayocareers.com/CharterHouse  #mnjobs pic.twitter.com/A8G0gwCPOf",2,0,0,,#mnjobs
mayoclinicjobs,2018-04-20,16:43:01,"Mayo Clinic’s Senior Living Community, invites you to explore a life-changing career!  Join us 4/25 on the Charter House campus from 5pm – 8pm for a Career Fair featuring Certified Nursing Assistant, LPN & RN careers! RSVP:   http://mayocareers.com/CharterHouse  #mnjobs pic.twitter.com/qiKZrcHPAP",0,0,0,,#mnjobs
mayoclinicjobs,2018-04-16,22:51:02,"Join us TOMORROW, 4/17 @ 7pm for A Pediatric Trauma Case Study hosted by Gold Cross - Mayo Clinic Medical Transport Team in Clear Lake, IA. To learn more about this free Continuing Education (CEU) event: http://mayocl.in/2qBNCcQ  pic.twitter.com/LjcePKozi8",1,0,0,,
mayoclinicjobs,2018-04-16,18:50:56,"Join us TOMORROW, 4/17 @ 7pm for A Pediatric Trauma Case Study hosted by Gold Cross - Mayo Clinic Medical Transport Team in Clear Lake, IA. To learn more about this free Continuing Education (CEU) event: http://mayocl.in/2H4kQgf  pic.twitter.com/RT7XxOiax3",0,0,0,,
mayoclinicjobs,2018-04-13,09:21:01,Stop by and visit with our Medical Transport Team to learn more about Mayo Clinic @NorthDakotaEMS Rendezvous Conference! pic.twitter.com/kFoalQFZfZ,0,0,0,,
mayoclinicjobs,2018-04-05,14:36:01,"Save the Date: 4/25 5pm – 8pm @ Charter House campus for a Career Fair featuring Certified Nursing Assistant (CNA), LPN and RN career opportunities!   Learn more:  http://mayocl.in/2q9d618  #mnjobs pic.twitter.com/DGedlGqPVW",0,0,0,,#mnjobs
mayoclinicjobs,2018-03-30,11:31:25,"Join us for A Pediatric Trauma Case Study hosted by Gold Cross - Mayo Clinic Medical Transport Team on 4/17 @ 7:00pm in Clear Lake, IA. To learn more about this free Continuing Education (CEU) event: http://mayocl.in/2J6zOzn  pic.twitter.com/1ZTjy63SGT",0,0,0,,
mayoclinicjobs,2018-03-27,15:35:34,"Join Charter House as a  Certified Nursing Assistant, where you can build long-lasting relationships and make a meaningful difference in someone’s life!   http://mayocl.in/2GyM8Kh  #mnjobs pic.twitter.com/LBybmmQcCl",0,0,0,,#mnjobs
mayoclinicjobs,2018-03-03,09:28:00,"We invite you to explore a life-changing career!  Join us TODAY, Sat. 3/3 at the Heinz Center from 10am – 1pm for a Career Fair! Learn More:  http://mayocl.in/2HXQf0v  #MNjobs",1,0,0,,#MNjobs
