username,date,time,tweet,likes,replies,retweets,retweet,hashtags
mayocliniclabs,2018-07-18,16:38:00,"In June 2018, Mayo Medical Laboratories announced three new #tests along with numerous reference value changes, obsolete tests, and algorithm changes.  https://mayocl.in/2mjgeGb  pic.twitter.com/EFhuPBKMYo",1,0,0,,#tests
mayocliniclabs,2018-07-18,15:21:00,New effort for #Lyme disease vaccine draws early fire http://bit.ly/2uy5FTi ,0,0,0,,#Lyme
Pathologists,2018-07-18,14:00:30,#Pathologists: want to identify common infectious diseases? Then you need this uncommon resource by @mayocliniclabs's Dr. Bobbi Pritt:  https://capatholo.gy/2LwmiWC . pic.twitter.com/Cib1lPmZQ8,9,0,5,True,#Pathologists
mayocliniclabs,2018-07-18,12:42:00,U.S. opposition to #BreastFeeding resolution stuns world health officials https://nyti.ms/2zzujZp ,0,0,0,,#BreastFeeding
mayocliniclabs,2018-07-18,08:17:00,"#Multivitamins a waste of money for #heart health, researchers say https://cbsn.ws/2zGp5eB ",0,0,2,,"#Multivitamins,#heart"
mayocliniclabs,2018-07-17,17:03:01,"Bobbi Pritt, M.D., Director of the Clinical Parasitology Laboratory and Co-Director of Vector-Borne Diseases Lab Services at Mayo Clinic, advises how to remove a #tick quickly and correctly. @ParasiteGal #ticks #Lyme  https://mayocl.in/2urPWoU  pic.twitter.com/BOaQcXAHki",6,0,1,,"#tick,#ticks,#Lyme"
mayocliniclabs,2018-07-17,15:20:00,'All of Us' #biobank to store 34 million samples for medical #research http://bit.ly/2zNZjou ,0,0,0,,"#biobank,#research"
mayocliniclabs,2018-07-17,12:41:00,More #nurse practitioners are pursuing residency training to hone skills  https://n.pr/2maJleu ,0,0,0,,#nurse
mayocliniclabs,2018-07-17,10:22:00,"A 57-year-old female presented with easy bruising, hirsutism and weight loss. Morning serum cortisol was 54.1 mcg/dL with an adrenocorticotropic hormone of 35 pg/mL. What's the cause of the high cortisol levels? #pathology #mayopath #ClinicalPathology https://mayocl.in/2m774MQ ",3,0,0,,"#pathology,#mayopath,#ClinicalPathology"
mayocliniclabs,2018-07-17,08:16:00,T cell engineering breakthrough sidesteps need for #viruses in #gene-editing http://bit.ly/2mlEdoc ,1,1,1,,"#viruses,#gene"
mayocliniclabs,2018-07-16,18:41:00,A frightening new reason to worry about #AirPollution http://bit.ly/2uobfHC ,0,0,0,,#AirPollution
ParasiteGal,2018-07-16,14:57:42,Parasite Case of the Week 502 – unexpected finding on blood film:  http://parasitewonders.blogspot.com/2018/07/case-of-week-502.html … #mayopath #pathology #parasites #MayoClinicMicro #asmclinmicro @Pathologists @JMGardnerMD @mayocliniclabs @ASTMH @AmSocParasit pic.twitter.com/g2Fwxg7CwS,36,6,25,True,"#mayopath,#pathology,#parasites,#MayoClinicMicro,#asmclinmicro"
mayocliniclabs,2018-07-16,16:30:01,Combining innovative Mayo Clinic #laboratories with medical businesses and creative start-up companies will help Rochester and benefit patients.  https://mayocl.in/2zNvXHc  pic.twitter.com/T3m3TlMUu4,4,0,1,,#laboratories
mayocliniclabs,2018-07-16,15:20:00,"Late-life high #BloodPressure may harm the brain, study says  https://abcn.ws/2zIaa3x ",0,0,0,,#BloodPressure
mayocliniclabs,2018-07-16,12:40:00,States expand #telemedicine to allow prescribing of controlled substances http://bit.ly/2utjC4O ,1,1,0,,#telemedicine
mayocliniclabs,2018-07-16,09:57:01,"Xiaotun Zhang, M.B., Anatomic/Clinical Pathology Resident, was recently named the 2017-2018 Dr. Hobart K.B. Allebach Fellowship in #Pathology Outstanding Resident.  https://mayocl.in/2meL174  pic.twitter.com/FwD4iKA9p4",0,0,0,,#Pathology
