username,date,time,tweet,likes,replies,retweets,retweet,hashtags
mayoclinicsport,2018-07-18,11:00:29,"Losing weight is one thing, but keeping it off over time is where the rest of the hard work comes in.Consider these 8 secrets from those who have lost weight and kept it off! pic.twitter.com/AKaiAbegIo",4,0,2,,
mayoclinicsport,2018-07-18,09:48:49,"Congratulations to @MooreMaya, @SylviaFowles & @seimoneaugustus of our partner the @minnesotalynx on their WNBA All-Star selections! Excited to see these ladies compete in front of the home crowd at Target Center. 🏀 https://twitter.com/minnesotalynx/status/1019382658277806082 …",3,0,1,,
mayoclinicsport,2018-07-17,09:30:01,Happy #WorldEmojiDay! 💪🏃🏋️🏊🚴🧗🤾🧘Which Emoji best describes your favorite physical fitness activity? Comment and tag a friend! pic.twitter.com/5dj3PUnb5c,3,0,0,,#WorldEmojiDay
mayoclinicsport,2018-07-16,10:05:01,Find what motivates YOU. Strive to achieve your goals and reasons for change. #MondayMotivation pic.twitter.com/1yvxtouzTU,6,0,1,,#MondayMotivation
mayoclinicsport,2018-07-15,09:00:02,Who will win today's #WorldCup final?The best in the world have followed this formula for soccer performance to get where they are today ➡️  https://mayocl.in/2mc3S2o  pic.twitter.com/FWKLckHRuA,6,0,1,,#WorldCup
mayoclinicsport,2018-07-14,13:01:31,"Golf has become a popular and competitive sport for kids. But, like other sports, golf puts kids at risk of specific injuries. Dr. Sanj Kakar, a @MayoClinic orthopedic surgeon, offers tips on how parents can help keep their kids healthy and injury-free on the fairway. ⛳️🏌️ pic.twitter.com/6aofpKz6Jz",9,0,3,,
Timberwolves,2018-07-12,18:57:00,"It looks good, but there's a science behind @KarlTowns' alley-oop finishes, too. @mayoclinicsport breaks down the @1Tyus to KAT connection 👀 pic.twitter.com/CTepVJpmme",152,6,15,True,
WSU_ATProgram,2018-07-13,09:41:39,Thank you to @mayoclinicsport & @christoffer_dan for providing great learning opportunities! Here are 3 of our AT students & a prospective AT student gaining experience at the Minnesota Twins  YouthCamp yesterday at Target Field! @winonastateu pic.twitter.com/stML0iPmNV,13,0,4,True,
mayoclinicsport,2018-07-13,10:43:19,Got a minute? Sneak in some strength with heel-toe raises.Give a little love to your feet and calves with this do-anywhere strength exercise. 💪 #FitTipFriday pic.twitter.com/vGvQ2aANbb,10,0,6,,#FitTipFriday
mayoclinicsport,2018-07-12,08:38:33,"Continuing to make history and inspire the next generation.@MooreMaya of our partner the @minnesotalynx graces the cover of SLAM magazine, becoming the second woman to do so, and the first since 1998. Way to go, Maya! 🏀 pic.twitter.com/ChDLzvClki",43,0,19,,
WolvesLynxAcad,2018-07-11,10:15:01,"Time to test your knowledge. ⏰According to @mayoclinicsport, how much water should you drink every day? pic.twitter.com/DECCc0rx0K",1,0,1,True,
mayoclinicsport,2018-07-11,09:57:01,"In order to reach that destiny of greatness that's within you, you have to remember to take care of yourself. #WednesdayWisdom pic.twitter.com/ZueHUe4WaZ",1,0,1,,#WednesdayWisdom
mayoclinicsport,2018-07-10,10:40:24,"Don't slow down and skimp on your workout, as you age. Make sure you focus on functional movement and go for quality, not quantity!Here are 6 ways to stay active without injury as you age. 💪 pic.twitter.com/6bdTnuJizb",17,0,12,,
Twins,2018-07-07,11:01:40,@JakeCave8 It only took one pitch for @jakecave8 to make last night's @mayoclinicsport Peak Performance play of the game! #MNTwins pic.twitter.com/VUMzpScqRB,121,2,14,True,#MNTwins
mayoclinicsport,2018-07-09,10:15:33,Attention twenty-somethings: It's time to get real about the habits that'll make a difference the rest of your life! Hint: Fun is part of the strategy. 😀Here are 8 healthy habits to set before you're 30. pic.twitter.com/79324kd4Du,13,1,9,,
mayoclinicsport,2018-07-08,12:05:43,"When it comes to fueling your body for your sport, the right carbs can be an ideal energizer to power you through your toughest #workouts. Here is what every athlete should know about carbs and performance. 💪 pic.twitter.com/8DUXRJNYpd",12,0,5,,#workouts
mayoclinicsport,2018-07-07,10:36:24,"NBA Summer League has arrived & the @Timberwolves rookies are ready to go.Tyus Jones was once putting in work in the Summer League -- Now, he works all off-season to make sure he's prepared for the upcoming year.We dive into one of Tyus' favorite moves: the reverse layup. 🏀 pic.twitter.com/lhAN9YHc5K",123,3,25,,
mayoclinicsport,2018-07-06,09:55:19,Up your game with jump-training.Try single-leg hops to improve agility and speed! #FitTipFriday pic.twitter.com/KWL5xXbIMQ,11,0,6,,#FitTipFriday
mayoclinicsport,2018-07-05,10:41:01,"Make good, conscious decisions every day that will turn into habits. With this will come happiness. #ThursdayThoughts pic.twitter.com/E5WZuDfT2z",10,0,3,,#ThursdayThoughts
mayoclinicsport,2018-07-04,12:10:01,Happy Fourth of July from the Mayo Clinic Sports Medicine Team! 🎇🎆 pic.twitter.com/ZRdANjchoz,8,0,1,,
mayoclinicsport,2018-07-03,11:55:35,Train your mind like the world's best athletes! 🧠- Learn to manage distractions- Keep setting goals- Picture your on-fire moments- Use mindfulness for recoveryUse these tactics to reach your true potential. pic.twitter.com/j8IGyypNy7,14,0,7,,
mayoclinicsport,2018-07-02,10:54:02,"As the temperatures continue to rise this summer, remember to listen to your body! ☀️Keep cool in the blistering heat with these tips ➡️  https://mayocl.in/2tYK8CS  pic.twitter.com/iIv7EgSwuC",4,0,2,,
mayoclinicsport,2018-07-01,11:48:01,Mood improvement and a boost in energy are just two of the many benefits of exercise. 🏋🏼🏃🏼 🚴🏼💪Learn more:  https://mayocl.in/2tQBqqs  pic.twitter.com/WMtfe6eNoB,10,1,5,,
mayoclinicsport,2018-06-30,09:45:01,"Rise and Dine 🍽Get Moving 🏃Stay Hydrated 💧Keep MovingUp Your Mealtime Color Quotient 🥕 Recover and Recharge 😴Follow these simple strategies for a healthier, more fulfilling life! Learn more:  https://mayocl.in/2lxytr0  pic.twitter.com/3tvysKvk0t",8,0,2,,
mayoclinicsport,2018-06-29,11:31:18,"Turn your plank to challenge your core!This balancing pose strengthens your core, arms and legs. Tag a friend to challenge them today! 💪 #FitTipFriday pic.twitter.com/JgqvdN1gIS",8,0,1,,#FitTipFriday
mayoclinicsport,2018-06-28,11:10:01,"Well-planned, healthy snacks can complement your weight-loss plan! Here are creative and healthy ways to satisfy your hunger ➡️  https://mayocl.in/2tCGnTF  pic.twitter.com/vWRoJP47qp",8,0,5,,
mayoclinicsport,2018-06-27,11:45:48,Training hard can get you only so far. Smart competitors have a nutrition game plan.Use these nutrition tips to keep your body performing at its best! 💪 #WednesdayWisdom pic.twitter.com/eKQf2jVcQ1,8,0,3,,#WednesdayWisdom
mayoclinicsport,2018-06-26,10:49:01,On the go and need something fast and healthy?These five tips can help you make wise meal choices when going to a fast-food restaurant ➡️  https://mayocl.in/2yGPb0v  pic.twitter.com/9uqwFf3ta0,5,0,4,,
mayoclinicsport,2018-06-25,11:13:45,A #concussion is a serious matter.Help your kids play safe by understanding the realities of concussions! pic.twitter.com/OkeHfEUgTW,16,0,12,,#concussion
mayoclinicsport,2018-06-24,10:03:35,"With new technologies, in-depth analysis, regenerative medicine and more, our team at Mayo Clinic Sports Medicine will help you get off the sidelines and back in the game! pic.twitter.com/NEjAV2WyEI",6,0,0,,
mayoclinicsport,2018-06-23,10:25:04,Not a fan of the gym? Don't sweat it. You can boost your health by simply getting out of your chair and moving more.Use these tips to stay fit without breaking a sweat:  https://mayocl.in/2lin8en  pic.twitter.com/gf97CCUnXl,4,0,1,,
mayoclinicsport,2018-06-22,14:16:01,Good Luck Dr. Sierra in Prague at the WMFC2018! ( http://wmfc2018.com/ )Thank you for letting Mayo Clinic Sports Medicine and EXOS be a part of your team! pic.twitter.com/9Ss4bA26KN,6,0,0,,
mayoclinicsport,2018-06-22,11:07:30,What happens after your workout is just as important as what happens in the middle of it! Recover properly with these 6 recovery essentials. 💪 #FitTipFriday pic.twitter.com/oGugjQXnIt,5,0,3,,#FitTipFriday
mayoclinicsport,2018-06-21,15:48:40,"In 2015, our partner the @Timberwolves took Karl Anthony-Towns with the #1 pick in the #NBADraft. 3 years later, KAT has evolved into one of the most dominate big men in the NBA, thanks in-part to his mid-range jumper.We take a deep dive into a key aspect of KAT's game. pic.twitter.com/BSMWSoYW4j",40,2,1,,"#1,#NBADraft"
MayoClinic,2018-06-20,06:00:20,"Watch to find out what @mayoclinicsport experts recommend for a young athlete healing from a #concussion.For more healthy action tips, download the Mayo Clinic app.  http://mayocl.in/2pjQr4h  pic.twitter.com/mdjt3tl7GB",15,0,10,True,#concussion
mayoclinicsport,2018-06-21,12:33:08,"Summer is officially here. ☀️Whether you're running, playing a pickup game of basketball or going for a power walk, take care of yourself by drinking enough fluids, wearing proper clothing and timing your workout to avoid extreme heat. Learn more:  https://mayocl.in/2yw0Z5L  pic.twitter.com/OwAQanNZbU",7,0,4,,
mayoclinicsport,2018-06-20,11:11:02,Achieving even the smallest of exercise goals will give you a sense of accomplishment. Set your goals today! #WednesdayWisdom pic.twitter.com/J2NeFIkYAN,9,0,6,,#WednesdayWisdom
mayoclinicsport,2018-06-19,11:26:01,"The 2018 #NBADraft is right around the corner, and players have been putting in the work on and off the court to ensure their bodies are ready for the next level. 🏀Take a full-court press on basketball injuries and how to avoid them at:  https://mayocl.in/2tkqT6r  pic.twitter.com/9JKodaM06L",4,0,0,,#NBADraft
mayoclinicsport,2018-06-18,09:20:50,"#Diet or #Exercise. Which is better for losing weight? Dr. Donald Hensrud gives us his take: ""Both diet and physical activity are important. Diet, probably more for losing weight, Physical activity for keeping it off.” pic.twitter.com/gjOMccI0vr",10,0,11,,"#Diet,#Exercise"
mayoclinicsport,2018-06-17,10:12:28,"If you're trying to make healthier choices in your life, willpower alone can be difficult. But these 7 helpful tips will help you create healthy new habits! pic.twitter.com/vhmkbBfPc2",12,0,11,,
mayoclinicsport,2018-06-16,12:31:01,Whey protein provides substantial amounts of the essential amino acids that are needed to carry out the functions that proteins perform in the body -- but how much should you be taking?Here's our take:  https://mayocl.in/2l9TKqk  pic.twitter.com/bqmYLZyjxf,5,1,2,,
mayoclinicsport,2018-06-15,15:49:02,"We had a great time hosting the @walkonamerica team yesterday at Mayo Clinic Square! Dr. Finnoff showed the team around the state-of-the-art facilities and all that Mayo Clinic Sports Medicine holds. To learn more about Walk On America, visit:  https://www.walkonamerica.org/  pic.twitter.com/Hn5lyBm9cC",18,0,6,,
mayoclinicsport,2018-06-15,10:05:36,"Recovery is 🔑. By following these steps, you will recover properly from a tough training workout. #FitTipFriday pic.twitter.com/hHCGUTxkM9",3,0,1,,#FitTipFriday
WolvesLynxAcad,2018-06-14,12:41:00,"Time to test your knowledge. ⏰According to @mayoclinicsport, how many hours of sleep should you get a night? pic.twitter.com/A5Ydf0YAZ5",7,1,5,True,
mayoclinicsport,2018-06-14,11:10:01,Remember to add stretching to your workout routine! Stretching can:- Improve your joint range of motion- Improve your athletic performance- Decrease your risk of injury #GetFlexible with these tips:  https://mayocl.in/2l8OL9o  pic.twitter.com/Gz7TsUMHrY,2,0,1,,#GetFlexible
mayoclinicsport,2018-06-13,13:20:01,Stressed out? Get out and exercise to relieve that stress!Exercise in almost any form can act as a stress reliever. Being active can boost your feel-good endorphins and distract you from daily worries. #WednesdayWisdom https://mayocl.in/2t6ewe6  pic.twitter.com/w3ZNfFp2wD,10,0,9,,#WednesdayWisdom
mayoclinicsport,2018-06-12,12:47:04,"Osteoarthritis is surprisingly common among younger athletes, and certain knee injuries increase the chance of arthritis 10-20 years later, regardless of age at injury.Learn more about knee arthritis in athletes at:  https://mayocl.in/2l3JhNd  pic.twitter.com/b5qIfW8rre",9,1,4,,
MayoClinic,2018-06-05,12:00:03,@mayoclinicsport will offer sports physicals for #RochMN-area high school athletes on July 28.   https://mayocl.in/2kQYlh0  pic.twitter.com/gVTmd5oUq9,2,0,3,True,#RochMN
mayoclinicsport,2018-06-11,08:43:34,Get your morning started right with a healthy breakfast! 🍊🍎🍳Try out one of these many recipes:  https://mayocl.in/2xYnZdo  pic.twitter.com/XAYceUA4yO,5,0,3,,
