username,date,time,tweet,likes,replies,retweets,retweet,hashtags
AnupamBJena,2018-07-16,09:58:44,Probably has interesting applications to medicine on how to restructure care to when the mind is fresh. What surgical cases to start first? What patients to discuss first on rounds?,2,0,0,True,
AnupamBJena,2018-07-16,09:57:25,How does time of day affect productivity?Analysis of 2 million students quasi-randomized to class schedules -> having math or english in AM vs afternoon increases GPA & state test scores a lot: effect size ~ 1/4th st dev increase in teacher quality https://www.mitpressjournals.org/doi/abs/10.1162/REST_a_00525 … pic.twitter.com/voCHRfWe4J,25,2,8,True,
AnupamBJena,2018-07-16,07:35:04,"Did exposure to Hurricane Katrina lead to a REDUCTION in mortality? Fascinating @nberpubs study by Deryugina & Molitor shows that mortality for Medicare patients previously living in New Orleans fell, owing to displacement to lower mortality regions. http://www.nber.org/papers/w24822  pic.twitter.com/HdfS26dzOm",46,3,30,True,
amitabhchandra2,2018-07-11,08:07:04,"This is an offensive against worldwide Biotech innovation, US Health care and US Higher-Education. (@AnupamBJena will write the @NEJM paper) https://twitter.com/OnlyInBOS/status/1017030749222916096 …",13,3,1,True,
AnupamBJena,2018-07-10,10:08:52,Fascinating studyIn Vaccines We Trust? The Effects of the CIA's Vaccine Ruse on Immunization in Pakistan cc @monicambravoJuly 2011 Pakistani public learns of CIA vaccine campaignLent credibility to Taliban-spread vax conspiracy theoriesVax rates fall http://www.cemfi.es/~martinez-bravo/mmb/Research_files/MS_Vaccines.pdf … pic.twitter.com/A2uggZCCeQ,18,1,13,True,
AnupamBJena,2018-07-06,18:30:42,This is classic. https://twitter.com/de1ong/status/1015046832525676544 …,17,0,4,True,
DebraBeck18,2018-07-06,15:55:18,@Medscape @DrJohn Ex post dead versus ex ante dead. @AnupamBJena @drjohn @sara_rm84  https://www.medscape.com/viewarticle/898994?src=soc_tw_share … via @medscape,6,0,3,True,
CassSunstein,2018-07-05,18:56:44,Impressive preliminary evidence of successful nudging in the context of cardiac disease. @jflier @AnupamBJena @kevin_volpp http://www.ideas42.org/blog/project/sticking-statins/ …,44,3,22,True,
AnupamBJena,2018-07-05,13:00:02,New piece by @DrSarahWakeman & @ml_barnett in @NEJM on a topic whose title speaks for itselfPrimary Care and the Opioid-Overdose Crisis — Buprenorphine Myths and Realities https://www.nejm.org/doi/full/10.1056/NEJMp1802741#.Wz5cEk9U58g.twitter …,12,0,6,True,
RichDuszak,2018-06-30,06:20:01,"""While the best available estimates uggest malpractice accounts for less than 5% of overall health care spending, these estimates may be too low.""  https://dooz.us/2MGFHFj  @LisaRotenstein @AnupamBJena",4,0,3,True,
AnupamBJena,2018-06-22,10:50:53,"Police killings of unarmed black men lead to worse mental health in following months. Fascinating @TheLancet study by @JacobBor @Atheendar Tsai & Williams. No effect on whites, on pre-shooting mental health, of non-black shootings, of armed shootings. https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31130-9/fulltext?utm_campaign=lancet&utm_content=73359796&utm_medium=social&utm_source=twitter&code=lancet-site …",20,0,10,True,
AnupamBJena,2018-06-22,10:35:07,"Depends on what type of conferences...apparently attendance at cardiology conferences has large (beneficial) effects on health and health care, or so I hear... https://twitter.com/sacjai/status/1009666464461225985 …",44,0,4,True,
Bob_Wachter,2018-06-22,10:08:43,"My interview with incomparable Gurpreet Dhaliwal, who approaches diagnostic reasoning with rigor of an Olympic athlete  http://bit.ly/2K7zGjn  Includes his insights on Dr. House, @cartalk, why kindness is key to dx, & whether #AI will replace MDs @Gurpreet2015 @UCSF @UCSFMedicine",67,1,22,True,#AI
jflier,2018-06-20,12:59:31,The Anatomy of Physician Behavior- terrific piece by @AnupamBJena and @LisaRotenstein - much prior thinking has missed the boat. These folks are on it! https://twitter.com/anupambjena/status/1009402572468350977 …,5,1,2,True,
LisaRosenbaum17,2018-06-20,08:30:04,"Couldn't agree more. Physician behavior remains a ""black box"" in medicine. The only thing worse than not understanding is assuming we do. How can we design policies attempting to change physician behavior without understanding it? Great piece @AnupamBJena and @LisaRotenstein https://twitter.com/AnupamBJena/status/1009402572468350977 …",34,4,16,True,
Health_Affairs,2018-06-20,09:08:00,"The predominant public discourse focuses on payment incentives and the impact of the fee-for-service system as what affects physician behavior, but fee-for-service is not the only entity we should focus on. #FFS @LisaRotenstein @AnupamBJena  http://www.healthaffairs.org/do/10.1377/hblog20180618.721948/full/ …",4,0,7,True,#FFS
LisaRotenstein,2018-06-20,08:09:01,"Check out our new Health @Health_Affairs Blog piece where @AnupamBJena and I discuss the numerous factors beyond fee for service payment that influence physician behavior, and why we should be paying attention https://www.healthaffairs.org/do/10.1377/hblog20180618.721948/full/#.Wyo-GXerCwQ.twitter …",14,0,5,True,
ReedAbelson,2018-06-20,07:21:05,"This is a discussion definitely with having — while financial incentives may play a role esp for some physicians, other factors at play. https://twitter.com/anupambjena/status/1009402572468350977 …",10,0,2,True,
