username,date,time,tweet,likes,replies,retweets,retweet,hashtags
DrJennyThomas,2018-05-27,16:26:25,"You may be eligible for a research study at MGH to learn more about the relationship between hormones, brain activity, and appetite. We are recruiting females between ages 10-22 years. You can receive up to $550 in compensation.  http://bit.ly/1qg0qN1 ",6,0,3,True,
DrJennyThomas,2018-05-27,16:25:56,MGH has a research study for girls and women 10 to 22 years old with eating disorders. Click here to find out more!  http://bit.ly/1qg0qN1 ,0,1,0,True,
DrJennyThomas,2018-04-20,09:28:05,"YES, that's exactly what I was thinking -- your book is perfect for scaling FBT in a self-help format. Can't wait for it to come out! https://twitter.com/drmuhlheim/status/986989145909317632 …",0,0,0,True,
DrJennyThomas,2018-04-20,09:27:15,Our team's recent paper has a handy table re: which nutrition deficiencies to check for in avoidant/restrictive food intake disorder #ARFID based on the patient's current diet  https://rdcu.be/LJU9  @MGHPsychiatry,0,0,0,True,#ARFID
drmuhlheim,2018-04-17,17:34:55,Can’t wait. Finally en route to #ICED2018. 5 days of learning and connecting with friends and colleagues from around the world. #eatingdisorders See you all soon! @aedweb pic.twitter.com/L3AI9fVlfp,20,0,1,True,"#ICED2018,#eatingdisorders"
DrJennyThomas,2018-04-17,14:58:51,New #IJED Call for Papers on Child and Adolescent Feeding and #EatingDisorders and Avoidant/Restrictive Food Intake Disorder  https://wol-prod-cdn.literatumonline.com/pb-assets/assets/1098108X/IJED_2018_CAFED_Special_Issue_Call_for_Papers-1523992745773.pdf … #ARFID #ICED2018 @aedweb,7,0,4,True,"#IJED,#EatingDisorders,#ARFID,#ICED2018"
DrJennyThomas,2018-04-03,09:38:41,#IJED special issue in honor of #ICED2018 @aedweb now freely available online. Editors @KristinvonRanso  and @_phillippa did a great job. Check out keynote and plenary speakers' exciting research before the conference!!  https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/2018_iced_virtual_issue_.htm …,15,0,17,True,"#IJED,#ICED2018"
CallieCrossley,2018-02-25,09:30:01,"An estimated 20 million American women and 10 million American men will have an eating disorder at some point in their lives. Learn more about these deadly disorders:  http://to.wgbh.org/6011DRVRJ  (cc @DrJennyThomas, @RECOVERwithMEDA, @MassGeneralNews) #NEDAwareness pic.twitter.com/5DYjI606qh",4,0,6,True,#NEDAwareness
DrJennyThomas,2018-01-30,09:22:06,"If you missed the #AEDchat yesterday on language and #EatingEisorders, you can catch up on #storify:  https://storify.com/aedweb/finding-the-right-words-to-say-using-sensitive-and … @aedweb @JenniSchaefer",2,1,1,True,"#AEDchat,#EatingEisorders,#storify"
tnmdeangelis,2018-01-29,11:18:58,"Great dialogue with @JenniSchaefer and @DrJennyThomas this morning! So great, that I just had to blog about it. Why is it that saying ""she's an anorexic"" and ""He's suffering from bulimia"" is wrong? Read here! https://honestlyfree-ed.com/2018/01/29/i-am-not-an-anorexic-and-neither-are-you/ …",2,0,2,True,
DrJennyThomas,2018-01-29,10:59:39,".@aedweb @JenniSchaefer Thanks so much for a stimulating discussion!  I hope to continue the conversation and see everyone at #ICED2018 in Chicago April 19-21, 2018.  https://www.aedweb.org/aed-events/iced  #AEDchat",7,0,3,True,"#ICED2018,#AEDchat"
DrJennyThomas,2018-01-29,10:53:10,"11a The topic of obesity is beyond the scope of the #IJED, unless it relates specifically to eating disorders. I do think a similar list could be made in that field, and would be really interesting! #AEDchat",2,0,1,True,"#IJED,#AEDchat"
DrJennyThomas,2018-01-29,10:43:28,8c Also I have to point out that the gold standard is no longer in use for any modern currencies.  So not even money is on the gold standard!  Why should our treatments or measures be? #AEDchat,4,0,2,True,#AEDchat
