username,date,time,tweet,likes,replies,retweets,retweet,hashtags
NancyEtcoff,2018-07-16,08:08:32,"Congratulations to neuroscience giant Brenda Milner! I had the privilege of testing H.M. during my years as a postdoc at M.I.T. If you’re neuroscientist Brenda Milner, this is how you turn 100 years old  https://www.statnews.com/2018/07/15/brenda-milner-neuroscientist-100-years-old/ … via @statnews",2,0,0,True,
NancyEtcoff,2018-07-16,07:59:25,Want to be less of a couch potato?   New study finds that  stress had  no overall link  with  how  much  time  people  spent  sitting or lying down; only  stress  prompted  by  arguments  with  other  people or work-related stress for people who had a low sense of mastery. https://twitter.com/claudiatfitz/status/1018840218009587712 …,0,0,0,True,
NancyEtcoff,2018-07-12,09:14:18,@Ipsos New empirical study finds that habits of cell phone use can harm social relationships by mimicking acts of social exclusion and reducing sense of belonging. Our international survey explored this issue in detail @OgilvyUSA @ipsos @janhuckfeldt @DocJScott https://twitter.com/contrariansmind/status/1017406950038859777 …,6,0,5,True,
NancyEtcoff,2018-07-10,08:41:36,"the palette of neuroaesthetics has broadened considerably beyond  paintings and music to include studies of architecture and beautiful  mathematical formulae, among others. Excellent Interview with Oshin Vartanian https://twitter.com/Anjan435/status/1016266766597738496 …",1,0,0,True,
NancyEtcoff,2018-07-10,08:38:33,"""the palette of neuroaesthetics has broadened considerably beyond  paintings and music to include studies of architecture and beautiful  mathematical formulae, among others.""Fascinating interview with Dr Oshin Vartanian https://twitter.com/IAEAToronto2018/status/1016039394925375488 …",1,0,0,True,
NancyEtcoff,2018-07-10,08:36:40,"While people tend to disdain paintings they know are generated  artificially, they have a soft spot for those works when they see them  being made by a robot with an arm...@APADivision fascinating work by Ellen Winner, Hiram Brownell and others. https://twitter.com/Anjan435/status/1016644638038544384 …",0,0,1,True,
HarvardHealth,2018-07-09,15:39:04,"Research in scientific field called ecotherapy shows strong connection between time spent in nature and reduced stress, anxiety, and depression.  http://bit.ly/2KiLiDF  #HarvardHealth #anxiety #nature pic.twitter.com/R9kTQD75TG",660,12,478,True,"#HarvardHealth,#anxiety,#nature"
NancyEtcoff,2018-07-09,16:59:17,"Physical activity as a protective factor for major depression - that is, objectively measured but not self reported physical activity. Important research @karmelchoi thanks to @DrEricKim for passing this along https://twitter.com/karmelchoi/status/1016406768593891329 …",3,1,0,True,
harvardmacy,2018-07-09,16:42:01,New consensus statement about what Core Competencies in Evidence-Based Practice health professionals (in all disciplines) should meet by @LoaiAlbarqouni and colleagues. MT @DrTashY #MedEd #HPE #AcMed check it out here in @JAMANetworkOpen:  http://bit.ly/2KgQOU1  pic.twitter.com/Tbg1MqMvmZ,15,0,5,True,"#MedEd,#HPE,#AcMed"
DrEricKim,2018-07-08,10:21:14,"(1/8) New article digs deeper into a hypothesized reason behind ""deaths of despair"" (suicide, drug misuse) among less-educated white Americans ( http://bit.ly/2KVZRtS ) pic.twitter.com/RfrVngc5wY",1,1,1,True,
DrEricKim,2018-07-08,10:21:15,"(3/8) This article took snapshots of national MIDUS data (~15 yrs apart). Results suggest that among poorest, #psychological #distress increased & psychological well-being decreased (see Table 1). Richest saw little change (perhaps even slight increases in psych well-being).",1,1,1,True,"#psychological,#distress"
NancyEtcoff,2018-07-05,13:25:56,Happier and more optimistic people more likely to maintain healthy lifestyle.@claudiatfitz @HarvardCenterHH https://twitter.com/HarvardCenterHH/status/1014931993061199872 …,3,1,0,True,
hawnfoundation,2018-07-04,08:14:00,"""I'd like to be remembered as a person who wanted to be free and wanted other people to be also free"" - Rosa Parks. May this #fourthofjuly be filled with freedom, love, and a commitment to the generation of tomorrow. #IndependenceDay 🇺🇸",53,0,15,True,"#fourthofjuly,#IndependenceDay"
NancyEtcoff,2018-07-04,10:40:51,"Thanks for the suggestion! I'm listening to this and to ""John Coltrane and Johnny Hartman"" this July 4th morning. https://twitter.com/GreggDCaruso/status/1014520085069946880 …",2,0,0,True,
DrEricKim,2018-07-03,07:16:04,"B/c of all the rage about #intermittent #fasting, read this nice review article on the topic:  http://bit.ly/2KhRyfq . Lots of mouse studies and 16 small intervention studies in humans (n=<50) generally support it's health effects. More research needed, but intriguing! pic.twitter.com/5aFfyHzGH3",5,0,1,True,"#intermittent,#fasting"
judithd,2018-06-28,06:40:15,"And even if they are complete strangers, personally irrelevant to you, they are still actual feeling people :) https://twitter.com/zizip/status/1012296034997932032 …",9,0,4,True,
PSYCH_HYPE,2018-06-27,20:56:54,Welcome to the League Dr. William Parham. http://bleacherreport.com/articles/2783189-the-nbpas-first-mental-health-director-has-an-ambitious-plan-for-the-future …,1,0,1,True,
DrEricKim,2018-06-26,07:16:01,"Really like this idea for reducing #loneliness in older men:""Men’s Sheds...a place where men can learn new skills and work together on community projects: building park benches, making toys for children’s hospitals or volunteering."" https://wapo.st/2Io2YIV  pic.twitter.com/mR1GAAtCmW",4,0,1,True,#loneliness
MIAging,2018-06-22,17:19:01,"On June 25, join @USChamber for an expert panel w/ @NoraSuper1 @WmHaseltine @bradleyschurman & others on maximizing the potential for #productivity in the next 50 years. #aging Learn more here:  https://t.e2ma.net/share/inbound/t/idr67/qjxh0l … … @MilkenInstitute",4,0,5,True,"#productivity,#aging"
NoraSuper1,2018-06-23,11:19:23,@KPShare As a big believer in the health restorative effects of forest bathing. This is a great little video from @kpshare to remind why we should all spend more time with nature https://twitter.com/kpshare/status/1010539242181808128 …,1,0,1,True,
michelekimball,2018-06-22,18:29:20,Jaw dropping statistic from @CDCgov rep @WomenInGovt #WIGbytheBay meeting: “Tobacco is the one ‘drug’ that when used as directed kills half of its users.”,3,0,5,True,#WIGbytheBay
NancyEtcoff,2018-06-23,09:51:01,"Today's @nytimes piece by Ruth LaFerla brings to mind our 2007 research @psychoanalysis,rDove Pro-Age Women with photos by #annieliebowitz  http://advertisingforadults.com/2007/02/dove-pro-age-women/ … So many important findings",3,0,1,True,#annieliebowitz
NancyEtcoff,2018-06-23,09:43:48,The Glamorous Grandmas of Instagram  https://nyti.ms/2K55MMv  fabulous article by ruthlaferla,6,0,2,True,
