username,date,time,tweet,likes,replies,retweets,retweet,hashtags
drmbierer,2018-07-16,08:56:34,Dubious “beneficial” alcohol effect nicely discussed by @mcjaklevic with comments by @UnhealthyAlcDrg @AddictionDrW and others.  Link to Lancet April2018 lowering “recommended” cutoffs.  Reference debacle of industry-funded study abandoned by NIAAA. https://www.healthnewsreview.org/2018/07/after-canceling-an-ethically-dubious-trial-nih-sticks-with-a-muddled-message-on-booze/ …,3,0,1,True,
drmbierer,2018-06-22,06:59:26,Thanks @mbebinger for voice of the patient describing @BHCHP “They make you feel welcomed and loved and give you that sense of hope that I can have a drug-free life. I don’t have to use.” Urgent need more and better mgmt #opioidcrisis @LarochelleMarc https://khn.org/news/after-opioid-overdose-only-30-percent-get-medicine-to-treat-addiction/amp/ …,29,0,10,True,#opioidcrisis
drmbierer,2018-06-22,05:48:30,"Kudos to Waltham for harm reduction advice at end and welcoming tone.  Seems incomplete, however.  Naloxone and bup on demand. https://twitter.com/audreymdmph/status/1009608756508987392 …",6,0,0,True,
DaveMosher,2018-06-20,08:45:19,"Lookin' at you, @BillGates @melindagates @gatesfoundation @wellcometrust @RockefellerFdn etc. — if you're interested or know anyone (or any org) that has a bit of discretionary change to spare, reach out to @garyschwitzer / @HealthNewsRevu",13,1,7,True,
drmbierer,2018-06-13,15:52:17,My congresswoman!  I’m lucky to be in Massachusetts https://twitter.com/repkclark/status/1006630661850107904 …,2,0,0,True,
drmbierer,2018-06-13,05:40:48,Treating addiction with drugs — a life very much worth living  https://shar.es/anJVWI ,7,1,5,True,
drmbierer,2018-05-30,05:48:46,"Love @nytimes quoting Sarah Coughlin of @MGH_SUDs Mark Kleiman of NYU & Jodie Rich of @BrownUniversity.  BTW Mass chapter of @ASAMorg is one of many amici signing onto defense in Eldred case.  If Addiction Is a Disease, Why Is Relapsing a Crime? https://www.nytimes.com/2018/05/29/opinion/addiction-relapse-prosecutions.html …",20,2,8,True,
drmbierer,2018-05-23,05:53:49,@nytimes “A natural drug? Not even close” synthetic cannabinoid or contaminant.  Beware.  Article also describes some chilling #stigma re #homeless and compassion fatigue. Overdoses From ‘Dangerous Batch’ of K2 Grows to 56 in Brooklyn   via @NYTimes https://nyti.ms/2LmHQp9 ,0,0,1,True,"#stigma,#homeless"
drmbierer,2018-05-20,09:01:07,Nice shout out to my heroic colleagues @MGH_SUDs in article with troubling message there is no standard of care in treating #addiction.  Much to do. https://nyti.ms/2GyF7Fr ,26,1,10,True,#addiction
drmbierer,2018-05-12,09:53:51,Elegant analysis of multiple data streams via Ch 55 by @LarochelleMarc  illustrating opioid overdose dynamics  salvific role of OAT. At MASAM Pearls for Practice conference.  Thanks. pic.twitter.com/j8QG657zds,2,0,1,True,
drmbierer,2018-05-12,07:46:25,"Dr Ted Park on etiology, role, and management of anxiety in SUDS #OpioidCrisis at our MASAM Pearls for Practice conference #addiction pic.twitter.com/qdIIFM9IWK",0,0,0,True,"#OpioidCrisis,#addiction"
drmbierer,2018-05-06,07:59:37,"Licensing bodies could review, sanction, and fine the institutions where negligence seems to have occurred, with a goal of future safety. The tort system is demonstrated to be inefficient at best in this chilling piece. https://twitter.com/drsinhaesq/status/992874734105833476 …",3,0,0,True,
drmbierer,2018-05-04,10:29:30,Thanks Sen @CindyFriedmanMA — proud to be mentioned along side you—much work to be done. @BostonGlobe Opioid-control bill advances a step  http://edition.pagesuite.com/popovers/article_popover.aspx?guid=ddefca23-a992-4ffe-bd67-3d3e3111b1e3 …,3,0,1,True,
reemky,2018-05-04,10:19:21,@PublishersWkly Porter Square Bookstore Owners Sell Half Their Store to Employees and solve success planning & employee reward in a low paying field- brilliant!  https://bit.ly/2pmDHrY  via @publisherswkly,1,0,1,True,
MassMedical,2018-05-04,10:00:28,"CARE Act: ""There is no good evidence that involuntary commitment of those not yet ready to commit to treatment results in better outcomes."" #mapoli #harmreduction #evidencebased http://www.massmed.org/News-and-Publications/MMS-News-Releases/Dr--Alain-A--Chaoui,-President,-Massachusetts-Medical-Society,-Comments-on-CARE-Act-Revisions/#.WuxvkPkvyUk …",3,0,3,True,"#mapoli,#harmreduction,#evidencebased"
drmbierer,2018-05-04,10:20:23,"“Thanks, Mr. District Attorney” a phrase flowing trippingly off the tongue! https://twitter.com/manhattanda/status/992174038805082117 …",0,0,0,True,
drmbierer,2018-05-04,10:17:17,Looking forward to Dr.Park’s lecture at the MASAM Pearls for Practice Addiction Medicine CME course next weekend May11-12. https://twitter.com/payel_md/status/992070930426925057 …,0,0,0,True,
